Dependency=Geometry Building Type FPL	Dependency=Vintage FPL	Dependency=Location EPW	Option=0-1499	Option=1500-2499	Option=2500-3499	Option=3500+	Counts
Single-Family Detached	1980-99s	USA_VA_Roanoke.Rgnl.AP-Woodrum.Field.724110_TMY3.epw	0.232900036	0.475230429	0.188026454	0.103843081	49727.91346
Single-Family Detached	2000-09s	USA_VA_Roanoke.Rgnl.AP-Woodrum.Field.724110_TMY3.epw	0.152946534	0.453317384	0.234527663	0.159208419	26328.09391
Single-Family Detached	<1940	USA_VA_Roanoke.Rgnl.AP-Woodrum.Field.724110_TMY3.epw	0.371680871	0.42808129	0.122172499	0.07806534	32183.56684
Single-Family Detached	2010s	USA_VA_Roanoke.Rgnl.AP-Woodrum.Field.724110_TMY3.epw	0.182099699	0.329739497	0.286726765	0.201434039	2372.703753
Single-Family Detached	1940-59s	USA_VA_Sterling-Washington.Dulles.Intl.AP.724030_TMY3.epw	0.263052051	0.39927474	0.196795372	0.140877837	138164.981
Single-Family Detached	1960-79s	USA_VA_Sterling-Washington.Dulles.Intl.AP.724030_TMY3.epw	0.189746021	0.374273662	0.316992036	0.118988282	228710.0097
Single-Family Detached	1980-99s	USA_VA_Sterling-Washington.Dulles.Intl.AP.724030_TMY3.epw	0.155650062	0.332597385	0.241700124	0.270052429	268709.8108
Single-Family Detached	2000-09s	USA_VA_Sterling-Washington.Dulles.Intl.AP.724030_TMY3.epw	0.234482729	0.274601845	0.249438914	0.241476513	147490.5984
Single-Family Detached	<1940	USA_VA_Sterling-Washington.Dulles.Intl.AP.724030_TMY3.epw	0.207955774	0.311041416	0.2457662	0.235236611	75325.03287
Single-Family Detached	2010s	USA_VA_Sterling-Washington.Dulles.Intl.AP.724030_TMY3.epw	0.092167047	0.358937125	0.25623085	0.292664977	15775.06841
Single-Family Detached	1940-59s	USA_VT_Burlington.Intl.AP.726170_TMY3.epw	0.370656531	0.366794756	0.171295021	0.091253691	20050.57232
Single-Family Detached	1960-79s	USA_VT_Burlington.Intl.AP.726170_TMY3.epw	0.279130853	0.467874334	0.176106155	0.076888659	41534.57263
Single-Family Detached	1980-99s	USA_VT_Burlington.Intl.AP.726170_TMY3.epw	0.240321019	0.433257804	0.219351488	0.107069689	44518.84216
Single-Family Detached	2000-09s	USA_VT_Burlington.Intl.AP.726170_TMY3.epw	0.169773769	0.352699587	0.269257185	0.20826946	19353.62181
Single-Family Detached	<1940	USA_VT_Burlington.Intl.AP.726170_TMY3.epw	0.296627456	0.411580889	0.154577304	0.137214351	46661.34666
Single-Family Detached	2010s	USA_VT_Burlington.Intl.AP.726170_TMY3.epw	0.161789441	0.20066314	0.341557936	0.295989483	2131.193754
Single-Family Detached	1940-59s	USA_WA_Olympia.AP.727920_TMY3.epw	0.520595728	0.341825025	0.091586074	0.045993173	18292.46078
Single-Family Detached	1960-79s	USA_WA_Olympia.AP.727920_TMY3.epw	0.315692064	0.446736685	0.198789331	0.03878192	38948.14507
Single-Family Detached	1980-99s	USA_WA_Olympia.AP.727920_TMY3.epw	0.229099903	0.479917882	0.185591102	0.105391113	47233.85573
Single-Family Detached	2000-09s	USA_WA_Olympia.AP.727920_TMY3.epw	0.249953448	0.410667632	0.171170899	0.168208021	33060.66808
Single-Family Detached	<1940	USA_WA_Olympia.AP.727920_TMY3.epw	0.460607031	0.35591378	0.108785816	0.074693372	18872.76599
Single-Family Detached	2010s	USA_WA_Olympia.AP.727920_TMY3.epw	0.165100894	0.39093653	0.281736493	0.162226084	4540.93741
Single-Family Detached	1940-59s	USA_WA_Quillayute.State.AP.727970_TMY3.epw	0.57082354	0.321918484	0.073809414	0.033448562	5940.142955
Single-Family Detached	1960-79s	USA_WA_Quillayute.State.AP.727970_TMY3.epw	0.358469509	0.446014847	0.152261758	0.043253886	12750.03538
Single-Family Detached	1980-99s	USA_WA_Quillayute.State.AP.727970_TMY3.epw	0.227537264	0.492621021	0.190394507	0.089447207	13984.10965
Single-Family Detached	2000-09s	USA_WA_Quillayute.State.AP.727970_TMY3.epw	0.19093546	0.419984098	0.230285597	0.158794844	8137.996791
Single-Family Detached	<1940	USA_WA_Quillayute.State.AP.727970_TMY3.epw	0.485830697	0.350168606	0.096199408	0.06780129	8277.073525
Single-Family Detached	2010s	USA_WA_Quillayute.State.AP.727970_TMY3.epw	0.135869423	0.433650993	0.254695122	0.175784463	970.007693
Single-Family Detached	1940-59s	USA_WA_Seattle-Tacoma.Intl.AP.727930_TMY3.epw	0.323481647	0.404038694	0.181593616	0.090886044	157259.0792
Single-Family Detached	1960-79s	USA_WA_Seattle-Tacoma.Intl.AP.727930_TMY3.epw	0.225259545	0.423841959	0.320592064	0.030306431	240898.654
Single-Family Detached	1980-99s	USA_WA_Seattle-Tacoma.Intl.AP.727930_TMY3.epw	0.207184989	0.433151064	0.205471803	0.154192144	274815.0348
Single-Family Detached	2000-09s	USA_WA_Seattle-Tacoma.Intl.AP.727930_TMY3.epw	0.276076279	0.340964986	0.133298169	0.249660566	150829.3461
Single-Family Detached	<1940	USA_WA_Seattle-Tacoma.Intl.AP.727930_TMY3.epw	0.359198738	0.346765893	0.2004764	0.093558969	124246.0291
Single-Family Detached	2010s	USA_WA_Seattle-Tacoma.Intl.AP.727930_TMY3.epw	0.14641656	0.38743685	0.316471654	0.149674936	20186.34569
Single-Family Detached	1940-59s	USA_WA_Spokane.Intl.AP.727850_TMY3.epw	0.531743503	0.345142556	0.079240665	0.043873275	47420.42979
Single-Family Detached	1960-79s	USA_WA_Spokane.Intl.AP.727850_TMY3.epw	0.336311618	0.464220213	0.155776655	0.043691514	57465.28489
Single-Family Detached	1980-99s	USA_WA_Spokane.Intl.AP.727850_TMY3.epw	0.221819701	0.50628101	0.185009532	0.086889757	58480.55973
Single-Family Detached	2000-09s	USA_WA_Spokane.Intl.AP.727850_TMY3.epw	0.178198414	0.435201001	0.234735744	0.151864841	41522.8917
Single-Family Detached	<1940	USA_WA_Spokane.Intl.AP.727850_TMY3.epw	0.490565939	0.34700612	0.092712467	0.069715475	42779.10467
Single-Family Detached	2010s	USA_WA_Spokane.Intl.AP.727850_TMY3.epw	0.143646831	0.428788063	0.245261398	0.182303708	3993.526555
Single-Family Detached	1940-59s	USA_WA_Yakima.Air.Terminal-McAllister.Field.727810_TMY3.epw	0.593016003	0.314250484	0.067508242	0.025225271	31017.68513
Single-Family Detached	1960-79s	USA_WA_Yakima.Air.Terminal-McAllister.Field.727810_TMY3.epw	0.362154328	0.455990062	0.146892506	0.034963105	29778.68757
Single-Family Detached	1980-99s	USA_WA_Yakima.Air.Terminal-McAllister.Field.727810_TMY3.epw	0.238699403	0.502386032	0.183203496	0.075711069	27872.84407
Single-Family Detached	2000-09s	USA_WA_Yakima.Air.Terminal-McAllister.Field.727810_TMY3.epw	0.244924124	0.439113699	0.178164198	0.137797978	18347.75031
Single-Family Detached	<1940	USA_WA_Yakima.Air.Terminal-McAllister.Field.727810_TMY3.epw	0.473790004	0.360395923	0.098273096	0.067540978	19195.57878
Single-Family Detached	2010s	USA_WA_Yakima.Air.Terminal-McAllister.Field.727810_TMY3.epw	0.140667531	0.377408126	0.294843538	0.187080804	2463.134932
Single-Family Detached	1940-59s	USA_WI_Eau.Claire.County.AP.726435_TMY3.epw	0.516973216	0.327341141	0.109513506	0.046172137	33451.04948
Single-Family Detached	1960-79s	USA_WI_Eau.Claire.County.AP.726435_TMY3.epw	0.333037455	0.447300698	0.143046352	0.076615494	46511.27802
Single-Family Detached	1980-99s	USA_WI_Eau.Claire.County.AP.726435_TMY3.epw	0.208617076	0.425712173	0.223987087	0.141683664	40187.50402
Single-Family Detached	2000-09s	USA_WI_Eau.Claire.County.AP.726435_TMY3.epw	0.130727337	0.474243085	0.245568543	0.149461036	25498.02963
Single-Family Detached	<1940	USA_WI_Eau.Claire.County.AP.726435_TMY3.epw	0.351965728	0.426550786	0.167205035	0.054278451	45761.70919
Single-Family Detached	2010s	USA_WI_Eau.Claire.County.AP.726435_TMY3.epw	0.140545467	0.279546573	0.230233589	0.349674371	2396.445808
Single-Family Detached	1940-59s	USA_WI_Green.Bay-Austin.Straubel.Intl.AP.726450_TMY3.epw	0.537170413	0.302325393	0.103733344	0.056770851	70349.98729
Single-Family Detached	1960-79s	USA_WI_Green.Bay-Austin.Straubel.Intl.AP.726450_TMY3.epw	0.297847562	0.439815218	0.172048941	0.090288279	97835.79479
Single-Family Detached	1980-99s	USA_WI_Green.Bay-Austin.Straubel.Intl.AP.726450_TMY3.epw	0.166248941	0.489056096	0.206756047	0.137938916	88431.27962
Single-Family Detached	2000-09s	USA_WI_Green.Bay-Austin.Straubel.Intl.AP.726450_TMY3.epw	0.116054316	0.433951302	0.199845375	0.250149006	53604.54976
Single-Family Detached	<1940	USA_WI_Green.Bay-Austin.Straubel.Intl.AP.726450_TMY3.epw	0.366538641	0.362555605	0.161691421	0.109214334	82905.3665
Single-Family Detached	2010s	USA_WI_Green.Bay-Austin.Straubel.Intl.AP.726450_TMY3.epw	0.170325181	0.282177269	0.265519303	0.281978248	5077.767914
Single-Family Detached	1940-59s	USA_WI_La.Crosse.Muni.AP.726430_TMY3.epw	0.526000841	0.324525494	0.1009025	0.048571166	19221.87728
Single-Family Detached	1960-79s	USA_WI_La.Crosse.Muni.AP.726430_TMY3.epw	0.330161077	0.452615566	0.145331476	0.07189188	24744.22917
Single-Family Detached	1980-99s	USA_WI_La.Crosse.Muni.AP.726430_TMY3.epw	0.186356336	0.427427767	0.25657779	0.129638107	19882.19368
Single-Family Detached	2000-09s	USA_WI_La.Crosse.Muni.AP.726430_TMY3.epw	0.148553862	0.443607539	0.235814191	0.172024408	13134.52171
Single-Family Detached	<1940	USA_WI_La.Crosse.Muni.AP.726430_TMY3.epw	0.363225382	0.438083184	0.141457929	0.057233506	30049.42055
Single-Family Detached	2010s	USA_WI_La.Crosse.Muni.AP.726430_TMY3.epw	0.147599812	0.301221063	0.273562402	0.277616723	1279.048012
Single-Family Detached	1940-59s	USA_WI_Madison-Dane.County.Rgnl.AP.726410_TMY3.epw	0.431437566	0.343114289	0.12859366	0.096854485	46587.18377
Single-Family Detached	1960-79s	USA_WI_Madison-Dane.County.Rgnl.AP.726410_TMY3.epw	0.284183862	0.467978038	0.143114095	0.104724005	70221.3842
Single-Family Detached	1980-99s	USA_WI_Madison-Dane.County.Rgnl.AP.726410_TMY3.epw	0.245160209	0.288077945	0.273017933	0.193743912	67365.82668
Single-Family Detached	2000-09s	USA_WI_Madison-Dane.County.Rgnl.AP.726410_TMY3.epw	0.176378663	0.393636012	0.234553982	0.195431342	44138.92619
Single-Family Detached	<1940	USA_WI_Madison-Dane.County.Rgnl.AP.726410_TMY3.epw	0.311821502	0.344535392	0.232180057	0.111463049	68728.89274
Single-Family Detached	2010s	USA_WI_Madison-Dane.County.Rgnl.AP.726410_TMY3.epw	0.188052849	0.270899755	0.253236373	0.287811023	3822.784039
Single-Family Detached	1940-59s	USA_WI_Milwaukee-Mitchell.Intl.AP.726400_TMY3.epw	0.375037807	0.368020903	0.115198639	0.141742652	140925.2824
Single-Family Detached	1960-79s	USA_WI_Milwaukee-Mitchell.Intl.AP.726400_TMY3.epw	0.258931576	0.445103376	0.202576695	0.093388353	125776.9551
Single-Family Detached	1980-99s	USA_WI_Milwaukee-Mitchell.Intl.AP.726400_TMY3.epw	0.104637217	0.433715076	0.236373798	0.225273909	93817.31061
Single-Family Detached	2000-09s	USA_WI_Milwaukee-Mitchell.Intl.AP.726400_TMY3.epw	0.182241313	0.282732739	0.265658773	0.269367174	47030.6062
Single-Family Detached	<1940	USA_WI_Milwaukee-Mitchell.Intl.AP.726400_TMY3.epw	0.430013073	0.370572942	0.115961899	0.083452087	103235.9072
Single-Family Detached	2010s	USA_WI_Milwaukee-Mitchell.Intl.AP.726400_TMY3.epw	0.090770021	0.173454905	0.145372843	0.590402231	3531.604455
Single-Family Detached	1940-59s	USA_WV_Charleston-Yeager.AP.724140_TMY3.epw	0.469889478	0.394858141	0.100168722	0.035083659	59271.35955
Single-Family Detached	1960-79s	USA_WV_Charleston-Yeager.AP.724140_TMY3.epw	0.305625917	0.47714482	0.149551652	0.067677611	61031.82278
Single-Family Detached	1980-99s	USA_WV_Charleston-Yeager.AP.724140_TMY3.epw	0.226808982	0.465610626	0.202734025	0.104846367	45491.39035
Single-Family Detached	2000-09s	USA_WV_Charleston-Yeager.AP.724140_TMY3.epw	0.15256712	0.444695056	0.242076243	0.160661581	16868.16831
Single-Family Detached	<1940	USA_WV_Charleston-Yeager.AP.724140_TMY3.epw	0.365883019	0.435310418	0.128197846	0.070608718	38594.09916
Single-Family Detached	2010s	USA_WV_Charleston-Yeager.AP.724140_TMY3.epw	0.154108622	0.33622132	0.280431554	0.229238504	2073.153544
Single-Family Detached	1940-59s	USA_WV_Elkins-Randolph.County.AP.724170_TMY3.epw	0.451513514	0.3982456	0.105145379	0.045095507	37394.75829
Single-Family Detached	1960-79s	USA_WV_Elkins-Randolph.County.AP.724170_TMY3.epw	0.329244153	0.456279207	0.152085528	0.062391113	45011.71846
Single-Family Detached	1980-99s	USA_WV_Elkins-Randolph.County.AP.724170_TMY3.epw	0.228275649	0.457707594	0.199440896	0.114575861	39452.26861
Single-Family Detached	2000-09s	USA_WV_Elkins-Randolph.County.AP.724170_TMY3.epw	0.141565206	0.411194724	0.243904772	0.203335297	17453.74359
Single-Family Detached	<1940	USA_WV_Elkins-Randolph.County.AP.724170_TMY3.epw	0.352367071	0.426095546	0.134616665	0.086920718	41450.64155
Single-Family Detached	2010s	USA_WV_Elkins-Randolph.County.AP.724170_TMY3.epw	0.158942888	0.382986088	0.265889972	0.192181051	2012.110235
Single-Family Detached	1940-59s	USA_WV_Huntington-Tri.State.Walker.Long.Field.724250_TMY3.epw	0.491701007	0.365795167	0.102008916	0.04049491	43023.01956
Single-Family Detached	1960-79s	USA_WV_Huntington-Tri.State.Walker.Long.Field.724250_TMY3.epw	0.324245159	0.461926303	0.148000847	0.065827691	57470.27291
Single-Family Detached	1980-99s	USA_WV_Huntington-Tri.State.Walker.Long.Field.724250_TMY3.epw	0.228365468	0.469362203	0.191956845	0.110315485	47072.01368
Single-Family Detached	2000-09s	USA_WV_Huntington-Tri.State.Walker.Long.Field.724250_TMY3.epw	0.173567184	0.470902511	0.207305468	0.148224837	20224.56101
Single-Family Detached	<1940	USA_WV_Huntington-Tri.State.Walker.Long.Field.724250_TMY3.epw	0.380063089	0.424988968	0.132999334	0.061948609	33924.90086
Single-Family Detached	2010s	USA_WV_Huntington-Tri.State.Walker.Long.Field.724250_TMY3.epw	0.182481759	0.357978828	0.2308385	0.228700913	2226.352471
Single-Family Detached	1940-59s	USA_WY_Casper-Natrona.County.Intl.AP.725690_TMY3.epw	0.533035739	0.367766609	0.065182029	0.034015623	6279.947289
Single-Family Detached	1960-79s	USA_WY_Casper-Natrona.County.Intl.AP.725690_TMY3.epw	0.297254013	0.501977075	0.156095368	0.044673544	9241.873409
Single-Family Detached	1980-99s	USA_WY_Casper-Natrona.County.Intl.AP.725690_TMY3.epw	0.209685869	0.509403988	0.191537079	0.089373063	3965.326288
Single-Family Detached	2000-09s	USA_WY_Casper-Natrona.County.Intl.AP.725690_TMY3.epw	0.147465932	0.433679734	0.249845827	0.169008507	3261.867843
Single-Family Detached	<1940	USA_WY_Casper-Natrona.County.Intl.AP.725690_TMY3.epw	0.509721243	0.350251714	0.071721052	0.068305991	3989.251773
Single-Family Detached	2010s	USA_WY_Casper-Natrona.County.Intl.AP.725690_TMY3.epw	0.137877747	0.508860109	0.223036902	0.130225242	881.7316577
Single-Family Detached	1940-59s	USA_WY_Cheyenne.Muni.AP.725640_TMY3.epw	0.531711122	0.356217351	0.072400874	0.039670653	7744.986973
Single-Family Detached	1960-79s	USA_WY_Cheyenne.Muni.AP.725640_TMY3.epw	0.305301246	0.500120848	0.151944977	0.042632929	11166.99147
Single-Family Detached	1980-99s	USA_WY_Cheyenne.Muni.AP.725640_TMY3.epw	0.187500041	0.5059153	0.205503348	0.101081311	9610.839961
Single-Family Detached	2000-09s	USA_WY_Cheyenne.Muni.AP.725640_TMY3.epw	0.148160014	0.41455837	0.261406371	0.175875245	5627.395986
Single-Family Detached	<1940	USA_WY_Cheyenne.Muni.AP.725640_TMY3.epw	0.50591734	0.345541741	0.080821025	0.067719893	5832.777787
Single-Family Detached	2010s	USA_WY_Cheyenne.Muni.AP.725640_TMY3.epw	0.128815572	0.520598339	0.248773796	0.101812293	1132.148
Single-Family Detached	1940-59s	USA_WY_Green.River-Greater.Green.River.Intergalactic.Spaceport.725744_TMY3.epw	0.518381031	0.36434105	0.078658013	0.038619905	3651.667063
Single-Family Detached	1960-79s	USA_WY_Green.River-Greater.Green.River.Intergalactic.Spaceport.725744_TMY3.epw	0.307152405	0.492366793	0.155371605	0.045109197	7887.815163
Single-Family Detached	1980-99s	USA_WY_Green.River-Greater.Green.River.Intergalactic.Spaceport.725744_TMY3.epw	0.187672779	0.516414882	0.199055784	0.096856554	7616.443275
Single-Family Detached	2000-09s	USA_WY_Green.River-Greater.Green.River.Intergalactic.Spaceport.725744_TMY3.epw	0.13726036	0.420542835	0.268372735	0.17382407	4696.038316
Single-Family Detached	<1940	USA_WY_Green.River-Greater.Green.River.Intergalactic.Spaceport.725744_TMY3.epw	0.503432411	0.348954537	0.076829634	0.070783418	4191.055962
Single-Family Detached	2010s	USA_WY_Green.River-Greater.Green.River.Intergalactic.Spaceport.725744_TMY3.epw	0.135477508	0.51834985	0.221354031	0.124818612	753.3627349
Single-Family Detached	1940-59s	USA_WY_Lander-Hunt.Field.725760_TMY3.epw	0.512402754	0.355574115	0.085299886	0.046723245	2997.71684
Single-Family Detached	1960-79s	USA_WY_Lander-Hunt.Field.725760_TMY3.epw	0.335306301	0.457021093	0.15748215	0.050190456	6352.954947
Single-Family Detached	1980-99s	USA_WY_Lander-Hunt.Field.725760_TMY3.epw	0.226622279	0.464352652	0.208678536	0.100346533	6277.144592
Single-Family Detached	2000-09s	USA_WY_Lander-Hunt.Field.725760_TMY3.epw	0.175665375	0.413868609	0.251913319	0.158552696	4393.445906
Single-Family Detached	<1940	USA_WY_Lander-Hunt.Field.725760_TMY3.epw	0.462083655	0.365090001	0.085334834	0.08749151	1910.845086
Single-Family Detached	2010s	USA_WY_Lander-Hunt.Field.725760_TMY3.epw	0.178914291	0.378168085	0.244934238	0.197983386	213.1133111
Single-Family Detached	1940-59s	USA_WY_Sheridan.County.AP.726660_TMY3.epw	0.52991251	0.349448203	0.076392732	0.044246555	4439.67122
Single-Family Detached	1960-79s	USA_WY_Sheridan.County.AP.726660_TMY3.epw	0.322991245	0.480977096	0.149677798	0.046353862	7402.347391
Single-Family Detached	1980-99s	USA_WY_Sheridan.County.AP.726660_TMY3.epw	0.193608516	0.496379471	0.207915012	0.102097002	7590.849408
Single-Family Detached	2000-09s	USA_WY_Sheridan.County.AP.726660_TMY3.epw	0.158704922	0.412104595	0.257809156	0.171381327	5307.568492
Single-Family Detached	<1940	USA_WY_Sheridan.County.AP.726660_TMY3.epw	0.511336141	0.338270299	0.078567255	0.071826305	3848.388678
Single-Family Detached	2010s	USA_WY_Sheridan.County.AP.726660_TMY3.epw	0.133956949	0.434679639	0.267202488	0.164160924	805.4812586
Single-Family Attached	1940-59s	USA_AL_Birmingham.Muni.AP.722280_TMY3.epw	0.344652536	0.262616682	0.196612797	0.196117985	1315.156974
Single-Family Attached	1960-79s	USA_AL_Birmingham.Muni.AP.722280_TMY3.epw	0.329207283	0.248840237	0.2123623	0.20959018	2563.3991
Single-Family Attached	1980-99s	USA_AL_Birmingham.Muni.AP.722280_TMY3.epw	0.259840498	0.312078182	0.215600595	0.212480725	5761.938462
Single-Family Attached	2000-09s	USA_AL_Birmingham.Muni.AP.722280_TMY3.epw	0.272076026	0.263087205	0.23275527	0.232081499	3461.334705
Single-Family Attached	<1940	USA_AL_Birmingham.Muni.AP.722280_TMY3.epw	0.274769326	0.246890022	0.239170326	0.239170326	384.4529427
Single-Family Attached	2010s	USA_AL_Birmingham.Muni.AP.722280_TMY3.epw	0.225247728	0.229222877	0.320946674	0.224582721	204.5340644
Single-Family Attached	1940-59s	USA_AL_Huntsville.Intl.AP-Jones.Field.723230_TMY3.epw	0.560902174	0.231808795	0.107074294	0.100214737	420.1615225
Single-Family Attached	1960-79s	USA_AL_Huntsville.Intl.AP-Jones.Field.723230_TMY3.epw	0.642765075	0.279985228	0.041396311	0.035853386	1649.772862
Single-Family Attached	1980-99s	USA_AL_Huntsville.Intl.AP-Jones.Field.723230_TMY3.epw	0.510960314	0.43503011	0.039326093	0.014683483	2857.849939
Single-Family Attached	2000-09s	USA_AL_Huntsville.Intl.AP-Jones.Field.723230_TMY3.epw	0.370766504	0.557574705	0.043308734	0.028350057	1551.188667
Single-Family Attached	<1940	USA_AL_Huntsville.Intl.AP-Jones.Field.723230_TMY3.epw	0.326792716	0.293140631	0.190033327	0.190033327	234.2023551
Single-Family Attached	2010s	USA_AL_Huntsville.Intl.AP-Jones.Field.723230_TMY3.epw	0.190834356	0.100126104	0.619845026	0.089194514	157.2143096
Single-Family Attached	1940-59s	USA_AL_Mobile-Rgnl.AP.722230_TMY3.epw	0.405426693	0.244727764	0.176836179	0.173009364	1231.346379
Single-Family Attached	1960-79s	USA_AL_Mobile-Rgnl.AP.722230_TMY3.epw	0.479610802	0.249148831	0.14123518	0.130005187	2719.296507
Single-Family Attached	1980-99s	USA_AL_Mobile-Rgnl.AP.722230_TMY3.epw	0.421319244	0.315885018	0.137104881	0.125690857	5495.55988
Single-Family Attached	2000-09s	USA_AL_Mobile-Rgnl.AP.722230_TMY3.epw	0.359656314	0.428072782	0.109958442	0.102312461	2783.794495
Single-Family Attached	<1940	USA_AL_Mobile-Rgnl.AP.722230_TMY3.epw	0.269603876	0.252541419	0.238927352	0.238927352	352.2084544
Single-Family Attached	2010s	USA_AL_Mobile-Rgnl.AP.722230_TMY3.epw	0.288836058	0.264293721	0.300532872	0.146337349	230.7859943
Single-Family Attached	1940-59s	USA_AL_Montgomery-Dannelly.Field.722260_TMY3.epw	0.354382965	0.257974335	0.19524596	0.19239674	695.9677282
Single-Family Attached	1960-79s	USA_AL_Montgomery-Dannelly.Field.722260_TMY3.epw	0.454884715	0.242166832	0.154467013	0.14848144	1801.310459
Single-Family Attached	1980-99s	USA_AL_Montgomery-Dannelly.Field.722260_TMY3.epw	0.454556082	0.301518318	0.140079359	0.103846242	1924.427999
Single-Family Attached	2000-09s	USA_AL_Montgomery-Dannelly.Field.722260_TMY3.epw	0.357998815	0.413577193	0.116118745	0.112305247	1201.25269
Single-Family Attached	<1940	USA_AL_Montgomery-Dannelly.Field.722260_TMY3.epw	0.344430493	0.232998014	0.211285747	0.211285747	348.8934724
Single-Family Attached	2010s	USA_AL_Montgomery-Dannelly.Field.722260_TMY3.epw	0.291708858	0.29182022	0.219266328	0.197204594	142.33037
Single-Family Attached	1940-59s	USA_AR_Fort.Smith.Rgnl.AP.723440_TMY3.epw	0.412512016	0.195829328	0.195829328	0.195829328	381.5237407
Single-Family Attached	1960-79s	USA_AR_Fort.Smith.Rgnl.AP.723440_TMY3.epw	0.511035571	0.193891183	0.147536623	0.147536623	1370.177031
Single-Family Attached	1980-99s	USA_AR_Fort.Smith.Rgnl.AP.723440_TMY3.epw	0.601206144	0.118560408	0.167605986	0.112627462	1841.097269
Single-Family Attached	2000-09s	USA_AR_Fort.Smith.Rgnl.AP.723440_TMY3.epw	0.36855854	0.342823984	0.146244106	0.14237337	1053.744134
Single-Family Attached	<1940	USA_AR_Fort.Smith.Rgnl.AP.723440_TMY3.epw	0.2976665	0.234111167	0.234111167	0.234111167	106.4267637
Single-Family Attached	2010s	USA_AR_Fort.Smith.Rgnl.AP.723440_TMY3.epw	0.443232629	0.238683527	0.159041922	0.159041922	132.8095567
Single-Family Attached	1940-59s	USA_AR_Little.Rock-Adams.Field.723403_TMY3.epw	0.349689426	0.22156962	0.214440512	0.214300443	912.7214526
Single-Family Attached	1960-79s	USA_AR_Little.Rock-Adams.Field.723403_TMY3.epw	0.386748683	0.222921648	0.195166625	0.195163044	2540.887448
Single-Family Attached	1980-99s	USA_AR_Little.Rock-Adams.Field.723403_TMY3.epw	0.420769144	0.185070425	0.192312394	0.201848038	1787.861078
Single-Family Attached	2000-09s	USA_AR_Little.Rock-Adams.Field.723403_TMY3.epw	0.343893218	0.285013387	0.185935954	0.18515744	1287.37049
Single-Family Attached	<1940	USA_AR_Little.Rock-Adams.Field.723403_TMY3.epw	0.262233272	0.267910315	0.234928207	0.234928207	186.0073544
Single-Family Attached	2010s	USA_AR_Little.Rock-Adams.Field.723403_TMY3.epw	0.284290398	0.240948436	0.237428838	0.237332329	184.9049483
Single-Family Attached	1940-59s	USA_AZ_Flagstaff-Pulliam.AP.723755_TMY3.epw	0.581978262	0.176049068	0.114167844	0.127804825	296.02061
Single-Family Attached	1960-79s	USA_AZ_Flagstaff-Pulliam.AP.723755_TMY3.epw	0.490947637	0.391348267	0.061788002	0.055916094	874.6907484
Single-Family Attached	1980-99s	USA_AZ_Flagstaff-Pulliam.AP.723755_TMY3.epw	0.523051895	0.323989444	0.097853969	0.055104691	1596.384518
Single-Family Attached	2000-09s	USA_AZ_Flagstaff-Pulliam.AP.723755_TMY3.epw	0.535168595	0.314317083	0.097175738	0.053338584	985.066351
Single-Family Attached	<1940	USA_AZ_Flagstaff-Pulliam.AP.723755_TMY3.epw	0.662113647	0.109311617	0.119263119	0.109311617	163.9643608
Single-Family Attached	2010s	USA_AZ_Flagstaff-Pulliam.AP.723755_TMY3.epw	0.249171289	0.253911281	0.248458715	0.248458715	62.97996777
Single-Family Attached	1940-59s	USA_AZ_Phoenix-Sky.Harbor.Intl.AP.722780_TMY3.epw	0.258473293	0.283376289	0.228983491	0.229166927	4044.365382
Single-Family Attached	1960-79s	USA_AZ_Phoenix-Sky.Harbor.Intl.AP.722780_TMY3.epw	0.476073523	0.260279562	0.131825287	0.131821628	29485.07075
Single-Family Attached	1980-99s	USA_AZ_Phoenix-Sky.Harbor.Intl.AP.722780_TMY3.epw	0.382186942	0.285165303	0.128046812	0.204600943	28078.91567
Single-Family Attached	2000-09s	USA_AZ_Phoenix-Sky.Harbor.Intl.AP.722780_TMY3.epw	0.377802367	0.193864163	0.193582053	0.234751417	10532.69923
Single-Family Attached	<1940	USA_AZ_Phoenix-Sky.Harbor.Intl.AP.722780_TMY3.epw	0.255980596	0.247577032	0.24886534	0.247577032	765.0174773
Single-Family Attached	2010s	USA_AZ_Phoenix-Sky.Harbor.Intl.AP.722780_TMY3.epw	0.249971768	0.250085332	0.24997145	0.24997145	522.6349726
Single-Family Attached	1940-59s	USA_AZ_Prescott-Love.Field.723723_TMY3.epw	0.623851912	0.145537556	0.104833353	0.125777179	270.435309
Single-Family Attached	1960-79s	USA_AZ_Prescott-Love.Field.723723_TMY3.epw	0.502578152	0.397861516	0.055472065	0.044088267	483.5225987
Single-Family Attached	1980-99s	USA_AZ_Prescott-Love.Field.723723_TMY3.epw	0.549231525	0.296443555	0.096046321	0.058278599	1285.289782
Single-Family Attached	2000-09s	USA_AZ_Prescott-Love.Field.723723_TMY3.epw	0.503358256	0.334117836	0.100832019	0.061691889	852.8738086
Single-Family Attached	<1940	USA_AZ_Prescott-Love.Field.723723_TMY3.epw	0.502610426	0.147134428	0.203120718	0.147134428	51.28855827
Single-Family Attached	2010s	USA_AZ_Prescott-Love.Field.723723_TMY3.epw	0.243246877	0.286282246	0.235235438	0.235235438	4.10424797
Single-Family Attached	1940-59s	USA_AZ_Tucson.Intl.AP.722740_TMY3.epw	0.256888454	0.252722106	0.244482499	0.245906941	2968.032503
