Dependency=Location EPW	Option=East North Central	Option=Middle Atlantic	Option=Mountain - Pacific	Option=New England	Option=South Atlantic - East South Central	Option=West North Central	Option=West South Central	Count	Weight
USA_WA_Spokane.Intl.AP.727850_TMY3.epw	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1	279041.042772
USA_WA_Yakima.Air.Terminal-McAllister.Field.727810_TMY3.epw	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1	145975.325722
USA_WI_Eau.Claire.County.AP.726435_TMY3.epw	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1	237565.020233
USA_WI_Green.Bay-Austin.Straubel.Intl.AP.726450_TMY3.epw	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1	467914.398164
USA_WI_La.Crosse.Muni.AP.726430_TMY3.epw	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1	119552.120924
USA_WI_Madison-Dane.County.Rgnl.AP.726410_TMY3.epw	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1	335722.823114
USA_WI_Milwaukee-Mitchell.Intl.AP.726400_TMY3.epw	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1	546151.262548
USA_WV_Charleston-Yeager.AP.724140_TMY3.epw	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1	259811.872393
USA_WV_Elkins-Randolph.County.AP.724170_TMY3.epw	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1	230456.498413
USA_WV_Huntington-Tri.State.Walker.Long.Field.724250_TMY3.epw	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1	237633.14276
USA_WY_Casper-Natrona.County.Intl.AP.725690_TMY3.epw	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1	30419.2937262
USA_WY_Cheyenne.Muni.AP.725640_TMY3.epw	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1	46830.2750059
USA_WY_Green.River-Greater.Green.River.Intergalactic.Spaceport.725744_TMY3.epw	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1	32872.3718295
USA_WY_Lander-Hunt.Field.725760_TMY3.epw	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1	30551.8739996
USA_WY_Sheridan.County.AP.726660_TMY3.epw	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1	33041.0877313
