Dependency=Location Region	Dependency=Vintage	Dependency=Heating Fuel	Dependency=HVAC System Is Central	Option=No	Option=Yes	Count	Weight
CR04	1980s	Fuel Oil	Only Heating Shared	1	0	0	0
CR04	1980s	Natural Gas	Both Shared	1	0	2	31842.42754
CR04	1980s	Natural Gas	Neither Shared	0.981966857	0.018033143	54	897588.7019
CR04	1980s	Natural Gas	Only Cooling Shared	1	0	1	18749.3332
CR04	1980s	Natural Gas	Only Heating Shared	1	0	1	18391.50212
CR04	1980s	None	Both Shared	1	0	0	0
CR04	1980s	None	Neither Shared	1	0	0	0
CR04	1980s	None	Only Cooling Shared	1	0	0	0
CR04	1980s	None	Only Heating Shared	1	0	0	0
CR04	1980s	Other Fuel	Both Shared	1	0	0	0
CR04	1980s	Other Fuel	Neither Shared	1	0	3	53865.21342
CR04	1980s	Other Fuel	Only Cooling Shared	1	0	0	0
CR04	1980s	Other Fuel	Only Heating Shared	1	0	1	12810.12451
CR04	1980s	Propane	Both Shared	1	0	0	0
CR04	1980s	Propane	Neither Shared	1	0	8	218206.4463
CR04	1980s	Propane	Only Cooling Shared	1	0	0	0
CR04	1980s	Propane	Only Heating Shared	1	0	0	0
CR04	1990s	Electricity	Both Shared	1	0	0	0
CR04	1990s	Electricity	Neither Shared	0.908049415	0.091950585	12	217740.3432
CR04	1990s	Electricity	Only Cooling Shared	1	0	0	0
CR04	1990s	Electricity	Only Heating Shared	1	0	0	0
CR04	1990s	Fuel Oil	Both Shared	1	0	0	0
CR04	1990s	Fuel Oil	Neither Shared	1	0	0	0
CR04	1990s	Fuel Oil	Only Cooling Shared	1	0	0	0
CR04	1990s	Fuel Oil	Only Heating Shared	1	0	0	0
CR04	1990s	Natural Gas	Both Shared	1	0	2	38987.66467
CR04	1990s	Natural Gas	Neither Shared	0.973544923	0.026455077	77	1305003.801
CR04	1990s	Natural Gas	Only Cooling Shared	1	0	1	20518.26372
CR04	1990s	Natural Gas	Only Heating Shared	1	0	2	37605.56205
CR04	1990s	None	Both Shared	1	0	0	0
CR04	1990s	None	Neither Shared	1	0	0	0
CR04	1990s	None	Only Cooling Shared	1	0	1	18145.63241
CR04	1990s	None	Only Heating Shared	1	0	0	0
CR04	1990s	Other Fuel	Both Shared	1	0	0	0
CR04	1990s	Other Fuel	Neither Shared	1	0	3	51029.11255
CR04	1990s	Other Fuel	Only Cooling Shared	1	0	0	0
CR04	1990s	Other Fuel	Only Heating Shared	1	0	0	0
CR04	1990s	Propane	Both Shared	1	0	1	15760.3342
CR04	1990s	Propane	Neither Shared	1	0	5	107819.896
CR04	1990s	Propane	Only Cooling Shared	1	0	0	0
CR04	1990s	Propane	Only Heating Shared	1	0	1	14639.67091
CR04	2000s	Electricity	Both Shared	1	0	0	0
CR04	2000s	Electricity	Neither Shared	0.503968357	0.496031643	10	204605.4734
CR04	2000s	Electricity	Only Cooling Shared	1	0	0	0
CR04	2000s	Electricity	Only Heating Shared	1	0	1	21304.45869
CR04	2000s	Fuel Oil	Both Shared	1	0	0	0
CR04	2000s	Fuel Oil	Neither Shared	1	0	0	0
CR04	2000s	Fuel Oil	Only Cooling Shared	1	0	0	0
CR04	2000s	Fuel Oil	Only Heating Shared	1	0	0	0
CR04	2000s	Natural Gas	Both Shared	1	0	1	24081.27638
CR04	2000s	Natural Gas	Neither Shared	1	0	52	855303.6662
CR04	2000s	Natural Gas	Only Cooling Shared	1	0	0	0
CR04	2000s	Natural Gas	Only Heating Shared	1	0	0	0
CR04	2000s	None	Both Shared	1	0	0	0
CR04	2000s	None	Neither Shared	1	0	1	19500.08907
CR04	2000s	None	Only Cooling Shared	1	0	0	0
CR04	2000s	None	Only Heating Shared	1	0	0	0
CR04	2000s	Other Fuel	Both Shared	1	0	0	0
CR04	2000s	Other Fuel	Neither Shared	1	0	0	0
CR04	2000s	Other Fuel	Only Cooling Shared	1	0	0	0
CR04	2000s	Other Fuel	Only Heating Shared	1	0	0	0
CR04	2000s	Propane	Both Shared	1	0	1	15974.94285
CR04	2000s	Propane	Neither Shared	0.812335781	0.187664219	10	197998.5942
CR04	2000s	Propane	Only Cooling Shared	1	0	0	0
CR04	2000s	Propane	Only Heating Shared	1	0	0	0
CR05	<1950	Electricity	Both Shared	1	0	0	0
CR05	<1950	Electricity	Neither Shared	1	0	2	20438.4346
CR05	<1950	Electricity	Only Cooling Shared	1	0	0	0
CR05	<1950	Electricity	Only Heating Shared	1	0	1	6435.55987
CR05	<1950	Fuel Oil	Both Shared	1	0	0	0
CR05	<1950	Fuel Oil	Neither Shared	1	0	0	0
CR05	<1950	Fuel Oil	Only Cooling Shared	1	0	0	0
CR05	<1950	Fuel Oil	Only Heating Shared	1	0	0	0
CR05	<1950	Natural Gas	Both Shared	1	0	0	0
CR05	<1950	Natural Gas	Neither Shared	1	0	33	390805.6312
CR05	<1950	Natural Gas	Only Cooling Shared	1	0	0	0
CR05	<1950	Natural Gas	Only Heating Shared	1	0	2	18358.7896
CR05	<1950	None	Both Shared	1	0	0	0
CR05	<1950	None	Neither Shared	1	0	1	16134.27176
CR05	<1950	None	Only Cooling Shared	1	0	0	0
CR05	<1950	None	Only Heating Shared	1	0	0	0
CR05	<1950	Other Fuel	Both Shared	1	0	0	0
CR05	<1950	Other Fuel	Neither Shared	1	0	0	0
CR05	<1950	Other Fuel	Only Cooling Shared	1	0	0	0
CR05	<1950	Other Fuel	Only Heating Shared	1	0	0	0
CR05	<1950	Propane	Both Shared	1	0	0	0
CR05	<1950	Propane	Neither Shared	1	0	0	0
CR05	<1950	Propane	Only Cooling Shared	1	0	0	0
CR05	<1950	Propane	Only Heating Shared	1	0	0	0
CR05	1950s	Electricity	Both Shared	1	0	0	0
CR05	1950s	Electricity	Neither Shared	0	1	1	35517.02055
CR05	1950s	Electricity	Only Cooling Shared	1	0	0	0
CR05	1950s	Electricity	Only Heating Shared	1	0	0	0
CR05	1950s	Fuel Oil	Both Shared	1	0	0	0
CR05	1950s	Fuel Oil	Neither Shared	1	0	0	0
CR05	1950s	Fuel Oil	Only Cooling Shared	1	0	0	0
CR05	1950s	Fuel Oil	Only Heating Shared	1	0	0	0
CR05	1950s	Natural Gas	Both Shared	1	0	1	5565.541157
CR05	1950s	Natural Gas	Neither Shared	0.974533565	0.025466435	25	237583.2846
CR05	1950s	Natural Gas	Only Cooling Shared	1	0	0	0
CR05	1950s	Natural Gas	Only Heating Shared	1	0	1	4581.337721
CR05	1950s	None	Both Shared	1	0	0	0
CR05	1950s	None	Neither Shared	1	0	0	0
CR05	1950s	None	Only Cooling Shared	1	0	0	0
CR05	1950s	None	Only Heating Shared	1	0	0	0
CR05	1950s	Other Fuel	Both Shared	1	0	0	0
CR05	1950s	Other Fuel	Neither Shared	1	0	1	33453.17517
CR05	1950s	Other Fuel	Only Cooling Shared	1	0	0	0
CR05	1950s	Other Fuel	Only Heating Shared	1	0	0	0
CR05	1950s	Propane	Both Shared	1	0	0	0
CR05	1950s	Propane	Neither Shared	1	0	1	5002.970255
CR05	1950s	Propane	Only Cooling Shared	1	0	0	0
CR05	1950s	Propane	Only Heating Shared	1	0	0	0
CR05	1960s	Electricity	Both Shared	1	0	0	0
CR05	1960s	Electricity	Neither Shared	1	0	2	10678.59704
CR05	1960s	Electricity	Only Cooling Shared	1	0	0	0
CR05	1960s	Electricity	Only Heating Shared	1	0	0	0
CR05	1960s	Fuel Oil	Both Shared	1	0	0	0
CR05	1960s	Fuel Oil	Neither Shared	1	0	0	0
CR05	1960s	Fuel Oil	Only Cooling Shared	1	0	0	0
CR05	1960s	Fuel Oil	Only Heating Shared	1	0	0	0
CR05	1960s	Natural Gas	Both Shared	1	0	0	0
CR05	1960s	Natural Gas	Neither Shared	1	0	19	170461.8645
CR05	1960s	Natural Gas	Only Cooling Shared	1	0	0	0
CR05	1960s	Natural Gas	Only Heating Shared	1	0	3	23500.0468
CR05	1960s	None	Both Shared	1	0	0	0
CR05	1960s	None	Neither Shared	1	0	0	0
CR05	1960s	None	Only Cooling Shared	1	0	0	0
CR05	1960s	None	Only Heating Shared	1	0	0	0
CR05	1960s	Other Fuel	Both Shared	1	0	0	0
CR05	1960s	Other Fuel	Neither Shared	1	0	0	0
CR05	1960s	Other Fuel	Only Cooling Shared	1	0	0	0
CR05	1960s	Other Fuel	Only Heating Shared	1	0	0	0
CR05	1960s	Propane	Both Shared	1	0	0	0
CR05	1960s	Propane	Neither Shared	1	0	2	8691.05441
CR05	1960s	Propane	Only Cooling Shared	1	0	0	0
CR05	1960s	Propane	Only Heating Shared	1	0	0	0
CR05	1970s	Electricity	Both Shared	1	0	0	0
CR05	1970s	Electricity	Neither Shared	1	0	21	148986.9285
CR05	1970s	Electricity	Only Cooling Shared	1	0	0	0
CR05	1970s	Electricity	Only Heating Shared	1	0	1	6834.051736
CR05	1970s	Fuel Oil	Both Shared	1	0	0	0
CR05	1970s	Fuel Oil	Neither Shared	1	0	0	0
CR05	1970s	Fuel Oil	Only Cooling Shared	1	0	0	0
CR05	1970s	Fuel Oil	Only Heating Shared	1	0	0	0
CR05	1970s	Natural Gas	Both Shared	1	0	0	0
CR05	1970s	Natural Gas	Neither Shared	0.988035065	0.011964935	79	572910.8513
CR05	1970s	Natural Gas	Only Cooling Shared	1	0	0	0
CR05	1970s	Natural Gas	Only Heating Shared	1	0	5	28574.50834
CR05	1970s	None	Both Shared	1	0	0	0
CR05	1970s	None	Neither Shared	1	0	0	0
CR05	1970s	None	Only Cooling Shared	1	0	0	0
CR05	1970s	None	Only Heating Shared	1	0	0	0
CR05	1970s	Other Fuel	Both Shared	1	0	0	0
CR05	1970s	Other Fuel	Neither Shared	1	0	4	17428.15704
CR05	1970s	Other Fuel	Only Cooling Shared	1	0	0	0
CR05	1970s	Other Fuel	Only Heating Shared	1	0	0	0
CR05	1970s	Propane	Both Shared	1	0	0	0
CR05	1970s	Propane	Neither Shared	1	0	8	63451.23684
CR05	1970s	Propane	Only Cooling Shared	1	0	0	0
CR05	1970s	Propane	Only Heating Shared	1	0	0	0
CR05	1980s	Electricity	Both Shared	1	0	0	0
CR05	1980s	Electricity	Neither Shared	1	0	13	195190.0205
CR05	1980s	Electricity	Only Cooling Shared	1	0	0	0
CR05	1980s	Electricity	Only Heating Shared	1	0	0	0
CR05	1980s	Fuel Oil	Both Shared	1	0	0	0
CR05	1980s	Fuel Oil	Neither Shared	1	0	0	0
CR05	1980s	Fuel Oil	Only Cooling Shared	1	0	0	0
CR05	1980s	Fuel Oil	Only Heating Shared	1	0	0	0
CR05	1980s	Natural Gas	Both Shared	1	0	3	28019.84442
CR05	1980s	Natural Gas	Neither Shared	1	0	67	527059.0695
CR05	1980s	Natural Gas	Only Cooling Shared	1	0	0	0
CR05	1980s	Natural Gas	Only Heating Shared	1	0	2	10975.89385
CR05	1980s	None	Both Shared	1	0	0	0
CR05	1980s	None	Neither Shared	1	0	0	0
CR05	1980s	None	Only Cooling Shared	1	0	0	0
CR05	1980s	None	Only Heating Shared	1	0	0	0
CR05	1980s	Other Fuel	Both Shared	1	0	0	0
CR05	1980s	Other Fuel	Neither Shared	1	0	2	13318.14921
CR05	1980s	Other Fuel	Only Cooling Shared	1	0	0	0
CR05	1980s	Other Fuel	Only Heating Shared	1	0	0	0
CR05	1980s	Propane	Both Shared	1	0	0	0
CR05	1980s	Propane	Neither Shared	1	0	3	13233.23873
CR05	1980s	Propane	Only Cooling Shared	1	0	0	0
CR05	1980s	Propane	Only Heating Shared	1	0	0	0
CR05	1990s	Electricity	Both Shared	1	0	0	0
CR05	1990s	Electricity	Neither Shared	1	0	7	54328.48726
CR05	1990s	Electricity	Only Cooling Shared	1	0	0	0
CR05	1990s	Electricity	Only Heating Shared	1	0	0	0
CR05	1990s	Fuel Oil	Both Shared	1	0	0	0
CR05	1990s	Fuel Oil	Neither Shared	1	0	0	0
CR05	1990s	Fuel Oil	Only Cooling Shared	1	0	0	0
CR05	1990s	Fuel Oil	Only Heating Shared	1	0	0	0
CR05	1990s	Natural Gas	Both Shared	1	0	2	7661.077077
CR05	1990s	Natural Gas	Neither Shared	1	0	61	489208.0877
CR05	1990s	Natural Gas	Only Cooling Shared	1	0	0	0
CR05	1990s	Natural Gas	Only Heating Shared	1	0	0	0
CR05	1990s	None	Both Shared	1	0	0	0
CR05	1990s	None	Neither Shared	1	0	0	0
CR05	1990s	None	Only Cooling Shared	1	0	0	0
CR05	1990s	None	Only Heating Shared	1	0	0	0
CR05	1990s	Other Fuel	Both Shared	1	0	0	0
CR05	1990s	Other Fuel	Neither Shared	1	0	1	4357.03877
CR05	1990s	Other Fuel	Only Cooling Shared	1	0	0	0
CR05	1990s	Other Fuel	Only Heating Shared	1	0	0	0
CR05	1990s	Propane	Both Shared	1	0	0	0
CR05	1990s	Propane	Neither Shared	1	0	8	122273.0733
CR05	1990s	Propane	Only Cooling Shared	1	0	0	0
CR05	1990s	Propane	Only Heating Shared	1	0	1	53483.17588
CR05	2000s	Electricity	Both Shared	1	0	0	0
CR05	2000s	Electricity	Neither Shared	0.682371377	0.317628623	9	117311.3864
CR05	2000s	Electricity	Only Cooling Shared	1	0	0	0
CR05	2000s	Electricity	Only Heating Shared	1	0	0	0
CR05	2000s	Fuel Oil	Both Shared	1	0	0	0
CR05	2000s	Fuel Oil	Neither Shared	1	0	0	0
CR05	2000s	Fuel Oil	Only Cooling Shared	1	0	0	0
CR05	2000s	Fuel Oil	Only Heating Shared	1	0	0	0
CR05	2000s	Natural Gas	Both Shared	1	0	0	0
CR05	2000s	Natural Gas	Neither Shared	0.986781888	0.013218112	48	371641.8185
CR05	2000s	Natural Gas	Only Cooling Shared	1	0	0	0
CR05	2000s	Natural Gas	Only Heating Shared	1	0	0	0
CR05	2000s	None	Both Shared	1	0	0	0
CR05	2000s	None	Neither Shared	1	0	0	0
CR05	2000s	None	Only Cooling Shared	1	0	0	0
CR05	2000s	None	Only Heating Shared	1	0	0	0
CR05	2000s	Other Fuel	Both Shared	1	0	0	0
CR05	2000s	Other Fuel	Neither Shared	1	0	2	25892.16187
CR05	2000s	Other Fuel	Only Cooling Shared	1	0	0	0
CR05	2000s	Other Fuel	Only Heating Shared	1	0	0	0
CR05	2000s	Propane	Both Shared	1	0	0	0
CR05	2000s	Propane	Neither Shared	1	0	3	61246.16417
CR05	2000s	Propane	Only Cooling Shared	1	0	0	0
CR05	2000s	Propane	Only Heating Shared	1	0	0	0
CR06	<1950	Electricity	Both Shared	1	0	0	0
CR06	<1950	Electricity	Neither Shared	1	0	16	177225.2607
CR06	<1950	Electricity	Only Cooling Shared	1	0	0	0
CR06	<1950	Electricity	Only Heating Shared	1	0	1	10207.56162
CR06	<1950	Fuel Oil	Both Shared	1	0	0	0
CR06	<1950	Fuel Oil	Neither Shared	1	0	3	27197.77778
CR06	<1950	Fuel Oil	Only Cooling Shared	1	0	0	0
CR06	<1950	Fuel Oil	Only Heating Shared	1	0	0	0
CR06	<1950	Natural Gas	Both Shared	1	0	0	0
CR06	<1950	Natural Gas	Neither Shared	1	0	21	222464.7105
CR06	<1950	Natural Gas	Only Cooling Shared	1	0	0	0
CR06	<1950	Natural Gas	Only Heating Shared	1	0	0	0
CR06	<1950	None	Both Shared	1	0	0	0
CR06	<1950	None	Neither Shared	1	0	6	52475.71551
CR06	<1950	None	Only Cooling Shared	1	0	0	0
CR06	<1950	None	Only Heating Shared	1	0	0	0
CR06	<1950	Other Fuel	Both Shared	1	0	0	0
CR06	<1950	Other Fuel	Neither Shared	1	0	7	64858.08009
CR06	<1950	Other Fuel	Only Cooling Shared	1	0	0	0
CR06	<1950	Other Fuel	Only Heating Shared	1	0	0	0
CR06	<1950	Propane	Both Shared	1	0	0	0
CR06	<1950	Propane	Neither Shared	1	0	0	0
CR06	<1950	Propane	Only Cooling Shared	1	0	0	0
CR06	<1950	Propane	Only Heating Shared	1	0	0	0
CR06	1950s	Electricity	Both Shared	1	0	0	0
CR06	1950s	Electricity	Neither Shared	0.951352622	0.048647378	16	193251.6527
CR06	1950s	Electricity	Only Cooling Shared	1	0	0	0
CR06	1950s	Electricity	Only Heating Shared	1	0	0	0
CR06	1950s	Fuel Oil	Both Shared	1	0	0	0
CR06	1950s	Fuel Oil	Neither Shared	1	0	3	28294.97609
CR06	1950s	Fuel Oil	Only Cooling Shared	1	0	0	0
CR06	1950s	Fuel Oil	Only Heating Shared	1	0	0	0
CR06	1950s	Natural Gas	Both Shared	1	0	0	0
CR06	1950s	Natural Gas	Neither Shared	0.893211474	0.106788526	11	109140.9543
CR06	1950s	Natural Gas	Only Cooling Shared	1	0	0	0
CR06	1950s	Natural Gas	Only Heating Shared	1	0	2	16710.42899
CR06	1950s	None	Both Shared	1	0	0	0
CR06	1950s	None	Neither Shared	1	0	7	55563.80156
CR06	1950s	None	Only Cooling Shared	1	0	0	0
CR06	1950s	None	Only Heating Shared	1	0	0	0
CR06	1950s	Other Fuel	Both Shared	1	0	0	0
CR06	1950s	Other Fuel	Neither Shared	1	0	2	20433.00072
CR06	1950s	Other Fuel	Only Cooling Shared	1	0	0	0
CR06	1950s	Other Fuel	Only Heating Shared	1	0	0	0
CR06	1950s	Propane	Both Shared	1	0	0	0
CR06	1950s	Propane	Neither Shared	1	0	1	7757.701336
CR06	1950s	Propane	Only Cooling Shared	1	0	0	0
CR06	1950s	Propane	Only Heating Shared	1	0	0	0
CR06	1960s	Electricity	Both Shared	1	0	0	0
CR06	1960s	Electricity	Neither Shared	0.867419513	0.132580487	29	309276.5174
CR06	1960s	Electricity	Only Cooling Shared	1	0	0	0
CR06	1960s	Electricity	Only Heating Shared	1	0	0	0
CR06	1960s	Fuel Oil	Both Shared	1	0	0	0
CR06	1960s	Fuel Oil	Neither Shared	0.529342621	0.470657379	2	16482.68615
CR06	1960s	Fuel Oil	Only Cooling Shared	1	0	0	0
CR06	1960s	Fuel Oil	Only Heating Shared	1	0	0	0
CR06	1960s	Natural Gas	Both Shared	1	0	0	0
CR06	1960s	Natural Gas	Neither Shared	0.899430265	0.100569735	21	220135.0348
CR06	1960s	Natural Gas	Only Cooling Shared	1	0	0	0
CR06	1960s	Natural Gas	Only Heating Shared	1	0	0	0
CR06	1960s	None	Both Shared	1	0	0	0
CR06	1960s	None	Neither Shared	1	0	9	83963.60926
CR06	1960s	None	Only Cooling Shared	1	0	0	0
CR06	1960s	None	Only Heating Shared	1	0	0	0
CR06	1960s	Other Fuel	Both Shared	1	0	0	0
CR06	1960s	Other Fuel	Neither Shared	1	0	2	16482.68792
CR06	1960s	Other Fuel	Only Cooling Shared	1	0	0	0
CR06	1960s	Other Fuel	Only Heating Shared	1	0	0	0
CR06	1960s	Propane	Both Shared	1	0	0	0
CR06	1960s	Propane	Neither Shared	1	0	1	12616.4299
CR06	1960s	Propane	Only Cooling Shared	1	0	0	0
CR06	1960s	Propane	Only Heating Shared	1	0	0	0
CR06	1970s	Electricity	Both Shared	1	0	0	0
CR06	1970s	Electricity	Neither Shared	0.799492775	0.200507225	36	384664.6316
CR06	1970s	Electricity	Only Cooling Shared	1	0	0	0
CR06	1970s	Electricity	Only Heating Shared	1	0	0	0
CR06	1970s	Fuel Oil	Both Shared	1	0	0	0
CR06	1970s	Fuel Oil	Neither Shared	1	0	1	14891.60475
CR06	1970s	Fuel Oil	Only Cooling Shared	1	0	0	0
CR06	1970s	Fuel Oil	Only Heating Shared	1	0	0	0
CR06	1970s	Natural Gas	Both Shared	1	0	0	0
CR06	1970s	Natural Gas	Neither Shared	1	0	15	143962.4235
CR06	1970s	Natural Gas	Only Cooling Shared	1	0	0	0
CR06	1970s	Natural Gas	Only Heating Shared	1	0	1	10270.16267
CR06	1970s	None	Both Shared	1	0	0	0
CR06	1970s	None	Neither Shared	1	0	16	136162.87
CR06	1970s	None	Only Cooling Shared	1	0	4	42741.85725
CR06	1970s	None	Only Heating Shared	1	0	0	0
CR06	1970s	Other Fuel	Both Shared	1	0	0	0
CR06	1970s	Other Fuel	Neither Shared	1	0	4	43984.65314
CR06	1970s	Other Fuel	Only Cooling Shared	1	0	0	0
CR06	1970s	Other Fuel	Only Heating Shared	1	0	0	0
CR06	1970s	Propane	Both Shared	1	0	0	0
CR06	1970s	Propane	Neither Shared	1	0	1	8138.720462
CR06	1970s	Propane	Only Cooling Shared	1	0	0	0
CR06	1970s	Propane	Only Heating Shared	1	0	0	0
CR06	1980s	Electricity	Both Shared	1	0	0	0
CR06	1980s	Electricity	Neither Shared	0.86034163	0.13965837	39	418829.2658
CR06	1980s	Electricity	Only Cooling Shared	1	0	0	0
CR06	1980s	Electricity	Only Heating Shared	1	0	1	10651.14179
CR06	1980s	Fuel Oil	Both Shared	1	0	0	0
CR06	1980s	Fuel Oil	Neither Shared	1	0	0	0
CR06	1980s	Fuel Oil	Only Cooling Shared	1	0	0	0
CR06	1980s	Fuel Oil	Only Heating Shared	1	0	0	0
CR06	1980s	Natural Gas	Both Shared	1	0	0	0
CR06	1980s	Natural Gas	Neither Shared	1	0	26	231538.294
CR06	1980s	Natural Gas	Only Cooling Shared	1	0	0	0
CR06	1980s	Natural Gas	Only Heating Shared	1	0	4	33646.02015
CR06	1980s	None	Both Shared	1	0	0	0
CR06	1980s	None	Neither Shared	1	0	7	61761.46335
CR06	1980s	None	Only Cooling Shared	1	0	0	0
CR06	1980s	None	Only Heating Shared	1	0	0	0
CR06	1980s	Other Fuel	Both Shared	1	0	0	0
CR06	1980s	Other Fuel	Neither Shared	0.672827555	0.327172445	6	65546.11433
CR06	1980s	Other Fuel	Only Cooling Shared	1	0	0	0
CR06	1980s	Other Fuel	Only Heating Shared	1	0	0	0
CR06	1980s	Propane	Both Shared	1	0	0	0
CR06	1980s	Propane	Neither Shared	1	0	1	8724.987676
CR06	1980s	Propane	Only Cooling Shared	1	0	0	0
CR06	1980s	Propane	Only Heating Shared	1	0	0	0
CR06	1990s	Electricity	Both Shared	1	0	0	0
CR06	1990s	Electricity	Neither Shared	0.761825036	0.238174964	44	458423.781
CR06	1990s	Electricity	Only Cooling Shared	1	0	0	0
CR06	1990s	Electricity	Only Heating Shared	1	0	0	0
CR06	1990s	Fuel Oil	Both Shared	1	0	0	0
CR06	1990s	Fuel Oil	Neither Shared	1	0	0	0
CR06	1990s	Fuel Oil	Only Cooling Shared	1	0	0	0
CR06	1990s	Fuel Oil	Only Heating Shared	1	0	0	0
CR06	1990s	Natural Gas	Both Shared	1	0	0	0
CR06	1990s	Natural Gas	Neither Shared	1	0	20	224768.7347
CR06	1990s	Natural Gas	Only Cooling Shared	1	0	0	0
CR06	1990s	Natural Gas	Only Heating Shared	1	0	0	0
CR06	1990s	None	Both Shared	1	0	0	0
CR06	1990s	None	Neither Shared	1	0	8	65973.79593
CR06	1990s	None	Only Cooling Shared	1	0	0	0
CR06	1990s	None	Only Heating Shared	1	0	0	0
CR06	1990s	Other Fuel	Both Shared	1	0	0	0
CR06	1990s	Other Fuel	Neither Shared	0	1	1	8138.720781
CR06	1990s	Other Fuel	Only Cooling Shared	1	0	0	0
CR06	1990s	Other Fuel	Only Heating Shared	1	0	1	9007.728534
CR06	1990s	Propane	Both Shared	1	0	0	0
CR06	1990s	Propane	Neither Shared	1	0	1	8854.900234
CR06	1990s	Propane	Only Cooling Shared	1	0	0	0
CR06	1990s	Propane	Only Heating Shared	1	0	0	0
CR06	2000s	Electricity	Both Shared	1	0	0	0
CR06	2000s	Electricity	Neither Shared	0.732295244	0.267704756	29	288771.1841
CR06	2000s	Electricity	Only Cooling Shared	1	0	0	0
CR06	2000s	Electricity	Only Heating Shared	1	0	0	0
CR06	2000s	Fuel Oil	Both Shared	1	0	0	0
CR06	2000s	Fuel Oil	Neither Shared	1	0	0	0
CR06	2000s	Fuel Oil	Only Cooling Shared	1	0	0	0
CR06	2000s	Fuel Oil	Only Heating Shared	1	0	0	0
CR06	2000s	Natural Gas	Both Shared	1	0	0	0
CR06	2000s	Natural Gas	Neither Shared	0.941005034	0.058994966	29	309571.0525
CR06	2000s	Natural Gas	Only Cooling Shared	1	0	0	0
CR06	2000s	Natural Gas	Only Heating Shared	1	0	0	0
CR06	2000s	None	Both Shared	1	0	0	0
CR06	2000s	None	Neither Shared	1	0	5	41298.83663
CR06	2000s	None	Only Cooling Shared	1	0	0	0
CR06	2000s	None	Only Heating Shared	1	0	0	0
CR06	2000s	Other Fuel	Both Shared	1	0	0	0
CR06	2000s	Other Fuel	Neither Shared	0.742873499	0.257126501	4	33932.66602
CR06	2000s	Other Fuel	Only Cooling Shared	1	0	0	0
CR06	2000s	Other Fuel	Only Heating Shared	1	0	0	0
CR06	2000s	Propane	Both Shared	1	0	0	0
CR06	2000s	Propane	Neither Shared	1	0	2	19145.80193
CR06	2000s	Propane	Only Cooling Shared	1	0	0	0
CR06	2000s	Propane	Only Heating Shared	1	0	0	0
CR07	<1950	Electricity	Both Shared	1	0	1	10024.97825
CR07	<1950	Electricity	Neither Shared	0.926649405	0.073350595	24	405036.8649
CR07	<1950	Electricity	Only Cooling Shared	1	0	0	0
CR07	<1950	Electricity	Only Heating Shared	1	0	6	61610.69466
CR07	<1950	Fuel Oil	Both Shared	1	0	0	0
CR07	<1950	Fuel Oil	Neither Shared	0.985126504	0.014873496	73	847548.6158
CR07	<1950	Fuel Oil	Only Cooling Shared	1	0	0	0
CR07	<1950	Fuel Oil	Only Heating Shared	1	0	63	626711.8071
CR07	<1950	Natural Gas	Both Shared	1	0	3	35615.19545
CR07	<1950	Natural Gas	Neither Shared	0.98651904	0.01348096	158	1666696.897
CR07	<1950	Natural Gas	Only Cooling Shared	1	0	2	19667.5892
CR07	<1950	Natural Gas	Only Heating Shared	1	0	86	893593.5944
CR07	<1950	None	Both Shared	1	0	0	0
CR07	<1950	None	Neither Shared	1	0	0	0
CR07	<1950	None	Only Cooling Shared	1	0	0	0
CR07	<1950	None	Only Heating Shared	1	0	0	0
CR07	<1950	Other Fuel	Both Shared	1	0	0	0
CR07	<1950	Other Fuel	Neither Shared	1	0	10	133777.4698
CR07	<1950	Other Fuel	Only Cooling Shared	1	0	0	0
CR07	<1950	Other Fuel	Only Heating Shared	1	0	9	95751.88497
CR07	<1950	Propane	Both Shared	1	0	0	0
CR07	<1950	Propane	Neither Shared	1	0	3	54852.92274
CR07	<1950	Propane	Only Cooling Shared	1	0	0	0
CR07	<1950	Propane	Only Heating Shared	1	0	0	0
CR07	1950s	Electricity	Both Shared	1	0	0	0
CR07	1950s	Electricity	Neither Shared	1	0	10	124802.628
CR07	1950s	Electricity	Only Cooling Shared	1	0	0	0
CR07	1950s	Electricity	Only Heating Shared	1	0	2	31813.11067
CR07	1950s	Fuel Oil	Both Shared	1	0	1	9909.892006
CR07	1950s	Fuel Oil	Neither Shared	1	0	47	507902.9195
CR07	1950s	Fuel Oil	Only Cooling Shared	1	0	0	0
CR07	1950s	Fuel Oil	Only Heating Shared	1	0	20	200285.1071
CR07	1950s	Natural Gas	Both Shared	1	0	0	0
CR07	1950s	Natural Gas	Neither Shared	1	0	125	1440608.394
CR07	1950s	Natural Gas	Only Cooling Shared	1	0	0	0
CR07	1950s	Natural Gas	Only Heating Shared	1	0	33	332858.3967
CR07	1950s	None	Both Shared	1	0	0	0
CR07	1950s	None	Neither Shared	1	0	0	0
CR07	1950s	None	Only Cooling Shared	1	0	0	0
CR07	1950s	None	Only Heating Shared	1	0	0	0
CR07	1950s	Other Fuel	Both Shared	1	0	0	0
CR07	1950s	Other Fuel	Neither Shared	1	0	2	26222.26722
CR07	1950s	Other Fuel	Only Cooling Shared	1	0	0	0
CR07	1950s	Other Fuel	Only Heating Shared	1	0	0	0
CR07	1950s	Propane	Both Shared	1	0	0	0
CR07	1950s	Propane	Neither Shared	1	0	0	0
CR07	1950s	Propane	Only Cooling Shared	1	0	0	0
CR07	1950s	Propane	Only Heating Shared	1	0	0	0
