Building,Location Weather Year,Usage Level,Geometry Single Unit Level,Geometry Single Unit Horizontal Location,Geometry Single Unit Has Rear Units,Geometry Building Type FPL,Location,Location Region,Location Weather Filename,Vintage FPL,Vintage,Heating Fuel,Geometry Building Type,Geometry Building Number Units HL,Geometry Foundation Type,Geometry House Size,Geometry Building Floors,Geometry Building Number Units MF,Geometry Building Number Units SFA,Geometry Garage,Geometry Unit Stories SF,Geometry Unit Stories MF,Geometry Is Multifamily Low Rise,Geometry Shared Walls SFA,Geometry Shared Walls MF,Geometry Nearest Neighbor LeftRight,Occupants,Orientation,Eaves,Door Area,Window Areas,Overhangs,Insulation Unfinished Attic,Insulation Finished Roof,Roof Material,Insulation Slab,Insulation Crawlspace,Insulation Unfinished Basement,Insulation Finished Basement,Insulation Pier Beam,Insulation Interzonal Floor,Insulation Wall,Windows,Doors,Water Heater,Hot Water Fixtures,Hot Water Distribution,Solar Hot Water,HVAC System Is Shared,HVAC System Is Heatpump,HVAC System Heatpump,HVAC System Heating Electricity,HVAC System Heating Natural Gas,HVAC System Heating Propane,HVAC System Heating Fuel Oil,HVAC System Heating Other Fuel,HVAC System Heating None,HVAC System Cooling,HVAC System Cooling Type,HVAC System Shared,Heating Setpoint,Cooling Setpoint,Ceiling Fan,Dehumidifier,Refrigerator,Cooking Range,Dishwasher,Clothes Washer,Clothes Dryer,Lighting,Plug Loads,Misc Extra Refrigerator,Misc Freezer,Misc Gas Fireplace,Misc Gas Grill,Misc Gas Lighting,Misc Hot Tub Spa,Misc Pool,Misc Well Pump,Ducts,Infiltration,Natural Ventilation,Mechanical Ventilation,Bathroom Spot Vent Hour,Range Spot Vent Hour,PV,Days Shifted,Geometry Perimeter Footprint Ratio
23,TMY3,Medium,Top,Right,TRUE,10 to 19 Unit,NY_New.York-J.F.Kennedy.Intl.AP.744860,CR07,USA_NY_New.York-J.F.Kennedy.Intl.AP.744860_TMY3.epw,1940-59s,1950s,Natural Gas,Multi-Family with 5+ Units,10 to 19 Units low,Slab,0-1499,2,12,None,None,N/a,1,True,Left,None,12,Auto,South,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-19, Vented",R-30,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,Uninsulated,"Wood Stud, Uninsulated",1 Pane,Fiberglass,Electric Standard,100%,"Uninsulated, TrunkBranch, Copper",None,Only Heating Shared,No,None,None,None,None,None,None,None,"FIXME Room AC, EER 10.7, 20% Conditioned",Room,None,68F,73F,National Average,None,EF 15.9,"Gas, 100% Usage","318 Rated kWh, 100% Usage","EnergyStar, 100% Usage","Gas, 100% Usage",100% Incandescent,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"30% Leakage, R-4",20 ACH50,"Year-Round, 3 days/wk",None,Hour2,Hour17,None,Day85,0.13
24,TMY3,High,Top,Right,TRUE,10 to 19 Unit,FL_Orlando.Intl.AP.722050,CR09,USA_FL_Orlando.Intl.AP.722050_TMY3.epw,1980-99s,1980s,Electricity,Multi-Family with 5+ Units,10 to 19 Units low,Slab,0-1499,2,12,None,None,N/a,1,True,LeftRight,Left,4,Auto,West,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-19, Vented",Uninsulated,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,R-13,"Wood Stud, R-11",2+ Pane,Fiberglass,Electric Standard,200%,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,Yes,"ASHP, SEER 10, 6.2 HSPF",None,None,None,None,None,None,None,None,Fan coil with chiller/Boiler,70F,75F,National Average,None,EF 15.9,"Electric, 120% Usage","290 Rated kWh, 120% Usage","Standard, 120% Usage","Electric, 120% Usage",100% Incandescent,200%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"30% Leakage, R-4",15 ACH50,"Year-Round, 3 days/wk",None,Hour0,Hour20,None,Day35,0.13
25,TMY3,Medium,Top,Right,TRUE,10 to 19 Unit,TX_Dallas-Fort.Worth.Intl.AP.722590,CR09,USA_TX_Dallas-Fort.Worth.Intl.AP.722590_TMY3.epw,1980-99s,1990s,Electricity,Multi-Family with 5+ Units,10 to 19 Units low,Slab,0-1499,2,16,None,None,N/a,1,True,LeftRight,None,27,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-30, Vented",Uninsulated,"Asphalt Shingles, Medium","2ft R5 Perimeter, R5 Gap",None,None,None,None,Uninsulated,"Wood Stud, R-15",2+ Pane,Fiberglass,Electric Standard,100%,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,Yes,"ASHP, SEER 13, 7.7 HSPF",None,None,None,None,None,None,None,None,Fan coil with chiller/Boiler,69F,75F,National Average,None,EF 15.9,"Electric, 100% Usage","290 Rated kWh, 100% Usage","EnergyStar, 100% Usage",None,100% Incandescent,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"10% Leakage, R-4",10 ACH50,"Year-Round, 3 days/wk",None,Hour1,Hour18,None,Day17,0.13
26,TMY3,High,Top,Right,TRUE,10 to 19 Unit,MA_Boston-Logan.Intl.AP.725090,CR03,USA_MA_Boston-Logan.Intl.AP.725090_TMY3.epw,1960-79s,1970s,Natural Gas,Multi-Family with 5+ Units,10 to 19 Units low,Unheated Basement,0-1499,3,18,None,None,N/a,1,True,Left,None,7,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-19, Vented",R-30,"Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, R-7",1 Pane,Fiberglass,Gas Standard,200%,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,No,None,None,"Gas Boiler, 80% AFUE",None,None,None,None,"FIXME Room AC, EER 10.7, 20% Conditioned",Room,None,68F,73F,National Average,None,EF 15.9,"Gas, 120% Usage","290 Rated kWh, 120% Usage","EnergyStar, 120% Usage","Electric, 120% Usage",100% Incandescent,200%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"10% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour14,Hour11,None,Day25,0.13
27,TMY3,Low,Top,Right,TRUE,10 to 19 Unit,TX_Dallas-Fort.Worth.Intl.AP.722590,CR09,USA_TX_Dallas-Fort.Worth.Intl.AP.722590_TMY3.epw,1980-99s,1980s,Electricity,Multi-Family with 5+ Units,10 to 19 Units low,Slab,0-1499,2,12,None,None,N/a,1,True,Left,None,27,Auto,South,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-19, Vented",Uninsulated,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,Uninsulated,"Wood Stud, R-11",1 Pane,Fiberglass,Electric Standard,50%,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,Yes,"ASHP, SEER 13, 7.7 HSPF",None,None,None,None,None,None,None,None,Fan coil with chiller/Boiler,69F,75F,National Average,None,EF 6.7,"Electric, 80% Usage","290 Rated kWh, 80% Usage","EnergyStar, 80% Usage","Electric, 80% Usage",60% CFL,50%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"20% Leakage, R-4",15 ACH50,"Year-Round, 3 days/wk",None,Hour1,Hour20,None,Day39,0.13
28,TMY3,Medium,Top,Right,TRUE,10 to 19 Unit,FL_Jacksonville.Intl.AP.722060,CR09,USA_FL_Jacksonville.Intl.AP.722060_TMY3.epw,1980-99s,1990s,Electricity,Multi-Family with 5+ Units,10 to 19 Units low,Slab,0-1499,1,12,None,None,N/a,1,True,Left,None,12,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-30, Vented",R-30,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,Uninsulated,"Wood Stud, R-15",1 Pane,Fiberglass,Electric Standard,100%,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,No,None,Electric Furnace,None,None,None,None,None,"AC, SEER 13",Central,None,70F,74F,National Average,None,EF 15.9,"Electric, 100% Usage","290 Rated kWh, 100% Usage","Standard, 100% Usage","Electric, 100% Usage",100% Incandescent,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"30% Leakage, R-4",10 ACH50,"Year-Round, 3 days/wk",None,Hour21,Hour19,None,Day77,0.13
29,TMY3,Medium,Top,Right,TRUE,10 to 19 Unit,FL_Orlando.Intl.AP.722050,CR09,USA_FL_Orlando.Intl.AP.722050_TMY3.epw,1960-79s,1970s,Electricity,Multi-Family with 5+ Units,10 to 19 Units low,Slab,0-1499,1,12,None,None,N/a,1,True,LeftRight,None,27,Auto,South,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-30, Vented",R-30,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,Uninsulated,"Wood Stud, Uninsulated",1 Pane,Fiberglass,Electric Standard,100%,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,No,None,Electric Furnace,None,None,None,None,None,"AC, SEER 10",Central,None,70F,75F,National Average,None,EF 15.9,"Electric, 100% Usage","318 Rated kWh, 100% Usage","EnergyStar, 100% Usage","Electric, 100% Usage",100% Incandescent,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"20% Leakage, R-4",20 ACH50,"Year-Round, 3 days/wk",None,Hour6,Hour19,None,Day19,0.13
30,TMY3,High,Top,Right,TRUE,10 to 19 Unit,LA_New.Orleans.Intl.AP.722310,CR09,USA_LA_New.Orleans.Intl.AP.722310_TMY3.epw,1960-79s,1970s,Electricity,Multi-Family with 5+ Units,10 to 19 Units low,Slab,0-1499,3,12,None,None,N/a,1,True,Left,None,27,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-7, Vented",R-30,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,Uninsulated,"Wood Stud, R-7",1 Pane,Fiberglass,Electric Standard,200%,"Uninsulated, TrunkBranch, Copper",None,Only Heating Shared,No,None,None,None,None,None,None,None,"AC, SEER 10",Central,None,70F,75F,National Average,None,EF 15.9,"Electric, 120% Usage","318 Rated kWh, 120% Usage","EnergyStar, 120% Usage","Electric, 120% Usage",100% Incandescent,200%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"30% Leakage, R-4",20 ACH50,"Year-Round, 3 days/wk",None,Hour12,Hour16,None,Day50,0.13
31,TMY3,Low,Top,Right,TRUE,10 to 19 Unit,OK_Tulsa.Intl.AP.723560,CR09,USA_OK_Tulsa.Intl.AP.723560_TMY3.epw,1980-99s,1980s,Electricity,Multi-Family with 5+ Units,10 to 19 Units low,Slab,0-1499,2,16,None,None,N/a,1,True,Left,None,4,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-30, Vented",R-30,"Asphalt Shingles, Medium","2ft R5 Perimeter, R5 Gap",None,None,None,None,R-19,"Wood Stud, R-19",1 Pane,Fiberglass,Electric Standard,50%,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,No,None,Electric Furnace,None,None,None,None,None,"AC, SEER 13",Central,None,69F,74F,National Average,None,EF 15.9,"Electric, 80% Usage","290 Rated kWh, 80% Usage","EnergyStar, 80% Usage","Electric, 80% Usage",100% Incandescent,50%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"20% Leakage, R-4",15 ACH50,"Year-Round, 3 days/wk",None,Hour5,Hour17,None,Day4,0.13
32,TMY3,Low,Top,Right,TRUE,10 to 19 Unit,CA_San.Francisco.Intl.AP.724940,CR11,USA_CA_San.Francisco.Intl.AP.724940_TMY3.epw,1980-99s,1980s,Electricity,Multi-Family with 5+ Units,10 to 19 Units low,Crawl,0-1499,1,12,None,None,N/a,1,True,LeftRight,Left,7,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-19, Vented",R-30,"Asphalt Shingles, Medium",None,"Ceiling R-19, Vented",None,None,None,R-13,"Wood Stud, R-11",1 Pane,Fiberglass,Gas Standard,50%,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,No,None,Electric Furnace,None,None,None,None,None,"AC, SEER 10",Central,None,69F,72F,National Average,None,EF 15.9,"Gas, 80% Usage","290 Rated kWh, 80% Usage","Standard, 80% Usage","Electric, 80% Usage",100% Incandescent,50%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"20% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour11,Hour18,None,Day1,0.13
33,TMY3,High,Top,Right,TRUE,10 to 19 Unit,VA_Sterling-Washington.Dulles.Intl.AP.724030,CR08,USA_VA_Sterling-Washington.Dulles.Intl.AP.724030_TMY3.epw,1960-79s,1970s,Natural Gas,Multi-Family with 5+ Units,10 to 19 Units low,Slab,0-1499,2,12,None,None,N/a,1,True,Left,None,7,Auto,South,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-30, Vented",Uninsulated,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,Uninsulated,"Wood Stud, Uninsulated",1 Pane,Fiberglass,Gas Standard,200%,"Uninsulated, TrunkBranch, Copper",None,Only Heating Shared,No,None,None,None,None,None,None,None,"AC, SEER 10",Central,None,68F,73F,National Average,None,EF 10.5,"Gas, 120% Usage","290 Rated kWh, 120% Usage","Standard, 120% Usage","Electric, 120% Usage",100% Incandescent,200%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"10% Leakage, R-4",15 ACH50,"Year-Round, 3 days/wk",None,Hour23,Hour1,None,Day51,0.13
34,TMY3,High,Top,Right,TRUE,10 to 19 Unit,CA_San.Diego-Lindbergh.Field.722900,CR11,USA_CA_San.Diego-Lindbergh.Field.722900_TMY3.epw,1980-99s,1980s,Electricity,Multi-Family with 5+ Units,10 to 19 Units low,Slab,0-1499,2,16,None,None,N/a,1,True,LeftRight,None,7,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-7, Vented",R-30,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,R-19,"Wood Stud, R-11",1 Pane,Fiberglass,Electric Standard,200%,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,No,None,Electric Furnace,None,None,None,None,None,None,None,Fan coil with chiller/Boiler,70F,72F,National Average,None,EF 10.5,"Gas, 120% Usage","290 Rated kWh, 120% Usage","EnergyStar, 120% Usage","Electric, 120% Usage",100% Incandescent,200%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"20% Leakage, R-4",10 ACH50,"Year-Round, 3 days/wk",None,Hour0,Hour15,None,Day3,0.13
35,TMY3,Medium,Top,Right,TRUE,10 to 19 Unit,MD_Baltimore-Washington.Intl.AP.724060,CR08,USA_MD_Baltimore-Washington.Intl.AP.724060_TMY3.epw,1960-79s,1970s,Natural Gas,Multi-Family with 5+ Units,10 to 19 Units low,Unheated Basement,0-1499,2,12,None,None,N/a,1,True,LeftRight,None,12,Auto,South,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-38, Vented",Uninsulated,"Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, R-7",1 Pane,Fiberglass,Gas Standard,100%,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,No,None,None,"Gas Furnace, 80% AFUE",None,None,None,None,"AC, SEER 10",Central,None,68F,73F,National Average,None,EF 15.9,"Electric, 100% Usage","290 Rated kWh, 100% Usage","EnergyStar, 100% Usage","Electric, 100% Usage",100% CFL,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"20% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour2,Hour22,None,Day89,0.13
36,TMY3,High,Top,Right,TRUE,10 to 19 Unit,GA_Atlanta-Hartsfield-Jackson.Intl.AP.722190,CR09,USA_GA_Atlanta-Hartsfield-Jackson.Intl.AP.722190_TMY3.epw,1980-99s,1990s,Electricity,Multi-Family with 5+ Units,10 to 19 Units low,Crawl,0-1499,3,15,None,None,N/a,1,True,Left,None,27,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-19, Vented",Uninsulated,"Asphalt Shingles, Medium",None,"Ceiling R-13, Vented",None,None,None,Uninsulated,"Wood Stud, R-11",1 Pane,Fiberglass,Electric Standard,200%,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,Yes,"ASHP, SEER 13, 7.7 HSPF",None,None,None,None,None,None,None,None,Fan coil with chiller/Boiler,69F,74F,National Average,None,EF 10.5,"Electric, 120% Usage","290 Rated kWh, 120% Usage","Standard, 120% Usage","Electric, 120% Usage",100% Incandescent,200%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"20% Leakage, Uninsulated",10 ACH50,"Year-Round, 3 days/wk",None,Hour5,Hour22,None,Day13,0.13
37,TMY3,Medium,Top,Right,TRUE,10 to 19 Unit,FL_Miami.Intl.AP.722020,CR09,USA_FL_Miami.Intl.AP.722020_TMY3.epw,1980-99s,1980s,Electricity,Multi-Family with 5+ Units,10 to 19 Units low,Slab,0-1499,2,12,None,None,N/a,1,True,Left,None,27,Auto,East,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-13, Vented",R-30,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,Uninsulated,"Wood Stud, R-11",2+ Pane,Fiberglass,Gas Standard,100%,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,No,None,Electric Furnace,None,None,None,None,None,"AC, SEER 8",Central,None,70F,77F,National Average,None,EF 15.9,"Propane, 100% Usage","290 Rated kWh, 100% Usage","Standard, 100% Usage","Electric, 100% Usage",100% Incandescent,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"30% Leakage, R-4",15 ACH50,"Year-Round, 3 days/wk",None,Hour22,Hour17,None,Day32,0.13
38,TMY3,High,Top,Right,TRUE,10 to 19 Unit,TX_Houston-Bush.Intercontinental.AP.722430,CR09,USA_TX_Houston-Bush.Intercontinental.AP.722430_TMY3.epw,2000-09s,2000s,Electricity,Multi-Family with 5+ Units,10 to 19 Units low,Slab,0-1499,3,12,None,None,N/a,1,True,Left,None,12,Auto,South,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-38, Vented",R-30,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,R-13,"Wood Stud, R-19",1 Pane,Fiberglass,Gas Standard,200%,"Uninsulated, HomeRun, PEX",None,Neither Shared,Yes,"ASHP, SEER 13, 7.7 HSPF",None,None,None,None,None,None,None,None,Fan coil with chiller/Boiler,69F,75F,National Average,None,EF 10.2,"Electric, 120% Usage","290 Rated kWh, 120% Usage","EnergyStar, 120% Usage",None,100% Incandescent,200%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"30% Leakage, R-8",10 ACH50,"Year-Round, 3 days/wk",None,Hour7,Hour12,None,Day62,0.13
39,TMY3,High,Top,Right,TRUE,10 to 19 Unit,TX_Dallas-Fort.Worth.Intl.AP.722590,CR09,USA_TX_Dallas-Fort.Worth.Intl.AP.722590_TMY3.epw,1960-79s,1970s,Electricity,Multi-Family with 5+ Units,10 to 19 Units high,Slab,0-1499,3,12,None,None,N/a,1,True,LeftRight,Left,12,Auto,East,2 ft,20 ft^2,F15 B15 L15 R15,None,"Uninsulated, Vented",R-30,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,Uninsulated,"Wood Stud, Uninsulated",1 Pane,Fiberglass,Gas Standard,200%,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,No,None,Electric Furnace,None,None,None,None,None,"AC, SEER 13",Central,None,69F,75F,National Average,None,EF 15.9,"Electric, 120% Usage","290 Rated kWh, 120% Usage","Standard, 120% Usage","Electric, 120% Usage",100% Incandescent,200%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"10% Leakage, R-4",20 ACH50,"Year-Round, 3 days/wk",None,Hour18,Hour14,None,Day16,0.13
40,TMY3,Medium,Top,Right,TRUE,10 to 19 Unit,MI_Detroit.Metro.AP.725370,CR04,USA_MI_Detroit.Metro.AP.725370_TMY3.epw,1960-79s,1970s,Natural Gas,Multi-Family with 5+ Units,10 to 19 Units low,Unheated Basement,0-1499,1,12,None,None,N/a,1,True,Left,None,7,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-38, Vented",Uninsulated,"Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, R-7",2+ Pane,Fiberglass,Gas Standard,100%,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,No,None,None,"Gas Furnace, 76% AFUE",None,None,None,None,"AC, SEER 10",Central,None,68F,72F,National Average,None,EF 10.5,"Gas, 100% Usage","290 Rated kWh, 100% Usage","EnergyStar, 100% Usage","Gas, 100% Usage",100% Incandescent,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"20% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour21,Hour0,None,Day75,0.13
41,TMY3,Medium,Top,Right,TRUE,10 to 19 Unit,GA_Atlanta-Hartsfield-Jackson.Intl.AP.722190,CR09,USA_GA_Atlanta-Hartsfield-Jackson.Intl.AP.722190_TMY3.epw,1960-79s,1970s,Electricity,Multi-Family with 5+ Units,10 to 19 Units low,Slab,0-1499,2,12,None,None,N/a,1,True,LeftRight,None,27,Auto,East,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-13, Vented",Uninsulated,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,Uninsulated,"Wood Stud, R-7",2+ Pane,Fiberglass,Electric Standard,100%,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,No,None,Electric Furnace,None,None,None,None,None,"AC, SEER 10",Central,None,69F,74F,National Average,None,EF 10.5,"Electric, 100% Usage","318 Rated kWh, 100% Usage","EnergyStar, 100% Usage","Electric, 100% Usage",100% Incandescent,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"20% Leakage, R-4",20 ACH50,"Year-Round, 3 days/wk",None,Hour9,Hour8,None,Day93,0.13
42,TMY3,Medium,Top,Right,TRUE,10 to 19 Unit,TN_Memphis.Intl.AP.723340,CR08,USA_TN_Memphis.Intl.AP.723340_TMY3.epw,1980-99s,1990s,Electricity,Multi-Family with 5+ Units,10 to 19 Units low,Crawl,0-1499,2,12,None,None,N/a,1,True,Left,None,27,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-38, Vented",Uninsulated,"Asphalt Shingles, Medium",None,"Ceiling R-19, Vented",None,None,None,R-13,"Wood Stud, R-11",1 Pane,Fiberglass,Electric Standard,100%,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,Yes,"ASHP, SEER 13, 7.7 HSPF",None,None,None,None,None,None,None,None,Fan coil with chiller/Boiler,69F,74F,National Average,None,EF 15.9,"Electric, 100% Usage","290 Rated kWh, 100% Usage","Standard, 100% Usage","Electric, 100% Usage",100% Incandescent,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"20% Leakage, Uninsulated",10 ACH50,"Year-Round, 3 days/wk",None,Hour15,Hour11,None,Day36,0.13
43,TMY3,Low,Top,Right,TRUE,10 to 19 Unit,IN_Indianapolis.Intl.AP.724380,CR04,USA_IN_Indianapolis.Intl.AP.724380_TMY3.epw,1980-99s,1990s,Electricity,Multi-Family with 5+ Units,10 to 19 Units low,Unheated Basement,0-1499,3,12,None,None,N/a,1,True,LeftRight,None,27,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-30, Vented",Uninsulated,"Asphalt Shingles, Medium",None,None,Ceiling R-13,None,None,Uninsulated,"Wood Stud, R-11",1 Pane,Fiberglass,Electric Standard,50%,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,No,None,Electric Furnace,None,None,None,None,None,"AC, SEER 13",Central,None,68F,73F,National Average,None,EF 15.9,"Electric, 80% Usage","290 Rated kWh, 80% Usage","EnergyStar, 80% Usage","Electric, 80% Usage",100% Incandescent,50%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"10% Leakage, Uninsulated",8 ACH50,"Year-Round, 3 days/wk",None,Hour2,Hour17,None,Day18,0.13
44,TMY3,Low,Top,Right,TRUE,10 to 19 Unit,KY_Cincinnati-Northern.Kentucky.AP.724210,CR08,USA_KY_Cincinnati-Northern.Kentucky.AP.724210_TMY3.epw,1980-99s,1990s,Electricity,Multi-Family with 5+ Units,10 to 19 Units low,Unheated Basement,0-1499,2,12,None,None,N/a,1,True,Left,None,4,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-19, Vented",R-30,"Asphalt Shingles, Medium",None,None,Ceiling R-19,None,None,Uninsulated,"Wood Stud, R-11",1 Pane,Fiberglass,Electric Standard,50%,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,No,None,Electric Furnace,None,None,None,None,None,"AC, SEER 13",Central,None,68F,73F,National Average,None,EF 10.5,"Electric, 80% Usage","318 Rated kWh, 80% Usage","EnergyStar, 80% Usage","Electric, 80% Usage",100% Incandescent,50%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"10% Leakage, Uninsulated",10 ACH50,"Year-Round, 3 days/wk",None,Hour11,Hour18,None,Day44,0.13
45,TMY3,Medium,Top,Right,TRUE,10 to 19 Unit,WI_Milwaukee-Mitchell.Intl.AP.726400,CR02,USA_WI_Milwaukee-Mitchell.Intl.AP.726400_TMY3.epw,1980-99s,1990s,Natural Gas,Multi-Family with 5+ Units,10 to 19 Units low,Unheated Basement,0-1499,2,12,None,None,N/a,1,True,Left,None,7,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-49, Vented",R-30,"Asphalt Shingles, Medium",None,None,Ceiling R-13,None,None,Uninsulated,"Wood Stud, R-19",2+ Pane,Fiberglass,Gas Standard,100%,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,No,None,None,"Gas Furnace, 80% AFUE",None,None,None,None,"AC, SEER 10",Central,None,67F,72F,National Average,None,EF 15.9,"Electric, 100% Usage","290 Rated kWh, 100% Usage","Standard, 100% Usage","Electric, 100% Usage",100% Incandescent,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"20% Leakage, Uninsulated",7 ACH50,"Year-Round, 3 days/wk",None,Hour15,Hour18,None,Day69,0.13
