Dependency=clothes_dryer,Dependency=cooking_range,Dependency=geometry_building_type_recs,Dependency=geometry_unit_cfa_bin,Dependency=hvac_cooling_type,Dependency=vintage,Dependency=water_heater_fuel_type,100,101-124,125,126-199,200,201+,<100
electricity,non-electricity,single-family attached,0-499,room air conditioner,1980s,non-electricity,0.43607,0.005515,0.438598,0.055289,0.040656,0.010828,0.013044
electricity,non-electricity,single-family attached,0-499,room air conditioner,1990s,electricity,0.123885,0.009175,0.312556,0.091981,0.41389,0.026812,0.021701
electricity,non-electricity,single-family attached,0-499,room air conditioner,1990s,non-electricity,0.398671,0.005827,0.391978,0.05842,0.11988,0.011441,0.013783
electricity,non-electricity,single-family attached,0-499,room air conditioner,2000s,electricity,0.085727,0.006349,0.216285,0.06365,0.594418,0.018554,0.015017
electricity,non-electricity,single-family attached,0-499,room air conditioner,2000s,non-electricity,0.353143,0.005162,0.347214,0.051748,0.220389,0.010134,0.012209
electricity,non-electricity,single-family attached,0-499,room air conditioner,2010s,electricity,0.100291,0.007428,0.25303,0.074463,0.525514,0.021706,0.017568
electricity,non-electricity,single-family attached,0-499,room air conditioner,2010s,non-electricity,0.372888,0.005451,0.366628,0.054642,0.176799,0.010701,0.012892
electricity,non-electricity,single-family attached,0-499,room air conditioner,<1940,electricity,0.079115,0.007768,0.264617,0.077873,0.529553,0.0227,0.018373
electricity,non-electricity,single-family attached,0-499,room air conditioner,<1940,non-electricity,0.312167,0.006049,0.406895,0.060643,0.188062,0.011876,0.014307
electricity,non-electricity,single-family attached,1000-1499,central air conditioner,1940s,electricity,0.12073,0.010051,0.129666,0.035874,0.656556,0.02335,0.023773
electricity,non-electricity,single-family attached,1000-1499,central air conditioner,1940s,non-electricity,0.446124,0.00733,0.186726,0.026163,0.304879,0.011441,0.017337
electricity,non-electricity,single-family attached,1000-1499,central air conditioner,1950s,electricity,0.12966,0.011201,0.158118,0.039977,0.608531,0.026021,0.026492
electricity,non-electricity,single-family attached,1000-1499,central air conditioner,1950s,non-electricity,0.452517,0.007715,0.215055,0.027536,0.266887,0.012042,0.018248
electricity,non-electricity,single-family attached,1000-1499,central air conditioner,1960s,electricity,0.253427,0.014285,0.11855,0.050985,0.49578,0.033186,0.033787
electricity,non-electricity,single-family attached,1000-1499,central air conditioner,1960s,non-electricity,0.644973,0.007175,0.117579,0.025609,0.176493,0.011199,0.016971
electricity,non-electricity,single-family attached,1000-1499,central air conditioner,1970s,electricity,0.227264,0.012866,0.054686,0.04592,0.598945,0.029889,0.03043
electricity,non-electricity,single-family attached,1000-1499,central air conditioner,1970s,non-electricity,0.657948,0.007351,0.061698,0.026238,0.217903,0.011474,0.017387
electricity,non-electricity,single-family attached,1000-1499,central air conditioner,1980s,electricity,0.297365,0.014566,0.180171,0.051987,0.387621,0.033839,0.034451
electricity,non-electricity,single-family attached,1000-1499,central air conditioner,1980s,non-electricity,0.674739,0.006523,0.15932,0.023281,0.110528,0.010181,0.015428
electricity,non-electricity,single-family attached,1000-1499,central air conditioner,1990s,electricity,0.158215,0.008957,0.093709,0.031968,0.665159,0.020808,0.021185
electricity,non-electricity,single-family attached,1000-1499,central air conditioner,1990s,non-electricity,0.539359,0.006026,0.124494,0.021509,0.284953,0.009406,0.014253
electricity,non-electricity,single-family attached,1000-1499,central air conditioner,2000s,electricity,0.092236,0.005222,0.05463,0.018637,0.804795,0.012131,0.01235
electricity,non-electricity,single-family attached,1000-1499,central air conditioner,2000s,non-electricity,0.412844,0.004613,0.095292,0.016464,0.452677,0.0072,0.01091
electricity,non-electricity,single-family attached,1000-1499,central air conditioner,2010s,electricity,0.115226,0.006523,0.068247,0.023282,0.756139,0.015154,0.015428
electricity,non-electricity,single-family attached,1000-1499,central air conditioner,2010s,non-electricity,0.463755,0.005182,0.107043,0.018494,0.385184,0.008087,0.012255
electricity,non-electricity,single-family attached,1000-1499,central air conditioner,<1940,electricity,0.091719,0.006884,0.072018,0.024569,0.772538,0.015992,0.016281
electricity,non-electricity,single-family attached,1000-1499,central air conditioner,<1940,non-electricity,0.401558,0.005948,0.122876,0.021229,0.425037,0.009284,0.014068
electricity,non-electricity,single-family attached,1000-1499,heat pump,1940s,electricity,0.117701,0.012773,0.180494,0.00861,0.598209,0.052002,0.030211
electricity,non-electricity,single-family attached,1000-1499,heat pump,1940s,non-electricity,0.41992,0.008994,0.250951,0.006063,0.268199,0.0246,0.021273
electricity,non-electricity,single-family attached,1000-1499,heat pump,1950s,electricity,0.124366,0.014005,0.216546,0.00944,0.545504,0.057015,0.033123
electricity,non-electricity,single-family attached,1000-1499,heat pump,1950s,non-electricity,0.420112,0.009337,0.28507,0.006294,0.231567,0.025538,0.022083
electricity,non-electricity,single-family attached,1000-1499,heat pump,1960s,electricity,0.244369,0.017956,0.163217,0.012104,0.446786,0.073101,0.042468
electricity,non-electricity,single-family attached,1000-1499,heat pump,1960s,non-electricity,0.619473,0.008984,0.161243,0.006056,0.158426,0.024571,0.021248
electricity,non-electricity,single-family attached,1000-1499,heat pump,1970s,electricity,0.227007,0.016752,0.077993,0.011293,0.559131,0.068202,0.039622
electricity,non-electricity,single-family attached,1000-1499,heat pump,1970s,non-electricity,0.648474,0.009445,0.086826,0.006367,0.200717,0.025833,0.022339
electricity,non-electricity,single-family attached,1000-1499,heat pump,1980s,electricity,0.330524,0.016434,0.222652,0.011078,0.313541,0.066904,0.038868
electricity,non-electricity,single-family attached,1000-1499,heat pump,1980s,non-electricity,0.69051,0.006776,0.181272,0.004568,0.082315,0.018533,0.016026
electricity,non-electricity,single-family attached,1000-1499,heat pump,1990s,electricity,0.156904,0.011579,0.13269,0.007805,0.616496,0.04714,0.027386
electricity,non-electricity,single-family attached,1000-1499,heat pump,1990s,non-electricity,0.520294,0.007578,0.171471,0.005108,0.256898,0.020727,0.017923
electricity,non-electricity,single-family attached,1000-1499,heat pump,2000s,electricity,0.09435,0.006963,0.07979,0.004694,0.769389,0.028346,0.016468
electricity,non-electricity,single-family attached,1000-1499,heat pump,2000s,non-electricity,0.407666,0.005938,0.134353,0.004002,0.417758,0.01624,0.014043
electricity,non-electricity,single-family attached,1000-1499,heat pump,2010s,electricity,0.11651,0.008598,0.09853,0.005796,0.715227,0.035004,0.020336
electricity,non-electricity,single-family attached,1000-1499,heat pump,2010s,non-electricity,0.453541,0.006606,0.149472,0.004453,0.352237,0.018068,0.015624
electricity,non-electricity,single-family attached,1000-1499,heat pump,<1940,electricity,0.092709,0.00907,0.103938,0.006114,0.729792,0.036925,0.021452
electricity,non-electricity,single-family attached,1000-1499,heat pump,<1940,non-electricity,0.391092,0.007552,0.170872,0.00509,0.386879,0.020655,0.017861
electricity,non-electricity,single-family attached,1000-1499,none,1940s,electricity,0.095472,0.010425,0.270365,0.017493,0.551978,0.02961,0.024657
electricity,non-electricity,single-family attached,1000-1499,none,1940s,non-electricity,0.335575,0.007232,0.370342,0.012135,0.243811,0.0138,0.017105
electricity,non-electricity,single-family attached,1000-1499,none,1950s,electricity,0.099027,0.01122,0.318414,0.018827,0.494105,0.031869,0.026538
electricity,non-electricity,single-family attached,1000-1499,none,1950s,non-electricity,0.32943,0.007367,0.412801,0.012361,0.20656,0.014057,0.017424
electricity,non-electricity,single-family attached,1000-1499,none,1960s,electricity,0.204244,0.0151,0.25192,0.025338,0.424793,0.042889,0.035715
electricity,non-electricity,single-family attached,1000-1499,none,1960s,non-electricity,0.533894,0.00779,0.25663,0.013072,0.155322,0.014866,0.018426
electricity,non-electricity,single-family attached,1000-1499,none,1970s,electricity,0.199136,0.014787,0.126345,0.024811,0.55795,0.041998,0.034973
electricity,non-electricity,single-family attached,1000-1499,none,1970s,non-electricity,0.587811,0.008614,0.14534,0.014455,0.206967,0.016438,0.020375
electricity,non-electricity,single-family attached,1000-1499,none,1980s,electricity,0.222723,0.014309,0.355815,0.024011,0.308655,0.040643,0.033844
electricity,non-electricity,single-family attached,1000-1499,none,1980s,non-electricity,0.530538,0.006727,0.330305,0.011288,0.092394,0.012837,0.015911
electricity,non-electricity,single-family attached,1000-1499,none,1990s,electricity,0.131291,0.009749,0.205037,0.016358,0.586818,0.027689,0.023058
electricity,non-electricity,single-family attached,1000-1499,none,1990s,non-electricity,0.440111,0.00645,0.267854,0.010823,0.2472,0.012308,0.015255
electricity,non-electricity,single-family attached,1000-1499,none,2000s,electricity,0.088938,0.006604,0.138895,0.011081,0.720104,0.018757,0.01562
electricity,non-electricity,single-family attached,1000-1499,none,2000s,non-electricity,0.366576,0.005372,0.2231,0.009014,0.372981,0.010251,0.012706
electricity,non-electricity,single-family attached,1000-1499,none,2010s,electricity,0.098675,0.007327,0.154101,0.012294,0.689462,0.020811,0.01733
electricity,non-electricity,single-family attached,1000-1499,none,2010s,non-electricity,0.38549,0.005649,0.234611,0.009479,0.340628,0.01078,0.013362
electricity,non-electricity,single-family attached,1000-1499,none,<1940,electricity,0.078118,0.00769,0.161733,0.012903,0.699526,0.021841,0.018188
electricity,non-electricity,single-family attached,1000-1499,none,<1940,non-electricity,0.326032,0.006334,0.263053,0.010629,0.366884,0.012087,0.014982
electricity,non-electricity,single-family attached,1000-1499,room air conditioner,1940s,electricity,0.128479,0.010696,0.167004,0.032433,0.61124,0.024849,0.025298
electricity,non-electricity,single-family attached,1000-1499,room air conditioner,1940s,non-electricity,0.447392,0.007351,0.226632,0.02229,0.267475,0.011473,0.017387
electricity,non-electricity,single-family attached,1000-1499,room air conditioner,1950s,electricity,0.136332,0.011777,0.201213,0.03571,0.559753,0.02736,0.027855
electricity,non-electricity,single-family attached,1000-1499,room air conditioner,1950s,non-electricity,0.449072,0.007656,0.258294,0.023216,0.231703,0.01195,0.018109
electricity,non-electricity,single-family attached,1000-1499,room air conditioner,1960s,electricity,0.265313,0.014955,0.150207,0.045347,0.454064,0.034743,0.035371
electricity,non-electricity,single-family attached,1000-1499,room air conditioner,1960s,non-electricity,0.645762,0.007184,0.142477,0.021783,0.15459,0.011213,0.016991
electricity,non-electricity,single-family attached,1000-1499,room air conditioner,1970s,electricity,0.24447,0.01384,0.071196,0.041966,0.563643,0.032152,0.032734
electricity,non-electricity,single-family attached,1000-1499,room air conditioner,1970s,non-electricity,0.670177,0.007488,0.07606,0.022705,0.194172,0.011687,0.01771
electricity,non-electricity,single-family attached,1000-1499,room air conditioner,1980s,electricity,0.302956,0.01484,0.222156,0.044997,0.345478,0.034475,0.035098
electricity,non-electricity,single-family attached,1000-1499,room air conditioner,1980s,non-electricity,0.664006,0.006419,0.189754,0.019464,0.095155,0.010019,0.015183
electricity,non-electricity,single-family attached,1000-1499,room air conditioner,1990s,electricity,0.169825,0.009614,0.121735,0.029152,0.6246,0.022335,0.022739
electricity,non-electricity,single-family attached,1000-1499,room air conditioner,1990s,non-electricity,0.546311,0.006104,0.152614,0.018509,0.252498,0.009527,0.014437
electricity,non-electricity,single-family attached,1000-1499,room air conditioner,2000s,electricity,0.101587,0.005751,0.072821,0.017438,0.775439,0.013361,0.013602
electricity,non-electricity,single-family attached,1000-1499,room air conditioner,2000s,non-electricity,0.429644,0.004801,0.120023,0.014556,0.41213,0.007493,0.011354
electricity,non-electricity,single-family attached,1000-1499,room air conditioner,2010s,electricity,0.125693,0.007116,0.090101,0.021576,0.722153,0.016531,0.01683
electricity,non-electricity,single-family attached,1000-1499,room air conditioner,2010s,non-electricity,0.477256,0.005332,0.133323,0.016169,0.346984,0.008323,0.012612
electricity,non-electricity,single-family attached,1000-1499,room air conditioner,<1940,electricity,0.100267,0.007525,0.095285,0.022818,0.738825,0.017482,0.017798
electricity,non-electricity,single-family attached,1000-1499,room air conditioner,<1940,non-electricity,0.414216,0.006136,0.153402,0.018604,0.383555,0.009576,0.014512
electricity,non-electricity,single-family attached,1500-1999,central air conditioner,1940s,electricity,0.059357,0.00207,0.014713,0.016123,0.895024,0.007817,0.004896
electricity,non-electricity,single-family attached,1500-1999,central air conditioner,1940s,non-electricity,0.590739,0.004066,0.057062,0.031669,0.296533,0.010315,0.009617
electricity,non-electricity,single-family attached,1500-1999,central air conditioner,1950s,electricity,0.067409,0.002439,0.018971,0.018999,0.877201,0.009211,0.00577
electricity,non-electricity,single-family attached,1500-1999,central air conditioner,1950s,non-electricity,0.609509,0.004353,0.066849,0.033905,0.264045,0.011043,0.010296
electricity,non-electricity,single-family attached,1500-1999,central air conditioner,1960s,electricity,0.160856,0.003367,0.015394,0.026225,0.77348,0.012714,0.007964
electricity,non-electricity,single-family attached,1500-1999,central air conditioner,1960s,non-electricity,0.786142,0.003248,0.02932,0.025295,0.140075,0.008239,0.007681
electricity,non-electricity,single-family attached,1500-1999,central air conditioner,1970s,electricity,0.114719,0.002721,0.006371,0.021189,0.838293,0.010273,0.006435
electricity,non-electricity,single-family attached,1500-1999,central air conditioner,1970s,non-electricity,0.752455,0.003522,0.016284,0.02743,0.183045,0.008934,0.00833
electricity,non-electricity,single-family attached,1500-1999,central air conditioner,1980s,electricity,0.19761,0.004055,0.027632,0.031581,0.714221,0.015311,0.00959
electricity,non-electricity,single-family attached,1500-1999,central air conditioner,1980s,non-electricity,0.812839,0.003292,0.044293,0.025638,0.097801,0.008351,0.007786
electricity,non-electricity,single-family attached,1500-1999,central air conditioner,1990s,electricity,0.076059,0.001804,0.010396,0.014049,0.886615,0.006811,0.004266
electricity,non-electricity,single-family attached,1500-1999,central air conditioner,1990s,non-electricity,0.664272,0.003109,0.035385,0.024215,0.257778,0.007887,0.007354
electricity,non-electricity,single-family attached,1500-1999,central air conditioner,2000s,electricity,0.038935,0.000923,0.005322,0.007192,0.941957,0.003487,0.002184
electricity,non-electricity,single-family attached,1500-1999,central air conditioner,2000s,non-electricity,0.520092,0.002434,0.027704,0.018959,0.418877,0.006175,0.005758
electricity,non-electricity,single-family attached,1500-1999,central air conditioner,2010s,electricity,0.051006,0.00121,0.006972,0.009421,0.923963,0.004567,0.002861
electricity,non-electricity,single-family attached,1500-1999,central air conditioner,2010s,non-electricity,0.578796,0.002709,0.030832,0.0211,0.353284,0.006872,0.006407
electricity,non-electricity,single-family attached,1500-1999,central air conditioner,<1940,electricity,0.039992,0.001257,0.007247,0.009793,0.933989,0.004748,0.002974
electricity,non-electricity,single-family attached,1500-1999,central air conditioner,<1940,non-electricity,0.517321,0.00321,0.036532,0.025001,0.4022,0.008143,0.007592
electricity,non-electricity,single-family attached,1500-1999,heat pump,1940s,electricity,0.060969,0.002772,0.048102,0.004077,0.859184,0.018341,0.006556
electricity,non-electricity,single-family attached,1500-1999,heat pump,1940s,non-electricity,0.53767,0.004824,0.165315,0.007096,0.252238,0.021447,0.01141
electricity,non-electricity,single-family attached,1500-1999,heat pump,1950s,electricity,0.068503,0.003231,0.061367,0.004753,0.83312,0.021383,0.007643
electricity,non-electricity,single-family attached,1500-1999,heat pump,1950s,non-electricity,0.543362,0.005059,0.189693,0.007441,0.219991,0.022489,0.011965
electricity,non-electricity,single-family attached,1500-1999,heat pump,1960s,electricity,0.163637,0.004465,0.049848,0.006568,0.735376,0.029546,0.010561
electricity,non-electricity,single-family attached,1500-1999,heat pump,1960s,non-electricity,0.748938,0.004033,0.08891,0.005933,0.124717,0.01793,0.009539
electricity,non-electricity,single-family attached,1500-1999,heat pump,1970s,electricity,0.119615,0.003698,0.021143,0.005439,0.81689,0.024468,0.008746
electricity,non-electricity,single-family attached,1500-1999,heat pump,1970s,non-electricity,0.739171,0.00451,0.050918,0.006634,0.168051,0.020049,0.010667
electricity,non-electricity,single-family attached,1500-1999,heat pump,1980s,electricity,0.237227,0.004941,0.082217,0.007268,0.623966,0.032695,0.011686
electricity,non-electricity,single-family attached,1500-1999,heat pump,1980s,non-electricity,0.793161,0.00326,0.107127,0.004796,0.06945,0.014495,0.007711
electricity,non-electricity,single-family attached,1500-1999,heat pump,1990s,electricity,0.078843,0.002437,0.034304,0.003585,0.858938,0.016128,0.005765
electricity,non-electricity,single-family attached,1500-1999,heat pump,1990s,non-electricity,0.629381,0.00384,0.106716,0.005649,0.228261,0.017071,0.009082
electricity,non-electricity,single-family attached,1500-1999,heat pump,2000s,electricity,0.040985,0.001267,0.017832,0.001864,0.926672,0.008384,0.002997
electricity,non-electricity,single-family attached,1500-1999,heat pump,2000s,non-electricity,0.505333,0.003083,0.085683,0.004535,0.380367,0.013707,0.007292
electricity,non-electricity,single-family attached,1500-1999,heat pump,2010s,electricity,0.053394,0.001651,0.023231,0.002428,0.904469,0.010922,0.003904
electricity,non-electricity,single-family attached,1500-1999,heat pump,2010s,non-electricity,0.556502,0.003395,0.094359,0.004995,0.317624,0.015095,0.008031
electricity,non-electricity,single-family attached,1500-1999,heat pump,<1940,electricity,0.041889,0.001717,0.024162,0.002525,0.914287,0.01136,0.00406
electricity,non-electricity,single-family attached,1500-1999,heat pump,<1940,non-electricity,0.493469,0.003991,0.110924,0.005871,0.358559,0.017744,0.00944
electricity,non-electricity,single-family attached,1500-1999,none,1940s,electricity,0.054895,0.002511,0.035876,0.009194,0.879993,0.011592,0.005939
electricity,non-electricity,single-family attached,1500-1999,none,1940s,non-electricity,0.531973,0.004803,0.135489,0.017586,0.283895,0.014896,0.011359
electricity,non-electricity,single-family attached,1500-1999,none,1950s,electricity,0.061998,0.002943,0.046007,0.010775,0.857732,0.013585,0.00696
electricity,non-electricity,single-family attached,1500-1999,none,1950s,non-electricity,0.542115,0.005078,0.156772,0.018595,0.249677,0.015751,0.012011
electricity,non-electricity,single-family attached,1500-1999,none,1960s,electricity,0.149608,0.004108,0.037752,0.01504,0.764815,0.018962,0.009715
electricity,non-electricity,single-family attached,1500-1999,none,1960s,non-electricity,0.744795,0.004036,0.073242,0.014778,0.141087,0.012517,0.009545
electricity,non-electricity,single-family attached,1500-1999,none,1970s,electricity,0.107789,0.003353,0.015783,0.012277,0.83739,0.015478,0.00793
electricity,non-electricity,single-family attached,1500-1999,none,1970s,non-electricity,0.725761,0.004456,0.041413,0.016314,0.187699,0.013819,0.010538
electricity,non-electricity,single-family attached,1500-1999,none,1980s,electricity,0.18101,0.004872,0.066736,0.017838,0.695532,0.02249,0.011522
electricity,non-electricity,single-family attached,1500-1999,none,1980s,non-electricity,0.754491,0.004008,0.108406,0.014675,0.096513,0.01243,0.009479
electricity,non-electricity,single-family attached,1500-1999,none,1990s,electricity,0.070844,0.002204,0.025533,0.008069,0.877965,0.010173,0.005212
electricity,non-electricity,single-family attached,1500-1999,none,1990s,non-electricity,0.61912,0.003801,0.086958,0.013917,0.255426,0.011788,0.00899
electricity,non-electricity,single-family attached,1500-1999,none,2000s,electricity,0.04137,0.001287,0.01491,0.004712,0.928737,0.005941,0.003044
electricity,non-electricity,single-family attached,1500-1999,none,2000s,non-electricity,0.512824,0.003148,0.072028,0.011528,0.383261,0.009764,0.007446
electricity,non-electricity,single-family attached,1500-1999,none,2010s,electricity,0.047654,0.001482,0.017175,0.005428,0.917913,0.006843,0.003506
electricity,non-electricity,single-family attached,1500-1999,none,2010s,non-electricity,0.54008,0.003316,0.075857,0.01214,0.350482,0.010283,0.007842
electricity,non-electricity,single-family attached,1500-1999,none,<1940,electricity,0.037332,0.001539,0.017837,0.005637,0.926907,0.007107,0.003641
electricity,non-electricity,single-family attached,1500-1999,none,<1940,non-electricity,0.477284,0.003884,0.088871,0.014223,0.394502,0.012048,0.009187
electricity,non-electricity,single-family attached,1500-1999,room air conditioner,1940s,electricity,0.066796,0.00233,0.020038,0.015414,0.881117,0.008796,0.00551
electricity,non-electricity,single-family attached,1500-1999,room air conditioner,1940s,non-electricity,0.608935,0.004191,0.071188,0.027733,0.267406,0.010633,0.009913
electricity,non-electricity,single-family attached,1500-1999,room air conditioner,1950s,electricity,0.075627,0.002737,0.02576,0.018109,0.860961,0.010334,0.006473
electricity,non-electricity,single-family attached,1500-1999,room air conditioner,1950s,non-electricity,0.624558,0.004461,0.082903,0.029515,0.236697,0.011316,0.01055
electricity,non-electricity,single-family attached,1500-1999,room air conditioner,1960s,electricity,0.178239,0.003731,0.020645,0.024687,0.749786,0.014088,0.008824
electricity,non-electricity,single-family attached,1500-1999,room air conditioner,1960s,non-electricity,0.798254,0.003298,0.036031,0.021821,0.12443,0.008366,0.0078
electricity,non-electricity,single-family attached,1500-1999,room air conditioner,1970s,electricity,0.128433,0.003046,0.008632,0.020154,0.821031,0.011501,0.007204
electricity,non-electricity,single-family attached,1500-1999,room air conditioner,1970s,non-electricity,0.770653,0.003607,0.020185,0.023867,0.164006,0.00915,0.008531
electricity,non-electricity,single-family attached,1500-1999,room air conditioner,1980s,electricity,0.216759,0.004448,0.036682,0.02943,0.685367,0.016794,0.01052
electricity,non-electricity,single-family attached,1500-1999,room air conditioner,1980s,non-electricity,0.818392,0.003314,0.053973,0.02193,0.086144,0.008408,0.007839
electricity,non-electricity,single-family attached,1500-1999,room air conditioner,1990s,electricity,0.085547,0.002029,0.014152,0.013424,0.872389,0.007661,0.004798
electricity,non-electricity,single-family attached,1500-1999,room air conditioner,1990s,non-electricity,0.683737,0.0032,0.04408,0.021175,0.23212,0.008118,0.007569
electricity,non-electricity,single-family attached,1500-1999,room air conditioner,2000s,electricity,0.044138,0.001047,0.007302,0.006926,0.93416,0.003952,0.002476
electricity,non-electricity,single-family attached,1500-1999,room air conditioner,2000s,non-electricity,0.547153,0.002561,0.035275,0.016945,0.385512,0.006497,0.006057
electricity,non-electricity,single-family attached,1500-1999,room air conditioner,2010s,electricity,0.057658,0.001367,0.009538,0.009048,0.913992,0.005163,0.003234
electricity,non-electricity,single-family attached,1500-1999,room air conditioner,2010s,non-electricity,0.603396,0.002824,0.038901,0.018687,0.322347,0.007165,0.00668
electricity,non-electricity,single-family attached,1500-1999,room air conditioner,<1940,electricity,0.045284,0.001424,0.009931,0.00942,0.925197,0.005376,0.003367
electricity,non-electricity,single-family attached,1500-1999,room air conditioner,<1940,non-electricity,0.542506,0.003366,0.046367,0.022274,0.368986,0.00854,0.007962
electricity,non-electricity,single-family attached,2000-2499,central air conditioner,1940s,electricity,0.077527,0.004311,0.023214,0.051086,0.817385,0.01628,0.010197
electricity,non-electricity,single-family attached,2000-2499,central air conditioner,1940s,non-electricity,0.469105,0.005149,0.054741,0.061008,0.384758,0.013062,0.012178
electricity,non-electricity,single-family attached,2000-2499,central air conditioner,1950s,electricity,0.086694,0.005003,0.029475,0.059276,0.78883,0.01889,0.011832
electricity,non-electricity,single-family attached,2000-2499,central air conditioner,1950s,non-electricity,0.489596,0.005576,0.06487,0.066069,0.346557,0.014145,0.013188
electricity,non-electricity,single-family attached,2000-2499,central air conditioner,1960s,electricity,0.17673,0.006683,0.023149,0.07919,0.673204,0.025236,0.015807
electricity,non-electricity,single-family attached,2000-2499,central air conditioner,1960s,non-electricity,0.660774,0.004932,0.03373,0.058436,0.217954,0.012511,0.011664
electricity,non-electricity,single-family attached,2000-2499,central air conditioner,1970s,electricity,0.145039,0.005485,0.00973,0.06499,0.741072,0.02071,0.012973
electricity,non-electricity,single-family attached,2000-2499,central air conditioner,1970s,non-electricity,0.642627,0.004796,0.016801,0.056831,0.255433,0.012167,0.011344
electricity,non-electricity,single-family attached,2000-2499,central air conditioner,1980s,electricity,0.231617,0.007579,0.039125,0.089798,0.58534,0.028616,0.017925
electricity,non-electricity,single-family attached,2000-2499,central air conditioner,1980s,non-electricity,0.726185,0.00469,0.047805,0.055566,0.142766,0.011897,0.011092
electricity,non-electricity,single-family attached,2000-2499,central air conditioner,1990s,electricity,0.099661,0.003769,0.016457,0.044657,0.812312,0.014231,0.008914
electricity,non-electricity,single-family attached,2000-2499,central air conditioner,1990s,non-electricity,0.546176,0.004076,0.035147,0.048302,0.346316,0.010341,0.009641
electricity,non-electricity,single-family attached,2000-2499,central air conditioner,2000s,electricity,0.053193,0.002012,0.008784,0.023835,0.899823,0.007596,0.004758
electricity,non-electricity,single-family attached,2000-2499,central air conditioner,2000s,non-electricity,0.397961,0.00297,0.02561,0.035194,0.523705,0.007535,0.007025
electricity,non-electricity,single-family attached,2000-2499,central air conditioner,2010s,electricity,0.06864,0.002596,0.011335,0.030757,0.870732,0.009801,0.006139
electricity,non-electricity,single-family attached,2000-2499,central air conditioner,2010s,non-electricity,0.456089,0.003404,0.02935,0.040335,0.454136,0.008635,0.008051
electricity,non-electricity,single-family attached,2000-2499,central air conditioner,<1940,electricity,0.054052,0.00271,0.011833,0.032109,0.882655,0.010232,0.006409
electricity,non-electricity,single-family attached,2000-2499,central air conditioner,<1940,non-electricity,0.395055,0.003909,0.033703,0.046316,0.501856,0.009916,0.009245
electricity,non-electricity,single-family attached,2000-2499,heat pump,1940s,electricity,0.082368,0.005971,0.033045,0.013363,0.811619,0.039511,0.014123
electricity,non-electricity,single-family attached,2000-2499,heat pump,1940s,non-electricity,0.483874,0.006923,0.075651,0.015493,0.370909,0.030777,0.016374
electricity,non-electricity,single-family attached,2000-2499,heat pump,1950s,electricity,0.091924,0.006915,0.041873,0.015474,0.781705,0.045755,0.016354
electricity,non-electricity,single-family attached,2000-2499,heat pump,1950s,non-electricity,0.502958,0.007467,0.089285,0.01671,0.332726,0.033195,0.01766
electricity,non-electricity,single-family attached,2000-2499,heat pump,1960s,electricity,0.187339,0.009235,0.032877,0.020667,0.666932,0.061108,0.021842
electricity,non-electricity,single-family attached,2000-2499,heat pump,1960s,non-electricity,0.67823,0.006599,0.046385,0.014767,0.209078,0.029335,0.015607
electricity,non-electricity,single-family attached,2000-2499,heat pump,1970s,electricity,0.154619,0.007622,0.013898,0.017057,0.738341,0.050436,0.018027
electricity,non-electricity,single-family attached,2000-2499,heat pump,1970s,non-electricity,0.664773,0.006468,0.023286,0.014474,0.24695,0.028753,0.015297
electricity,non-electricity,single-family attached,2000-2499,heat pump,1980s,electricity,0.292294,0.009708,0.051511,0.021725,0.537564,0.064237,0.02296
electricity,non-electricity,single-family attached,2000-2499,heat pump,1980s,non-electricity,0.782707,0.005131,0.053755,0.011482,0.111983,0.022808,0.012135
electricity,non-electricity,single-family attached,2000-2499,heat pump,1990s,electricity,0.105919,0.005221,0.023434,0.011685,0.806842,0.03455,0.012349
electricity,non-electricity,single-family attached,2000-2499,heat pump,1990s,non-electricity,0.56288,0.005476,0.048531,0.012255,0.333559,0.024346,0.012952
electricity,non-electricity,single-family attached,2000-2499,heat pump,2000s,electricity,0.056711,0.002796,0.012547,0.006256,0.89658,0.018499,0.006612
electricity,non-electricity,single-family attached,2000-2499,heat pump,2000s,non-electricity,0.414273,0.004031,0.035718,0.00902,0.509508,0.017918,0.009533
electricity,non-electricity,single-family attached,2000-2499,heat pump,2010s,electricity,0.073097,0.003603,0.016172,0.008064,0.866698,0.023844,0.008522
electricity,non-electricity,single-family attached,2000-2499,heat pump,2010s,non-electricity,0.472862,0.004601,0.04077,0.010295,0.44014,0.020452,0.010881
electricity,non-electricity,single-family attached,2000-2499,heat pump,<1940,electricity,0.057626,0.003766,0.016902,0.008428,0.879453,0.024919,0.008907
electricity,non-electricity,single-family attached,2000-2499,heat pump,<1940,non-electricity,0.411327,0.005305,0.047015,0.011873,0.488346,0.023585,0.012548
electricity,non-electricity,single-family attached,2000-2499,none,1940s,electricity,0.071495,0.005215,0.056447,0.029051,0.801383,0.024075,0.012334
electricity,non-electricity,single-family attached,2000-2499,none,1940s,non-electricity,0.424997,0.006118,0.130765,0.034083,0.37059,0.018976,0.014471
electricity,non-electricity,single-family attached,2000-2499,none,1950s,electricity,0.079392,0.006009,0.071172,0.033473,0.768002,0.02774,0.014212
electricity,non-electricity,single-family attached,2000-2499,none,1950s,non-electricity,0.438269,0.006547,0.153112,0.03647,0.329814,0.020305,0.015484
electricity,non-electricity,single-family attached,2000-2499,none,1960s,electricity,0.164818,0.008175,0.056923,0.04554,0.667468,0.03774,0.019335
