Building,ASHRAE IECC Climate Zone 2004,County and PUMA,CEC Climate Zone,County,PUMA,Geometry Building Type ACS,PUMA Metro Status,State,Census Division,Vacancy Status,Vintage ACS,Tenure,Income,Income RECS2015,Income RECS2020,Geometry Floor Area,Bedrooms,Occupants,Bathroom Spot Vent Hour,Dehumidifier,Door Area,Doors,Eaves,Electric Vehicle Battery,Electric Vehicle Miles Traveled,HVAC System Is Faulted,HVAC System Is Scaled,Holiday Lighting,Hot Water Distribution,Interior Shading,Lighting Interior Use,Lighting Other Use,Mechanical Ventilation,Misc Gas Fireplace,Misc Gas Grill,Misc Gas Lighting,Natural Ventilation,Orientation,Range Spot Vent Hour,Usage Level,Clothes Dryer Usage Level,Clothes Washer Usage Level,Cooking Range Usage Level,Dishwasher Usage Level,Ground Thermal Conductivity,Hot Water Fixtures,Plug Load Diversity,Refrigerator Usage Level,AIANNH Area,City,AHS Region,ASHRAE IECC Climate Zone 2004 - Sub-CZ Split,Building America Climate Zone,Energystar Climate Zone 2023,Generation And Emissions Assessment Region,ISO RTO Region,Metropolitan and Micropolitan Statistical Area,REEDS Balancing Area,Sampling Region,Census Division RECS,County Metro Status,Custom State,Geometry Building Number Units SFA,Geometry Building Type RECS,Location Region,Vintage,Census Region,Cooling Setpoint Has Offset,Corridor,Geometry Building Horizontal Location SFA,Heating Fuel,Lighting,Neighbors,Plug Loads,Radiant Barrier,Ceiling Fan,Cooling Setpoint Offset Magnitude,Cooling Setpoint Offset Period,Geometry Foundation Type,HVAC Heating Type,HVAC Secondary Heating Fuel,Has PV,Roof Material,Water Heater Fuel,Water Heater In Unit,Battery,HVAC Cooling Type,HVAC Secondary Heating Type,Insulation Floor,Insulation Foundation Wall,Insulation Slab,PV Orientation,PV System Size,Water Heater Efficiency,Cooling Setpoint,HVAC Has Shared System,HVAC Secondary Heating Efficiency,HVAC Secondary Heating Partial Space Conditioning,Insulation Rim Joist,HVAC Cooling Efficiency,HVAC Has Ducts,HVAC Heating Efficiency,HVAC Shared Efficiencies,Geometry Floor Area Bin,HVAC Cooling Autosizing Factor,HVAC Has Zonal Electric Heating,HVAC Heating Autosizing Factor,HVAC Heating Type And Fuel,HVAC System Single Speed AC Airflow,HVAC System Single Speed AC Charge,HVAC System Single Speed ASHP Airflow,HVAC System Single Speed ASHP Charge,Infiltration,Geometry Stories,HVAC Cooling Partial Space Conditioning,Heating Setpoint,Heating Setpoint Has Offset,Area Median Income,Federal Poverty Level,Geometry Building Level MF,Geometry Building Number Units MF,Geometry Building Type Height,Geometry Stories Low Rise,Geometry Story Bin,Heating Setpoint Offset Magnitude,Heating Setpoint Offset Period,Clothes Washer Presence,Cooking Range,Cooling Unavailable Days,Dishwasher,Electric Vehicle Charge At Home,Electric Vehicle Ownership,Geometry Attic Type,Geometry Building Horizontal Location MF,Geometry Garage,Geometry Wall Type,Household Has Tribal Persons,Misc Extra Refrigerator,Misc Freezer,Misc Hot Tub Spa,Misc Pool,Misc Well Pump,Refrigerator,State Metro Median Income,Window Areas,Windows,Clothes Dryer,Clothes Washer,Electric Vehicle Charger,Geometry Space Combination,Geometry Wall Exterior Finish,Heating Unavailable Days,Insulation Ceiling,Insulation Roof,Insulation Wall,Misc Pool Heater,Misc Pool Pump,Duct Location,Electric Vehicle Outlet Access,Water Heater Location,Duct Leakage and Insulation
275448,3B,"G0600610, G06006103",11,"CA, Placer County","CA, 06103",Single-Family Detached,"In metro area, not/partially in principal city",CA,Pacific,Occupied,<1940,Owner,140000-159999,140000+,100000-149999,1000-1499,2,2,Hour1,None,20 ft^2,Fiberglass,2 ft,"SUV, Battery Electric Vehicle, 300 mile range",13000,No,No,No Exterior Use,Uninsulated,Light Curtains,100% Usage,100% Usage,None,None,None,None,"Cooling Season, 7 days/wk",Southeast,Hour14,Low,80% Usage,80% Usage,80% Usage,80% Usage,1.4,70% Usage,50%,95% Usage,No,In another census Place,Non-CBSA Pacific,3B,Hot-Dry,South-Central,CAISO,CAISO,"Sacramento--Roseville--Arden-Arcade, CA MSA",9,107,Pacific,Metropolitan,Others,None,Single-Family Detached,CR11,2000s,West,No,Not Applicable,None,Natural Gas,100% LED,Left/Right at 15ft,94%,No,Standard Efficiency,0F,None,Vented Crawlspace,Ducted Heating,None,Yes,"Asphalt Shingles, Medium",Natural Gas,Yes,None,None,None,Ceiling R-19,Uninsulated,None,North,3.0 kWDC,Natural Gas Premium,78F,None,None,0%,Uninsulated,None,Yes,"Fuel Furnace, 80% AFUE",None,0-1499,None,No,None,Natural Gas Fuel Furnace,None,None,None,None,7 ACH50,1,None,60F,Yes,150%+,400%+,None,None,Single-Family Detached,1,<8,3F,Night +2h,Yes,Gas,Never,EnergyStar,100%,No,Vented Attic,None,None,Wood Frame,No,None,"EF 12, National Average",None,Has Pool,None,EF 17.6,150%+,F30 B30 L30 R30,"Single, Clear, Metal, Exterior Clear Storm",Gas,EnergyStar,None,"Single-Family Detached, Vented Crawlspace, Vented Attic, No Garage","Stucco, Light",Never,R-30,"Unfinished, Uninsulated","Wood Stud, R-11",None,1.0 HP Pump,Crawlspace,Yes,Outside,"20% Leakage to Outside, R-6"
274622,5A,"G2500170, G25000506",None,"MA, Middlesex County","MA, 00506",10 to 19 Unit,"In metro area, principal city",MA,New England,Occupied,<1940,Renter,200000+,140000+,150000+,1000-1499,1,2,Hour15,None,20 ft^2,Fiberglass,2 ft,"SUV, Battery Electric Vehicle, 200 mile range",22500,No,No,No Exterior Use,Uninsulated,Light Curtains,100% Usage,100% Usage,None,None,None,None,"Cooling Season, 7 days/wk",North,Hour9,Medium,100% Usage,100% Usage,100% Usage,100% Usage,2.3,100% Usage,100%,100% Usage,No,"MA, Cambridge","CBSA Boston-Cambridge-Newton, MA-NH",5A,Cold,Northern,ISONE,NEISO,"Boston-Cambridge-Newton, MA-NH MSA",131,10,New England,Metropolitan,Others,None,Multi-Family with 5+ Units,CR03,2000s,Northeast,No,Double-Loaded Interior,None,Electricity,100% CFL,None,94%,None,None,0F,None,Unheated Basement,Non-Ducted Heating,None,No,"Asphalt Shingles, Medium",Natural Gas,No,None,Central AC,None,Ceiling R-19,Uninsulated,None,None,None,Natural Gas Standard,72F,None,None,0%,Uninsulated,"AC, SEER2 14.3",Yes,"Electric Boiler, 100% AFUE",None,0-1499,None,No,None,Electricity Electric Boiler,None,None,None,None,10 ACH50,5,100% Conditioned,68F,Yes,150%+,400%+,Middle,10,"Multi-Family with 5+ Units, 4-7 Stories",4+,<8,6F,Night -2h,Yes,Electric Resistance,Never,Standard,100%,No,None,Left,None,Brick,No,None,None,None,None,None,EF 19.9,120-150%,F30 B30 L30 R30,"Double, Low-E, Non-metal, Air, M-Gain",Electric,Standard,None,"Multi-Family with 5+ Units Middle Unit, Unheated Basement, No Attic, No Garage","Wood, Medium/Dark",Never,None,"Finished, R-38","Brick, 12-in, 3-wythe, R-15",None,None,Living Space,No,Conditioned Mechanical Room,"0% Leakage to Outside, Uninsulated"
220956,2A,"G1301270, G13000100",None,"GA, Glynn County","GA, 00100",Single-Family Detached,Not/partially in metro area,GA,South Atlantic,Occupied,1940-59,Owner,40000-44999,40000-59999,40000-59999,2000-2499,4,1,Hour8,None,20 ft^2,Fiberglass,2 ft,"Compact, Battery Electric Vehicle, 200 mile range",9000,No,No,No Exterior Use,Uninsulated,Light Curtains,100% Usage,100% Usage,None,None,None,None,"Cooling Season, 7 days/wk",East,Hour19,Low,80% Usage,80% Usage,80% Usage,80% Usage,1.1,70% Usage,50%,95% Usage,No,In another census Place,Non-CBSA South Atlantic,"2A - FL, GA, AL, MS",Hot-Humid,Southern,SERTP,None,"Brunswick, GA MSA",94,7,South Atlantic,Metropolitan,Others,None,Single-Family Detached,CR09,2000s,South,Yes,Not Applicable,None,Electricity,100% CFL,Left/Right at 15ft,106%,No,None,2F,Night Setback +4h,Slab,Ducted Heat Pump,None,No,Composition Shingles,Natural Gas,Yes,None,Ducted Heat Pump,None,None,None,Uninsulated,None,None,Natural Gas Standard,75F,None,None,0%,None,Ducted Heat Pump,Yes,"ASHP, SEER2 12.4, 6.6 HSPF2",None,1500-2499,None,No,None,Electricity ASHP,None,None,None,None,20 ACH50,2,100% Conditioned,65F,No,80-100%,300-400%,None,None,Single-Family Detached,2,<8,0F,None,Yes,Electric Resistance,Year round,Standard,80-99%,No,None,None,1 Car,Wood Frame,No,EF 10.2,None,None,None,None,EF 19.9,80-100%,F9 B9 L9 R9,"Single, Clear, Metal",Electric,EnergyStar,None,"Single-Family Detached, Slab, No Attic, 1 Car Garage","Vinyl, Light",Year round,None,"Finished, R-30","Wood Stud, R-11",None,None,Garage,No,Living Space,"10% Leakage to Outside, R-8"
249879,4A,"G1000010, G10000200",None,"DE, Kent County","DE, 00200",Single-Family Detached,"In metro area, not/partially in principal city",DE,South Atlantic,Occupied,2010s,Owner,15000-19999,<20000,<20000,2500-2999,4,1,Hour17,None,20 ft^2,Fiberglass,2 ft,"Compact, Battery Electric Vehicle, 200 mile range",22500,No,No,No Exterior Use,Uninsulated,Light Curtains,100% Usage,100% Usage,None,None,None,None,"Cooling Season, 7 days/wk",North,Hour18,Low,80% Usage,80% Usage,80% Usage,80% Usage,2,80% Usage,50%,95% Usage,No,Not in a census Place,Non-CBSA South Atlantic,4A,Mixed-Humid,North-Central,PJM East,PJM,"Dover, DE MSA",125,46,South Atlantic,Metropolitan,Others,None,Single-Family Detached,CR08,<1940,South,No,Not Applicable,None,Natural Gas,100% CFL,Left/Right at 15ft,106%,No,Standard Efficiency,0F,None,Slab,Ducted Heating,None,Yes,Composition Shingles,Natural Gas,Yes,None,Central AC,None,None,None,Uninsulated,East,13.0 kWDC,Natural Gas Premium,68F,None,None,0%,None,"AC, SEER2 12.4",Yes,"Fuel Furnace, 92.5% AFUE",None,2500-3999,None,No,None,Natural Gas Fuel Furnace,None,None,None,None,15 ACH50,2,100% Conditioned,68F,Yes,30-60%,100-150%,None,None,Single-Family Detached,2,<8,3F,Night +3h,Yes,None,Never,None,100%,No,Vented Attic,None,2 Car,Wood Frame,No,EF 21.9,None,None,None,None,EF 19.9,30-60%,F15 B15 L15 R15,"Double, Low-E, Non-metal, Air, M-Gain",Electric,Standard,None,"Single-Family Detached, Slab, Vented Attic, 2 Car Garage","Vinyl, Light",Never,R-30,"Unfinished, Uninsulated","Wood Stud, Uninsulated",None,None,Attic,Yes,Garage,"30% Leakage to Outside, R-4"
173070,5B,"G3200230, G32000300",None,"NV, Nye County","NV, 00300",Single-Family Detached,Not/partially in metro area,NV,Mountain,Occupied,2000-09,Owner,45000-49999,40000-59999,40000-59999,2500-2999,4,1,Hour4,None,20 ft^2,Fiberglass,2 ft,"Compact, Battery Electric Vehicle, 300 mile range",15000,No,No,No Exterior Use,Uninsulated,Light Curtains,100% Usage,100% Usage,None,Gas Fireplace,None,None,"Cooling Season, 7 days/wk",Northeast,Hour8,High,120% Usage,120% Usage,120% Usage,120% Usage,1.1,160% Usage,200%,105% Usage,No,Not in a census Place,Non-CBSA Mountain,5B,Cold,Northern,Northern Grid South,None,"Pahrump, NV MicroSA",12,28,Mountain South,Non-Metropolitan,Others,None,Single-Family Detached,CR10,1990s,West,No,Not Applicable,None,Propane,100% Incandescent,Left/Right at 15ft,84%,No,Standard Efficiency,0F,None,Heated Basement,Non-Ducted Heating,None,Yes,"Tile, Concrete",Propane,Yes,None,Central AC,None,Uninsulated,"Wall R-10, Exterior",None,Southwest,11.0 kWDC,Propane Tankless,75F,None,None,0%,"R-10, Exterior","AC, SEER2 12.4",Yes,"Fuel Wall/Floor Furnace, 60% AFUE",None,2500-3999,None,No,None,Propane Fuel Wall/Floor Furnace,None,None,None,None,10 ACH50,2,60% Conditioned,75F,No,80-100%,300-400%,None,None,Single-Family Detached,2,<8,0F,None,Yes,Propane,Never,EnergyStar,80-99%,No,None,None,2 Car,Wood Frame,No,None,"EF 12, National Average",None,None,None,EF 17.6,80-100%,F18 B18 L18 R18,"Double, Clear, Non-metal, Air",Electric,EnergyStar,None,"Single-Family Detached, Heated Basement, No Attic, 2 Car Garage","Stucco, Light",Never,None,"Finished, R-13","Wood Stud, R-11",None,None,Heated Basement,Yes,Heated Basement,"0% Leakage to Outside, Uninsulated"
250354,7AK,"G0202200, G02000400",None,"AK, Sitka City and Borough","AK, 00400",2 Unit,Not/partially in metro area,AK,Pacific,Occupied,1940-59,Renter,25000-29999,20000-39999,20000-39999,4000+,2,1,Hour3,None,20 ft^2,Fiberglass,2 ft,"Compact, Battery Electric Vehicle, 200 mile range",5000,No,No,No Exterior Use,Uninsulated,Light Curtains,100% Usage,100% Usage,None,None,None,None,"Cooling Season, 7 days/wk",Southwest,Hour18,Low,80% Usage,80% Usage,80% Usage,80% Usage,1.1,80% Usage,50%,95% Usage,No,In another census Place,Non-CBSA Pacific,7AK,Very Cold,Northern,None,None,None,None,1,Pacific,Non-Metropolitan,AK,None,Multi-Family with 2 - 4 Units,CRAK,1990s,West,Yes,Double-Loaded Interior,None,Fuel Oil,100% Incandescent,27,101%,None,None,2F,Night Setback -1h,Vented Crawlspace,Non-Ducted Heating,Propane,No,Composition Shingles,Fuel Oil,Yes,None,None,Non-Ducted Heating,Ceiling R-13,Uninsulated,None,None,None,FIXME Fuel Oil Indirect,80F,Heating Only,"Fuel Boiler, 90% AFUE",10%,Uninsulated,None,No,Shared Heating,"Boiler Baseboards Heating Only, Fuel",4000+,None,No,None,Fuel Oil Shared Heating,None,None,None,None,3 ACH50,2,None,70F,No,30-60%,200-300%,Bottom,2,Multi-Family with 2 - 4 Units,2,<8,0F,None,Yes,Electric Resistance,Never,Standard,100%,No,None,Not Applicable,None,Wood Frame,No,None,None,None,None,None,EF 17.6,30-60%,F15 B15 L15 R15,"Single, Clear, Metal",Electric,EnergyStar,None,"Multi-Family with 2 - 4 Units Bottom Unit, Vented Crawlspace, No Attic, No Garage","Wood, Medium/Dark",1 week,None,"Finished, R-30","Wood Stud, R-19",None,None,None,No,Living Space,None
67614,3B,"G0600710, G06007113",10,"CA, San Bernardino County","CA, 07113",Single-Family Detached,"In metro area, principal city",CA,Pacific,Occupied,1940-59,Owner,25000-29999,20000-39999,20000-39999,1000-1499,3,1,Hour16,None,20 ft^2,Fiberglass,2 ft,"SUV, Battery Electric Vehicle, 200 mile range",11000,No,No,No Exterior Use,Uninsulated,Light Curtains,100% Usage,100% Usage,None,None,None,None,"Cooling Season, 7 days/wk",North,Hour10,Low,80% Usage,80% Usage,80% Usage,80% Usage,1.4,70% Usage,50%,95% Usage,No,"CA, Chino","CBSA Riverside-San Bernardino-Ontario, CA",3B,Hot-Dry,South-Central,CAISO,CAISO,"Riverside-San Bernardino-Ontario, CA MSA",10,106,Pacific,Metropolitan,Others,None,Single-Family Detached,CR11,1950s,West,Yes,Not Applicable,None,Natural Gas,100% LED,Left/Right at 15ft,94%,No,Standard Efficiency,2F,Night Setup -3h,Vented Crawlspace,Ducted Heating,None,Yes,Wood Shingles,Natural Gas,Yes,None,None,None,Uninsulated,Uninsulated,None,Southeast,1.0 kWDC,Natural Gas Tankless,78F,None,None,0%,Uninsulated,None,Yes,"Fuel Furnace, 92.5% AFUE",None,0-1499,None,No,None,Natural Gas Fuel Furnace,None,None,None,None,50 ACH50,1,None,72F,No,30-60%,200-300%,None,None,Single-Family Detached,1,<8,0F,None,Yes,Electric Resistance,Never,None,100%,No,Vented Attic,None,1 Car,Wood Frame,No,EF 10.5,None,None,None,None,EF 15.9,60-80%,F12 B12 L12 R12,"Double, Low-E, Non-metal, Air, M-Gain",Gas,EnergyStar,None,"Single-Family Detached, Vented Crawlspace, Vented Attic, 1 Car Garage","Stucco, Light",Never,R-13,"Unfinished, Uninsulated","Wood Stud, Uninsulated",None,None,Crawlspace,Yes,Garage,"10% Leakage to Outside, Uninsulated"
332506,7A,"G2701370, G27000500",None,"MN, St. Louis County","MN, 00500",Single-Family Attached,"In metro area, not/partially in principal city",MN,West North Central,Occupied,2000-09,Renter,50000-59999,40000-59999,40000-59999,750-999,2,3,Hour5,None,20 ft^2,Fiberglass,2 ft,"Pickup, Battery Electric Vehicle, 200 mile range",7000,No,No,No Exterior Use,Uninsulated,Light Curtains,100% Usage,100% Usage,None,None,None,None,"Cooling Season, 7 days/wk",South,Hour23,Low,80% Usage,80% Usage,80% Usage,80% Usage,1.1,60% Usage,50%,95% Usage,No,"MN, Duluth",Non-CBSA West North Central,7A,Very Cold,Northern,MISO North,MISO,"Duluth, MN-WI MSA",43,23,West North Central,Metropolitan,Others,5,Single-Family Attached,CR02,2000s,Midwest,Yes,Not Applicable,Middle,Propane,100% Incandescent,27,113%,No,Standard Efficiency,5F,Night Setback +4h,Unheated Basement,Non-Ducted Heating,None,No,Composition Shingles,Electricity,Yes,None,Central AC,None,Ceiling R-19,Uninsulated,None,None,None,Electric Standard,72F,None,None,0%,Uninsulated,"AC, SEER2 12.4",Yes,"Fuel Boiler, 90% AFUE",None,0-1499,None,No,None,Propane Fuel Boiler,None,None,None,None,6 ACH50,2,100% Conditioned,70F,No,80-100%,200-300%,None,None,Single-Family Attached,2,<8,0F,None,Yes,Gas,Never,EnergyStar,100%,No,Vented Attic,None,None,Wood Frame,No,None,"EF 12, National Average",None,None,None,EF 17.6,80-100%,F9 B9 L9 R9,"Double, Clear, Metal, Air",Electric,EnergyStar,None,"Single-Family Attached, Unheated Basement, Vented Attic, No Garage","Aluminum, Light",Never,R-30,"Unfinished, Uninsulated","Wood Stud, R-19",None,None,Unheated Basement,Yes,Unheated Basement,"20% Leakage to Outside, R-6"
80954,5A,"G4200710, G42003503",None,"PA, Lancaster County","PA, 03503",Single-Family Detached,"In metro area, not/partially in principal city",PA,Middle Atlantic,Occupied,1960-79,Owner,50000-59999,40000-59999,40000-59999,2000-2499,5,2,Hour23,None,20 ft^2,Fiberglass,2 ft,"Pickup, Battery Electric Vehicle, 300 mile range",1000,No,No,No Exterior Use,Uninsulated,Light Curtains,100% Usage,100% Usage,None,None,None,None,"Cooling Season, 7 days/wk",East,Hour18,Low,80% Usage,80% Usage,80% Usage,80% Usage,2.6,80% Usage,50%,95% Usage,No,In another census Place,Non-CBSA Middle Atlantic,5A,Cold,Northern,PJM East,PJM,"Lancaster, PA MSA",122,30,Middle Atlantic,Metropolitan,Others,None,Single-Family Detached,CR07,1980s,Northeast,No,Not Applicable,None,Electricity,100% LED,Left/Right at 15ft,101%,No,None,0F,None,Slab,Ducted Heat Pump,None,No,Composition Shingles,Electricity,Yes,None,Ducted Heat Pump,None,None,None,Uninsulated,None,None,Electric Standard,68F,None,None,0%,None,Ducted Heat Pump,Yes,"ASHP, SEER2 12.4, 6.6 HSPF2",None,1500-2499,None,No,None,Electricity ASHP,None,None,None,None,7 ACH50,2,100% Conditioned,70F,Yes,80-100%,300-400%,None,None,Single-Family Detached,2,<8,3F,Night +4h,Yes,Electric Resistance,Never,Standard,80-99%,No,None,None,2 Car,Wood Frame,No,None,None,None,Has Pool,None,EF 15.9,80-100%,F15 B15 L15 R15,"Double, Clear, Non-metal, Air",Electric,Standard,None,"Single-Family Detached, Slab, No Attic, 2 Car Garage","Brick, Medium/Dark",Never,None,"Finished, R-19","Wood Stud, R-19",None,1.0 HP Pump,Garage,No,Living Space,"30% Leakage to Outside, R-4"
120691,7AK,"G0201100, G02000300",None,"AK, Juneau City and Borough","AK, 00300",Single-Family Detached,Not/partially in metro area,AK,Pacific,Vacant,1980-99,Not Available,Not Available,Not Available,Not Available,1500-1999,3,0,Hour23,None,20 ft^2,Fiberglass,2 ft,"Compact, Battery Electric Vehicle, 200 mile range",7000,No,No,No Exterior Use,Uninsulated,Light Curtains,100% Usage,100% Usage,None,None,None,None,"Cooling Season, 7 days/wk",West,Hour17,Low,80% Usage,80% Usage,80% Usage,80% Usage,1.4,60% Usage,50%,95% Usage,No,In another census Place,Non-CBSA Pacific,7AK,Very Cold,Northern,None,None,"Juneau, AK MicroSA",None,1,Pacific,Non-Metropolitan,AK,None,Single-Family Detached,CRAK,2000s,West,No,Not Applicable,None,Fuel Oil,100% CFL,Left/Right at 15ft,94%,No,None,0F,None,Slab,Non-Ducted Heating,Wood,No,"Tile, Clay or Ceramic",Fuel Oil,Yes,None,None,Non-Ducted Heating,None,None,"2ft R10 Perimeter, Vertical",None,None,Fuel Oil Standard,70F,None,"Fuel Boiler, 76% AFUE",40%,None,None,No,"Fuel Boiler, 80% AFUE",None,1500-2499,None,No,None,Fuel Oil Fuel Boiler,None,None,None,None,3 ACH50,1,None,55F,Yes,Not Available,Not Available,None,None,Single-Family Detached,1,<8,6F,Day -4h,Yes,Electric Resistance,Never,EnergyStar,80-99%,No,Vented Attic,None,2 Car,Brick,Not Available,None,None,None,None,None,EF 15.9,Not Available,F9 B9 L9 R9,"Double, Clear, Non-metal, Air",Electric,EnergyStar,None,"Single-Family Detached, Slab, Vented Attic, 2 Car Garage",None,Never,R-38,"Unfinished, Uninsulated","Brick, 12-in, 3-wythe, R-19",None,None,None,Yes,Garage,None
188968,5B,"G3200310, G32000103",None,"NV, Washoe County","NV, 00103",2 Unit,"In metro area, not/partially in principal city",NV,Mountain,Occupied,1960-79,Renter,30000-34999,20000-39999,20000-39999,750-999,2,2,Hour18,None,20 ft^2,Fiberglass,2 ft,"SUV, Battery Electric Vehicle, 200 mile range",13000,No,No,No Exterior Use,Uninsulated,Light Curtains,100% Usage,100% Usage,None,None,None,None,"Cooling Season, 7 days/wk",West,Hour19,Medium,100% Usage,100% Usage,100% Usage,100% Usage,0.8,100% Usage,100%,100% Usage,No,"NV, Sparks",Non-CBSA Mountain,5B,Cold,Northern,Northern Grid South,None,"Reno, NV MSA",12,28,Mountain South,Metropolitan,Others,None,Multi-Family with 2 - 4 Units,CR10,1950s,West,No,Double-Loaded Interior,None,Electricity,100% Incandescent,2,78%,None,Standard Efficiency,0F,None,Slab,Ducted Heating,None,No,Composition Shingles,Natural Gas,Yes,None,Central AC,None,None,None,Uninsulated,None,None,Natural Gas Standard,72F,Heating and Cooling,None,0%,None,Shared Cooling,No,Shared Heating,"Fan Coil Heating and Cooling, Electricity",0-1499,None,No,None,Electricity Shared Heating,None,None,None,None,15 ACH50,2,100% Conditioned,75F,No,30-60%,200-300%,Bottom,2,Multi-Family with 2 - 4 Units,2,<8,0F,None,None,Gas,Never,Standard,100%,No,None,Not Applicable,None,Wood Frame,No,EF 17.6,None,None,None,None,EF 19.9,30-60%,F12 B12 L12 R12,"Double, Clear, Non-metal, Air, Exterior Clear Storm",None,None,None,"Multi-Family with 2 - 4 Units Bottom Unit, Slab, No Attic, No Garage","Stucco, Light",Never,None,"Finished, Uninsulated","Wood Stud, Uninsulated",None,None,None,No,Living Space,None
224015,5A,"G4201030, G42000500",None,"PA, Pike County","PA, 00500",Single-Family Detached,Not/partially in metro area,PA,Middle Atlantic,Vacant,1960-79,Not Available,Not Available,Not Available,Not Available,1000-1499,3,0,Hour12,None,20 ft^2,Fiberglass,2 ft,"Compact, Battery Electric Vehicle, 300 mile range",3000,No,No,No Exterior Use,Uninsulated,Light Curtains,100% Usage,100% Usage,None,None,None,None,"Cooling Season, 7 days/wk",Northwest,Hour4,High,120% Usage,120% Usage,120% Usage,120% Usage,1.4,120% Usage,200%,105% Usage,No,Not in a census Place,"CBSA New York-Newark-Jersey City, NY-NJ-PA",5A,Cold,Northern,PJM East,PJM,"New York-Newark-Jersey City, NY-NJ-PA MSA",122,30,Middle Atlantic,Metropolitan,Others,None,Single-Family Detached,CR07,1990s,Northeast,No,Not Applicable,None,Electricity,100% LED,Left/Right at 15ft,101%,No,"Standard Efficiency, No usage",0F,None,Vented Crawlspace,Ducted Heat Pump,None,No,"Asphalt Shingles, Medium",Electricity,Yes,None,Ducted Heat Pump,None,Ceiling R-19,Uninsulated,None,None,None,Electric Premium,72F,None,None,0%,Uninsulated,Ducted Heat Pump,Yes,"ASHP, SEER2 14.3, 7.4 HSPF2",None,0-1499,None,No,None,Electricity ASHP,None,None,None,None,15 ACH50,1,100% Conditioned,55F,No,Not Available,Not Available,None,None,Single-Family Detached,1,<8,0F,None,Yes,Gas,Never,EnergyStar,80-99%,No,Vented Attic,None,None,Brick,Not Available,EF 17.6,None,None,Has Pool,Typical Efficiency,EF 19.9,Not Available,F9 B9 L9 R9,"Double, Clear, Non-metal, Air",Electric,Standard,None,"Single-Family Detached, Vented Crawlspace, Vented Attic, No Garage",None,Never,R-30,"Unfinished, Uninsulated","Brick, 12-in, 3-wythe, R-19",Electric Heat Pump,1.0 HP Pump,Crawlspace,Yes,Living Space,"20% Leakage to Outside, Uninsulated"
184286,4A,"G4200170, G42003003",None,"PA, Bucks County","PA, 03003",Single-Family Detached,"In metro area, not/partially in principal city",PA,Middle Atlantic,Occupied,<1940,Owner,<10000,<20000,<20000,1500-1999,3,1,Hour20,None,20 ft^2,Fiberglass,2 ft,"SUV, Battery Electric Vehicle, 300 mile range",1000,No,No,No Exterior Use,Uninsulated,Light Curtains,100% Usage,100% Usage,None,None,None,None,"Cooling Season, 7 days/wk",North,Hour18,Medium,100% Usage,100% Usage,100% Usage,100% Usage,1.4,90% Usage,100%,100% Usage,No,"PA, Levittown","CBSA Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",4A,Mixed-Humid,North-Central,PJM East,PJM,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",122,29,Middle Atlantic,Metropolitan,Others,None,Single-Family Detached,CR07,1960s,Northeast,Yes,Not Applicable,None,Electricity,100% LED,Left/Right at 15ft,101%,No,None,9F,Night Setback +4h,Unheated Basement,Ducted Heat Pump,None,No,"Asphalt Shingles, Medium",Other Fuel,Yes,None,Ducted Heat Pump,None,Uninsulated,Uninsulated,None,None,None,Other Fuel,72F,None,None,0%,Uninsulated,Ducted Heat Pump,Yes,"ASHP, SEER2 14.3, 7.4 HSPF2",None,1500-2499,None,No,None,Electricity ASHP,None,None,None,None,10 ACH50,1,100% Conditioned,68F,Yes,0-30%,0-100%,None,None,Single-Family Detached,1,<8,3F,Night,Yes,Electric Resistance,Never,None,80-99%,No,None,None,None,Wood Frame,No,None,"EF 12, National Average",None,None,None,EF 17.6,0-30%,F9 B9 L9 R9,"Single, Clear, Metal",Electric,Standard,None,"Single-Family Detached, Unheated Basement, No Attic, No Garage","Brick, Medium/Dark",Never,None,"Finished, R-30","Wood Stud, Uninsulated",None,None,Unheated Basement,No,Unheated Basement,"20% Leakage to Outside, Uninsulated"
