Dependency=Geometry Building Type RECS,Option=Mobile Home,Option=Multi-Family with 2 - 4 Units,Option=Multi-Family with 5+ Units,Option=Single-Family Attached,Option=Single-Family Detached,Option=<1940,Option=1940s,Option=1950s,Option=1960s,Option=1970s,Option=1980s,Option=1990s,Option=2000s,Option=2010s,Option=0-100%,Option=100-150%,Option=150-200%,Option=200-300%,Option=300-400%,Option=400%+,Option=Not Available,Dependency=Vintage,Dependency=State,Option=Electricity,Option=Fuel Oil,Option=Natural Gas,Option=None,Option=Other Fuel,Option=Propane,Option=Wood,Option=0-1499,Option=1500-2499,Option=2500-3999,Option=4000+,Option=AK,Option=AL,Option=AR,Option=AZ,Option=CA,Option=CO,Option=CT,Option=DC,Option=DE,Option=FL,Option=GA,Option=HI,Option=IA,Option=ID,Option=IL,Option=IN,Option=KS,Option=KY,Option=LA,Option=MA,Option=MD,Option=ME,Option=MI,Option=MN,Option=MO,Option=MS,Option=MT,Option=NC,Option=ND,Option=NE,Option=NH,Option=NJ,Option=NM,Option=NV,Option=NY,Option=OH,Option=OK,Option=OR,Option=PA,Option=RI,Option=SC,Option=SD,Option=TN,Option=TX,Option=UT,Option=VA,Option=VT,Option=WA,Option=WI,Option=WV,Option=WY
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1990s,G34,2.37986574297003e-06,3.41821672821534e-06,2.04646820047211e-05,2.4318827384502e-08,1.66511736029125e-06,3.9779651268009e-06,1.11104797877577e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1990s,G35,7.2967057818473e-05,1.03405424944434e-06,0.00016756235400097,1.0923155438560001e-06,1.42032029228677e-05,6.5719211147197e-05,4.4160143008427004e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1990s,G36,1.455048106029435e-05,9.40164723228098e-05,7.35602184060826e-05,4.88458109361972e-07,1.334878123862692e-05,0.0001171705213839696,2.904751545218716e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1990s,G37,0.001439583589942095,5.1448111833560004e-05,1.32296432128194e-05,9.30051181281765e-06,2.99895524878965e-06,9.85191389082894e-05,2.127750021810774e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1990s,G38,5.1057760397216e-06,1.420326323916e-07,1.6285782621920402e-05,3.43433468643e-08,2.0634352568346001e-07,1.6279853298757202e-05,5.3651791163676e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1990s,G39,0.00014036339687466539,1.0582639500153539e-05,0.0001386685502030234,1.516751769342948e-06,8.91027706291386e-06,8.4150680418635e-05,1.494435823115286e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1990s,G40,0.000159582392064513,1.97497740249562e-06,7.55742248891656e-05,9.066820044541599e-07,7.4820986649128e-06,7.9289741799911e-05,9.2206070537217e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1990s,G41,0.00023489844699364299,2.5891914709845397e-06,1.4784759713240699e-05,1.2963392033697602e-06,2.740331788653e-06,9.1869703317014e-06,2.67451612794142e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1990s,G42,5.81643164886883e-05,0.0001074101075634124,8.54992828105006e-05,4.5341201651186205e-07,9.07749407997598e-06,9.52025470339962e-05,1.837886892601718e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1990s,G44,2.6350281044612e-07,1.7127694960114e-06,1.025780230605e-06,1.4116242456711998e-07,0.0,9.504928945936e-07,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1990s,G45,0.000938867252347488,8.5107379358506e-06,1.8421297954811118e-05,6.2793060695165995e-06,9.777359203159001e-07,3.50602505649682e-05,7.2783649288761195e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1990s,G46,9.0425637157008e-06,0.0,3.1821209885728e-05,2.670572171547e-08,3.530628171492e-07,2.3470597861629e-05,4.952270607145999e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1990s,G47,0.0006436353631495132,4.264522549107554e-06,4.692061834233182e-05,4.4627749620646696e-06,1.34409483692307e-06,3.363033907542652e-05,2.039265807382522e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1990s,G48,0.0014633702292805857,2.811454035243178e-06,0.00013112167649237283,9.987004866655022e-06,5.104660469015037e-06,0.00014184438577184548,1.1690189025870094e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1990s,G49,1.12381676111352e-05,0.0,4.07468695771434e-05,0.0,3.14810040905782e-07,5.7574305795849e-06,1.92408563775687e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1990s,G50,3.025249313188e-07,2.0128256979426e-05,3.754504331531e-07,0.0,2.1901361956014998e-07,6.878370992699e-06,2.6879125584238e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1990s,G51,0.0003310133141394102,1.252038423675235e-05,3.19216940986285e-06,2.90559317581189e-06,2.098549559272353e-06,2.239030308345918e-05,1.290717176706542e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1990s,G53,0.0002995890561016,3.46767560503198e-07,1.92209370031224e-05,1.38927015091732e-06,4.1997458793266e-06,1.4439770655961e-05,3.18004928640657e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1990s,G54,0.000193001054088595,7.433260972111e-06,4.7864617806141004e-05,1.4970977218168e-06,3.6812618629413998e-06,1.86810249938757e-05,1.17600922161531e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1990s,G55,8.157779447838e-06,1.51666018391582e-06,0.000101682071286944,1.6982334833246e-07,1.20814920857172e-06,6.9903036829633e-05,1.03306356479091e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1990s,G56,3.837254702541e-06,7.888892008586e-07,3.523933101712e-05,2.6679161743199994e-07,8.684677628388999e-07,1.0816937105533e-05,2.3017414287288e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,2000s,G01,0.000333966228188894,7.8544396557817e-07,8.1053010796239e-06,2.93821849757234e-06,5.7914067510546e-07,3.11433139814834e-05,2.55432248522192e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,2000s,G02,1.7426825977935641e-07,2.127010764908369e-06,1.324607822652218e-06,0.0,4.219651831968e-09,8.156776311214599e-08,2.7113720699475397e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,2000s,G04,0.00021911459578095098,1.47668732781974e-06,7.2742201693808e-05,4.3834219140745e-06,5.9027026935856e-06,7.30979348968e-05,2.0367716315870203e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,2000s,G05,0.00021333897731361,2.0220268755931997e-07,1.5211968834878399e-05,2.4417774586568e-07,1.2152566493751e-06,2.33170996776552e-05,7.6010769773098e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,2000s,G06,0.000107764306139444,3.884610081416995e-06,0.0002634385764927006,1.354961699509145e-05,9.48329167050905e-06,9.059335467698299e-05,1.903766775311965e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,2000s,G08,1.5484973452643478e-05,8.82039991172334e-08,5.12775487515946e-05,8.7965832011226e-08,1.004571040312472e-06,1.79084551824052e-05,4.55149863809254e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,2000s,G09,4.584231066035e-07,1.924439771554e-06,1.1300694608845001e-06,0.0,7.79983907632e-07,5.660238359358e-06,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,2000s,G10,1.4013167149323197e-05,4.28873360753926e-06,4.7533165093826e-06,2.4094306154953997e-07,1.2291652904101e-06,2.54387713260052e-05,1.14968908116036e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,2000s,G11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,2000s,G12,0.0008257105649548472,6.317499970917146e-07,7.484542418197547e-06,1.082983713539671e-05,3.7434236580814297e-07,2.331230386047496e-05,2.570945112666668e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,2000s,G13,0.00039613484305419,2.213938487535e-06,8.8801523932146e-06,4.83843559031932e-06,1.8277333984614198e-07,3.14842664337416e-05,6.36108746293393e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,2000s,G15,4.84869356328364e-07,0.0,2.4978069424112e-07,1.5133808112078042e-06,0.0,5.87720501816308e-08,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,2000s,G16,2.58986705695807e-05,3.5359615746929005e-08,6.4571194789604e-06,4.9393911386253e-08,1.0946585523839e-06,4.79886219404136e-06,5.21801739487392e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,2000s,G17,6.28815871121427e-05,6.0925908917052e-07,7.34799584329224e-05,2.75466937704712e-07,6.35629177123588e-07,2.53247417191559e-05,2.19330550925708e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,2000s,G18,6.5723192398098e-05,2.69973318694371e-07,4.0888971602142e-05,6.53169143450131e-07,5.06388886360037e-07,1.69223365163343e-05,2.64836893123927e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,2000s,G19,8.8740582914249e-06,1.1517102975329e-07,2.6985704498725e-05,0.0,5.2350465625052004e-08,1.0162444230438e-05,5.7224823120864e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,2000s,G20,1.4715755496115699e-05,7.912338766928e-07,2.19089520543517e-05,0.0,5.4925691784873e-07,1.10795673979899e-05,4.9160493483893e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,2000s,G21,0.000298533377551987,3.55084196642051e-06,1.16435034660925e-05,1.07920241894425e-06,3.10902496074267e-07,1.67491297850997e-05,1.11584410445443e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,2000s,G22,0.000472268594710125,7.9502572648627e-07,1.64920375798685e-05,2.10848929079333e-06,5.5980476899787e-08,1.26426890258888e-05,1.92778115446684e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,2000s,G23,7.2944730723194e-07,5.7055966044566e-05,5.941282995584e-07,1.8145370656732e-07,1.4115715757082e-06,1.1050196792547001e-05,3.3063225262582e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,2000s,G24,1.636373083394847e-05,4.878644119215201e-06,2.434968237761125e-06,2.060781635102536e-07,1.158089126629309e-06,2.023142953197554e-05,1.291326807298364e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,2000s,G25,2.041015091619e-06,1.3548949406075e-06,8.5267911503225e-06,8.0488467994775e-08,1.8780687071325e-07,2.9914922916975e-06,1.1402540051710001e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,2000s,G26,1.162935410836058e-05,1.115519379336928e-06,0.0001369663784656478,6.5982079184416e-07,2.164954768492696e-06,4.205168414687e-05,6.59494033138606e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,2000s,G27,4.93253599993456e-06,6.57401452136145e-07,4.0721968960647e-05,1.26080129854625e-07,1.4340692980223561e-06,4.8198910646644004e-05,4.63311235932911e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,2000s,G28,0.00026496973570623,6.815171980464999e-07,1.314174551522535e-05,1.08038673088594e-06,1.95518262878368e-07,3.7302114013809e-05,1.92214272236693e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,2000s,G29,0.00015859804017928902,2.5717816288939003e-07,1.17331448524045e-05,1.0192896636163e-06,1.06485685789452e-06,2.959865865501943e-05,1.00921710326891e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,2000s,G30,7.81304658324096e-06,0.0,9.688868684775401e-06,0.0,3.1902187315322003e-07,9.6175571136828e-06,2.408786286737535e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,2000s,G31,4.0350437994553e-06,0.0,9.1238854905127e-06,0.0,0.0,4.5383340432587e-06,9.099055097735e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,2000s,G32,2.0462763709694e-05,2.6508045445696003e-07,1.7762836620064e-05,1.742754130216e-08,2.7765520411118e-06,9.346913261504e-06,2.9388307872216e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,2000s,G33,9.701471407759999e-07,1.6823034637650998e-05,2.0215526265929e-06,5.326320855845e-07,4.0073420841537996e-07,1.5099512738484e-05,7.982560864048e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,2000s,G34,1.4948900813184e-06,2.4106993785972503e-06,2.8152461547991e-05,1.2568435319095501e-07,7.660447744207e-07,5.3622237621305e-06,2.5545864121969997e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,2000s,G35,3.83296988863506e-05,3.75250240201169e-07,6.36387303932905e-05,1.233453139301e-06,4.21473111473905e-06,3.0049528252061702e-05,1.57901627744208e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,2000s,G36,8.6391188431287e-06,4.415667854840958e-05,4.107618331442157e-05,6.504602456281177e-07,6.548472369738295e-06,7.507613080028615e-05,1.0117958288000733e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,2000s,G37,0.000570192618335927,1.2233946875084941e-05,4.8055493573303e-06,5.60965201951071e-06,5.39565690508212e-07,2.97338600034995e-05,8.7759809555032e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,2000s,G38,7.3173293917396e-06,0.0,7.2447722775727e-06,0.0,3.5197893086692e-07,1.09100712859189e-05,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,2000s,G39,8.99235600681676e-05,1.6386637325934002e-06,5.9813163841144e-05,8.1591094065495e-07,2.9201159783108e-06,2.58436013041306e-05,6.021701776279e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,2000s,G40,0.000193595274016761,1.43128142993535e-06,2.65659478173434e-05,4.941259214727e-07,9.5590517872374e-07,3.62610531355167e-05,2.95727852312735e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,2000s,G41,8.0640295528051e-05,6.3383959991452e-07,5.7865889253871e-06,3.5200209735203e-07,1.2809253120507e-06,8.3069139423896e-06,1.2371136163942e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,2000s,G42,3.378012786441779e-05,4.92187912064246e-05,4.73296038213098e-05,1.36804909435164e-06,5.7053422320427e-06,6.42953498199423e-05,7.3140698122642e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,2000s,G44,4.301092191629e-07,2.4302704248038e-06,1.7016566449044002e-06,0.0,0.0,8.135618111289e-07,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,2000s,G45,0.000361288196297598,1.1245214333567998e-06,7.9131674268415e-06,1.34358138330654e-06,6.9069469145664e-08,1.19836314254026e-05,1.47897110885218e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,2000s,G46,5.78680378783332e-06,1.6924844846667e-07,1.0596096291129121e-05,1.2436961851235002e-07,2.0518534740455e-07,1.41054735666941e-05,4.8560302027283e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,2000s,G47,0.000352927534130125,2.32011626946181e-06,2.3564220295626698e-05,1.98689119330666e-06,4.9463915162058e-07,1.6851062513242702e-05,7.3512061272047e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,2000s,G48,0.001028060118051,3.124623256534525e-06,4.670198690838554e-05,8.106434926178131e-06,3.40559133306678e-06,7.310154183060553e-05,6.67190121812074e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,2000s,G49,4.1628592326356e-06,1.3529177692725e-07,1.4487142532035e-05,0.0,6.6172132831004e-07,4.4332284710231e-06,3.8218510140576e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,2000s,G50,2.2667743134180002e-07,1.3850207095692e-05,1.3679768740817997e-06,0.0,1.2923119547954e-06,5.424079767702e-06,2.0007120749196e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,2000s,G51,0.00018347732689306148,6.298744444779839e-06,3.776123576780826e-06,1.5687773878257804e-06,1.2841385176853657e-07,9.976550467363927e-06,3.963834721674677e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,2000s,G53,0.0001151033249966727,5.94921137719136e-07,5.18373411769566e-06,5.038366812753669e-07,2.28881455061367e-06,1.485893880987852e-05,1.085521517137247e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,2000s,G54,0.000126367966387318,2.5485499643229802e-06,1.88300711489155e-05,2.584175935938e-07,2.384734459997e-06,1.05774732786642e-05,5.870865829203e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,2000s,G55,2.92949055437043e-06,1.35134794194048e-07,3.41069676832963e-05,5.6559724915785e-08,8.82132975111983e-07,3.45533174090957e-05,4.8977908304355095e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,2000s,G56,4.794682519069e-06,0.0,2.9371615600463e-05,0.0,1.2816724631766e-07,9.5588250275401e-06,1.7861466168363201e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,2010s,G01,0.0001191420859198686,1.85984431460671e-07,2.37789441961953e-06,4.97641356645443e-07,9.62269695012278e-08,4.53835873955138e-06,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,2010s,G02,1.320125792295816e-07,1.33548450494194e-06,2.070772543746213e-06,0.0,2.4569600982606e-09,8.72784585338635e-08,2.118096807575078e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,2010s,G04,5.15378723781522e-05,4.3579672117357e-07,9.8744367172897e-06,2.23049541189468e-06,2.50279219068212e-06,1.9943167070448e-05,1.34085521358664e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,2010s,G05,6.99108451810124e-05,0.0,3.7689923090306e-06,7.2355714893472e-08,3.4666256967069997e-07,3.82180833082657e-06,1.6711967146024201e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,2010s,G06,3.28746756266652e-05,4.925629028813457e-07,6.785185149946315e-05,4.3138972270403235e-06,3.161585500734548e-06,1.676165552702144e-05,1.859046939303088e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,2010s,G08,7.98999402798348e-06,2.1744277029653277e-07,2.636715376021012e-05,0.0,8.63988161495412e-07,5.44094500070699e-06,1.079326507486932e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,2010s,G09,0.0,0.0,2.00356536951768e-07,8.711150644498799e-08,6.272024136341401e-07,2.69174504425206e-06,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,2010s,G10,6.6577800905916004e-06,8.7189200485352e-07,2.4146894722986e-06,0.0,3.1701028574436004e-07,2.235566451199e-06,1.149097853337e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,2010s,G11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,2010s,G12,0.00020165832438022387,1.1992484103132982e-06,1.904488603864554e-06,1.9982032509691903e-06,3.176841203966565e-07,1.4450516319262922e-05,2.7398080520322955e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
