Dependency=Area Median Income	Dependency=County Metro Status	Dependency=State	Option=0-30%	Option=30-60%	Option=60-80%	Option=80-100%	Option=100-120%	Option=120-150%	Option=150%+	Option=Not Available	source_count	source_weight	sampling_probability
100-120%	Nonmetro	KY	0	0	0	0	0.418311	0.484699	0.0969909	0	4586	85874	0.000239648
120-150%	Nonmetro	KY	0	0	0	0	0	0.481409	0.518591	0	5682	105104	0.000294131
150%+	Nonmetro	KY	0	0	0	0	0	0	1	0	14634	272058	0.000735121
30-60%	Nonmetro	KY	0	0.720863	0.263593	0.0155445	0	0	0	0	7542	142944	0.000421734
60-80%	Nonmetro	KY	0	0	0.564778	0.373796	0.0614259	0	0	0	5835	110670	0.00031128
80-100%	Nonmetro	KY	0	0	0	0.474558	0.40125	0.124192	0	0	5149	98420	0.000282862
Not Available	Nonmetro	KY	0	0	0	0	0	0	0	1	6280	182931	0.000570081
0-30%	Metro	LA	0.843477	0.156523	0	0	0	0	0	0	9366	203031	0.0021859
100-120%	Metro	LA	0	0	0	0.140826	0.526581	0.332593	0	0	4609	93207	0.000924589
120-150%	Metro	LA	0	0	0	0.0075078	0.120545	0.600843	0.271104	0	5713	114148	0.00110363
150%+	Metro	LA	0	0	0	0	0	0.0395828	0.960417	0	19008	361723	0.00344075
30-60%	Metro	LA	0.0117049	0.877465	0.11083	0	0	0	0	0	8869	183940	0.00176784
60-80%	Metro	LA	0	0.08923	0.680776	0.229994	0	0	0	0	5691	116564	0.00120163
80-100%	Metro	LA	0	0	0.123872	0.598957	0.277172	0	0	0	5181	103914	0.00107215
Not Available	Metro	LA	0	0	0	0	0	0	0	1	6810	194081	0.00206545
0-30%	Nonmetro	LA	0.664882	0.335118	0	0	0	0	0	0	5948	111155	0.000222397
100-120%	Nonmetro	LA	0	0	0	0	0.433712	0.566288	0	0	2488	42715	7.30997e-05
120-150%	Nonmetro	LA	0	0	0	0	0	0.520732	0.479268	0	3051	51996	8.24128e-05
150%+	Nonmetro	LA	0	0	0	0	0	0	1	0	9868	164747	0.00026195
30-60%	Nonmetro	LA	0	0.775481	0.224519	0	0	0	0	0	4662	83013	0.000147247
60-80%	Nonmetro	LA	0	0	0.653079	0.346921	0	0	0	0	3347	58728	0.00010082
80-100%	Nonmetro	LA	0	0	0	0.5184	0.477393	0.00420741	0	0	2893	50625	8.47758e-05
Not Available	Nonmetro	LA	0	0	0	0	0	0	0	1	5387	126331	0.000271899
0-30%	Metro	MA	0.918285	0.0817152	0	0	0	0	0	0	18909	413020	0.0030962
100-120%	Metro	MA	0	0	0	0.197971	0.353368	0.448661	0	0	11438	224497	0.00167716
120-150%	Metro	MA	0	0	0	0	0.170291	0.472754	0.356955	0	14392	276116	0.00206732
150%+	Metro	MA	0	0	0	0	0	0.0610028	0.938997	0	36922	669182	0.00507073
30-60%	Metro	MA	0.0439497	0.844006	0.112044	0	0	0	0	0	19701	409650	0.0031065
60-80%	Metro	MA	0	0.151386	0.686248	0.162366	0	0	0	0	11636	234507	0.00184123
80-100%	Metro	MA	0	0	0.161427	0.523335	0.315238	0	0	0	14851	295694	0.00221906
Not Available	Metro	MA	0	0	0	0	0	0	0	1	6660	209584	0.00199381
0-30%	Nonmetro	MA	0.967071	0.0329288	0	0	0	0	0	0	815	12360	4.71315e-06
100-120%	Nonmetro	MA	0	0	0	0.08222	0.803438	0.114342	0	0	722	10180	4.04641e-06
120-150%	Nonmetro	MA	0	0	0	0	0.0744454	0.850149	0.0754053	0	755	9376	3.91404e-06
150%+	Nonmetro	MA	0	0	0	0	0	0.0389418	0.961058	0	1927	23625	9.54102e-06
30-60%	Nonmetro	MA	0.0210928	0.948956	0.0299507	0	0	0	0	0	1291	18063	7.12191e-06
60-80%	Nonmetro	MA	0	0.0293144	0.942411	0.0282742	0	0	0	0	792	10575	4.3217e-06
80-100%	Nonmetro	MA	0	0	0.0405596	0.843113	0.116327	0	0	0	823	10651	4.6727e-06
Not Available	Nonmetro	MA	0	0	0	0	0	0	0	1	2787	70177	5.00205e-05
0-30%	Metro	MD	0.918274	0.0817263	0	0	0	0	0	0	12748	274942	0.00214391
100-120%	Metro	MD	0	0	0.036501	0.0719394	0.496229	0.395331	0	0	10258	199529	0.00149742
120-150%	Metro	MD	0	0	0	0.0443214	0.0621832	0.586189	0.307307	0	12522	237154	0.0017359
150%+	Metro	MD	0	0	0	0	0.0130068	0.037655	0.949338	0	31598	561784	0.00431155
30-60%	Metro	MD	0.0352788	0.89857	0.0661516	0	0	0	0	0	15105	316621	0.00245119
60-80%	Metro	MD	0	0.192844	0.807156	0	0	0	0	0	7990	167954	0.00131752
80-100%	Metro	MD	0	0.00776958	0.198862	0.567481	0.225888	0	0	0	16903	338757	0.0025472
Not Available	Metro	MD	0	0	0	0	0	0	0	1	6880	216991	0.00173902
0-30%	Nonmetro	MD	0.832085	0.167915	0	0	0	0	0	0	930	14287	3.60725e-05
100-120%	Nonmetro	MD	0	0	0	0	0.464571	0.535429	0	0	725	9893	2.30955e-05
120-150%	Nonmetro	MD	0	0	0	0	0	0.508936	0.491064	0	805	11862	2.7735e-05
150%+	Nonmetro	MD	0	0	0	0	0	0	1	0	2117	30030	6.8079e-05
30-60%	Nonmetro	MD	0	0.839916	0.160084	0	0	0	0	0	1253	18003	4.50677e-05
60-80%	Nonmetro	MD	0	0	0.694059	0.305941	0	0	0	0	863	12339	2.94961e-05
80-100%	Nonmetro	MD	0	0	0	0.563662	0.436338	0	0	0	851	12048	2.9189e-05
Not Available	Nonmetro	MD	0	0	0	0	0	0	0	1	1051	26228	6.40578e-05
0-30%	Metro	ME	0.932975	0.0670247	0	0	0	0	0	0	1674	46923	0.000351332
100-120%	Metro	ME	0	0	0	0.275108	0.436586	0.288306	0	0	1451	38414	0.000278894
120-150%	Metro	ME	0	0	0	0.00399247	0.247579	0.528291	0.220137	0	1722	43582	0.000319551
150%+	Metro	ME	0	0	0	0	0	0.103084	0.896916	0	4029	101936	0.000759263
30-60%	Metro	ME	0.0620073	0.851074	0.0869186	0	0	0	0	0	2470	66476	0.000454774
60-80%	Metro	ME	0	0.192607	0.603814	0.203579	0	0	0	0	1695	44204	0.000331868
80-100%	Metro	ME	0	0	0.238837	0.530168	0.230995	0	0	0	1532	40291	0.000285465
Not Available	Metro	ME	0	0	0	0	0	0	0	1	2486	80135	0.00058299
0-30%	Nonmetro	ME	0.873957	0.126043	0	0	0	0	0	0	1725	26015	0.000191275
100-120%	Nonmetro	ME	0	0	0	0	0.911709	0.0882913	0	0	1215	16808	0.000123394
120-150%	Nonmetro	ME	0	0	0	0	0	0.924814	0.0751861	0	1404	19618	0.00014124
150%+	Nonmetro	ME	0	0	0	0	0	0	1	0	3293	44493	0.000328706
30-60%	Nonmetro	ME	0	0.972387	0.0276133	0	0	0	0	0	2302	31072	0.000226961
60-80%	Nonmetro	ME	0	0	0.941202	0.0587981	0	0	0	0	1506	20851	0.000153523
80-100%	Nonmetro	ME	0	0	0	0.922713	0.0772869	0	0	0	1374	19240	0.000141301
Not Available	Nonmetro	ME	0	0	0	0	0	0	0	1	7127	102730	0.000753547
0-30%	Metro	MI	0.91883	0.0811701	0	0	0	0	0	0	17037	449451	0.0037463
100-120%	Metro	MI	0	0	0	0.151218	0.69156	0.128226	0.0289962	0	12722	283313	0.00242607
120-150%	Metro	MI	0	0	0	0.00307772	0.128615	0.72988	0.138427	0	15618	340512	0.00293475
150%+	Metro	MI	0	0	0	0	0	0.0460093	0.953991	0	40993	885821	0.00739389
30-60%	Metro	MI	0.0205565	0.910053	0.0693903	0	0	0	0	0	21700	529613	0.00432332
60-80%	Metro	MI	0	0.100339	0.774252	0.123755	0.001654	0	0	0	15184	356712	0.00309477
80-100%	Metro	MI	0	0	0.130816	0.699642	0.129614	0.0399275	0	0	14894	337787	0.00284689
Not Available	Metro	MI	0	0	0	0	0	0	0	1	9795	358277	0.00367249
0-30%	Nonmetro	MI	0.815178	0.184822	0	0	0	0	0	0	7332	94204	0.000314508
100-120%	Nonmetro	MI	0	0	0	0	0.840565	0.159435	0	0	6420	74093	0.000223662
120-150%	Nonmetro	MI	0	0	0	0	0	0.882794	0.117206	0	7706	89125	0.000262769
150%+	Nonmetro	MI	0	0	0	0	0	0	1	0	17261	201892	0.00053458
30-60%	Nonmetro	MI	0	0.935274	0.0647257	0	0	0	0	0	9889	117882	0.000369031
60-80%	Nonmetro	MI	0	0	0.890604	0.109396	0	0	0	0	7711	90369	0.000274785
80-100%	Nonmetro	MI	0	0	0	0.870259	0.129741	0	0	0	7333	84260	0.000268153
Not Available	Nonmetro	MI	0	0	0	0	0	0	0	1	17902	302887	0.00121734
0-30%	Metro	MN	0.947885	0.0521147	0	0	0	0	0	0	5035	171775	0.00170336
100-120%	Metro	MN	0	0	0.00460336	0.0787861	0.690098	0.226513	0	0	5056	145546	0.00141812
120-150%	Metro	MN	0	0	0	0.0221746	0.0579007	0.737563	0.182361	0	5935	166181	0.00162954
150%+	Metro	MN	0	0	0	0	0.00287161	0.029217	0.967911	0	13668	381319	0.00361988
30-60%	Metro	MN	0.0198312	0.934611	0.0455581	0	0	0	0	0	7444	236950	0.00233404
60-80%	Metro	MN	0	0.0663665	0.933633	0	0	0	0	0	5145	155033	0.00158136
80-100%	Metro	MN	0	0	0.0864683	0.743737	0.169795	0	0	0	6486	191307	0.00182106
Not Available	Metro	MN	0	0	0	0	0	0	0	1	1350	70100	0.00130157
0-30%	Nonmetro	MN	0.890953	0.109047	0	0	0	0	0	0	6143	91548	0.000241511
100-120%	Nonmetro	MN	0	0	0	0	0.726071	0.273929	0	0	6382	74680	0.000185902
120-150%	Nonmetro	MN	0	0	0	0	0	0.791628	0.208372	0	8199	92498	0.000219329
150%+	Nonmetro	MN	0	0	0	0	0	0	1	0	16337	178362	0.000422948
30-60%	Nonmetro	MN	0	0.904854	0.0951463	0	0	0	0	0	9718	128066	0.000320087
60-80%	Nonmetro	MN	0	0	0.829198	0.170802	0	0	0	0	6943	86943	0.000224951
80-100%	Nonmetro	MN	0	0	0	0.786015	0.213985	0	0	0	7157	85403	0.000210157
Not Available	Nonmetro	MN	0	0	0	0	0	0	0	1	10797	182492	0.000541355
0-30%	Metro	MO	0.895752	0.104248	0	0	0	0	0	0	9057	218739	0.00206499
100-120%	Metro	MO	0	0	0.00604893	0.16649	0.458345	0.369117	0	0	7321	159367	0.00141742
120-150%	Metro	MO	0	0	0	0.0125927	0.132113	0.573583	0.281712	0	9046	190269	0.00172487
150%+	Metro	MO	0	0	0	0	0.00264141	0.0551268	0.942232	0	22085	449382	0.00397247
30-60%	Metro	MO	0.0226845	0.836596	0.140719	0	0	0	0	0	12644	288788	0.00244195
60-80%	Metro	MO	0	0.108439	0.630103	0.261458	0	0	0	0	9065	201975	0.00184152
80-100%	Metro	MO	0	0	0.140292	0.539242	0.320466	0	0	0	8339	184650	0.00170015
Not Available	Metro	MO	0	0	0	0	0	0	0	1	5120	178701	0.00199914
0-30%	Nonmetro	MO	0.692466	0.307534	0	0	0	0	0	0	7058	109692	0.000400016
100-120%	Nonmetro	MO	0	0	0	0	0.654907	0.282825	0.0622674	0	4591	66359	0.000224412
120-150%	Nonmetro	MO	0	0	0	0	0	0.691028	0.308972	0	5364	79648	0.000284695
150%+	Nonmetro	MO	0	0	0	0	0	0	1	0	12095	185942	0.000642488
30-60%	Nonmetro	MO	0	0.823782	0.168653	0.00756555	0	0	0	0	7871	113541	0.000392486
60-80%	Nonmetro	MO	0	0	0.726789	0.232753	0.0404576	0	0	0	5886	87771	0.000285947
80-100%	Nonmetro	MO	0	0	0	0.701004	0.216982	0.0820141	0	0	5354	78389	0.000275572
Not Available	Nonmetro	MO	0	0	0	0	0	0	0	1	8355	197184	0.000762054
0-30%	Metro	MS	0.848519	0.151481	0	0	0	0	0	0	2483	54284	0.00111465
100-120%	Metro	MS	0	0	0	0.143359	0.738903	0.117738	0	0	1651	34152	0.000519692
120-150%	Metro	MS	0	0	0	0	0.112254	0.796942	0.0908042	0	1976	40747	0.000653134
150%+	Metro	MS	0	0	0	0	0	0.0387868	0.961213	0	6018	119886	0.00182414
30-60%	Metro	MS	0.00780454	0.947442	0.0447533	0	0	0	0	0	2619	54968	0.000878099
60-80%	Metro	MS	0	0.0803839	0.81027	0.109346	0	0	0	0	1939	41364	0.000661713
80-100%	Metro	MS	0	0	0.0861972	0.809625	0.104177	0	0	0	1871	40767	0.000608056
Not Available	Metro	MS	0	0	0	0	0	0	0	1	1751	54979	0.0011746
0-30%	Nonmetro	MS	0.669433	0.330567	0	0	0	0	0	0	7880	151682	0.000387513
100-120%	Nonmetro	MS	0	0	0	0	0.573172	0.426828	0	0	3115	54987	0.00013836
120-150%	Nonmetro	MS	0	0	0	0	0	0.621919	0.378081	0	3973	69083	0.000172853
150%+	Nonmetro	MS	0	0	0	0	0	0	1	0	11573	202851	0.000502311
30-60%	Nonmetro	MS	0	0.814079	0.185921	0	0	0	0	0	5199	94836	0.000243688
60-80%	Nonmetro	MS	0	0	0.725448	0.274552	0	0	0	0	4303	80196	0.000193318
80-100%	Nonmetro	MS	0	0	0	0.64815	0.334587	0.0172627	0	0	3626	64590	0.000166916
Not Available	Nonmetro	MS	0	0	0	0	0	0	0	1	6061	163436	0.000422974
0-30%	Metro	MT	0.887173	0.112827	0	0	0	0	0	0	184	6151	0.000282
100-120%	Metro	MT	0	0	0	0	0.715763	0.284237	0	0	152	4834	0.00018469
120-150%	Metro	MT	0	0	0	0	0	0.714007	0.285993	0	166	4605	0.000207053
150%+	Metro	MT	0	0	0	0	0	0	1	0	370	9760	0.000463386
30-60%	Metro	MT	0	0.897224	0.102776	0	0	0	0	0	270	8611	0.000345835
60-80%	Metro	MT	0	0	0.799088	0.200912	0	0	0	0	192	5699	0.000241119
80-100%	Metro	MT	0	0	0	0.776775	0.223225	0	0	0	178	5098	0.000207947
Not Available	Metro	MT	0	0	0	0	0	0	0	1	53	3335	0.000362813
0-30%	Nonmetro	MT	0.876738	0.123262	0	0	0	0	0	0	2557	52571	0.00016533
100-120%	Nonmetro	MT	0	0	0	0	0.656519	0.343481	0	0	1921	36232	0.000108027
120-150%	Nonmetro	MT	0	0	0	0	0	0.717319	0.282681	0	2174	43236	0.000123945
150%+	Nonmetro	MT	0	0	0	0	0	0	1	0	5011	94846	0.000277275
30-60%	Nonmetro	MT	0	0.869804	0.130196	0	0	0	0	0	3542	69856	0.000206663
60-80%	Nonmetro	MT	0	0	0.769502	0.230498	0	0	0	0	2399	45111	0.000140912
80-100%	Nonmetro	MT	0	0	0	0.687156	0.312529	0.000315098	0	0	2154	41257	0.000120024
Not Available	Nonmetro	MT	0	0	0	0	0	0	0	1	4053	78978	0.000228923
0-30%	Metro	NC	0.845546	0.154454	0	0	0	0	0	0	16708	372416	0.00377586
100-120%	Metro	NC	0	0	0.00785808	0.351943	0.257507	0.324798	0.0578937	0	12372	251461	0.00232912
120-150%	Metro	NC	0	0	0	0.0276256	0.29582	0.330034	0.346521	0	15420	303269	0.00285028
150%+	Metro	NC	0	0	0	0	0.00221433	0.107453	0.890332	0	45709	839080	0.00775594
30-60%	Metro	NC	0.040308	0.788436	0.171256	0	0	0	0	0	20468	438052	0.00409098
60-80%	Metro	NC	0	0.229716	0.458133	0.274291	0.0378603	0	0	0	15099	318724	0.00302433
80-100%	Metro	NC	0	0	0.325062	0.324828	0.274062	0.076048	0	0	14100	291237	0.00275548
Not Available	Metro	NC	0	0	0	0	0	0	0	1	11988	353431	0.00411199
0-30%	Nonmetro	NC	0.693729	0.306271	0	0	0	0	0	0	9970	186335	0.000331056
100-120%	Nonmetro	NC	0	0	0	0	0.579544	0.371559	0.0488973	0	5697	99392	0.000160282
120-150%	Nonmetro	NC	0	0	0	0	0	0.634766	0.365234	0	7101	122349	0.000203013
150%+	Nonmetro	NC	0	0	0	0	0	0	1	0	19277	317165	0.000480497
30-60%	Nonmetro	NC	0	0.814083	0.183575	0.00234249	0	0	0	0	10043	180150	0.000296975
60-80%	Nonmetro	NC	0	0	0.659863	0.309052	0.0310851	0	0	0	7153	130030	0.000206712
80-100%	Nonmetro	NC	0	0	0	0.624292	0.307073	0.0686347	0	0	6487	115816	0.00019284
Not Available	Nonmetro	NC	0	0	0	0	0	0	0	1	13278	308182	0.000658037
0-30%	Metro	ND	0.989054	0.0109458	0	0	0	0	0	0	259	9410	0.000211237
100-120%	Metro	ND	0	0	0	0.1268	0.8732	0	0	0	232	7776	0.000148303
120-150%	Metro	ND	0	0	0	0	0.085947	0.914053	0	0	300	9087	0.000184907
150%+	Metro	ND	0	0	0	0	0	0.0495446	0.950455	0	702	18993	0.000379281
30-60%	Metro	ND	0.0347907	0.965209	0	0	0	0	0	0	351	12877	0.000290537
60-80%	Metro	ND	0	0.113309	0.886691	0	0	0	0	0	292	9708	0.000194973
80-100%	Metro	ND	0	0	0.101476	0.898524	0	0	0	0	281	7992	0.000176297
Not Available	Metro	ND	0	0	0	0	0	0	0	1	98	6044	0.000245921
0-30%	Nonmetro	ND	0.941667	0.0583328	0	0	0	0	0	0	1872	32966	9.58405e-05
100-120%	Nonmetro	ND	0	0	0	0	0.734465	0.265535	0	0	1425	24735	6.18567e-05
120-150%	Nonmetro	ND	0	0	0	0	0	0.75866	0.24134	0	1664	27828	7.17252e-05
150%+	Nonmetro	ND	0	0	0	0	0	0	1	0	3310	57246	0.000140123
30-60%	Nonmetro	ND	0	0.894206	0.105794	0	0	0	0	0	2382	44029	0.000121393
60-80%	Nonmetro	ND	0	0	0.810855	0.189145	0	0	0	0	1669	29554	7.86948e-05
80-100%	Nonmetro	ND	0	0	0	0.759715	0.240285	0	0	0	1574	26119	7.38315e-05
Not Available	Nonmetro	ND	0	0	0	0	0	0	0	1	2232	48699	0.000136946
0-30%	Metro	NE	0.966986	0.0330139	0	0	0	0	0	0	1746	50918	0.000544279
100-120%	Metro	NE	0	0	0	0.0873089	0.832214	0.0804771	0	0	1603	43180	0.000452794
120-150%	Metro	NE	0	0	0	0	0.068061	0.880208	0.0517314	0	1870	47766	0.000522511
150%+	Metro	NE	0	0	0	0	0	0.0323055	0.967695	0	4149	101345	0.00108061
30-60%	Metro	NE	0.0126817	0.956326	0.0309921	0	0	0	0	0	2513	71599	0.00076952
60-80%	Metro	NE	0	0.0476732	0.914168	0.0381585	0	0	0	0	1784	50133	0.000546923
80-100%	Metro	NE	0	0	0.0698595	0.87337	0.0567709	0	0	0	1636	43702	0.000488769
Not Available	Metro	NE	0	0	0	0	0	0	0	1	521	26035	0.000395253
0-30%	Nonmetro	NE	0.876329	0.123671	0	0	0	0	0	0	2612	41004	0.000136872
100-120%	Nonmetro	NE	0	0	0	0	0.793549	0.206451	0	0	2484	35403	0.000110893
120-150%	Nonmetro	NE	0	0	0	0	0	0.842718	0.157282	0	2872	42624	0.000132293
150%+	Nonmetro	NE	0	0	0	0	0	0	1	0	5588	82902	0.000252848
30-60%	Nonmetro	NE	0	0.920751	0.079249	0	0	0	0	0	4220	63433	0.00020777
60-80%	Nonmetro	NE	0	0	0.891963	0.108037	0	0	0	0	2979	45179	0.000143933
80-100%	Nonmetro	NE	0	0	0	0.867012	0.132988	0	0	0	2830	39996	0.000117411
Not Available	Nonmetro	NE	0	0	0	0	0	0	0	1	2415	52257	0.000176944
0-30%	Metro	NH	1	0	0	0	0	0	0	0	992	23305	0.000424363
100-120%	Metro	NH	0	0	0	0.185614	0.814386	0	0	0	1026	22035	0.000367619
120-150%	Metro	NH	0	0	0	0	0.165911	0.834089	0	0	1237	25821	0.000439826
150%+	Metro	NH	0	0	0	0	0	0.0700983	0.929902	0	3094	64595	0.00100305
30-60%	Metro	NH	0.0420797	0.95792	0	0	0	0	0	0	1525	34601	0.000613221
60-80%	Metro	NH	0	0.195519	0.804481	0	0	0	0	0	1027	22361	0.000389335
80-100%	Metro	NH	0	0	0.318885	0.681115	0	0	0	0	1294	29208	0.000449567
Not Available	Metro	NH	0	0	0	0	0	0	0	1	522	17545	0.00064289
0-30%	Nonmetro	NH	0.887819	0.112181	0	0	0	0	0	0	1702	34881	2.41664e-05
100-120%	Nonmetro	NH	0	0	0	0	0.487365	0.512635	0	0	1760	31459	1.92121e-05
120-150%	Nonmetro	NH	0	0	0	0	0	0.605852	0.394148	0	2107	36943	2.34392e-05
150%+	Nonmetro	NH	0	0	0	0	0	0	1	0	4723	80266	4.44333e-05
30-60%	Nonmetro	NH	0	0.83941	0.16059	0	0	0	0	0	2878	54524	3.74599e-05
60-80%	Nonmetro	NH	0	0	0.700107	0.299893	0	0	0	0	1948	34619	2.28113e-05
80-100%	Nonmetro	NH	0	0	0	0.567138	0.425941	0.00692088	0	0	2017	37423	2.26044e-05
Not Available	Nonmetro	NH	0	0	0	0	0	0	0	1	3780	85142	0.000106399
0-30%	Metro	NJ	0.956626	0.0433744	0	0	0	0	0	0	20609	461632	0.00341249
100-120%	Metro	NJ	0	0	0.0136542	0.171877	0.600597	0.213871	0	0	14986	282184	0.00211136
120-150%	Metro	NJ	0	0	0	0.0202509	0.144804	0.663189	0.171756	0	18509	342207	0.0025098
150%+	Metro	NJ	0	0	0	0	0.00411863	0.0559945	0.939887	0	53400	946432	0.00697925
30-60%	Metro	NJ	0.0463195	0.924516	0.0291646	0	0	0	0	0	24137	510174	0.00374682
60-80%	Metro	NJ	0	0.193582	0.798752	0.00766545	0	0	0	0	13744	279566	0.00211941
80-100%	Metro	NJ	0	0.00179897	0.233513	0.620438	0.14425	0	0	0	20668	409678	0.00302731
Not Available	Metro	NJ	0	0	0	0	0	0	0	1	14791	384741	0.00284702
0-30%	Nonmetro	NJ	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0	0	0
100-120%	Nonmetro	NJ	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0	0	0
120-150%	Nonmetro	NJ	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0	0	0
150%+	Nonmetro	NJ	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0	0	0
30-60%	Nonmetro	NJ	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0	0	0
60-80%	Nonmetro	NJ	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0	0	0
80-100%	Nonmetro	NJ	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0	0	0
Not Available	Nonmetro	NJ	0	0	0	0	0	0	0	1	0	0	0
0-30%	Metro	NM	0.82692	0.17308	0	0	0	0	0	0	3422	82713	0.000900331
100-120%	Metro	NM	0	0	0	0.128381	0.626424	0.245195	0	0	2048	44952	0.000460371
120-150%	Metro	NM	0	0	0	0	0.0958588	0.722763	0.181378	0	2514	54163	0.000547235
150%+	Metro	NM	0	0	0	0	0	0.0349273	0.965073	0	7793	157470	0.00153551
30-60%	Metro	NM	0.00931461	0.902499	0.088186	0	0	0	0	0	3472	77620	0.000784316
60-80%	Metro	NM	0	0.0883936	0.765466	0.146141	0	0	0	0	2434	54427	0.000568103
80-100%	Metro	NM	0	0	0.1053	0.719832	0.174869	0	0	0	2234	49174	0.000524455
Not Available	Metro	NM	0	0	0	0	0	0	0	1	2169	61572	0.00100102
0-30%	Nonmetro	NM	0.691845	0.308155	0	0	0	0	0	0	3390	54028	6.59335e-05
100-120%	Nonmetro	NM	0	0	0	0	0.56742	0.388272	0.0443085	0	1183	21418	2.8926e-05
120-150%	Nonmetro	NM	0	0	0	0	0	0.583844	0.416156	0	1383	25464	3.28851e-05
150%+	Nonmetro	NM	0	0	0	0	0	0	1	0	3759	69013	8.77518e-05
30-60%	Nonmetro	NM	0	0.822455	0.177545	0	0	0	0	0	2137	37461	5.37108e-05
60-80%	Nonmetro	NM	0	0	0.724302	0.25066	0.0250379	0	0	0	1665	28397	3.97003e-05
80-100%	Nonmetro	NM	0	0	0	0.609338	0.339208	0.0514534	0	0	1403	23944	3.26026e-05
Not Available	Nonmetro	NM	0	0	0	0	0	0	0	1	5618	96104	0.000143633
0-30%	Metro	NV	0.87646	0.12354	0	0	0	0	0	0	5806	121871	0.000993328
100-120%	Metro	NV	0	0	0	0	0.871274	0.128726	0	0	4425	85220	0.000703701
120-150%	Metro	NV	0	0	0	0	0	0.897744	0.102256	0	5725	111387	0.000882102
150%+	Metro	NV	0	0	0	0	0	0	1	0	15417	283253	0.00224882
30-60%	Metro	NV	0	0.942728	0.0572723	0	0	0	0	0	7508	150806	0.00119975
60-80%	Metro	NV	0	0	0.897879	0.102121	0	0	0	0	5444	109860	0.000917229
80-100%	Metro	NV	0	0	0	0.886485	0.113515	0	0	0	5169	103308	0.000818793
Not Available	Metro	NV	0	0	0	0	0	0	0	1	4530	131536	0.00107472
0-30%	Nonmetro	NV	0.865946	0.134054	0	0	0	0	0	0	982	17023	1.50856e-05
100-120%	Nonmetro	NV	0	0	0	0	0.72251	0.27749	0	0	730	13323	8.50086e-06
120-150%	Nonmetro	NV	0	0	0	0	0	0.776364	0.223636	0	848	15959	1.13334e-05
150%+	Nonmetro	NV	0	0	0	0	0	0	1	0	2015	35415	2.34338e-05
30-60%	Nonmetro	NV	0	0.871084	0.128916	0	0	0	0	0	1197	21991	1.72266e-05
60-80%	Nonmetro	NV	0	0	0.792373	0.207627	0	0	0	0	795	14815	1.14661e-05
80-100%	Nonmetro	NV	0	0	0	0.763396	0.236604	0	0	0	766	14370	1.04268e-05
Not Available	Nonmetro	NV	0	0	0	0	0	0	0	1	999	20756	1.94712e-05
0-30%	Metro	NY	0.810203	0.189797	0	0	0	0	0	0	52411	1.27353e+06	0.00979981
100-120%	Metro	NY	0	0	0.00159648	0.135772	0.155116	0.509125	0.198391	0	27495	547455	0.00443298
120-150%	Metro	NY	0	0	0	0.00422494	0.120884	0.189899	0.684992	0	33522	658707	0.0052867
150%+	Metro	NY	0	0	0	0	0.000458982	0.0458403	0.953701	0	86041	1.65802e+06	0.0131619
30-60%	Metro	NY	0.023557	0.665717	0.297749	0.0129763	0	0	0	0	52778	1.16836e+06	0.00910055
60-80%	Metro	NY	0	0.0906518	0.30855	0.545582	0.0552168	0	0	0	31579	666826	0.00544141
80-100%	Metro	NY	0	0	0.10365	0.17028	0.46479	0.261281	0	0	33426	685213	0.0054707
Not Available	Metro	NY	0	0	0	0	0	0	0	1	26234	761174	0.006634
0-30%	Nonmetro	NY	0.833684	0.166316	0	0	0	0	0	0	6859	92613	0.000179149
100-120%	Nonmetro	NY	0	0	0	0	0.629486	0.370514	0	0	5751	64173	0.000116272
120-150%	Nonmetro	NY	0	0	0	0	0	0.678869	0.321131	0	7209	82169	0.000142013
150%+	Nonmetro	NY	0	0	0	0	0	0	1	0	15903	179430	0.000305157
30-60%	Nonmetro	NY	0	0.867511	0.132489	0	0	0	0	0	9498	115632	0.00021916
60-80%	Nonmetro	NY	0	0	0.753387	0.246613	0	0	0	0	6676	78832	0.000139841
80-100%	Nonmetro	NY	0	0	0	0.680418	0.319582	0	0	0	6292	72285	0.000123477
Not Available	Nonmetro	NY	0	0	0	0	0	0	0	1	13669	218306	0.000552767
0-30%	Metro	OH	0.915741	0.0842595	0	0	0	0	0	0	24036	536545	0.00474715
100-120%	Metro	OH	0	0	0	0.134541	0.67385	0.191609	0	0	17281	340239	0.00304629
120-150%	Metro	OH	0	0	0	0	0.111244	0.731047	0.157709	0	20931	413630	0.0036529
150%+	Metro	OH	0	0	0	0	0	0.0423405	0.95766	0	55000	1.0592e+06	0.00900934
30-60%	Metro	OH	0.0168085	0.910188	0.0730036	0	0	0	0	0	30128	623969	0.00543601
60-80%	Metro	OH	0	0.0769588	0.785599	0.137442	0	0	0	0	20899	422629	0.00386533
80-100%	Metro	OH	0	0	0.114177	0.716506	0.169317	0	0	0	19418	388827	0.0034528
Not Available	Metro	OH	0	0	0	0	0	0	0	1	12372	400905	0.00371919
