Dependency=PUMA	Option=In metro area, not/partially in principal city	Option=In metro area, principal city	Option=Not/partially in metro area	source_count	source_weight	sampling_probability
FL, 00903	1	0	0	2817	57127	0.000426705
FL, 00904	1	0	0	2500	57736	0.000441659
FL, 01101	1	0	0	2698	54776	0.000399538
FL, 01102	1	0	0	2281	55562	0.000394974
FL, 01103	1	0	0	2851	56225	0.000424348
FL, 01104	1	0	0	3983	74877	0.000564617
FL, 01105	1	0	0	3588	79151	0.000585012
FL, 01106	1	0	0	3621	74508	0.000557222
FL, 01107	1	0	0	1868	42957	0.000317942
FL, 01108	1	0	0	3478	75549	0.000557507
FL, 01109	1	0	0	2580	48956	0.000376816
FL, 01110	1	0	0	2352	47910	0.000351083
FL, 01111	1	0	0	2174	46630	0.000359708
FL, 01112	1	0	0	1854	54583	0.00039782
FL, 01113	1	0	0	2570	55324	0.000422885
FL, 01114	1	0	0	2460	56491	0.000422561
FL, 01500	1	0	0	5050	104458	0.00076216
FL, 01701	1	0	0	3441	79641	0.000583714
FL, 01900	1	0	0	3392	80710	0.000581686
FL, 02101	1	0	0	3130	74269	0.000533562
FL, 02102	1	0	0	3888	72690	0.000530477
FL, 02103	1	0	0	2787	67514	0.00046655
FL, 02300	0	0	1	4921	82296	0.000600311
FL, 02700	0	0	1	3777	73918	0.000546443
FL, 03101	1	0	0	2055	52537	0.000363815
FL, 03102	0	1	0	3169	54257	0.000410768
FL, 03103	0	1	0	2326	48648	0.000362344
FL, 03104	1	0	0	3009	60373	0.000441156
FL, 03105	0	1	0	2291	66039	0.00046363
FL, 03106	0	1	0	2773	54483	0.000397603
FL, 03107	0	1	0	3732	71623	0.000534425
FL, 03301	1	0	0	2580	51235	0.000370173
FL, 03302	1	0	0	4948	90120	0.000670977
FL, 03500	1	0	0	2896	54791	0.000394172
FL, 05301	1	0	0	4857	86898	0.000636319
FL, 05701	1	0	0	4010	65816	0.000479814
FL, 05702	1	0	0	4703	87201	0.000622553
FL, 05703	1	0	0	3160	64925	0.000471279
FL, 05704	1	0	0	3861	69049	0.000512716
FL, 05705	1	0	0	3507	69102	0.000503446
