Dependency=Geometry Building Type RECS	Dependency=Vintage	Dependency=Location Region	Dependency=Geometry Foundation Type	Option=Uninsulated	Option=Ceiling R-13	Option=Ceiling R-19	Option=None	sampling_probability
Single-Family Attached	1980s	CR03	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000072
Multi-Family with 2 - 4 Units	1980s	CR03	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1980s	CR03	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1980s	CR03	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1990s	CR03	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000797
Single-Family Attached	1990s	CR03	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000076
Multi-Family with 2 - 4 Units	1990s	CR03	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1990s	CR03	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1990s	CR03	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	2000s	CR03	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000812
Single-Family Attached	2000s	CR03	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000077
Multi-Family with 2 - 4 Units	2000s	CR03	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	2000s	CR03	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	2000s	CR03	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	2010s	CR03	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000185
Single-Family Attached	2010s	CR03	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000018
Multi-Family with 2 - 4 Units	2010s	CR03	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	2010s	CR03	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	2010s	CR03	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	<1940	CR04	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.001957
Single-Family Attached	<1940	CR04	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000186
Multi-Family with 2 - 4 Units	<1940	CR04	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	<1940	CR04	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	<1940	CR04	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1940s	CR04	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000783
Single-Family Attached	1940s	CR04	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000075
Multi-Family with 2 - 4 Units	1940s	CR04	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1940s	CR04	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1940s	CR04	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1950s	CR04	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.001652
Single-Family Attached	1950s	CR04	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000157
Multi-Family with 2 - 4 Units	1950s	CR04	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1950s	CR04	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1950s	CR04	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1960s	CR04	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.001672
Single-Family Attached	1960s	CR04	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000159
Multi-Family with 2 - 4 Units	1960s	CR04	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1960s	CR04	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1960s	CR04	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1970s	CR04	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.002387
Single-Family Attached	1970s	CR04	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000227
Multi-Family with 2 - 4 Units	1970s	CR04	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1970s	CR04	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1970s	CR04	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1980s	CR04	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.002092
Single-Family Attached	1980s	CR04	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000199
Multi-Family with 2 - 4 Units	1980s	CR04	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1980s	CR04	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1980s	CR04	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1990s	CR04	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.002197
Single-Family Attached	1990s	CR04	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000209
Multi-Family with 2 - 4 Units	1990s	CR04	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1990s	CR04	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1990s	CR04	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	2000s	CR04	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.002239
Single-Family Attached	2000s	CR04	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000213
Multi-Family with 2 - 4 Units	2000s	CR04	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	2000s	CR04	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	2000s	CR04	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	2010s	CR04	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000509
Single-Family Attached	2010s	CR04	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000048
Multi-Family with 2 - 4 Units	2010s	CR04	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	2010s	CR04	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	2010s	CR04	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	<1940	CR05	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000522
Single-Family Attached	<1940	CR05	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000050
Multi-Family with 2 - 4 Units	<1940	CR05	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	<1940	CR05	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	<1940	CR05	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1940s	CR05	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000209
Single-Family Attached	1940s	CR05	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000020
Multi-Family with 2 - 4 Units	1940s	CR05	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1940s	CR05	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1940s	CR05	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1950s	CR05	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000440
Single-Family Attached	1950s	CR05	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000042
Multi-Family with 2 - 4 Units	1950s	CR05	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1950s	CR05	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1950s	CR05	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1960s	CR05	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000446
Single-Family Attached	1960s	CR05	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000042
Multi-Family with 2 - 4 Units	1960s	CR05	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1960s	CR05	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1960s	CR05	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1970s	CR05	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000636
Single-Family Attached	1970s	CR05	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000061
Multi-Family with 2 - 4 Units	1970s	CR05	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1970s	CR05	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1970s	CR05	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1980s	CR05	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000558
Single-Family Attached	1980s	CR05	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000053
Multi-Family with 2 - 4 Units	1980s	CR05	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1980s	CR05	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1980s	CR05	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1990s	CR05	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000586
Single-Family Attached	1990s	CR05	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000056
Multi-Family with 2 - 4 Units	1990s	CR05	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1990s	CR05	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1990s	CR05	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	2000s	CR05	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000597
Single-Family Attached	2000s	CR05	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000057
Multi-Family with 2 - 4 Units	2000s	CR05	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	2000s	CR05	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	2000s	CR05	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	2010s	CR05	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000136
Single-Family Attached	2010s	CR05	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000013
Multi-Family with 2 - 4 Units	2010s	CR05	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	2010s	CR05	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	2010s	CR05	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	<1940	CR06	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000513
Single-Family Attached	<1940	CR06	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000049
Multi-Family with 2 - 4 Units	<1940	CR06	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	<1940	CR06	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	<1940	CR06	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1940s	CR06	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000205
Single-Family Attached	1940s	CR06	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000020
Multi-Family with 2 - 4 Units	1940s	CR06	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1940s	CR06	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1940s	CR06	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1950s	CR06	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000433
Single-Family Attached	1950s	CR06	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000041
Multi-Family with 2 - 4 Units	1950s	CR06	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1950s	CR06	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1950s	CR06	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1960s	CR06	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000438
Single-Family Attached	1960s	CR06	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000042
Multi-Family with 2 - 4 Units	1960s	CR06	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1960s	CR06	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1960s	CR06	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1970s	CR06	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000626
Single-Family Attached	1970s	CR06	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000060
Multi-Family with 2 - 4 Units	1970s	CR06	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1970s	CR06	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1970s	CR06	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1980s	CR06	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000548
Single-Family Attached	1980s	CR06	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000052
Multi-Family with 2 - 4 Units	1980s	CR06	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1980s	CR06	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1980s	CR06	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1990s	CR06	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000576
Single-Family Attached	1990s	CR06	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000055
Multi-Family with 2 - 4 Units	1990s	CR06	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1990s	CR06	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1990s	CR06	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	2000s	CR06	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000587
Single-Family Attached	2000s	CR06	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000056
Multi-Family with 2 - 4 Units	2000s	CR06	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	2000s	CR06	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	2000s	CR06	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	2010s	CR06	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000133
Single-Family Attached	2010s	CR06	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000013
Multi-Family with 2 - 4 Units	2010s	CR06	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	2010s	CR06	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	2010s	CR06	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	<1940	CR07	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.001904
Single-Family Attached	<1940	CR07	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000181
Multi-Family with 2 - 4 Units	<1940	CR07	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	<1940	CR07	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	<1940	CR07	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1940s	CR07	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000762
Single-Family Attached	1940s	CR07	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000073
Multi-Family with 2 - 4 Units	1940s	CR07	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1940s	CR07	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1940s	CR07	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1950s	CR07	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.001607
Single-Family Attached	1950s	CR07	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000153
Multi-Family with 2 - 4 Units	1950s	CR07	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1950s	CR07	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1950s	CR07	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1960s	CR07	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.001626
Single-Family Attached	1960s	CR07	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000155
Multi-Family with 2 - 4 Units	1960s	CR07	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1960s	CR07	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1960s	CR07	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1970s	CR07	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.002322
Single-Family Attached	1970s	CR07	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000221
Multi-Family with 2 - 4 Units	1970s	CR07	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1970s	CR07	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1970s	CR07	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1980s	CR07	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.002035
Single-Family Attached	1980s	CR07	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000194
Multi-Family with 2 - 4 Units	1980s	CR07	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1980s	CR07	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1980s	CR07	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1990s	CR07	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.002137
Single-Family Attached	1990s	CR07	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000203
Multi-Family with 2 - 4 Units	1990s	CR07	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1990s	CR07	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1990s	CR07	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	2000s	CR07	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.002178
Single-Family Attached	2000s	CR07	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000207
Multi-Family with 2 - 4 Units	2000s	CR07	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	2000s	CR07	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	2000s	CR07	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	2010s	CR07	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000495
Single-Family Attached	2010s	CR07	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000047
Multi-Family with 2 - 4 Units	2010s	CR07	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	2010s	CR07	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	2010s	CR07	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	<1940	CR08	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.001877
Single-Family Attached	<1940	CR08	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000179
Multi-Family with 2 - 4 Units	<1940	CR08	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	<1940	CR08	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	<1940	CR08	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1940s	CR08	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000751
Single-Family Attached	1940s	CR08	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000071
Multi-Family with 2 - 4 Units	1940s	CR08	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1940s	CR08	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1940s	CR08	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1950s	CR08	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.001584
Single-Family Attached	1950s	CR08	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000151
Multi-Family with 2 - 4 Units	1950s	CR08	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1950s	CR08	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1950s	CR08	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1960s	CR08	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.001603
Single-Family Attached	1960s	CR08	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000153
Multi-Family with 2 - 4 Units	1960s	CR08	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1960s	CR08	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1960s	CR08	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1970s	CR08	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.002289
Single-Family Attached	1970s	CR08	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000218
Multi-Family with 2 - 4 Units	1970s	CR08	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1970s	CR08	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1970s	CR08	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1980s	CR08	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.002007
Single-Family Attached	1980s	CR08	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000191
Multi-Family with 2 - 4 Units	1980s	CR08	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1980s	CR08	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1980s	CR08	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1990s	CR08	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.002107
Single-Family Attached	1990s	CR08	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000200
Multi-Family with 2 - 4 Units	1990s	CR08	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1990s	CR08	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1990s	CR08	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	2000s	CR08	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.002148
Single-Family Attached	2000s	CR08	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000204
Multi-Family with 2 - 4 Units	2000s	CR08	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	2000s	CR08	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	2000s	CR08	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	2010s	CR08	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000488
Single-Family Attached	2010s	CR08	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000046
Multi-Family with 2 - 4 Units	2010s	CR08	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	2010s	CR08	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	2010s	CR08	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	<1940	CR09	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.004275
Single-Family Attached	<1940	CR09	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000407
Multi-Family with 2 - 4 Units	<1940	CR09	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	<1940	CR09	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	<1940	CR09	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1940s	CR09	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.001711
Single-Family Attached	1940s	CR09	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000163
Multi-Family with 2 - 4 Units	1940s	CR09	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1940s	CR09	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1940s	CR09	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1950s	CR09	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.003609
Single-Family Attached	1950s	CR09	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000343
Multi-Family with 2 - 4 Units	1950s	CR09	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1950s	CR09	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1950s	CR09	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1960s	CR09	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.003652
Single-Family Attached	1960s	CR09	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000347
Multi-Family with 2 - 4 Units	1960s	CR09	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1960s	CR09	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1960s	CR09	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1970s	CR09	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.005214
Single-Family Attached	1970s	CR09	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000496
Multi-Family with 2 - 4 Units	1970s	CR09	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1970s	CR09	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1970s	CR09	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1980s	CR09	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.004571
Single-Family Attached	1980s	CR09	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000435
