Dependency=Location Region	Dependency=Vintage	Dependency=Geometry Foundation Type	Option=Uninsulated	Option=2ft R5 Perimeter, R5 Gap	Option=2ft R10 Perimeter, R10 Gap	Option=2ft R5 Exterior	Option=2ft R10 Exterior	Option=None
CR05	1970s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	1970s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	1970s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	1970s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	1970s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	1970s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	1970s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	1970s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	1970s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	1980s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	1980s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	1980s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	1980s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	1980s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	1980s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	1980s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	1980s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	1980s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	1980s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	1990s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	1990s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	1990s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	1990s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	1990s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	1990s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	1990s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	1990s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	1990s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	1990s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	2000s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	2000s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	2000s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	2000s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	2000s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	2000s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	2000s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	2000s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	2000s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	2000s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
