Dependency=Location Region	Dependency=Vintage	Dependency=Heating Fuel	Option=No	Option=Yes	Count	Weight
CR04	1970s	Other Fuel	1.000000	0.000000	2.000000	31919.632410
CR05	1970s	Other Fuel	1.000000	0.000000	4.000000	17428.157040
CR06	1970s	Other Fuel	1.000000	0.000000	4.000000	43984.653140
CR07	1970s	Other Fuel	0.895588	0.104412	14.000000	155843.912800
CR08	1970s	Other Fuel	0.807192	0.192808	12.000000	92524.062470
CR09	1970s	Other Fuel	0.846567	0.153433	8.000000	79642.612640
CR10	1970s	Other Fuel	1.000000	0.000000	2.000000	16209.976650
CR11	1970s	Other Fuel	0.893658	0.106342	18.000000	124564.785600
CR02	1980s	Other Fuel	1.000000	0.000000	4.000000	23014.729280
CR03	1980s	Other Fuel	1.000000	0.000000	7.000000	43141.294640
CR04	1980s	Other Fuel	1.000000	0.000000	3.000000	53865.213420
CR05	1980s	Other Fuel	1.000000	0.000000	2.000000	13318.149210
CR06	1980s	Other Fuel	0.672828	0.327172	6.000000	65546.114330
CR07	1980s	Other Fuel	1.000000	0.000000	6.000000	64617.909400
CR08	1980s	Other Fuel	0.542235	0.457765	14.000000	107232.487100
CR09	1980s	Other Fuel	0.954046	0.045954	7.000000	140427.849000
CR10	1980s	Other Fuel	0.740859	0.259141	4.000000	34569.891760
CR11	1980s	Other Fuel	1.000000	0.000000	11.000000	79867.596820
CR02	1990s	Other Fuel	1.000000	0.000000	2.000000	13518.888520
CR03	1990s	Other Fuel	1.000000	0.000000	5.000000	33363.355440
CR04	1990s	Other Fuel	1.000000	0.000000	3.000000	51029.112550
CR05	1990s	Other Fuel	1.000000	0.000000	1.000000	4357.038770
CR06	1990s	Other Fuel	0.000000	1.000000	1.000000	8138.720781
CR07	1990s	Other Fuel	1.000000	0.000000	5.000000	60742.507110
CR08	1990s	Other Fuel	1.000000	0.000000	7.000000	72617.693020
CR09	1990s	Other Fuel	0.783824	0.216176	6.000000	72266.705780
CR10	1990s	Other Fuel	1.000000	0.000000	0.000000	0.000000
CR11	1990s	Other Fuel	1.000000	0.000000	2.000000	14131.470850
CR02	2000s	Other Fuel	1.000000	0.000000	1.000000	4500.823397
CR03	2000s	Other Fuel	1.000000	0.000000	8.000000	49652.385490
CR04	2000s	Other Fuel	1.000000	0.000000	0.000000	0.000000
CR05	2000s	Other Fuel	1.000000	0.000000	2.000000	25892.161870
CR06	2000s	Other Fuel	0.742873	0.257127	4.000000	33932.666020
CR07	2000s	Other Fuel	0.591805	0.408195	4.000000	39863.400640
CR08	2000s	Other Fuel	1.000000	0.000000	6.000000	19363.060240
CR09	2000s	Other Fuel	0.695262	0.304738	6.000000	113549.629600
CR10	2000s	Other Fuel	1.000000	0.000000	2.000000	33003.018450
CR11	2000s	Other Fuel	1.000000	0.000000	1.000000	6206.518010
CR02	2010s	Other Fuel	1.000000	0.000000	1.000000	4500.823397
CR03	2010s	Other Fuel	1.000000	0.000000	8.000000	49652.385490
CR04	2010s	Other Fuel	1.000000	0.000000	0.000000	0.000000
CR05	2010s	Other Fuel	1.000000	0.000000	2.000000	25892.161870
CR06	2010s	Other Fuel	0.742873	0.257127	4.000000	33932.666020
CR07	2010s	Other Fuel	0.591805	0.408195	4.000000	39863.400640
CR08	2010s	Other Fuel	1.000000	0.000000	6.000000	19363.060240
CR09	2010s	Other Fuel	0.695262	0.304738	6.000000	113549.629600
CR10	2010s	Other Fuel	1.000000	0.000000	2.000000	33003.018450
CR11	2010s	Other Fuel	1.000000	0.000000	1.000000	6206.518010
CR02	<1940	Propane	0.939301	0.060699	23.000000	177741.174100
CR03	<1940	Propane	1.000000	0.000000	6.000000	40965.127810
CR04	<1940	Propane	1.000000	0.000000	7.000000	160540.166000
CR05	<1940	Propane	1.000000	0.000000	0.000000	0.000000
CR06	<1940	Propane	1.000000	0.000000	0.000000	0.000000
CR07	<1940	Propane	1.000000	0.000000	3.000000	54852.922740
CR08	<1940	Propane	1.000000	0.000000	15.000000	97995.596400
CR09	<1940	Propane	0.970765	0.029235	21.000000	247626.405100
CR10	<1940	Propane	1.000000	0.000000	0.000000	0.000000
CR11	<1940	Propane	1.000000	0.000000	2.000000	13337.601490
CR02	1940s	Propane	0.939301	0.060699	23.000000	177741.174100
CR03	1940s	Propane	1.000000	0.000000	6.000000	40965.127810
CR04	1940s	Propane	1.000000	0.000000	7.000000	160540.166000
CR05	1940s	Propane	1.000000	0.000000	0.000000	0.000000
CR06	1940s	Propane	1.000000	0.000000	0.000000	0.000000
CR07	1940s	Propane	1.000000	0.000000	3.000000	54852.922740
CR08	1940s	Propane	1.000000	0.000000	15.000000	97995.596400
CR09	1940s	Propane	0.970765	0.029235	21.000000	247626.405100
CR10	1940s	Propane	1.000000	0.000000	0.000000	0.000000
CR11	1940s	Propane	1.000000	0.000000	2.000000	13337.601490
CR02	1950s	Propane	1.000000	0.000000	9.000000	66435.425530
CR03	1950s	Propane	1.000000	0.000000	0.000000	0.000000
CR04	1950s	Propane	1.000000	0.000000	2.000000	43093.262380
CR05	1950s	Propane	1.000000	0.000000	1.000000	5002.970255
CR06	1950s	Propane	1.000000	0.000000	1.000000	7757.701336
CR07	1950s	Propane	1.000000	0.000000	0.000000	0.000000
CR08	1950s	Propane	1.000000	0.000000	3.000000	64603.610350
CR09	1950s	Propane	1.000000	0.000000	9.000000	103705.223900
CR10	1950s	Propane	1.000000	0.000000	0.000000	0.000000
CR11	1950s	Propane	1.000000	0.000000	2.000000	13302.595740
CR02	1960s	Propane	1.000000	0.000000	4.000000	35164.879610
CR03	1960s	Propane	1.000000	0.000000	2.000000	12081.805870
CR04	1960s	Propane	1.000000	0.000000	1.000000	21668.281200
CR05	1960s	Propane	1.000000	0.000000	2.000000	8691.054410
CR06	1960s	Propane	1.000000	0.000000	1.000000	12616.429900
CR07	1960s	Propane	1.000000	0.000000	0.000000	0.000000
CR08	1960s	Propane	0.850769	0.149231	9.000000	65493.544810
CR09	1960s	Propane	1.000000	0.000000	11.000000	153189.735200
CR10	1960s	Propane	1.000000	0.000000	0.000000	0.000000
CR11	1960s	Propane	1.000000	0.000000	2.000000	13344.126360
CR02	1970s	Propane	1.000000	0.000000	16.000000	120005.181800
CR03	1970s	Propane	1.000000	0.000000	2.000000	16666.025370
CR04	1970s	Propane	1.000000	0.000000	5.000000	122357.516700
CR05	1970s	Propane	1.000000	0.000000	8.000000	63451.236840
CR06	1970s	Propane	1.000000	0.000000	1.000000	8138.720462
CR07	1970s	Propane	1.000000	0.000000	3.000000	53792.880380
CR08	1970s	Propane	1.000000	0.000000	14.000000	80302.323410
CR09	1970s	Propane	0.909732	0.090268	20.000000	303757.504000
CR10	1970s	Propane	1.000000	0.000000	2.000000	19793.485260
CR11	1970s	Propane	1.000000	0.000000	8.000000	61670.754950
CR02	1980s	Propane	1.000000	0.000000	13.000000	90714.624270
CR03	1980s	Propane	1.000000	0.000000	3.000000	17770.672710
CR04	1980s	Propane	1.000000	0.000000	8.000000	218206.446300
CR05	1980s	Propane	1.000000	0.000000	3.000000	13233.238730
CR06	1980s	Propane	1.000000	0.000000	1.000000	8724.987676
CR07	1980s	Propane	1.000000	0.000000	5.000000	91948.465240
CR08	1980s	Propane	0.894283	0.105717	14.000000	91016.013690
CR09	1980s	Propane	0.960783	0.039217	21.000000	307405.052400
CR10	1980s	Propane	1.000000	0.000000	2.000000	41133.627550
CR11	1980s	Propane	1.000000	0.000000	4.000000	29425.824660
CR02	1990s	Propane	1.000000	0.000000	23.000000	192616.001900
CR03	1990s	Propane	1.000000	0.000000	2.000000	16050.146450
CR04	1990s	Propane	1.000000	0.000000	5.000000	107819.896000
CR05	1990s	Propane	1.000000	0.000000	8.000000	122273.073300
CR06	1990s	Propane	1.000000	0.000000	1.000000	8854.900234
CR07	1990s	Propane	1.000000	0.000000	5.000000	111473.301300
CR08	1990s	Propane	0.884856	0.115144	15.000000	89542.189530
CR09	1990s	Propane	0.923932	0.076068	23.000000	304504.959000
CR10	1990s	Propane	1.000000	0.000000	7.000000	99342.898330
CR11	1990s	Propane	1.000000	0.000000	9.000000	64949.530390
CR02	2000s	Propane	1.000000	0.000000	14.000000	121819.324900
CR03	2000s	Propane	1.000000	0.000000	5.000000	40003.618140
CR04	2000s	Propane	0.812336	0.187664	10.000000	197998.594200
CR05	2000s	Propane	1.000000	0.000000	3.000000	61246.164170
CR06	2000s	Propane	1.000000	0.000000	2.000000	19145.801930
CR07	2000s	Propane	0.901070	0.098930	12.000000	243405.841300
CR08	2000s	Propane	0.702615	0.297385	12.000000	76253.570760
CR09	2000s	Propane	0.780288	0.219712	15.000000	224907.845800
CR10	2000s	Propane	1.000000	0.000000	1.000000	9748.881573
CR11	2000s	Propane	1.000000	0.000000	7.000000	52798.030770
CR02	2010s	Propane	1.000000	0.000000	14.000000	121819.324900
CR03	2010s	Propane	1.000000	0.000000	5.000000	40003.618140
CR04	2010s	Propane	0.812336	0.187664	10.000000	197998.594200
CR05	2010s	Propane	1.000000	0.000000	3.000000	61246.164170
CR06	2010s	Propane	1.000000	0.000000	2.000000	19145.801930
CR07	2010s	Propane	0.901070	0.098930	12.000000	243405.841300
CR08	2010s	Propane	0.702615	0.297385	12.000000	76253.570760
CR09	2010s	Propane	0.780288	0.219712	15.000000	224907.845800
CR10	2010s	Propane	1.000000	0.000000	1.000000	9748.881573
CR11	2010s	Propane	1.000000	0.000000	7.000000	52798.030770
