Building,Location Region,Location EPW,Vintage,Heating Fuel,Usage Level,Geometry Foundation Type,Geometry House Size,Geometry Stories,Geometry Garage,Occupants,Orientation,Eaves,Door Area,Window Areas,Overhangs,Neighbors,Insulation Unfinished Attic,Roof Material,Insulation Slab,Insulation Crawlspace,Insulation Unfinished Basement,Insulation Finished Basement,Insulation Pier Beam,Insulation Interzonal Floor,Insulation Wall,Windows,Doors,Water Heater,Hot Water Fixtures,Hot Water Distribution,Solar Hot Water,HVAC System Is Combined,HVAC System Combined,HVAC System Heating Electricity,HVAC System Heating Natural Gas,HVAC System Heating Propane,HVAC System Heating Fuel Oil,HVAC System Heating Other Fuel,HVAC System Heating None,HVAC System Cooling,HVAC System Cooling Type,Heating Setpoint,Cooling Setpoint,Ceiling Fan,Dehumidifier,Refrigerator,Cooking Range,Dishwasher,Clothes Washer,Clothes Dryer,Lighting,Plug Loads,Misc Extra Refrigerator,Misc Freezer,Misc Gas Fireplace,Misc Gas Grill,Misc Gas Lighting,Misc Hot Tub Spa,Misc Pool,Misc Well Pump,Ducts,Infiltration,Natural Ventilation,Mechanical Ventilation,Bathroom Spot Vent Hour,Range Spot Vent Hour,PV,Days Shifted
108,CR07,1081164_US_NY_Erie_36029_0-20000-0-72528_42.93_-78.74_NSRDB_2.0.1_AMY.epw,1970s,Natural Gas,Medium,Heated Basement,3500+,2+,None,Auto,East,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-38, Vented","Asphalt Shingles, Medium",None,None,None,Uninsulated,None,Uninsulated,"Wood Stud, R-7","Clear, Single, Metal",Fiberglass,Gas Standard,100%,"Uninsulated, TrunkBranch, Copper",None,No,None,None,"Gas Boiler, 76% AFUE",None,None,None,None,"AC, SEER 10",Central,68F,72F,National Average,None,EF 15.9,"Gas, 100% Usage","318 Rated kWh, 100% Usage","EnergyStar, 100% Usage","Gas, 100% Usage",100% Incandescent,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,In Finished Space,8 ACH50,"Year-Round, 3 days/wk",None,Hour3,Hour17,None,Day19
109,CR07,1081164_US_NY_Erie_36029_0-20000-0-72528_42.93_-78.74_NSRDB_2.0.1_AMY.epw,1950s,Natural Gas,Low,Unheated Basement,1500-2499,1,1 Car,Auto,South,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-19, Vented","Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, Uninsulated","Low-E, Double, Non-metal, Air, L-Gain",Fiberglass,Gas Standard,50%,"Uninsulated, TrunkBranch, Copper",None,No,None,None,"Gas Furnace, 92.5% AFUE",None,None,None,None,"FIXME Room AC, EER 8.5, 20% Conditioned",Room,68F,72F,National Average,None,EF 15.9,"Electric, 80% Usage","318 Rated kWh, 80% Usage","Standard, 80% Usage","Gas, 80% Usage",100% Incandescent,50%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"30% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour19,Hour19,None,Day167
110,CR07,1081164_US_NY_Erie_36029_0-20000-0-72528_42.93_-78.74_NSRDB_2.0.1_AMY.epw,<1950,Natural Gas,High,Heated Basement,1500-2499,2+,None,Auto,West,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-38, Vented","Asphalt Shingles, Medium",None,None,None,Uninsulated,None,Uninsulated,"Wood Stud, Uninsulated","Clear, Double, Non-metal, Air",Fiberglass,Gas Standard,200%,"Uninsulated, TrunkBranch, Copper",None,No,None,None,"Gas Boiler, 80% AFUE",None,None,None,None,"AC, SEER 10",Central,68F,72F,National Average,None,EF 10.5,"Gas, 120% Usage","318 Rated kWh, 120% Usage","Standard, 120% Usage","Gas, 120% Usage",100% Incandescent,200%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,In Finished Space,15 ACH50,"Year-Round, 3 days/wk",None,Hour0,Hour13,None,Day196
111,CR07,1081164_US_NY_Erie_36029_0-20000-0-72528_42.93_-78.74_NSRDB_2.0.1_AMY.epw,<1950,Natural Gas,Low,Unheated Basement,1500-2499,2+,1 Car,Auto,East,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-38, Vented","Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, Uninsulated","Clear, Double, Non-metal, Air",Fiberglass,Gas Standard,50%,"Uninsulated, TrunkBranch, Copper",None,No,None,None,"Gas Furnace, 80% AFUE",None,None,None,None,None,None,68F,72F,National Average,None,EF 15.9,"Gas, 80% Usage","290 Rated kWh, 80% Usage","EnergyStar, 80% Usage","Gas, 80% Usage",100% Incandescent,50%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"30% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour21,Hour8,None,Day5
112,CR07,1081164_US_NY_Erie_36029_0-20000-0-72528_42.93_-78.74_NSRDB_2.0.1_AMY.epw,1950s,Natural Gas,Low,Unheated Basement,3500+,2+,1 Car,Auto,West,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-19, Vented","Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, Uninsulated","Low-E, Double, Non-metal, Air, L-Gain",Fiberglass,Gas Standard,50%,"Uninsulated, TrunkBranch, Copper",None,No,None,None,"Gas Boiler, 76% AFUE",None,None,None,None,"AC, SEER 10",Central,68F,72F,National Average,None,EF 15.9,"Gas, 80% Usage","290 Rated kWh, 80% Usage","EnergyStar, 80% Usage",None,100% CFL,50%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"20% Leakage, Uninsulated",10 ACH50,"Year-Round, 3 days/wk",None,Hour23,Hour15,None,Day34
113,CR07,1081164_US_NY_Erie_36029_0-20000-0-72528_42.93_-78.74_NSRDB_2.0.1_AMY.epw,1980s,Natural Gas,High,Heated Basement,2500-3499,2+,2 Car,Auto,South,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-30, Vented","Asphalt Shingles, Medium",None,None,None,Uninsulated,None,Uninsulated,"Wood Stud, R-11","Clear, Single, Metal",Fiberglass,Gas Standard,200%,"Uninsulated, TrunkBranch, Copper",None,No,None,None,"Gas Wall/Floor Furnace, 68% AFUE",None,None,None,None,"AC, SEER 10",Central,68F,72F,National Average,None,EF 15.9,"Electric, 120% Usage","290 Rated kWh, 120% Usage","EnergyStar, 120% Usage","Electric, 120% Usage",100% CFL,200%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,In Finished Space,10 ACH50,"Year-Round, 3 days/wk",None,Hour3,Hour12,None,Day5
114,CR07,1081164_US_NY_Erie_36029_0-20000-0-72528_42.93_-78.74_NSRDB_2.0.1_AMY.epw,<1950,Natural Gas,High,Unheated Basement,1500-2499,2+,None,Auto,West,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-13, Vented","Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, Uninsulated","Low-E, Double, Non-metal, Air, L-Gain",Fiberglass,Gas Standard,200%,"Uninsulated, TrunkBranch, Copper",None,No,None,None,"Gas Boiler, 80% AFUE",None,None,None,None,"AC, SEER 10",Central,68F,72F,National Average,None,EF 15.9,"Gas, 120% Usage","290 Rated kWh, 120% Usage","EnergyStar, 120% Usage","Electric, 120% Usage",100% Incandescent,200%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"20% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour2,Hour11,None,Day121
115,CR07,1081164_US_NY_Erie_36029_0-20000-0-72528_42.93_-78.74_NSRDB_2.0.1_AMY.epw,1950s,Fuel Oil,Medium,Unheated Basement,1500-2499,1,None,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-30, Vented","Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, Uninsulated","Clear, Double, Non-metal, Air",Fiberglass,Oil Standard,100%,"Uninsulated, TrunkBranch, Copper",None,No,None,None,None,None,"Oil Wall/Floor Furnace, 68% AFUE",None,None,"FIXME Room AC, EER 10.7, 20% Conditioned",Room,68F,72F,National Average,None,EF 15.9,"Electric, 100% Usage","290 Rated kWh, 100% Usage","EnergyStar, 100% Usage","Electric, 100% Usage",100% Incandescent,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"20% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour6,Hour14,None,Day35
116,CR07,1081164_US_NY_Erie_36029_0-20000-0-72528_42.93_-78.74_NSRDB_2.0.1_AMY.epw,1960s,Electricity,High,Unheated Basement,2500-3499,2+,2 Car,Auto,East,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-19, Vented","Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, Uninsulated","Low-E, Double, Non-metal, Air, L-Gain",Fiberglass,Electric Standard,200%,"Uninsulated, TrunkBranch, Copper",None,No,None,Electric Baseboard,None,None,None,None,None,"AC, SEER 13",Central,68F,72F,National Average,None,EF 6.7,"Electric, 120% Usage","290 Rated kWh, 120% Usage","Standard, 120% Usage","Electric, 120% Usage",100% Incandescent,200%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"10% Leakage, Uninsulated",10 ACH50,"Year-Round, 3 days/wk",None,Hour3,Hour18,None,Day311
117,CR07,1081164_US_NY_Erie_36029_0-20000-0-72528_42.93_-78.74_NSRDB_2.0.1_AMY.epw,1950s,Natural Gas,Medium,Unheated Basement,2500-3499,1,1 Car,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-13, Vented","Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, Uninsulated","Clear, Single, Metal",Fiberglass,Gas Standard,100%,"Uninsulated, TrunkBranch, Copper",None,No,None,None,"Gas Furnace, 92.5% AFUE",None,None,None,None,"AC, SEER 13",Central,68F,72F,National Average,None,EF 15.9,"Electric, 100% Usage","290 Rated kWh, 100% Usage","EnergyStar, 100% Usage","Gas, 100% Usage",100% Incandescent,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"20% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour23,Hour10,None,Day73
118,CR07,1081164_US_NY_Erie_36029_0-20000-0-72528_42.93_-78.74_NSRDB_2.0.1_AMY.epw,<1950,Natural Gas,Medium,Heated Basement,0-1499,2+,None,Auto,South,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-13, Vented","Asphalt Shingles, Medium",None,None,None,Uninsulated,None,Uninsulated,"Wood Stud, Uninsulated","Low-E, Double, Non-metal, Air, L-Gain",Fiberglass,Gas Standard,100%,"Uninsulated, TrunkBranch, Copper",None,No,None,None,"Gas Boiler, 80% AFUE",None,None,None,None,None,None,68F,72F,National Average,None,EF 10.5,"Gas, 100% Usage","290 Rated kWh, 100% Usage","Standard, 100% Usage","Gas, 100% Usage",60% CFL,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,In Finished Space,20 ACH50,"Year-Round, 3 days/wk",None,Hour0,Hour19,None,Day146
119,CR07,1081164_US_NY_Erie_36029_0-20000-0-72528_42.93_-78.74_NSRDB_2.0.1_AMY.epw,1960s,Fuel Oil,High,Unheated Basement,1500-2499,1,1 Car,Auto,West,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-19, Vented","Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, Uninsulated","Clear, Double, Non-metal, Air",Fiberglass,Oil Standard,200%,"Uninsulated, TrunkBranch, Copper",None,No,None,None,None,None,"Oil Boiler, 80% AFUE",None,None,"AC, SEER 15",Central,68F,72F,National Average,None,EF 15.9,"Electric, 120% Usage","290 Rated kWh, 120% Usage","EnergyStar, 120% Usage",None,60% CFL,200%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"10% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour22,Hour14,None,Day224
120,CR07,1081164_US_NY_Erie_36029_0-20000-0-72528_42.93_-78.74_NSRDB_2.0.1_AMY.epw,<1950,Natural Gas,High,Heated Basement,1500-2499,2+,None,Auto,West,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-30, Vented","Asphalt Shingles, Medium",None,None,None,Uninsulated,None,Uninsulated,"Wood Stud, Uninsulated","Clear, Single, Non-metal",Fiberglass,Gas Standard,200%,"Uninsulated, TrunkBranch, Copper",None,No,None,None,"Gas Boiler, 80% AFUE",None,None,None,None,"FIXME Room AC, EER 8.5, 20% Conditioned",Room,68F,72F,National Average,None,EF 15.9,"Gas, 120% Usage","318 Rated kWh, 120% Usage","Standard, 120% Usage","Gas, 120% Usage",100% Incandescent,200%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,In Finished Space,15 ACH50,"Year-Round, 3 days/wk",None,Hour21,Hour16,None,Day212
121,CR07,1081164_US_NY_Erie_36029_0-20000-0-72528_42.93_-78.74_NSRDB_2.0.1_AMY.epw,1960s,Natural Gas,Low,Unheated Basement,1500-2499,1,2 Car,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-30, Vented","Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, Uninsulated","Low-E, Double, Non-metal, Air, L-Gain",Fiberglass,Gas Standard,50%,"Uninsulated, TrunkBranch, Copper",None,No,None,None,"Gas Furnace, 80% AFUE",None,None,None,None,"AC, SEER 10",Central,68F,72F,National Average,None,EF 15.9,"Gas, 80% Usage","290 Rated kWh, 80% Usage","EnergyStar, 80% Usage","Gas, 80% Usage",100% Incandescent,50%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"30% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour23,Hour18,None,Day62
122,CR07,1081164_US_NY_Erie_36029_0-20000-0-72528_42.93_-78.74_NSRDB_2.0.1_AMY.epw,1950s,Fuel Oil,Medium,Unheated Basement,0-1499,1,None,Auto,South,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-19, Vented","Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, Uninsulated","Low-E, Double, Non-metal, Air, L-Gain",Fiberglass,Oil Standard,100%,"Uninsulated, TrunkBranch, Copper",None,No,None,None,None,None,"Oil Boiler, 80% AFUE",None,None,"FIXME Room AC, EER 10.7, 20% Conditioned",Room,68F,72F,National Average,None,EF 15.9,"Electric, 100% Usage","290 Rated kWh, 100% Usage","Standard, 100% Usage","Electric, 100% Usage",100% Incandescent,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"10% Leakage, Uninsulated",20 ACH50,"Year-Round, 3 days/wk",None,Hour0,Hour19,None,Day355
123,CR07,1081164_US_NY_Erie_36029_0-20000-0-72528_42.93_-78.74_NSRDB_2.0.1_AMY.epw,1950s,Natural Gas,High,Slab,0-1499,1,None,Auto,West,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-38, Vented","Asphalt Shingles, Medium",Uninsulated,None,None,None,None,Uninsulated,"Wood Stud, Uninsulated","Clear, Double, Non-metal, Air",Fiberglass,Gas Standard,200%,"Uninsulated, TrunkBranch, Copper",None,No,None,None,"Gas Boiler, 72% AFUE",None,None,None,None,"AC, SEER 10",Central,68F,72F,National Average,None,EF 15.9,"Gas, 120% Usage","290 Rated kWh, 120% Usage","EnergyStar, 120% Usage","Electric, 120% Usage",100% Incandescent,200%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"30% Leakage, R-4",20 ACH50,"Year-Round, 3 days/wk",None,Hour22,Hour16,None,Day191
124,CR07,1081164_US_NY_Erie_36029_0-20000-0-72528_42.93_-78.74_NSRDB_2.0.1_AMY.epw,1950s,Fuel Oil,Medium,Heated Basement,3500+,2+,1 Car,Auto,West,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-7, Vented","Asphalt Shingles, Medium",None,None,None,Uninsulated,None,Uninsulated,"Wood Stud, Uninsulated","Clear, Single, Metal",Fiberglass,Gas Standard,100%,"Uninsulated, TrunkBranch, Copper",None,No,None,None,None,None,"Oil Boiler, 80% AFUE",None,None,None,None,68F,72F,National Average,None,EF 15.9,"Electric, 100% Usage","318 Rated kWh, 100% Usage","Standard, 100% Usage","Electric, 100% Usage",100% Incandescent,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,In Finished Space,10 ACH50,"Year-Round, 3 days/wk",None,Hour23,Hour18,None,Day308
125,CR07,1081164_US_NY_Erie_36029_0-20000-0-72528_42.93_-78.74_NSRDB_2.0.1_AMY.epw,1950s,Fuel Oil,Low,Slab,0-1499,1,None,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-30, Vented","Asphalt Shingles, Medium",Uninsulated,None,None,None,None,Uninsulated,"Wood Stud, Uninsulated","Low-E, Double, Non-metal, Air, L-Gain",Fiberglass,Oil Standard,50%,"Uninsulated, TrunkBranch, Copper",None,No,None,None,None,None,"Oil Boiler, 76% AFUE",None,None,"AC, SEER 13",Central,68F,72F,National Average,None,EF 15.9,"Electric, 80% Usage","318 Rated kWh, 80% Usage","EnergyStar, 80% Usage","Electric, 80% Usage",100% Incandescent,50%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"20% Leakage, R-4",20 ACH50,"Year-Round, 3 days/wk",None,Hour3,Hour18,None,Day43
126,CR07,1081164_US_NY_Erie_36029_0-20000-0-72528_42.93_-78.74_NSRDB_2.0.1_AMY.epw,<1950,Natural Gas,Low,Unheated Basement,2500-3499,2+,None,Auto,East,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-13, Vented","Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, Uninsulated","Clear, Double, Non-metal, Air",Fiberglass,Gas Standard,50%,"Uninsulated, TrunkBranch, Copper",None,No,None,None,"Gas Boiler, 80% AFUE",None,None,None,None,"FIXME Room AC, EER 8.5, 20% Conditioned",Room,68F,72F,National Average,None,EF 10.5,"Gas, 80% Usage","318 Rated kWh, 80% Usage","Standard, 80% Usage","Electric, 80% Usage",100% Incandescent,50%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"30% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour6,Hour11,None,Day36
127,CR07,1081164_US_NY_Erie_36029_0-20000-0-72528_42.93_-78.74_NSRDB_2.0.1_AMY.epw,1980s,Electricity,High,Heated Basement,1500-2499,2+,2 Car,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-19, Vented","Asphalt Shingles, Medium",None,None,None,Uninsulated,None,Uninsulated,"Wood Stud, R-11","Low-E, Double, Non-metal, Air, L-Gain",Fiberglass,Electric Standard,200%,"Uninsulated, TrunkBranch, Copper",None,No,None,Electric Baseboard,None,None,None,None,None,"FIXME Room AC, EER 10.7, 20% Conditioned",Room,68F,72F,National Average,None,EF 10.5,"Electric, 120% Usage","290 Rated kWh, 120% Usage","Standard, 120% Usage","Electric, 120% Usage",100% Incandescent,200%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,In Finished Space,10 ACH50,"Year-Round, 3 days/wk",None,Hour7,Hour10,None,Day346
128,CR07,1081164_US_NY_Erie_36029_0-20000-0-72528_42.93_-78.74_NSRDB_2.0.1_AMY.epw,<1950,Electricity,Medium,Slab,1500-2499,2+,2 Car,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-13, Vented","Asphalt Shingles, Medium",Uninsulated,None,None,None,None,Uninsulated,"Wood Stud, Uninsulated","Low-E, Double, Non-metal, Air, L-Gain",Fiberglass,Electric Standard,100%,"Uninsulated, TrunkBranch, Copper",None,No,None,Electric Baseboard,None,None,None,None,None,"FIXME Room AC, EER 10.7, 20% Conditioned",Room,68F,72F,National Average,None,EF 15.9,"Electric, 100% Usage","318 Rated kWh, 100% Usage","EnergyStar, 100% Usage","Electric, 100% Usage",100% Incandescent,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"10% Leakage, R-4",15 ACH50,"Year-Round, 3 days/wk",None,Hour16,Hour10,None,Day192
129,CR07,1081164_US_NY_Erie_36029_0-20000-0-72528_42.93_-78.74_NSRDB_2.0.1_AMY.epw,<1950,Natural Gas,Medium,Unheated Basement,1500-2499,2+,None,Auto,South,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-30, Vented","Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, Uninsulated","Clear, Single, Non-metal",Fiberglass,Gas Standard,100%,"Uninsulated, TrunkBranch, Copper",None,No,None,None,"Gas Furnace, 92.5% AFUE",None,None,None,None,"AC, SEER 10",Central,68F,72F,National Average,None,EF 10.5,"Gas, 100% Usage","318 Rated kWh, 100% Usage","EnergyStar, 100% Usage","Electric, 100% Usage",100% Incandescent,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"20% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour4,Hour20,None,Day268
130,CR07,1081164_US_NY_Erie_36029_0-20000-0-72528_42.93_-78.74_NSRDB_2.0.1_AMY.epw,1970s,Natural Gas,Medium,Heated Basement,2500-3499,1,1 Car,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-38, Vented","Asphalt Shingles, Medium",None,None,None,Uninsulated,None,Uninsulated,"Wood Stud, R-7","Clear, Single, Metal",Fiberglass,Gas Standard,100%,"Uninsulated, TrunkBranch, Copper",None,No,None,None,"Gas Furnace, 80% AFUE",None,None,None,None,"AC, SEER 10",Central,68F,72F,National Average,None,EF 10.5,"Gas, 100% Usage","290 Rated kWh, 100% Usage","EnergyStar, 100% Usage","Electric, 100% Usage",100% Incandescent,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,In Finished Space,10 ACH50,"Year-Round, 3 days/wk",None,Hour20,Hour21,None,Day72
131,CR07,1081164_US_NY_Erie_36029_0-20000-0-72528_42.93_-78.74_NSRDB_2.0.1_AMY.epw,<1950,Natural Gas,Medium,Heated Basement,1500-2499,2+,1 Car,Auto,South,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-38, Vented","Asphalt Shingles, Medium",None,None,None,Uninsulated,None,Uninsulated,"Wood Stud, Uninsulated","Clear, Single, Non-metal",Fiberglass,Gas Standard,100%,"Uninsulated, TrunkBranch, Copper",None,No,None,None,"Gas Furnace, 80% AFUE",None,None,None,None,"AC, SEER 13",Central,68F,72F,National Average,None,EF 15.9,"Gas, 100% Usage","318 Rated kWh, 100% Usage","EnergyStar, 100% Usage","Gas, 100% Usage",100% Incandescent,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,In Finished Space,15 ACH50,"Year-Round, 3 days/wk",None,Hour16,Hour14,None,Day38
132,CR07,1081164_US_NY_Erie_36029_0-20000-0-72528_42.93_-78.74_NSRDB_2.0.1_AMY.epw,1990s,Fuel Oil,High,Unheated Basement,3500+,2+,3 Car,Auto,East,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-30, Vented","Asphalt Shingles, Medium",None,None,Ceiling R-19,None,None,R-19,"Wood Stud, R-11","Low-E, Double, Non-metal, Air, L-Gain",Fiberglass,FIXME Oil Indirect,200%,"Uninsulated, TrunkBranch, Copper",None,No,None,None,None,None,"Oil Boiler, 80% AFUE",None,None,"AC, SEER 10",Central,68F,72F,National Average,None,EF 10.2,"Electric, 120% Usage","318 Rated kWh, 120% Usage","EnergyStar, 120% Usage","Electric, 120% Usage",100% Incandescent,200%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"20% Leakage, Uninsulated",5 ACH50,"Year-Round, 3 days/wk",None,Hour19,Hour22,None,Day195
133,CR07,1081164_US_NY_Erie_36029_0-20000-0-72528_42.93_-78.74_NSRDB_2.0.1_AMY.epw,1950s,Natural Gas,Low,Unheated Basement,3500+,1,None,Auto,West,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-49, Vented","Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, Uninsulated","Low-E, Double, Non-metal, Air, L-Gain",Fiberglass,Gas Standard,50%,"Uninsulated, TrunkBranch, Copper",None,No,None,None,"Gas Furnace, 92.5% AFUE",None,None,None,None,"AC, SEER 10",Central,68F,72F,National Average,None,EF 15.9,"Gas, 80% Usage","290 Rated kWh, 80% Usage","EnergyStar, 80% Usage","Gas, 80% Usage",100% Incandescent,50%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"20% Leakage, Uninsulated",10 ACH50,"Year-Round, 3 days/wk",None,Hour22,Hour17,None,Day158
134,CR07,1081164_US_NY_Erie_36029_0-20000-0-72528_42.93_-78.74_NSRDB_2.0.1_AMY.epw,1950s,Natural Gas,Low,Heated Basement,0-1499,1,None,Auto,East,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-30, Vented","Asphalt Shingles, Medium",None,None,None,Uninsulated,None,Uninsulated,"Wood Stud, Uninsulated","Clear, Double, Non-metal, Air",Fiberglass,Gas Standard,50%,"Uninsulated, TrunkBranch, Copper",None,No,None,None,"Gas Furnace, 80% AFUE",None,None,None,None,"FIXME Room AC, EER 8.5, 20% Conditioned",Room,68F,72F,National Average,None,EF 15.9,"Gas, 80% Usage","290 Rated kWh, 80% Usage","EnergyStar, 80% Usage","Electric, 80% Usage",100% Incandescent,50%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,In Finished Space,20 ACH50,"Year-Round, 3 days/wk",None,Hour21,Hour20,None,Day160
