Dependency=County and PUMA	Option=No	Option=Yes
G1301350, G13004006	1	0
G1301370, G13003500	1	0
G1301390, G13003400	1	0
G1301410, G13004200	1	0
G1301430, G13002500	1	0
G1301450, G13001800	1	0
G1301470, G13003500	1	0
G1301490, G13002200	1	0
G1301510, G13006001	1	0
G1301510, G13006002	1	0
G1301530, G13001500	1	0
G1301550, G13000700	1	0
G1301570, G13003800	1	0
G1301590, G13003900	1	0
G1301610, G13001200	1	0
G1301630, G13004200	1	0
G1301650, G13004200	1	0
G1301670, G13001300	1	0
G1301690, G13001600	1	0
G1301710, G13001900	1	0
G1301730, G13000500	1	0
G1301750, G13001300	1	0
G1301770, G13000900	1	0
G1301790, G13000200	1	0
G1301810, G13004200	1	0
G1301830, G13000200	1	0
G1301850, G13000600	1	0
G1301870, G13003200	1	0
G1301890, G13004200	1	0
G1301910, G13000100	1	0
G1301930, G13001800	1	0
G1301950, G13003700	1	0
G1301970, G13001800	1	0
G1301990, G13002200	1	0
G1302010, G13001100	1	0
G1302050, G13001100	1	0
G1302070, G13001600	1	0
G1302090, G13001200	1	0
G1302110, G13003900	1	0
G1302130, G13002800	1	0
G1302150, G13001700	1	0
G1302170, G13004300	1	0
G1302190, G13003700	1	0
G1302210, G13003700	1	0
G1302230, G13004500	1	0
G1302250, G13001600	1	0
G1302270, G13002800	1	0
G1302290, G13000500	1	0
G1302310, G13001900	1	0
G1302330, G13002500	1	0
G1302350, G13001500	1	0
G1302370, G13001600	1	0
G1302390, G13001800	1	0
G1302410, G13003200	1	0
G1302430, G13001800	1	0
G1302450, G13004000	1	0
G1302470, G13004300	1	0
G1302490, G13001800	1	0
G1302510, G13000300	1	0
G1302530, G13001100	1	0
G1302550, G13001900	1	0
G1302570, G13003500	1	0
G1302590, G13001800	1	0
G1302610, G13001800	1	0
G1302630, G13001800	1	0
G1302650, G13004200	1	0
G1302670, G13001200	1	0
G1302690, G13001800	1	0
G1302710, G13001200	1	0
G1302730, G13001100	1	0
G1302750, G13000800	1	0
G1302770, G13000700	1	0
G1302790, G13001200	1	0
G1302810, G13003200	1	0
G1302830, G13001300	1	0
G1302850, G13002200	1	0
G1302870, G13000700	1	0
G1302890, G13001600	1	0
G1302910, G13003200	1	0
G1302930, G13001900	1	0
G1302950, G13002600	1	0
G1302970, G13003900	1	0
G1302990, G13000500	1	0
G1303010, G13004200	1	0
G1303030, G13004200	1	0
G1303050, G13001200	1	0
G1303070, G13001800	1	0
G1303090, G13001200	1	0
G1303110, G13003200	1	0
G1303130, G13002700	1	0
G1303150, G13001300	1	0
G1303170, G13004200	1	0
G1303190, G13001600	1	0
G1303210, G13000800	1	0
G1500010, G15000200	0.977958	0.022042
G1500030, G15000301	0.935807	0.0641933
G1500030, G15000302	0.982018	0.0179818
G1500030, G15000303	1	0
G1500030, G15000304	0.998632	0.00136828
G1500030, G15000305	0.991868	0.00813238
G1500030, G15000306	0.999419	0.000581301
G1500030, G15000307	1	0
G1500030, G15000308	0.974132	0.025868
G1500050, G15000100	0.017699	0.982301
G1500070, G15000100	0.977824	0.0221764
G1500090, G15000100	0.978551	0.0214495
G1600010, G16000400	1	0
G1600010, G16000600	1	0
G1600010, G16000701	1	0
G1600010, G16000702	1	0
G1600010, G16000800	1	0
G1600030, G16000300	1	0
G1600050, G16001300	0.977814	0.0221856
G1600070, G16001300	1	0
G1600090, G16000100	0.489394	0.510606
G1600110, G16001100	1	0
G1600110, G16001300	0	1
G1600130, G16001000	1	0
G1600150, G16000300	1	0
G1600170, G16000100	1	0
G1600190, G16001200	1	0
G1600210, G16000100	0.993541	0.00645881
G1600230, G16000300	1	0
G1600250, G16001000	1	0
G1600270, G16000400	1	0
G1600270, G16000500	1	0
G1600270, G16000600	1	0
G1600290, G16001300	1	0
G1600310, G16000900	1	0
G1600330, G16000300	1	0
G1600350, G16000300	0.442899	0.557101
G1600370, G16000300	1	0
G1600390, G16001000	1	0
G1600410, G16001300	1	0
G1600430, G16001100	1	0
G1600450, G16000400	1	0
G1600470, G16001000	1	0
G1600490, G16000300	0.758003	0.241997
G1600510, G16001100	1	0
G1600530, G16001000	1	0
G1600550, G16000100	0.479599	0.520401
G1600550, G16000200	1	0
G1600570, G16000100	1	0
G1600590, G16000300	1	0
G1600610, G16000300	0.012306	0.987694
G1600630, G16001000	1	0
G1600650, G16001100	1	0
G1600670, G16001000	1	0
G1600690, G16000300	0.891848	0.108152
G1600710, G16001300	1	0
G1600730, G16000500	0.980429	0.0195714
G1600750, G16000400	1	0
G1600770, G16001300	0.877391	0.122609
G1600790, G16000100	1	0
G1600810, G16001100	1	0
G1600830, G16000900	1	0
G1600850, G16000300	1	0
G1600870, G16000400	1	0
G1700010, G17000300	1	0
G1700030, G17000800	1	0
G1700050, G17000501	1	0
G1700070, G17002901	1	0
G1700090, G17000300	1	0
G1700110, G17002501	1	0
G1700130, G17000401	1	0
G1700150, G17000104	1	0
G1700170, G17000401	1	0
G1700190, G17002100	1	0
G1700210, G17001602	1	0
G1700230, G17000700	1	0
G1700250, G17000700	1	0
G1700270, G17000501	1	0
G1700290, G17000600	1	0
G1700310, G17003401	1	0
G1700310, G17003407	1	0
G1700310, G17003408	1	0
G1700310, G17003409	1	0
G1700310, G17003410	1	0
G1700310, G17003411	1	0
G1700310, G17003412	1	0
G1700310, G17003413	1	0
G1700310, G17003414	1	0
G1700310, G17003415	1	0
G1700310, G17003416	1	0
G1700310, G17003417	1	0
G1700310, G17003418	1	0
G1700310, G17003419	1	0
G1700310, G17003420	1	0
G1700310, G17003421	1	0
G1700310, G17003422	1	0
G1700310, G17003501	1	0
G1700310, G17003502	1	0
G1700310, G17003503	1	0
G1700310, G17003504	1	0
G1700310, G17003520	1	0
G1700310, G17003521	1	0
G1700310, G17003522	1	0
G1700310, G17003523	1	0
G1700310, G17003524	1	0
G1700310, G17003525	1	0
G1700310, G17003526	1	0
G1700310, G17003527	1	0
G1700310, G17003528	1	0
G1700310, G17003529	1	0
G1700310, G17003530	1	0
G1700310, G17003531	1	0
G1700310, G17003532	1	0
G1700330, G17000700	1	0
G1700350, G17000600	1	0
G1700370, G17002601	1	0
G1700390, G17001602	1	0
G1700410, G17000600	1	0
G1700430, G17003202	1	0
G1700430, G17003203	1	0
G1700430, G17003204	1	0
G1700430, G17003205	1	0
G1700430, G17003207	1	0
G1700430, G17003208	1	0
G1700430, G17003209	1	0
G1700450, G17000600	1	0
G1700470, G17000800	1	0
G1700490, G17000501	1	0
G1700510, G17000501	1	0
G1700530, G17002200	1	0
G1700550, G17000900	1	0
G1700570, G17000202	1	0
G1700590, G17000800	1	0
G1700610, G17000401	1	0
G1700630, G17003700	1	0
G1700650, G17000800	1	0
G1700670, G17000202	1	0
G1700690, G17000800	1	0
G1700710, G17000202	1	0
G1700730, G17000202	1	0
G1700750, G17002200	1	0
G1700770, G17000900	1	0
G1700790, G17000700	1	0
G1700810, G17001001	1	0
G1700830, G17000401	1	0
G1700850, G17000104	1	0
G1700870, G17000800	1	0
G1700890, G17003005	1	0
G1700890, G17003007	1	0
G1700890, G17003008	1	0
G1700890, G17003009	1	0
G1700910, G17002300	1	0
G1700930, G17003700	1	0
G1700950, G17002501	1	0
G1700970, G17003306	1	0
G1700970, G17003307	1	0
G1700970, G17003308	1	0
G1700970, G17003309	1	0
G1700970, G17003310	1	0
G1700990, G17002400	1	0
G1701010, G17000700	1	0
G1701030, G17000104	1	0
G1701050, G17002200	1	0
G1701070, G17001602	1	0
G1701090, G17000202	1	0
G1701110, G17003601	1	0
G1701110, G17003602	1	0
G1701130, G17002000	1	0
G1701150, G17001500	1	0
G1701170, G17000401	1	0
G1701190, G17001204	1	0
G1701190, G17001205	1	0
G1701210, G17001001	1	0
G1701230, G17002501	1	0
G1701250, G17000300	1	0
G1701270, G17000800	1	0
G1701290, G17001602	1	0
G1701310, G17000202	1	0
G1701330, G17001001	1	0
G1701350, G17000501	1	0
G1701370, G17000401	1	0
G1701390, G17001602	1	0
G1701410, G17002700	1	0
G1701430, G17001701	1	0
G1701450, G17000900	1	0
G1701470, G17001602	1	0
G1701490, G17000300	1	0
G1701510, G17000800	1	0
G1701530, G17000800	1	0
G1701550, G17002501	1	0
G1701570, G17001001	1	0
G1701590, G17000700	1	0
G1701610, G17000105	1	0
G1701630, G17001104	1	0
G1701630, G17001105	1	0
G1701650, G17000800	1	0
G1701670, G17001300	1	0
G1701690, G17000300	1	0
G1701710, G17000401	1	0
G1701730, G17001602	1	0
G1701750, G17002501	1	0
G1701770, G17002700	1	0
G1701790, G17001900	1	0
G1701810, G17000800	1	0
G1701830, G17002200	1	0
G1701850, G17000800	1	0
G1701870, G17000202	1	0
G1701890, G17001001	1	0
G1701910, G17000700	1	0
G1701930, G17000800	1	0
G1701950, G17000104	1	0
G1701970, G17003102	1	0
G1701970, G17003105	1	0
G1701970, G17003106	1	0
G1701970, G17003107	1	0
G1701970, G17003108	1	0
G1701990, G17000900	1	0
G1702010, G17002801	1	0
G1702010, G17002901	1	0
G1702030, G17002501	1	0
G1800010, G18000900	1	0
G1800030, G18001001	1	0
G1800030, G18001002	1	0
G1800030, G18001003	1	0
G1800050, G18002900	1	0
G1800070, G18001100	1	0
G1800090, G18001500	1	0
G1800110, G18001801	1	0
G1800130, G18002100	1	0
G1800150, G18001100	1	0
G1800170, G18001300	1	0
G1800190, G18003600	1	0
G1800210, G18001600	1	0
G1800230, G18001100	1	0
G1800250, G18003400	1	0
G1800270, G18002700	1	0
G1800290, G18003100	1	0
G1800310, G18003000	1	0
G1800330, G18000600	1	0
G1800350, G18002000	1	0
G1800370, G18003400	1	0
G1800390, G18000500	1	0
G1800410, G18002600	1	0
G1800430, G18003500	1	0
G1800450, G18001600	1	0
G1800470, G18003100	1	0
G1800490, G18000700	1	0
G1800510, G18003200	1	0
G1800530, G18001400	1	0
G1800550, G18002700	1	0
G1800570, G18001801	1	0
G1800570, G18001802	1	0
G1800570, G18001803	1	0
G1800590, G18002500	1	0
G1800610, G18003500	1	0
G1800630, G18002200	1	0
G1800650, G18001500	1	0
G1800670, G18001300	1	0
G1800690, G18000900	1	0
G1800710, G18002900	1	0
G1800730, G18000700	1	0
G1800750, G18001500	1	0
G1800770, G18003000	1	0
G1800790, G18003000	1	0
G1800810, G18002400	1	0
G1800830, G18003400	1	0
G1800850, G18000800	1	0
G1800870, G18000600	1	0
G1800890, G18000101	1	0
G1800890, G18000102	1	0
G1800890, G18000103	1	0
G1800890, G18000104	1	0
G1800910, G18000300	1	0
G1800930, G18002700	1	0
G1800950, G18001900	1	0
G1800970, G18002301	1	0
G1800970, G18002302	1	0
G1800970, G18002303	1	0
G1800970, G18002304	1	0
G1800970, G18002305	1	0
G1800970, G18002306	1	0
G1800970, G18002307	1	0
G1800990, G18000800	1	0
G1801010, G18002700	1	0
G1801030, G18001400	1	0
G1801050, G18002800	1	0
G1801070, G18001100	1	0
G1801090, G18002100	1	0
G1801110, G18000700	1	0
G1801130, G18000600	1	0
G1801150, G18003100	1	0
G1801170, G18002700	1	0
G1801190, G18002700	1	0
G1801210, G18001600	1	0
G1801230, G18003400	1	0
G1801250, G18003400	1	0
G1801270, G18000200	1	0
G1801290, G18003200	1	0
G1801310, G18000700	1	0
G1801330, G18002100	1	0
G1801350, G18001500	1	0
G1801370, G18003100	1	0
G1801390, G18002600	1	0
G1801410, G18000401	1	0
G1801410, G18000402	1	0
G1801430, G18003000	1	0
G1801450, G18002500	1	0
G1801470, G18003400	1	0
G1801490, G18000700	1	0
G1801510, G18000600	1	0
G1801530, G18001600	1	0
G1801550, G18003100	1	0
G1801570, G18001200	1	0
G1801590, G18001300	1	0
G1801610, G18002600	1	0
G1801630, G18003300	1	0
G1801650, G18001600	1	0
G1801670, G18001700	1	0
G1801690, G18001400	1	0
G1801710, G18001600	1	0
G1801730, G18003200	1	0
G1801750, G18003500	1	0
G1801770, G18002600	1	0
G1801790, G18000900	1	0
G1801810, G18001100	1	0
G1801830, G18000900	1	0
G1900010, G19001800	1	0
G1900030, G19001800	1	0
G1900050, G19000400	1	0
G1900070, G19001800	1	0
G1900090, G19001800	1	0
G1900110, G19001200	1	0
G1900130, G19000500	1	0
G1900150, G19001300	1	0
G1900170, G19000400	1	0
G1900190, G19000700	1	0
G1900210, G19001900	1	0
G1900230, G19000600	1	0
G1900250, G19001900	1	0
G1900270, G19001900	1	0
G1900290, G19002100	1	0
G1900310, G19000800	1	0
G1900330, G19000200	1	0
G1900350, G19001900	1	0
G1900370, G19000400	1	0
G1900390, G19001800	1	0
G1900410, G19000100	1	0
G1900430, G19000400	1	0
G1900450, G19000800	1	0
G1900470, G19001900	1	0
G1900490, G19001400	1	0
G1900490, G19001500	1	0
G1900510, G19002200	1	0
G1900530, G19001800	1	0
G1900550, G19000700	1	0
G1900570, G19002300	1	0
G1900590, G19000100	1	0
G1900610, G19000700	1	0
G1900630, G19000100	1	0
G1900650, G19000400	1	0
G1900670, G19000200	1	0
G1900690, G19000600	1	0
G1900710, G19002100	1	0
G1900730, G19001900	1	0
G1900750, G19000600	1	0
G1900770, G19001800	1	0
G1900790, G19000600	1	0
G1900810, G19000200	1	0
G1900830, G19000600	1	0
G1900850, G19002100	1	0
G1900870, G19002300	1	0
G1900890, G19000400	1	0
G1900910, G19000600	1	0
G1900930, G19001900	1	0
G1900950, G19001200	1	0
G1900970, G19000700	1	0
G1900990, G19001400	1	0
G1901010, G19002200	1	0
G1901030, G19001100	1	0
G1901050, G19000800	1	0
G1901070, G19002200	1	0
G1901090, G19000200	1	0
G1901110, G19002300	1	0
G1901130, G19001000	1	0
G1901150, G19002300	1	0
G1901170, G19001800	1	0
G1901190, G19000100	1	0
G1901210, G19001400	1	0
G1901230, G19002200	1	0
G1901250, G19001400	1	0
G1901270, G19001200	1	0
G1901290, G19002100	1	0
G1901310, G19000200	1	0
G1901330, G19001900	1	0
G1901350, G19001800	1	0
G1901370, G19002100	1	0
G1901390, G19000800	1	0
G1901410, G19000100	1	0
G1901430, G19000100	1	0
G1901450, G19002100	1	0
G1901470, G19000100	1	0
G1901490, G19002000	1	0
G1901510, G19001900	1	0
G1901530, G19001500	1	0
G1901530, G19001600	1	0
G1901530, G19001700	1	0
G1901550, G19002100	1	0
G1901570, G19001200	1	0
G1901590, G19001800	1	0
G1901610, G19001900	1	0
G1901630, G19000900	1	0
G1901650, G19002100	1	0
G1901670, G19000100	1	0
G1901690, G19001300	1	0
G1901710, G19001200	0.957158	0.0428421
G1901730, G19001800	1	0
G1901750, G19001800	1	0
G1901770, G19002200	1	0
G1901790, G19002200	1	0
G1901810, G19001400	1	0
G1901830, G19002200	1	0
G1901850, G19001800	1	0
G1901870, G19000600	1	0
G1901890, G19000200	1	0
G1901910, G19000400	1	0
G1901930, G19002000	1	0
G1901950, G19000200	1	0
G1901970, G19000600	1	0
G2000010, G20001400	1	0
G2000030, G20001400	1	0
G2000050, G20000400	0.972674	0.0273259
G2000070, G20001100	1	0
G2000090, G20001100	1	0
G2000110, G20001400	1	0
G2000130, G20000802	0.670274	0.329726
G2000150, G20001302	1	0
G2000150, G20001304	1	0
G2000170, G20000900	1	0
G2000190, G20000900	1	0
G2000210, G20001500	1	0
G2000230, G20000100	1	0
G2000250, G20001200	1	0
G2000270, G20000200	1	0
G2000290, G20000200	1	0
G2000310, G20000900	1	0
G2000330, G20001100	1	0
G2000350, G20000900	1	0
G2000350, G20001100	1	0
G2000370, G20001500	1	0
G2000390, G20000100	1	0
G2000410, G20000200	1	0
G2000430, G20000400	0.998243	0.00175724
G2000450, G20000700	1	0
G2000470, G20001100	1	0
G2000490, G20000900	1	0
G2000510, G20000100	1	0
G2000530, G20000200	1	0
G2000550, G20001200	1	0
G2000570, G20001200	1	0
G2000590, G20001400	1	0
G2000610, G20000300	1	0
G2000630, G20000100	1	0
G2000650, G20000100	1	0
G2000670, G20001200	1	0
G2000690, G20001200	1	0
G2000710, G20000100	1	0
G2000730, G20000900	1	0
G2000750, G20001200	1	0
G2000770, G20001100	1	0
G2000790, G20001301	1	0
G2000810, G20001200	1	0
G2000830, G20001200	1	0
G2000850, G20000802	0.851023	0.148977
G2000870, G20000400	1	0
G2000890, G20000200	1	0
G2000910, G20000601	1	0
G2000910, G20000602	1	0
G2000910, G20000603	1	0
G2000910, G20000604	1	0
G2000930, G20001200	1	0
G2000950, G20001100	1	0
G2000970, G20001100	1	0
G2000990, G20001500	1	0
G2001010, G20000100	1	0
G2001030, G20000400	1	0
G2001050, G20000200	1	0
G2001070, G20001400	1	0
G2001090, G20000100	1	0
G2001110, G20000900	1	0
G2001130, G20001000	1	0
G2001150, G20000900	1	0
G2001170, G20000200	1	0
G2001190, G20001200	1	0
G2001210, G20001400	1	0
G2001230, G20000200	1	0
G2001250, G20001500	1	0
G2001270, G20000900	1	0
G2001290, G20001200	1	0
G2001310, G20000200	1	0
G2001330, G20001500	1	0
G2001350, G20000100	1	0
G2001370, G20000100	1	0
G2001390, G20000802	1	0
G2001410, G20000100	1	0
G2001430, G20000200	1	0
G2001450, G20001100	1	0
G2001470, G20000100	1	0
G2001490, G20000300	1	0
G2001510, G20001100	1	0
G2001530, G20000100	1	0
G2001550, G20001000	1	0
G2001570, G20000200	1	0
G2001590, G20001000	1	0
G2001610, G20000300	1	0
G2001630, G20000100	1	0
G2001650, G20001100	1	0
G2001670, G20000100	1	0
G2001690, G20000200	1	0
G2001710, G20000100	1	0
G2001730, G20001301	1	0
G2001730, G20001302	1	0
G2001730, G20001303	1	0
G2001730, G20001304	1	0
G2001750, G20001200	1	0
G2001770, G20000801	1	0
G2001770, G20000802	1	0
G2001790, G20000100	1	0
G2001810, G20000100	1	0
G2001830, G20000100	1	0
G2001850, G20001100	1	0
G2001870, G20001200	1	0
G2001890, G20001200	1	0
G2001910, G20001100	1	0
G2001930, G20000100	1	0
G2001950, G20000100	1	0
G2001970, G20000802	1	0
G2001990, G20000100	1	0
G2002010, G20000200	1	0
G2002030, G20000100	1	0
G2002050, G20000900	1	0
G2002070, G20000900	1	0
G2002090, G20000500	1	0
G2100010, G21000600	1	0
G2100030, G21000400	1	0
G2100050, G21002000	1	0
G2100070, G21000100	1	0
G2100090, G21000400	1	0
G2100110, G21002700	1	0
G2100130, G21000900	1	0
G2100150, G21002500	1	0
G2100170, G21002300	1	0
G2100190, G21002800	1	0
G2100210, G21002100	1	0
G2100230, G21002700	1	0
G2100250, G21001000	1	0
G2100270, G21001300	1	0
G2100290, G21001600	1	0
G2100310, G21000400	1	0
G2100330, G21000200	1	0
G2100350, G21000100	1	0
G2100370, G21002600	1	0
G2100390, G21000100	1	0
G2100410, G21002600	1	0
G2100430, G21002800	1	0
G2100450, G21000600	1	0
G2100470, G21000300	1	0
G2100490, G21002300	1	0
G2100510, G21000800	1	0
G2100530, G21000600	1	0
G2100550, G21000200	1	0
G2100570, G21000600	1	0
G2100590, G21001500	1	0
G2100610, G21000400	1	0
G2100630, G21002800	1	0
G2100650, G21002200	1	0
G2100670, G21001901	1	0
G2100670, G21001902	1	0
G2100690, G21002700	1	0
G2100710, G21001100	1	0
G2100730, G21002000	1	0
G2100750, G21000100	1	0
G2100770, G21002600	1	0
G2100790, G21002100	1	0
G2100810, G21002600	1	0
G2100830, G21000100	1	0
G2100850, G21001300	1	0
G2100870, G21000600	1	0
G2100890, G21002800	1	0
G2100910, G21001500	1	0
G2100930, G21001200	1	0
G2100930, G21001300	1	0
G2100950, G21000900	1	0
G2100970, G21002300	1	0
G2100990, G21000400	1	0
G2101010, G21001400	1	0
G2101030, G21001800	1	0
G2101050, G21000100	1	0
G2101070, G21000200	1	0
G2101090, G21000800	1	0
G2101110, G21001701	1	0
G2101110, G21001702	1	0
G2101110, G21001703	1	0
G2101110, G21001704	1	0
G2101110, G21001705	1	0
G2101110, G21001706	1	0
G2101130, G21002100	1	0
G2101150, G21001100	1	0
G2101170, G21002400	1	0
G2101190, G21001000	1	0
G2101210, G21000900	1	0
G2101230, G21001200	1	0
G2101250, G21000800	1	0
G2101270, G21002800	1	0
G2101290, G21001000	1	0
G2101310, G21001000	1	0
G2101330, G21001000	1	0
G2101350, G21002700	1	0
G2101370, G21002100	1	0
G2101390, G21000200	1	0
G2101410, G21000400	1	0
G2101430, G21000300	1	0
G2101450, G21000100	1	0
G2101470, G21000700	1	0
G2101490, G21001400	1	0
G2101510, G21002200	1	0
G2101530, G21001100	1	0
G2101550, G21001200	1	0
G2101570, G21000100	1	0
G2101590, G21001100	1	0
G2101610, G21002700	1	0
G2101630, G21001300	1	0
G2101650, G21002700	1	0
G2101670, G21002000	1	0
G2101690, G21000400	1	0
G2101710, G21000400	1	0
G2101730, G21002700	1	0
G2101750, G21002700	1	0
G2101770, G21000200	1	0
G2101790, G21001200	1	0
G2101810, G21002300	1	0
G2101830, G21001400	1	0
G2101850, G21001800	1	0
G2101870, G21002600	1	0
G2101890, G21001000	1	0
G2101910, G21002600	1	0
G2101930, G21001000	1	0
G2101950, G21001100	1	0
G2101970, G21002200	1	0
G2101990, G21000700	1	0
G2102010, G21002700	1	0
G2102030, G21000800	1	0
G2102050, G21002700	1	0
G2102070, G21000600	1	0
G2102090, G21002300	1	0
G2102110, G21001600	1	0
G2102110, G21001800	1	0
G2102130, G21000400	1	0
G2102150, G21001600	1	0
G2102170, G21000600	1	0
G2102190, G21000300	1	0
G2102210, G21000300	1	0
G2102230, G21001800	1	0
G2102250, G21001400	1	0
G2102270, G21000500	1	0
G2102290, G21001200	1	0
G2102310, G21000700	1	0
G2102330, G21001400	1	0
G2102350, G21000900	1	0
G2102370, G21001000	1	0
G2102390, G21002000	1	0
G2200010, G22001100	1	0
G2200030, G22000800	0.996232	0.00376827
G2200050, G22001600	1	0
G2200070, G22002000	0.967849	0.0321511
G2200090, G22000600	0.996904	0.0030956
G2200110, G22000800	0.718271	0.281729
G2200130, G22000300	1	0
G2200150, G22000200	1	0
G2200170, G22000100	1	0
G2200170, G22000101	1	0
G2200190, G22000800	1	0
G2200190, G22000900	1	0
G2200210, G22000500	1	0
G2200230, G22000900	1	0
G2200250, G22000600	1	0
G2200270, G22000300	1	0
G2200290, G22000600	1	0
G2200310, G22000300	1	0
G2200330, G22001500	1	0
G2200330, G22001501	1	0
G2200330, G22001502	1	0
G2200350, G22000500	1	0
G2200370, G22001400	1	0
G2200390, G22001000	1	0
G2200410, G22000500	1	0
G2200430, G22000600	1	0
G2200450, G22001300	1	0
G2200470, G22001400	1	0
G2200490, G22000500	1	0
G2200510, G22002300	1	0
G2200510, G22002301	1	0
G2200510, G22002302	1	0
G2200510, G22002500	1	0
G2200530, G22000900	1	0
G2200550, G22001200	1	0
G2200550, G22001201	1	0
G2200570, G22002000	0.174455	0.825545
G2200590, G22000600	1	0
G2200610, G22000300	1	0
G2200630, G22001700	1	0
G2200650, G22000500	1	0
G2200670, G22000500	1	0
G2200690, G22000300	0.930693	0.0693066
G2200710, G22002400	1	0
G2200710, G22002401	1	0
G2200710, G22002402	1	0
G2200730, G22000400	1	0
G2200750, G22002500	1	0
G2200770, G22001400	1	0
G2200790, G22000700	0.996954	0.00304573
G2200810, G22000300	1	0
G2200830, G22000500	1	0
G2200850, G22000300	0.749028	0.250972
G2200870, G22002500	1	0
G2200890, G22001900	1	0
G2200910, G22001700	1	0
G2200930, G22001900	1	0
G2200950, G22001900	1	0
G2200970, G22001000	1	0
G2200990, G22001300	1	0
G2201010, G22001300	0.553845	0.446155
G2201030, G22002200	1	0
G2201030, G22002201	1	0
G2201050, G22001800	1	0
G2201070, G22000500	1	0
G2201090, G22002100	0.111682	0.888318
G2201110, G22000500	1	0
G2201130, G22001100	1	0
G2201150, G22000700	0.576276	0.423724
G2201170, G22001800	1	0
G2201190, G22000200	1	0
G2201210, G22001400	1	0
G2201230, G22000500	1	0
G2201250, G22001400	1	0
G2201270, G22000600	1	0
G2300010, G23000600	1	0
G2300030, G23000100	0.996066	0.00393361
G2300050, G23000700	1	0
G2300050, G23000800	1	0
G2300050, G23000900	1	0
G2300050, G23001000	1	0
G2300070, G23000200	0.994873	0.00512735
G2300090, G23000500	0.999597	0.000403265
G2300110, G23000400	1	0
G2300130, G23000500	1	0
G2300150, G23000500	1	0
G2300170, G23000200	1	0
G2300190, G23000300	0.994119	0.00588147
G2300210, G23000200	0.999736	0.000263908
G2300230, G23000700	1	0
G2300250, G23000200	0.99934	0.000659802
G2300270, G23000500	1	0
G2300290, G23000100	0.970787	0.0292132
G2300310, G23000800	1	0
G2300310, G23000900	1	0
G2400010, G24000100	1	0
G2400030, G24001201	1	0
G2400030, G24001202	1	0
G2400030, G24001203	1	0
G2400030, G24001204	1	0
G2400050, G24000501	1	0
G2400050, G24000502	1	0
G2400050, G24000503	1	0
G2400050, G24000504	1	0
G2400050, G24000505	1	0
G2400050, G24000506	1	0
G2400050, G24000507	1	0
G2400090, G24001500	1	0
G2400110, G24001300	1	0
G2400130, G24000400	1	0
G2400150, G24000700	1	0
G2400170, G24001600	1	0
G2400190, G24001300	1	0
G2400210, G24000301	1	0
G2400210, G24000302	1	0
G2400230, G24000100	1	0
G2400250, G24000601	1	0
G2400250, G24000602	1	0
G2400270, G24000901	1	0
G2400270, G24000902	1	0
G2400290, G24001300	1	0
G2400310, G24001001	1	0
G2400310, G24001002	1	0
G2400310, G24001003	1	0
G2400310, G24001004	1	0
G2400310, G24001005	1	0
G2400310, G24001006	1	0
G2400310, G24001007	1	0
G2400330, G24001101	1	0
G2400330, G24001102	1	0
G2400330, G24001103	1	0
G2400330, G24001104	1	0
G2400330, G24001105	1	0
G2400330, G24001106	1	0
G2400330, G24001107	1	0
G2400350, G24001300	1	0
G2400370, G24001500	1	0
G2400390, G24001400	1	0
G2400410, G24001300	1	0
G2400430, G24000200	1	0
G2400450, G24001400	1	0
G2400470, G24001400	1	0
G2405100, G24000801	1	0
G2405100, G24000802	1	0
G2405100, G24000803	1	0
G2405100, G24000804	1	0
G2405100, G24000805	1	0
G2500010, G25004700	1	0
G2500010, G25004800	1	0
G2500030, G25000100	1	0
G2500050, G25004200	1	0
G2500050, G25004301	1	0
G2500050, G25004302	1	0
G2500050, G25004303	1	0
G2500050, G25004500	1	0
G2500050, G25004901	1	0
G2500070, G25004800	0.997756	0.00224364
G2500090, G25000701	1	0
G2500090, G25000702	1	0
G2500090, G25000703	1	0
G2500090, G25000704	1	0
G2500090, G25001000	1	0
G2500090, G25001300	1	0
G2500090, G25002800	1	0
G2500110, G25000200	1	0
G2500130, G25001600	1	0
G2500130, G25001900	1	0
G2500130, G25001901	1	0
G2500130, G25001902	1	0
G2500150, G25000200	1	0
G2500150, G25001600	1	0
G2500170, G25000400	1	0
G2500170, G25000501	1	0
G2500170, G25000502	1	0
G2500170, G25000503	1	0
G2500170, G25000504	1	0
G2500170, G25000505	1	0
G2500170, G25000506	1	0
G2500170, G25000507	1	0
G2500170, G25000508	1	0
G2500170, G25001000	1	0
G2500170, G25001300	1	0
G2500170, G25001400	1	0
G2500170, G25002400	1	0
G2500170, G25002800	1	0
G2500170, G25003400	1	0
G2500170, G25003500	1	0
G2500190, G25004800	1	0
G2500210, G25002400	1	0
G2500210, G25003400	1	0
G2500210, G25003500	1	0
G2500210, G25003601	1	0
G2500210, G25003602	1	0
G2500210, G25003603	1	0
G2500210, G25003900	1	0
G2500210, G25004000	1	0
G2500210, G25004200	1	0
G2500230, G25003900	1	0
G2500230, G25004000	1	0
G2500230, G25004301	1	0
G2500230, G25004901	1	0
G2500230, G25004902	1	0
G2500230, G25004903	1	0
G2500250, G25003301	1	0
G2500250, G25003302	1	0
G2500250, G25003303	1	0
G2500250, G25003304	1	0
G2500250, G25003305	1	0
G2500250, G25003306	1	0
G2500270, G25000300	1	0
G2500270, G25000301	1	0
G2500270, G25000302	1	0
