Dependency=PUMA	Dependency=Geometry Building Type RECS	Dependency=Vintage	Option=Electricity	Option=Fuel Oil	Option=Natural Gas	Option=None	Option=Other Fuel	Option=Propane
GA, 00900	Mobile Home	2020s	0.897961	0.000000	0.037659	0.006949	0.025076	0.032357
GA, 00900	Multi-Family with 2 - 4 Units	2020s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
GA, 00900	Multi-Family with 5+ Units	2020s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
GA, 00900	Single-Family Attached	2020s	0.614185	0.000000	0.370368	0.002340	0.001170	0.011936
GA, 00900	Single-Family Detached	2020s	0.937037	0.000000	0.062963	0.000000	0.000000	0.000000
GA, 01001	Mobile Home	2020s	0.897961	0.000000	0.037659	0.006949	0.025076	0.032357
GA, 01001	Multi-Family with 2 - 4 Units	2020s	0.854609	0.000000	0.135935	0.006029	0.000000	0.003427
GA, 01001	Multi-Family with 5+ Units	2020s	0.890135	0.000000	0.081760	0.000000	0.000000	0.028105
GA, 01001	Single-Family Attached	2020s	0.614185	0.000000	0.370368	0.002340	0.001170	0.011936
GA, 01001	Single-Family Detached	2020s	0.404385	0.000000	0.573693	0.000000	0.021922	0.000000
GA, 01002	Mobile Home	2020s	0.897961	0.000000	0.037659	0.006949	0.025076	0.032357
GA, 01002	Multi-Family with 2 - 4 Units	2020s	0.854609	0.000000	0.135935	0.006029	0.000000	0.003427
GA, 01002	Multi-Family with 5+ Units	2020s	0.981591	0.000000	0.018410	0.000000	0.000000	0.000000
GA, 01002	Single-Family Attached	2020s	0.614185	0.000000	0.370368	0.002340	0.001170	0.011936
GA, 01002	Single-Family Detached	2020s	0.261238	0.000000	0.738762	0.000000	0.000000	0.000000
GA, 01003	Mobile Home	2020s	0.897961	0.000000	0.037659	0.006949	0.025076	0.032357
GA, 01003	Multi-Family with 2 - 4 Units	2020s	0.854609	0.000000	0.135935	0.006029	0.000000	0.003427
GA, 01003	Multi-Family with 5+ Units	2020s	0.908253	0.001072	0.090675	0.000000	0.000000	0.000000
GA, 01003	Single-Family Attached	2020s	0.614185	0.000000	0.370368	0.002340	0.001170	0.011936
GA, 01003	Single-Family Detached	2020s	0.631803	0.000000	0.334396	0.004589	0.006747	0.022464
GA, 01004	Mobile Home	2020s	0.897961	0.000000	0.037659	0.006949	0.025076	0.032357
GA, 01004	Multi-Family with 2 - 4 Units	2020s	0.854609	0.000000	0.135935	0.006029	0.000000	0.003427
GA, 01004	Multi-Family with 5+ Units	2020s	0.918996	0.000032	0.072967	0.003389	0.000000	0.004617
GA, 01004	Single-Family Attached	2020s	0.614185	0.000000	0.370368	0.002340	0.001170	0.011936
GA, 01004	Single-Family Detached	2020s	0.441302	0.000000	0.542929	0.000000	0.011264	0.004505
GA, 01005	Mobile Home	2020s	0.897961	0.000000	0.037659	0.006949	0.025076	0.032357
GA, 01005	Multi-Family with 2 - 4 Units	2020s	0.854609	0.000000	0.135935	0.006029	0.000000	0.003427
GA, 01005	Multi-Family with 5+ Units	2020s	0.844701	0.000000	0.155299	0.000000	0.000000	0.000000
GA, 01005	Single-Family Attached	2020s	0.335021	0.000000	0.664979	0.000000	0.000000	0.000000
GA, 01005	Single-Family Detached	2020s	0.294704	0.000000	0.705296	0.000000	0.000000	0.000000
GA, 01006	Mobile Home	2020s	0.897961	0.000000	0.037659	0.006949	0.025076	0.032357
GA, 01006	Multi-Family with 2 - 4 Units	2020s	0.854609	0.000000	0.135935	0.006029	0.000000	0.003427
GA, 01006	Multi-Family with 5+ Units	2020s	0.896372	0.000000	0.084595	0.007800	0.000000	0.011232
GA, 01006	Single-Family Attached	2020s	0.734702	0.000000	0.265298	0.000000	0.000000	0.000000
GA, 01006	Single-Family Detached	2020s	0.413105	0.000000	0.558815	0.000000	0.000000	0.028081
GA, 01007	Mobile Home	2020s	0.897961	0.000000	0.037659	0.006949	0.025076	0.032357
GA, 01007	Multi-Family with 2 - 4 Units	2020s	0.854609	0.000000	0.135935	0.006029	0.000000	0.003427
GA, 01007	Multi-Family with 5+ Units	2020s	0.910132	0.000000	0.070242	0.015518	0.000000	0.004108
GA, 01007	Single-Family Attached	2020s	0.369292	0.000000	0.630708	0.000000	0.000000	0.000000
GA, 01007	Single-Family Detached	2020s	0.458475	0.000000	0.541525	0.000000	0.000000	0.000000
GA, 01008	Mobile Home	2020s	0.897961	0.000000	0.037659	0.006949	0.025076	0.032357
GA, 01008	Multi-Family with 2 - 4 Units	2020s	0.854609	0.000000	0.135935	0.006029	0.000000	0.003427
GA, 01008	Multi-Family with 5+ Units	2020s	0.918996	0.000032	0.072967	0.003389	0.000000	0.004617
GA, 01008	Single-Family Attached	2020s	0.614185	0.000000	0.370368	0.002340	0.001170	0.011936
GA, 01008	Single-Family Detached	2020s	0.631803	0.000000	0.334396	0.004589	0.006747	0.022464
GA, 01100	Mobile Home	2020s	0.942210	0.000000	0.040793	0.000000	0.016997	0.000000
GA, 01100	Multi-Family with 2 - 4 Units	2020s	0.854609	0.000000	0.135935	0.006029	0.000000	0.003427
GA, 01100	Multi-Family with 5+ Units	2020s	0.918996	0.000032	0.072967	0.003389	0.000000	0.004617
GA, 01100	Single-Family Attached	2020s	0.614185	0.000000	0.370368	0.002340	0.001170	0.011936
GA, 01100	Single-Family Detached	2020s	0.839751	0.000000	0.076397	0.000000	0.000000	0.083851
GA, 01200	Mobile Home	2020s	0.984043	0.000000	0.000000	0.015957	0.000000	0.000000
GA, 01200	Multi-Family with 2 - 4 Units	2020s	0.854609	0.000000	0.135935	0.006029	0.000000	0.003427
GA, 01200	Multi-Family with 5+ Units	2020s	0.918996	0.000032	0.072967	0.003389	0.000000	0.004617
GA, 01200	Single-Family Attached	2020s	0.614185	0.000000	0.370368	0.002340	0.001170	0.011936
GA, 01200	Single-Family Detached	2020s	0.925605	0.000000	0.000000	0.000000	0.000000	0.074395
GA, 01300	Mobile Home	2020s	0.896154	0.000000	0.000000	0.000000	0.000000	0.103847
GA, 01300	Multi-Family with 2 - 4 Units	2020s	0.854609	0.000000	0.135935	0.006029	0.000000	0.003427
GA, 01300	Multi-Family with 5+ Units	2020s	0.918996	0.000032	0.072967	0.003389	0.000000	0.004617
GA, 01300	Single-Family Attached	2020s	0.614185	0.000000	0.370368	0.002340	0.001170	0.011936
GA, 01300	Single-Family Detached	2020s	0.927068	0.000000	0.000000	0.015428	0.044881	0.012623
GA, 01400	Mobile Home	2020s	0.897961	0.000000	0.037659	0.006949	0.025076	0.032357
GA, 01400	Multi-Family with 2 - 4 Units	2020s	0.854609	0.000000	0.135935	0.006029	0.000000	0.003427
GA, 01400	Multi-Family with 5+ Units	2020s	0.982775	0.000000	0.017225	0.000000	0.000000	0.000000
GA, 01400	Single-Family Attached	2020s	0.614185	0.000000	0.370368	0.002340	0.001170	0.011936
GA, 01400	Single-Family Detached	2020s	0.805948	0.000000	0.194052	0.000000	0.000000	0.000000
GA, 01500	Mobile Home	2020s	0.897961	0.000000	0.037659	0.006949	0.025076	0.032357
GA, 01500	Multi-Family with 2 - 4 Units	2020s	0.854609	0.000000	0.135935	0.006029	0.000000	0.003427
GA, 01500	Multi-Family with 5+ Units	2020s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
GA, 01500	Single-Family Attached	2020s	0.614185	0.000000	0.370368	0.002340	0.001170	0.011936
GA, 01500	Single-Family Detached	2020s	0.960237	0.000000	0.023171	0.000000	0.011443	0.005149
GA, 01600	Mobile Home	2020s	0.908667	0.000000	0.000000	0.013333	0.000000	0.078000
GA, 01600	Multi-Family with 2 - 4 Units	2020s	0.854609	0.000000	0.135935	0.006029	0.000000	0.003427
GA, 01600	Multi-Family with 5+ Units	2020s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
GA, 01600	Single-Family Attached	2020s	0.614185	0.000000	0.370368	0.002340	0.001170	0.011936
GA, 01600	Single-Family Detached	2020s	0.858933	0.000000	0.042431	0.024814	0.012407	0.061414
GA, 01700	Mobile Home	2020s	0.897961	0.000000	0.037659	0.006949	0.025076	0.032357
GA, 01700	Multi-Family with 2 - 4 Units	2020s	0.984024	0.000000	0.015976	0.000000	0.000000	0.000000
GA, 01700	Multi-Family with 5+ Units	2020s	0.847965	0.000000	0.138663	0.008140	0.000000	0.005233
GA, 01700	Single-Family Attached	2020s	0.917714	0.000000	0.082286	0.000000	0.000000	0.000000
GA, 01700	Single-Family Detached	2020s	0.860955	0.000000	0.094500	0.020909	0.023636	0.000000
GA, 01800	Mobile Home	2020s	0.830493	0.000000	0.137219	0.000000	0.000000	0.032287
GA, 01800	Multi-Family with 2 - 4 Units	2020s	0.854609	0.000000	0.135935	0.006029	0.000000	0.003427
GA, 01800	Multi-Family with 5+ Units	2020s	0.918996	0.000032	0.072967	0.003389	0.000000	0.004617
GA, 01800	Single-Family Attached	2020s	0.614185	0.000000	0.370368	0.002340	0.001170	0.011936
GA, 01800	Single-Family Detached	2020s	0.871882	0.000000	0.060353	0.000000	0.000000	0.067765
GA, 01900	Mobile Home	2020s	0.897961	0.000000	0.037659	0.006949	0.025076	0.032357
GA, 01900	Multi-Family with 2 - 4 Units	2020s	0.854609	0.000000	0.135935	0.006029	0.000000	0.003427
GA, 01900	Multi-Family with 5+ Units	2020s	0.918996	0.000032	0.072967	0.003389	0.000000	0.004617
GA, 01900	Single-Family Attached	2020s	0.614185	0.000000	0.370368	0.002340	0.001170	0.011936
GA, 01900	Single-Family Detached	2020s	0.536928	0.000000	0.449335	0.004431	0.000000	0.009306
GA, 02001	Mobile Home	2020s	0.897961	0.000000	0.037659	0.006949	0.025076	0.032357
GA, 02001	Multi-Family with 2 - 4 Units	2020s	0.854609	0.000000	0.135935	0.006029	0.000000	0.003427
GA, 02001	Multi-Family with 5+ Units	2020s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
GA, 02001	Single-Family Attached	2020s	0.614185	0.000000	0.370368	0.002340	0.001170	0.011936
GA, 02001	Single-Family Detached	2020s	0.631803	0.000000	0.334396	0.004589	0.006747	0.022464
GA, 02002	Mobile Home	2020s	0.897961	0.000000	0.037659	0.006949	0.025076	0.032357
GA, 02002	Multi-Family with 2 - 4 Units	2020s	0.854609	0.000000	0.135935	0.006029	0.000000	0.003427
GA, 02002	Multi-Family with 5+ Units	2020s	0.974528	0.000000	0.025472	0.000000	0.000000	0.000000
GA, 02002	Single-Family Attached	2020s	0.614185	0.000000	0.370368	0.002340	0.001170	0.011936
GA, 02002	Single-Family Detached	2020s	0.298030	0.000000	0.701970	0.000000	0.000000	0.000000
GA, 02003	Mobile Home	2020s	0.897961	0.000000	0.037659	0.006949	0.025076	0.032357
GA, 02003	Multi-Family with 2 - 4 Units	2020s	0.854609	0.000000	0.135935	0.006029	0.000000	0.003427
GA, 02003	Multi-Family with 5+ Units	2020s	0.779091	0.000000	0.198410	0.000000	0.000000	0.022500
GA, 02003	Single-Family Attached	2020s	0.614185	0.000000	0.370368	0.002340	0.001170	0.011936
GA, 02003	Single-Family Detached	2020s	0.631803	0.000000	0.334396	0.004589	0.006747	0.022464
GA, 02004	Mobile Home	2020s	0.897961	0.000000	0.037659	0.006949	0.025076	0.032357
GA, 02004	Multi-Family with 2 - 4 Units	2020s	0.854609	0.000000	0.135935	0.006029	0.000000	0.003427
GA, 02004	Multi-Family with 5+ Units	2020s	0.955344	0.000000	0.029408	0.005446	0.000000	0.009803
GA, 02004	Single-Family Attached	2020s	0.714189	0.000000	0.285811	0.000000	0.000000	0.000000
GA, 02004	Single-Family Detached	2020s	0.362311	0.000000	0.637689	0.000000	0.000000	0.000000
GA, 02100	Mobile Home	2020s	0.897961	0.000000	0.037659	0.006949	0.025076	0.032357
GA, 02100	Multi-Family with 2 - 4 Units	2020s	0.854609	0.000000	0.135935	0.006029	0.000000	0.003427
GA, 02100	Multi-Family with 5+ Units	2020s	0.918996	0.000032	0.072967	0.003389	0.000000	0.004617
GA, 02100	Single-Family Attached	2020s	0.614185	0.000000	0.370368	0.002340	0.001170	0.011936
GA, 02100	Single-Family Detached	2020s	0.519558	0.000000	0.438849	0.014487	0.000000	0.027106
GA, 02200	Mobile Home	2020s	0.897961	0.000000	0.037659	0.006949	0.025076	0.032357
GA, 02200	Multi-Family with 2 - 4 Units	2020s	0.854609	0.000000	0.135935	0.006029	0.000000	0.003427
GA, 02200	Multi-Family with 5+ Units	2020s	0.918996	0.000032	0.072967	0.003389	0.000000	0.004617
GA, 02200	Single-Family Attached	2020s	0.614185	0.000000	0.370368	0.002340	0.001170	0.011936
GA, 02200	Single-Family Detached	2020s	0.838356	0.000000	0.146575	0.000000	0.000000	0.015069
GA, 02300	Mobile Home	2020s	0.897961	0.000000	0.037659	0.006949	0.025076	0.032357
GA, 02300	Multi-Family with 2 - 4 Units	2020s	0.854609	0.000000	0.135935	0.006029	0.000000	0.003427
GA, 02300	Multi-Family with 5+ Units	2020s	0.918996	0.000032	0.072967	0.003389	0.000000	0.004617
GA, 02300	Single-Family Attached	2020s	0.614185	0.000000	0.370368	0.002340	0.001170	0.011936
GA, 02300	Single-Family Detached	2020s	0.920000	0.000000	0.000000	0.080000	0.000000	0.000000
GA, 02400	Mobile Home	2020s	0.897961	0.000000	0.037659	0.006949	0.025076	0.032357
GA, 02400	Multi-Family with 2 - 4 Units	2020s	0.854609	0.000000	0.135935	0.006029	0.000000	0.003427
GA, 02400	Multi-Family with 5+ Units	2020s	0.918996	0.000032	0.072967	0.003389	0.000000	0.004617
GA, 02400	Single-Family Attached	2020s	0.614185	0.000000	0.370368	0.002340	0.001170	0.011936
GA, 02400	Single-Family Detached	2020s	0.536963	0.000000	0.436063	0.000000	0.000000	0.026973
GA, 02500	Mobile Home	2020s	0.897961	0.000000	0.037659	0.006949	0.025076	0.032357
GA, 02500	Multi-Family with 2 - 4 Units	2020s	0.854609	0.000000	0.135935	0.006029	0.000000	0.003427
GA, 02500	Multi-Family with 5+ Units	2020s	0.955140	0.000000	0.044860	0.000000	0.000000	0.000000
GA, 02500	Single-Family Attached	2020s	0.614185	0.000000	0.370368	0.002340	0.001170	0.011936
GA, 02500	Single-Family Detached	2020s	0.626329	0.000000	0.214177	0.000000	0.000000	0.159494
GA, 02600	Mobile Home	2020s	0.888926	0.000000	0.051342	0.000000	0.023490	0.036241
GA, 02600	Multi-Family with 2 - 4 Units	2020s	0.854609	0.000000	0.135935	0.006029	0.000000	0.003427
GA, 02600	Multi-Family with 5+ Units	2020s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
GA, 02600	Single-Family Attached	2020s	0.614185	0.000000	0.370368	0.002340	0.001170	0.011936
GA, 02600	Single-Family Detached	2020s	0.887852	0.000000	0.013161	0.000000	0.038245	0.060743
GA, 02700	Mobile Home	2020s	0.897961	0.000000	0.037659	0.006949	0.025076	0.032357
GA, 02700	Multi-Family with 2 - 4 Units	2020s	0.854609	0.000000	0.135935	0.006029	0.000000	0.003427
GA, 02700	Multi-Family with 5+ Units	2020s	0.918996	0.000032	0.072967	0.003389	0.000000	0.004617
GA, 02700	Single-Family Attached	2020s	0.614185	0.000000	0.370368	0.002340	0.001170	0.011936
GA, 02700	Single-Family Detached	2020s	0.906897	0.000000	0.071618	0.000000	0.000000	0.021486
GA, 02800	Mobile Home	2020s	0.977941	0.000000	0.000000	0.000000	0.000000	0.022059
GA, 02800	Multi-Family with 2 - 4 Units	2020s	0.854609	0.000000	0.135935	0.006029	0.000000	0.003427
GA, 02800	Multi-Family with 5+ Units	2020s	0.918996	0.000032	0.072967	0.003389	0.000000	0.004617
GA, 02800	Single-Family Attached	2020s	0.614185	0.000000	0.370368	0.002340	0.001170	0.011936
GA, 02800	Single-Family Detached	2020s	0.664845	0.000000	0.076082	0.000000	0.104124	0.154949
GA, 02900	Mobile Home	2020s	0.897961	0.000000	0.037659	0.006949	0.025076	0.032357
GA, 02900	Multi-Family with 2 - 4 Units	2020s	0.854609	0.000000	0.135935	0.006029	0.000000	0.003427
GA, 02900	Multi-Family with 5+ Units	2020s	0.918996	0.000032	0.072967	0.003389	0.000000	0.004617
GA, 02900	Single-Family Attached	2020s	0.614185	0.000000	0.370368	0.002340	0.001170	0.011936
GA, 02900	Single-Family Detached	2020s	0.608550	0.000000	0.337919	0.000000	0.000000	0.053532
GA, 03001	Mobile Home	2020s	0.897961	0.000000	0.037659	0.006949	0.025076	0.032357
GA, 03001	Multi-Family with 2 - 4 Units	2020s	0.854609	0.000000	0.135935	0.006029	0.000000	0.003427
GA, 03001	Multi-Family with 5+ Units	2020s	0.762241	0.000000	0.237759	0.000000	0.000000	0.000000
GA, 03001	Single-Family Attached	2020s	0.640000	0.000000	0.360000	0.000000	0.000000	0.000000
GA, 03001	Single-Family Detached	2020s	0.353035	0.000000	0.646965	0.000000	0.000000	0.000000
GA, 03002	Mobile Home	2020s	0.897961	0.000000	0.037659	0.006949	0.025076	0.032357
GA, 03002	Multi-Family with 2 - 4 Units	2020s	0.854609	0.000000	0.135935	0.006029	0.000000	0.003427
GA, 03002	Multi-Family with 5+ Units	2020s	0.877876	0.000000	0.095575	0.026549	0.000000	0.000000
GA, 03002	Single-Family Attached	2020s	0.275247	0.000000	0.724753	0.000000	0.000000	0.000000
GA, 03002	Single-Family Detached	2020s	0.238907	0.000000	0.749527	0.011567	0.000000	0.000000
GA, 03003	Mobile Home	2020s	0.897961	0.000000	0.037659	0.006949	0.025076	0.032357
GA, 03003	Multi-Family with 2 - 4 Units	2020s	0.854609	0.000000	0.135935	0.006029	0.000000	0.003427
GA, 03003	Multi-Family with 5+ Units	2020s	0.918996	0.000032	0.072967	0.003389	0.000000	0.004617
GA, 03003	Single-Family Attached	2020s	0.614185	0.000000	0.370368	0.002340	0.001170	0.011936
GA, 03003	Single-Family Detached	2020s	0.309252	0.000000	0.683508	0.000000	0.000000	0.007241
GA, 03004	Mobile Home	2020s	0.897961	0.000000	0.037659	0.006949	0.025076	0.032357
GA, 03004	Multi-Family with 2 - 4 Units	2020s	0.854609	0.000000	0.135935	0.006029	0.000000	0.003427
GA, 03004	Multi-Family with 5+ Units	2020s	0.894237	0.000000	0.105763	0.000000	0.000000	0.000000
GA, 03004	Single-Family Attached	2020s	0.461139	0.000000	0.538861	0.000000	0.000000	0.000000
GA, 03004	Single-Family Detached	2020s	0.406882	0.000000	0.582795	0.000000	0.000000	0.010323
GA, 03005	Mobile Home	2020s	0.897961	0.000000	0.037659	0.006949	0.025076	0.032357
GA, 03005	Multi-Family with 2 - 4 Units	2020s	0.854609	0.000000	0.135935	0.006029	0.000000	0.003427
GA, 03005	Multi-Family with 5+ Units	2020s	0.918996	0.000032	0.072967	0.003389	0.000000	0.004617
GA, 03005	Single-Family Attached	2020s	0.614185	0.000000	0.370368	0.002340	0.001170	0.011936
GA, 03005	Single-Family Detached	2020s	0.209156	0.000000	0.770512	0.000000	0.000000	0.020333
GA, 03101	Mobile Home	2020s	0.897961	0.000000	0.037659	0.006949	0.025076	0.032357
GA, 03101	Multi-Family with 2 - 4 Units	2020s	0.854609	0.000000	0.135935	0.006029	0.000000	0.003427
GA, 03101	Multi-Family with 5+ Units	2020s	0.971015	0.000000	0.028985	0.000000	0.000000	0.000000
GA, 03101	Single-Family Attached	2020s	0.614185	0.000000	0.370368	0.002340	0.001170	0.011936
GA, 03101	Single-Family Detached	2020s	0.330994	0.000000	0.669006	0.000000	0.000000	0.000000
GA, 03102	Mobile Home	2020s	0.897961	0.000000	0.037659	0.006949	0.025076	0.032357
GA, 03102	Multi-Family with 2 - 4 Units	2020s	0.854609	0.000000	0.135935	0.006029	0.000000	0.003427
GA, 03102	Multi-Family with 5+ Units	2020s	0.918996	0.000032	0.072967	0.003389	0.000000	0.004617
GA, 03102	Single-Family Attached	2020s	0.614185	0.000000	0.370368	0.002340	0.001170	0.011936
GA, 03102	Single-Family Detached	2020s	0.283221	0.000000	0.696141	0.000000	0.000000	0.020638
GA, 03200	Mobile Home	2020s	0.897961	0.000000	0.037659	0.006949	0.025076	0.032357
GA, 03200	Multi-Family with 2 - 4 Units	2020s	0.854609	0.000000	0.135935	0.006029	0.000000	0.003427
GA, 03200	Multi-Family with 5+ Units	2020s	0.918996	0.000032	0.072967	0.003389	0.000000	0.004617
GA, 03200	Single-Family Attached	2020s	0.614185	0.000000	0.370368	0.002340	0.001170	0.011936
GA, 03200	Single-Family Detached	2020s	0.632743	0.000000	0.029384	0.001866	0.060634	0.275373
GA, 03300	Mobile Home	2020s	0.897961	0.000000	0.037659	0.006949	0.025076	0.032357
GA, 03300	Multi-Family with 2 - 4 Units	2020s	0.854609	0.000000	0.135935	0.006029	0.000000	0.003427
GA, 03300	Multi-Family with 5+ Units	2020s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
GA, 03300	Single-Family Attached	2020s	0.380785	0.000000	0.619215	0.000000	0.000000	0.000000
GA, 03300	Single-Family Detached	2020s	0.265057	0.000000	0.715224	0.003019	0.002543	0.014159
GA, 03400	Mobile Home	2020s	0.897961	0.000000	0.037659	0.006949	0.025076	0.032357
GA, 03400	Multi-Family with 2 - 4 Units	2020s	0.854609	0.000000	0.135935	0.006029	0.000000	0.003427
GA, 03400	Multi-Family with 5+ Units	2020s	0.805883	0.000000	0.194117	0.000000	0.000000	0.000000
GA, 03400	Single-Family Attached	2020s	0.614185	0.000000	0.370368	0.002340	0.001170	0.011936
GA, 03400	Single-Family Detached	2020s	0.658301	0.000000	0.331274	0.000000	0.000000	0.010425
GA, 03500	Mobile Home	2020s	0.897961	0.000000	0.037659	0.006949	0.025076	0.032357
GA, 03500	Multi-Family with 2 - 4 Units	2020s	0.854609	0.000000	0.135935	0.006029	0.000000	0.003427
GA, 03500	Multi-Family with 5+ Units	2020s	0.918996	0.000032	0.072967	0.003389	0.000000	0.004617
GA, 03500	Single-Family Attached	2020s	0.614185	0.000000	0.370368	0.002340	0.001170	0.011936
GA, 03500	Single-Family Detached	2020s	0.912009	0.000000	0.053057	0.000000	0.034934	0.000000
GA, 03600	Mobile Home	2020s	0.897961	0.000000	0.037659	0.006949	0.025076	0.032357
GA, 03600	Multi-Family with 2 - 4 Units	2020s	0.854609	0.000000	0.135935	0.006029	0.000000	0.003427
GA, 03600	Multi-Family with 5+ Units	2020s	0.941463	0.000000	0.058537	0.000000	0.000000	0.000000
GA, 03600	Single-Family Attached	2020s	0.614185	0.000000	0.370368	0.002340	0.001170	0.011936
GA, 03600	Single-Family Detached	2020s	0.710909	0.000000	0.289091	0.000000	0.000000	0.000000
GA, 03700	Mobile Home	2020s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
GA, 03700	Multi-Family with 2 - 4 Units	2020s	0.854609	0.000000	0.135935	0.006029	0.000000	0.003427
GA, 03700	Multi-Family with 5+ Units	2020s	0.918996	0.000032	0.072967	0.003389	0.000000	0.004617
GA, 03700	Single-Family Attached	2020s	0.614185	0.000000	0.370368	0.002340	0.001170	0.011936
GA, 03700	Single-Family Detached	2020s	0.804055	0.000000	0.066804	0.023368	0.037113	0.068660
GA, 03800	Mobile Home	2020s	0.897961	0.000000	0.037659	0.006949	0.025076	0.032357
GA, 03800	Multi-Family with 2 - 4 Units	2020s	0.854609	0.000000	0.135935	0.006029	0.000000	0.003427
GA, 03800	Multi-Family with 5+ Units	2020s	0.918996	0.000032	0.072967	0.003389	0.000000	0.004617
GA, 03800	Single-Family Attached	2020s	0.614185	0.000000	0.370368	0.002340	0.001170	0.011936
GA, 03800	Single-Family Detached	2020s	0.759961	0.000000	0.240039	0.000000	0.000000	0.000000
GA, 03900	Mobile Home	2020s	0.897961	0.000000	0.037659	0.006949	0.025076	0.032357
GA, 03900	Multi-Family with 2 - 4 Units	2020s	0.854609	0.000000	0.135935	0.006029	0.000000	0.003427
GA, 03900	Multi-Family with 5+ Units	2020s	0.918996	0.000032	0.072967	0.003389	0.000000	0.004617
GA, 03900	Single-Family Attached	2020s	0.614185	0.000000	0.370368	0.002340	0.001170	0.011936
GA, 03900	Single-Family Detached	2020s	0.720322	0.000000	0.279678	0.000000	0.000000	0.000000
GA, 04000	Mobile Home	2020s	0.897961	0.000000	0.037659	0.006949	0.025076	0.032357
GA, 04000	Multi-Family with 2 - 4 Units	2020s	0.975971	0.000000	0.024029	0.000000	0.000000	0.000000
GA, 04000	Multi-Family with 5+ Units	2020s	0.983743	0.000000	0.016259	0.000000	0.000000	0.000000
GA, 04000	Single-Family Attached	2020s	0.614185	0.000000	0.370368	0.002340	0.001170	0.011936
GA, 04000	Single-Family Detached	2020s	0.934806	0.000000	0.046258	0.018936	0.000000	0.000000
GA, 04001	Mobile Home	2020s	0.897961	0.000000	0.037659	0.006949	0.025076	0.032357
GA, 04001	Multi-Family with 2 - 4 Units	2020s	0.854609	0.000000	0.135935	0.006029	0.000000	0.003427
GA, 04001	Multi-Family with 5+ Units	2020s	0.952476	0.000000	0.047524	0.000000	0.000000	0.000000
GA, 04001	Single-Family Attached	2020s	0.614185	0.000000	0.370368	0.002340	0.001170	0.011936
GA, 04001	Single-Family Detached	2020s	0.280564	0.000000	0.719436	0.000000	0.000000	0.000000
GA, 04002	Mobile Home	2020s	0.897961	0.000000	0.037659	0.006949	0.025076	0.032357
GA, 04002	Multi-Family with 2 - 4 Units	2020s	0.854609	0.000000	0.135935	0.006029	0.000000	0.003427
GA, 04002	Multi-Family with 5+ Units	2020s	0.918996	0.000032	0.072967	0.003389	0.000000	0.004617
GA, 04002	Single-Family Attached	2020s	0.625339	0.000000	0.374661	0.000000	0.000000	0.000000
GA, 04002	Single-Family Detached	2020s	0.343125	0.000000	0.643750	0.000000	0.000000	0.013125
GA, 04003	Mobile Home	2020s	0.897961	0.000000	0.037659	0.006949	0.025076	0.032357
GA, 04003	Multi-Family with 2 - 4 Units	2020s	0.854609	0.000000	0.135935	0.006029	0.000000	0.003427
GA, 04003	Multi-Family with 5+ Units	2020s	0.918996	0.000032	0.072967	0.003389	0.000000	0.004617
GA, 04003	Single-Family Attached	2020s	0.614185	0.000000	0.370368	0.002340	0.001170	0.011936
GA, 04003	Single-Family Detached	2020s	0.530730	0.000000	0.429975	0.022670	0.000000	0.016625
GA, 04004	Mobile Home	2020s	0.897961	0.000000	0.037659	0.006949	0.025076	0.032357
GA, 04004	Multi-Family with 2 - 4 Units	2020s	0.854609	0.000000	0.135935	0.006029	0.000000	0.003427
GA, 04004	Multi-Family with 5+ Units	2020s	0.918996	0.000032	0.072967	0.003389	0.000000	0.004617
GA, 04004	Single-Family Attached	2020s	0.614185	0.000000	0.370368	0.002340	0.001170	0.011936
GA, 04004	Single-Family Detached	2020s	0.457940	0.000000	0.542060	0.000000	0.000000	0.000000
GA, 04005	Mobile Home	2020s	0.897961	0.000000	0.037659	0.006949	0.025076	0.032357
GA, 04005	Multi-Family with 2 - 4 Units	2020s	0.854609	0.000000	0.135935	0.006029	0.000000	0.003427
GA, 04005	Multi-Family with 5+ Units	2020s	0.918996	0.000032	0.072967	0.003389	0.000000	0.004617
GA, 04005	Single-Family Attached	2020s	0.614185	0.000000	0.370368	0.002340	0.001170	0.011936
GA, 04005	Single-Family Detached	2020s	0.412341	0.000000	0.568671	0.000000	0.000000	0.018987
GA, 04006	Mobile Home	2020s	0.897961	0.000000	0.037659	0.006949	0.025076	0.032357
GA, 04006	Multi-Family with 2 - 4 Units	2020s	0.854609	0.000000	0.135935	0.006029	0.000000	0.003427
GA, 04006	Multi-Family with 5+ Units	2020s	0.923235	0.000000	0.076765	0.000000	0.000000	0.000000
GA, 04006	Single-Family Attached	2020s	0.614185	0.000000	0.370368	0.002340	0.001170	0.011936
GA, 04006	Single-Family Detached	2020s	0.355714	0.000000	0.621428	0.000000	0.000000	0.022857
GA, 04100	Mobile Home	2020s	0.897961	0.000000	0.037659	0.006949	0.025076	0.032357
