S,h
505812,0.405836
505813,0.405836
511119,0.439244
511120,0.439244
511121,0.439244
511122,0.439244
523255,0.822103
523256,0.822103
523257,0.822103
525048,0.170144
525049,0.170144
525050,0.170144
