S,h
51090,0.005114
51194,0.209085
51250,0.015042
51264,0.000301
51266,0.032491
51268,0.101986
51270,0.080626
51272,0.289110
51299,0.545126
51300,0.545126
51301,0.545126
51320,0.585439
51363,0.139591
51365,0.305355
51425,0.395006
51426,0.395006
51575,0.532491
51576,0.532491
51593,0.450662
51659,0.132671
51718,0.040915
51720,0.044525
51721,0.313478
51786,0.006919
51798,0.182912
51800,0.043020
52166,0.006919
52227,0.130566
52229,0.021360
52283,0.337244
52284,0.337244
52459,0.100481
52461,0.448556
52463,0.026775
52465,0.346871
52496,0.048436
52537,0.081227
52539,0.214801
52541,0.263237
52543,0.287906
52545,0.148616
52568,0.341757
52570,0.150120
52571,0.150120
52583,0.097473
52617,0.000602
52619,0.136883
52693,0.091155
52697,0.095969
52698,0.012635
52773,0.229543
52774,0.229543
52775,0.229543
52856,0.137184
52963,0.047834
52974,0.051444
53007,0.127256
53008,0.127256
53021,0.007822
53023,0.004513
53079,0.123646
53081,0.127557
53083,0.562575
53084,0.562575
53085,0.562575
53086,0.562575
53118,0.029483
53270,0.272563
53349,0.005114
53718,0.184717
53736,0.132371
53739,0.047834
53774,0.021059
53776,0.002407
53778,0.385078
53780,0.098977
53782,0.199458
53784,0.370036
53786,0.076715
53826,0.728640
53955,0.014440
53957,0.383574
53959,0.004513
53961,0.061071
53963,0.058063
53964,0.058063
54044,0.057762
54052,0.528580
54053,0.528580
54054,0.546631
54056,0.081227
54213,0.061673
54218,0.079723
54352,0.145909
54388,0.577316
54404,0.008724
54406,0.282491
54408,0.012936
54410,0.041516
54412,0.000301
54414,0.242178
54416,0.408845
54418,0.003911
54420,0.200361
54422,0.000602
54423,0.066486
54425,0.067389
54512,0.304452
54513,0.304452
54539,0.193442
54602,0.021961
54632,0.064681
54634,0.141998
54636,0.298436
54737,0.009025
55232,0.042118
55234,0.218412
55359,0.181107
55361,0.121239
55363,0.080626
55365,0.226835
55416,0.077316
55426,0.319795
55564,0.363718
55566,0.065283
55568,0.015644
55570,0.002708
55572,0.074007
55574,0.004513
55576,0.065283
55578,0.173285
55579,0.173285
55580,0.014140
55612,0.150120
55614,0.186823
55664,0.195247
55666,0.478039
55824,0.428700
55842,0.003911
55899,0.294224
55900,0.294224
55901,0.023165
55902,0.294224
55903,0.294224
55920,0.188327
56038,0.074609
56044,0.037906
56690,0.052046
56744,0.111011
56745,0.429603
56746,0.111011
56747,0.009928
56766,0.005114
56801,0.521961
56803,0.012936
56829,0.597473
56831,0.012936
56833,0.128460
56835,0.150421
56866,0.188026
56868,0.003008
56870,0.418773
56871,0.418773
56872,0.418773
56897,0.008724
56916,0.024067
56920,0.106498
56921,0.106498
56922,0.049338
56924,0.006318
56926,0.001504
56928,0.354693
56929,0.354693
56930,0.108905
56932,0.078520
56934,0.079122
56936,0.427798
56937,0.427798
56938,0.073406
56940,0.108002
56942,0.005114
56944,0.114621
56946,0.245187
57197,0.003911
57199,0.094765
57201,0.108905
57312,0.241576
57314,0.029783
57372,0.017449
57440,0.126053
57480,0.455475
57481,0.578821
57483,0.016245
57994,0.005114
58013,0.283995
58014,0.283995
58085,0.101083
58111,0.010830
58113,0.017148
58151,0.339350
58198,0.052046
58295,0.020156
58424,0.003309
58425,0.022563
58437,0.099880
58508,0.011131
58510,0.024669
58513,0.077016
58644,0.009928
58656,0.000903
58667,0.021059
58696,0.007220
58708,0.401023
58709,0.401023
58710,0.010830
58732,0.023165
58760,0.330024
58762,0.591456
58824,0.281288
58825,0.281288
58826,0.281288
58827,0.281288
58938,0.360108
58939,0.360108
58940,0.397413
58941,0.397413
58942,0.414260
58943,0.016847
58944,0.004212
58977,0.327016
58979,0.131769
58981,0.071901
58983,0.099278
58985,0.111613
59065,0.199759
59361,0.021661
59448,0.043321
59452,0.012936
59453,0.012936
59485,0.330927
59547,0.561673
59569,0.281288
