Dependency=Location Census Tract	Option=Mountain - Pacific	Option=New England	Option=South Atlantic - East South Central	Option=West North Central	Count	Weight
G2400030750804	0.25	0.25	0.25	0.25	0	0.0
G2400030750900	0.25	0.25	0.25	0.25	0	0.0
G2400030751000	0.25	0.25	0.25	0.25	0	0.0
G2400030751102	0.25	0.25	0.25	0.25	0	0.0
G2400030751103	0.25	0.25	0.25	0.25	0	0.0
G2400030751200	0.25	0.25	0.25	0.25	0	0.0
G2400030751400	0.25	0.25	0.25	0.25	0	0.0
G2400030751500	0.25	0.25	0.25	0.25	0	0.0
G2400030751600	0.25	0.25	0.25	0.25	0	0.0
G2400030751700	0.25	0.25	0.25	0.25	0	0.0
G2400030980000	0.25	0.25	0.25	0.25	0	0.0
G2400030990000	0.25	0.25	0.25	0.25	0	0.0
G2400050400100	0.25	0.25	0.25	0.25	0	0.0
G2400050400200	0.25	0.25	0.25	0.25	0	0.0
G2400050400400	0.25	0.25	0.25	0.25	0	0.0
G2400050400500	0.25	0.25	0.25	0.25	0	0.0
G2400050400600	0.25	0.25	0.25	0.25	0	0.0
G2400050400701	0.25	0.25	0.25	0.25	0	0.0
G2400050400702	0.25	0.25	0.25	0.25	0	0.0
G2400050400800	0.25	0.25	0.25	0.25	0	0.0
G2400050400900	0.25	0.25	0.25	0.25	0	0.0
G2400050401000	0.25	0.25	0.25	0.25	0	0.0
G2400050401101	0.25	0.25	0.25	0.25	0	0.0
G2400050401102	0.25	0.25	0.25	0.25	0	0.0
G2400050401200	0.25	0.25	0.25	0.25	0	0.0
G2400050401301	0.25	0.25	0.25	0.25	0	0.0
G2400050401302	0.25	0.25	0.25	0.25	0	0.0
G2400050401400	0.25	0.25	0.25	0.25	0	0.0
G2400050401503	0.25	0.25	0.25	0.25	0	0.0
G2400050401504	0.25	0.25	0.25	0.25	0	0.0
G2400050401505	0.25	0.25	0.25	0.25	0	0.0
G2400050401506	0.25	0.25	0.25	0.25	0	0.0
G2400050401507	0.25	0.25	0.25	0.25	0	0.0
G2400050402201	0.25	0.25	0.25	0.25	0	0.0
G2400050402202	0.25	0.25	0.25	0.25	0	0.0
G2400050402302	0.25	0.25	0.25	0.25	0	0.0
G2400050402303	0.25	0.25	0.25	0.25	0	0.0
G2400050402304	0.25	0.25	0.25	0.25	0	0.0
G2400050402305	0.25	0.25	0.25	0.25	0	0.0
G2400050402306	0.25	0.25	0.25	0.25	0	0.0
G2400050402307	0.25	0.25	0.25	0.25	0	0.0
G2400050402403	0.25	0.25	0.25	0.25	0	0.0
G2400050402404	0.25	0.25	0.25	0.25	0	0.0
G2400050402405	0.25	0.25	0.25	0.25	0	0.0
G2400050402406	0.25	0.25	0.25	0.25	0	0.0
G2400050402407	0.25	0.25	0.25	0.25	0	0.0
G2400050402503	0.25	0.25	0.25	0.25	0	0.0
G2400050402504	0.25	0.25	0.25	0.25	0	0.0
G2400050402505	0.25	0.25	0.25	0.25	0	0.0
G2400050402506	0.25	0.25	0.25	0.25	0	0.0
G2400050402509	0.25	0.25	0.25	0.25	0	0.0
G2400050402602	0.25	0.25	0.25	0.25	0	0.0
G2400050402603	0.25	0.25	0.25	0.25	0	0.0
G2400050402604	0.25	0.25	0.25	0.25	0	0.0
G2400050403100	0.25	0.25	0.25	0.25	0	0.0
G2400050403201	0.25	0.25	0.25	0.25	0	0.0
G2400050403202	0.25	0.25	0.25	0.25	0	0.0
G2400050403300	0.25	0.25	0.25	0.25	0	0.0
G2400050403401	0.25	0.25	0.25	0.25	0	0.0
G2400050403402	0.25	0.25	0.25	0.25	0	0.0
G2400050403500	0.25	0.25	0.25	0.25	0	0.0
G2400050403601	0.25	0.25	0.25	0.25	0	0.0
G2400050403602	0.25	0.25	0.25	0.25	0	0.0
G2400050403701	0.25	0.25	0.25	0.25	0	0.0
G2400050403702	0.25	0.25	0.25	0.25	0	0.0
G2400050403801	0.25	0.25	0.25	0.25	0	0.0
G2400050403802	0.25	0.25	0.25	0.25	0	0.0
G2400050403803	0.25	0.25	0.25	0.25	0	0.0
G2400050404101	0.25	0.25	0.25	0.25	0	0.0
G2400050404102	0.25	0.25	0.25	0.25	0	0.0
G2400050404201	0.25	0.25	0.25	0.25	0	0.0
G2400050404202	0.25	0.25	0.25	0.25	0	0.0
G2400050404402	0.25	0.25	0.25	0.25	0	0.0
G2400050404403	0.25	0.25	0.25	0.25	0	0.0
G2400050404404	0.25	0.25	0.25	0.25	0	0.0
G0100550000700	0.25	0.25	0.25	0.25	0	0.0
G0100550000800	0.25	0.25	0.25	0.25	0	0.0
G0100550000900	0.25	0.25	0.25	0.25	0	0.0
G0100550001000	0.25	0.25	0.25	0.25	0	0.0
G0100550001100	0.25	0.25	0.25	0.25	0	0.0
G0100550001200	0.25	0.25	0.25	0.25	0	0.0
G0100550001300	0.25	0.25	0.25	0.25	0	0.0
G0100550001600	0.25	0.25	0.25	0.25	0	0.0
G0100550001700	0.25	0.25	0.25	0.25	0	0.0
G0100550010100	0.25	0.25	0.25	0.25	0	0.0
G0100550010200	0.25	0.25	0.25	0.25	0	0.0
G0100550010300	0.25	0.25	0.25	0.25	0	0.0
G0100550010401	0.25	0.25	0.25	0.25	0	0.0
G0100550010402	0.25	0.25	0.25	0.25	0	0.0
G0100550010501	0.25	0.25	0.25	0.25	0	0.0
G0100550010502	0.25	0.25	0.25	0.25	0	0.0
G0100550010601	0.25	0.25	0.25	0.25	0	0.0
G0100550010602	0.25	0.25	0.25	0.25	0	0.0
G0100550010700	0.25	0.25	0.25	0.25	0	0.0
G0100550010800	0.25	0.25	0.25	0.25	0	0.0
G0100550010900	0.25	0.25	0.25	0.25	0	0.0
G0100550011001	0.25	0.25	0.25	0.25	0	0.0
G0100550011002	0.25	0.25	0.25	0.25	0	0.0
G0100550011100	0.25	0.25	0.25	0.25	0	0.0
G0100550011200	0.25	0.25	0.25	0.25	0	0.0
G0100570020000	0.25	0.25	0.25	0.25	0	0.0
G0100570020100	0.25	0.25	0.25	0.25	0	0.0
G0100570020200	0.25	0.25	0.25	0.25	0	0.0
G0100570020300	0.25	0.25	0.25	0.25	0	0.0
G0100570020400	0.25	0.25	0.25	0.25	0	0.0
G0100590972900	0.25	0.25	0.25	0.25	0	0.0
G0100590973000	0.25	0.25	0.25	0.25	0	0.0
G0100590973100	0.25	0.25	0.25	0.25	0	0.0
G0100590973200	0.25	0.25	0.25	0.25	0	0.0
G0100590973300	0.25	0.25	0.25	0.25	0	0.0
G0100590973400	0.25	0.25	0.25	0.25	0	0.0
G0100590973500	0.25	0.25	0.25	0.25	0	0.0
G0100590973600	0.25	0.25	0.25	0.25	0	0.0
G0100590973700	0.25	0.25	0.25	0.25	0	0.0
G0100610050100	0.25	0.25	0.25	0.25	0	0.0
G0100610050200	0.25	0.25	0.25	0.25	0	0.0
G0100610050300	0.25	0.25	0.25	0.25	0	0.0
G0100610050400	0.25	0.25	0.25	0.25	0	0.0
G0100610050500	0.25	0.25	0.25	0.25	0	0.0
G0100610050600	0.25	0.25	0.25	0.25	0	0.0
G0100630060000	0.25	0.25	0.25	0.25	0	0.0
G0100630060100	0.25	0.25	0.25	0.25	0	0.0
G0100630060200	0.25	0.25	0.25	0.25	0	0.0
G0100650040000	0.25	0.25	0.25	0.25	0	0.0
G0100650040100	0.25	0.25	0.25	0.25	0	0.0
G0100650040200	0.25	0.25	0.25	0.25	0	0.0
G0100650040300	0.25	0.25	0.25	0.25	0	0.0
G0100650040400	0.25	0.25	0.25	0.25	0	0.0
G0100650040500	0.25	0.25	0.25	0.25	0	0.0
G0100670030100	0.25	0.25	0.25	0.25	0	0.0
G0100670030200	0.25	0.25	0.25	0.25	0	0.0
G0100670030300	0.25	0.25	0.25	0.25	0	0.0
G0100670030400	0.25	0.25	0.25	0.25	0	0.0
G0100670030500	0.25	0.25	0.25	0.25	0	0.0
G0100670030600	0.25	0.25	0.25	0.25	0	0.0
G0100690040100	0.25	0.25	0.25	0.25	0	0.0
G0100690040201	0.25	0.25	0.25	0.25	0	0.0
G0100690040202	0.25	0.25	0.25	0.25	0	0.0
G0100690040301	0.25	0.25	0.25	0.25	0	0.0
G0100690040302	0.25	0.25	0.25	0.25	0	0.0
G0100690040400	0.25	0.25	0.25	0.25	0	0.0
G0100690040500	0.25	0.25	0.25	0.25	0	0.0
G0100690040600	0.25	0.25	0.25	0.25	0	0.0
G0100690040700	0.25	0.25	0.25	0.25	0	0.0
G0100690040800	0.25	0.25	0.25	0.25	0	0.0
G0100690040900	0.25	0.25	0.25	0.25	0	0.0
G0100690041000	0.25	0.25	0.25	0.25	0	0.0
G0100690041100	0.25	0.25	0.25	0.25	0	0.0
G0100690041200	0.25	0.25	0.25	0.25	0	0.0
G0100690041400	0.25	0.25	0.25	0.25	0	0.0
G0100690041500	0.25	0.25	0.25	0.25	0	0.0
G0100690041600	0.25	0.25	0.25	0.25	0	0.0
G0100690041700	0.25	0.25	0.25	0.25	0	0.0
G0100690041800	0.25	0.25	0.25	0.25	0	0.0
G0100690041900	0.25	0.25	0.25	0.25	0	0.0
G0100690042000	0.25	0.25	0.25	0.25	0	0.0
G0100690042100	0.25	0.25	0.25	0.25	0	0.0
G0100710950100	0.25	0.25	0.25	0.25	0	0.0
G0100710950200	0.25	0.25	0.25	0.25	0	0.0
G0100710950300	0.25	0.25	0.25	0.25	0	0.0
G0100710950400	0.25	0.25	0.25	0.25	0	0.0
G0100710950500	0.25	0.25	0.25	0.25	0	0.0
G0100710950600	0.25	0.25	0.25	0.25	0	0.0
G0100710950700	0.25	0.25	0.25	0.25	0	0.0
G0100710950800	0.25	0.25	0.25	0.25	0	0.0
G0100710950900	0.25	0.25	0.25	0.25	0	0.0
G0100710951000	0.25	0.25	0.25	0.25	0	0.0
G0100710951100	0.25	0.25	0.25	0.25	0	0.0
G0100730000100	0.25	0.25	0.25	0.25	0	0.0
G0100730000300	0.25	0.25	0.25	0.25	0	0.0
G0100730000400	0.25	0.25	0.25	0.25	0	0.0
G0100730000500	0.25	0.25	0.25	0.25	0	0.0
G0100730000700	0.25	0.25	0.25	0.25	0	0.0
G0100730000800	0.25	0.25	0.25	0.25	0	0.0
G0100730001100	0.25	0.25	0.25	0.25	0	0.0
G0500290950600	0.25	0.25	0.25	0.25	0	0.0
G0500310000101	0.25	0.25	0.25	0.25	0	0.0
G0500310000102	0.25	0.25	0.25	0.25	0	0.0
G0500310000200	0.25	0.25	0.25	0.25	0	0.0
G0500310000300	0.25	0.25	0.25	0.25	0	0.0
G0500310000401	0.25	0.25	0.25	0.25	0	0.0
G0500310000402	0.25	0.25	0.25	0.25	0	0.0
G0500310000501	0.25	0.25	0.25	0.25	0	0.0
G0500310000502	0.25	0.25	0.25	0.25	0	0.0
G0500310000601	0.25	0.25	0.25	0.25	0	0.0
G0500310000602	0.25	0.25	0.25	0.25	0	0.0
G0500310000700	0.25	0.25	0.25	0.25	0	0.0
G0500310000801	0.25	0.25	0.25	0.25	0	0.0
G0500310000802	0.25	0.25	0.25	0.25	0	0.0
G0500310000900	0.25	0.25	0.25	0.25	0	0.0
G0500310001000	0.25	0.25	0.25	0.25	0	0.0
G0500310001100	0.25	0.25	0.25	0.25	0	0.0
G0500310001200	0.25	0.25	0.25	0.25	0	0.0
G0500330020100	0.25	0.25	0.25	0.25	0	0.0
G0500330020201	0.25	0.25	0.25	0.25	0	0.0
G0500330020203	0.25	0.25	0.25	0.25	0	0.0
G0500330020204	0.25	0.25	0.25	0.25	0	0.0
G0500330020301	0.25	0.25	0.25	0.25	0	0.0
G0500330020302	0.25	0.25	0.25	0.25	0	0.0
G0500330020401	0.25	0.25	0.25	0.25	0	0.0
G0500330020402	0.25	0.25	0.25	0.25	0	0.0
G0500330020501	0.25	0.25	0.25	0.25	0	0.0
G0500330020502	0.25	0.25	0.25	0.25	0	0.0
G0500330020600	0.25	0.25	0.25	0.25	0	0.0
G0500350030101	0.25	0.25	0.25	0.25	0	0.0
G0500350030102	0.25	0.25	0.25	0.25	0	0.0
G0500350030201	0.25	0.25	0.25	0.25	0	0.0
G0500350030202	0.25	0.25	0.25	0.25	0	0.0
G0500350030301	0.25	0.25	0.25	0.25	0	0.0
G0500350030302	0.25	0.25	0.25	0.25	0	0.0
G0500350030501	0.25	0.25	0.25	0.25	0	0.0
G0500350030502	0.25	0.25	0.25	0.25	0	0.0
G0500350030600	0.25	0.25	0.25	0.25	0	0.0
G0500350030701	0.25	0.25	0.25	0.25	0	0.0
G0500350030702	0.25	0.25	0.25	0.25	0	0.0
G0500350030703	0.25	0.25	0.25	0.25	0	0.0
G0500350030803	0.25	0.25	0.25	0.25	0	0.0
G0500350030804	0.25	0.25	0.25	0.25	0	0.0
G0500350030805	0.25	0.25	0.25	0.25	0	0.0
G0500350030806	0.25	0.25	0.25	0.25	0	0.0
G0500350030807	0.25	0.25	0.25	0.25	0	0.0
G0500350031000	0.25	0.25	0.25	0.25	0	0.0
G0500350031100	0.25	0.25	0.25	0.25	0	0.0
G0500350031200	0.25	0.25	0.25	0.25	0	0.0
G0500370950100	0.25	0.25	0.25	0.25	0	0.0
G0500370950200	0.25	0.25	0.25	0.25	0	0.0
G0500370950300	0.25	0.25	0.25	0.25	0	0.0
G0500370950400	0.25	0.25	0.25	0.25	0	0.0
G0500370950500	0.25	0.25	0.25	0.25	0	0.0
G0500370950600	0.25	0.25	0.25	0.25	0	0.0
G0500390970100	0.25	0.25	0.25	0.25	0	0.0
G0500390970200	0.25	0.25	0.25	0.25	0	0.0
G0500390970300	0.25	0.25	0.25	0.25	0	0.0
G0500410950100	0.25	0.25	0.25	0.25	0	0.0
G0500410950200	0.25	0.25	0.25	0.25	0	0.0
G0500410950300	0.25	0.25	0.25	0.25	0	0.0
G0500410950400	0.25	0.25	0.25	0.25	0	0.0
G0500410950500	0.25	0.25	0.25	0.25	0	0.0
G0500430490100	0.25	0.25	0.25	0.25	0	0.0
G0500430490200	0.25	0.25	0.25	0.25	0	0.0
G0500430490300	0.25	0.25	0.25	0.25	0	0.0
G0500430490400	0.25	0.25	0.25	0.25	0	0.0
G0500430490500	0.25	0.25	0.25	0.25	0	0.0
G0500450030101	0.25	0.25	0.25	0.25	0	0.0
G0500450030102	0.25	0.25	0.25	0.25	0	0.0
G0500450030103	0.25	0.25	0.25	0.25	0	0.0
G0500450030104	0.25	0.25	0.25	0.25	0	0.0
G0500450030200	0.25	0.25	0.25	0.25	0	0.0
G0500450030301	0.25	0.25	0.25	0.25	0	0.0
G0500450030302	0.25	0.25	0.25	0.25	0	0.0
G0500450030303	0.25	0.25	0.25	0.25	0	0.0
G0500450030401	0.25	0.25	0.25	0.25	0	0.0
G0500450030402	0.25	0.25	0.25	0.25	0	0.0
G0500450030403	0.25	0.25	0.25	0.25	0	0.0
G0500450030404	0.25	0.25	0.25	0.25	0	0.0
G0500450030501	0.25	0.25	0.25	0.25	0	0.0
G0500450030502	0.25	0.25	0.25	0.25	0	0.0
G0500450030600	0.25	0.25	0.25	0.25	0	0.0
G0500450030701	0.25	0.25	0.25	0.25	0	0.0
G0500450030702	0.25	0.25	0.25	0.25	0	0.0
G0500450030800	0.25	0.25	0.25	0.25	0	0.0
G0500450030900	0.25	0.25	0.25	0.25	0	0.0
G0500450031001	0.25	0.25	0.25	0.25	0	0.0
G0500450031003	0.25	0.25	0.25	0.25	0	0.0
G0500450031005	0.25	0.25	0.25	0.25	0	0.0
G0500450031006	0.25	0.25	0.25	0.25	0	0.0
G0500450031101	0.25	0.25	0.25	0.25	0	0.0
G0500450031102	0.25	0.25	0.25	0.25	0	0.0
G0500470950100	0.25	0.25	0.25	0.25	0	0.0
G0500470950200	0.25	0.25	0.25	0.25	0	0.0
G0500470950300	0.25	0.25	0.25	0.25	0	0.0
G0500490550100	0.25	0.25	0.25	0.25	0	0.0
G0500490550200	0.25	0.25	0.25	0.25	0	0.0
G0500510010300	0.25	0.25	0.25	0.25	0	0.0
G0500510010400	0.25	0.25	0.25	0.25	0	0.0
G2400050404501	0.25	0.25	0.25	0.25	0	0.0
G2400050404502	0.25	0.25	0.25	0.25	0	0.0
G2400050404600	0.25	0.25	0.25	0.25	0	0.0
G2400050404800	0.25	0.25	0.25	0.25	0	0.0
G2400050404900	0.25	0.25	0.25	0.25	0	0.0
G2400050405000	0.25	0.25	0.25	0.25	0	0.0
G2400050406000	0.25	0.25	0.25	0.25	0	0.0
G2400050407001	0.25	0.25	0.25	0.25	0	0.0
G2400050407002	0.25	0.25	0.25	0.25	0	0.0
G2400050408100	0.25	0.25	0.25	0.25	0	0.0
G2400050408200	0.25	0.25	0.25	0.25	0	0.0
G2400050408302	0.25	0.25	0.25	0.25	0	0.0
G2400050408303	0.25	0.25	0.25	0.25	0	0.0
G2400050408304	0.25	0.25	0.25	0.25	0	0.0
G2400050408400	0.25	0.25	0.25	0.25	0	0.0
G2400050408502	0.25	0.25	0.25	0.25	0	0.0
G2400050408503	0.25	0.25	0.25	0.25	0	0.0
G2400050408505	0.25	0.25	0.25	0.25	0	0.0
G2400050408506	0.25	0.25	0.25	0.25	0	0.0
G2400050408507	0.25	0.25	0.25	0.25	0	0.0
G2400050408601	0.25	0.25	0.25	0.25	0	0.0
G2400050408602	0.25	0.25	0.25	0.25	0	0.0
G2400050408702	0.25	0.25	0.25	0.25	0	0.0
G2400050408703	0.25	0.25	0.25	0.25	0	0.0
G2400050408704	0.25	0.25	0.25	0.25	0	0.0
G2400050408800	0.25	0.25	0.25	0.25	0	0.0
G2400050408900	0.25	0.25	0.25	0.25	0	0.0
G2400050410100	0.25	0.25	0.25	0.25	0	0.0
G2400050410200	0.25	0.25	0.25	0.25	0	0.0
G2400050411101	0.25	0.25	0.25	0.25	0	0.0
G2400050411102	0.25	0.25	0.25	0.25	0	0.0
G2400050411201	0.25	0.25	0.25	0.25	0	0.0
G2400050411202	0.25	0.25	0.25	0.25	0	0.0
G2400050411302	0.25	0.25	0.25	0.25	0	0.0
G2400050411303	0.25	0.25	0.25	0.25	0	0.0
G2400050411306	0.25	0.25	0.25	0.25	0	0.0
G2400050411307	0.25	0.25	0.25	0.25	0	0.0
G2400050411308	0.25	0.25	0.25	0.25	0	0.0
G2400050411309	0.25	0.25	0.25	0.25	0	0.0
G2400050411404	0.25	0.25	0.25	0.25	0	0.0
G2400050411406	0.25	0.25	0.25	0.25	0	0.0
G2400050411407	0.25	0.25	0.25	0.25	0	0.0
G2400050411408	0.25	0.25	0.25	0.25	0	0.0
G2400050411409	0.25	0.25	0.25	0.25	0	0.0
G2400050411410	0.25	0.25	0.25	0.25	0	0.0
G2400050420100	0.25	0.25	0.25	0.25	0	0.0
G2400050420200	0.25	0.25	0.25	0.25	0	0.0
G2400050420301	0.25	0.25	0.25	0.25	0	0.0
G2400050420302	0.25	0.25	0.25	0.25	0	0.0
G2400050420303	0.25	0.25	0.25	0.25	0	0.0
G2400050420401	0.25	0.25	0.25	0.25	0	0.0
G2400050420402	0.25	0.25	0.25	0.25	0	0.0
G2400050420500	0.25	0.25	0.25	0.25	0	0.0
G2400050420600	0.25	0.25	0.25	0.25	0	0.0
G2400050420701	0.25	0.25	0.25	0.25	0	0.0
G2400050420702	0.25	0.25	0.25	0.25	0	0.0
G2400050420800	0.25	0.25	0.25	0.25	0	0.0
G2400050420900	0.25	0.25	0.25	0.25	0	0.0
G2400050421000	0.25	0.25	0.25	0.25	0	0.0
G2400050421101	0.25	0.25	0.25	0.25	0	0.0
G2400050421102	0.25	0.25	0.25	0.25	0	0.0
G2400050421200	0.25	0.25	0.25	0.25	0	0.0
G2400050421300	0.25	0.25	0.25	0.25	0	0.0
G2400050430101	0.25	0.25	0.25	0.25	0	0.0
G2400050430104	0.25	0.25	0.25	0.25	0	0.0
G2400050430200	0.25	0.25	0.25	0.25	0	0.0
G2400050430300	0.25	0.25	0.25	0.25	0	0.0
G2400050430400	0.25	0.25	0.25	0.25	0	0.0
G2400050430600	0.25	0.25	0.25	0.25	0	0.0
G2400050430700	0.25	0.25	0.25	0.25	0	0.0
G2400050430800	0.25	0.25	0.25	0.25	0	0.0
G2400050430900	0.25	0.25	0.25	0.25	0	0.0
G2400050440100	0.25	0.25	0.25	0.25	0	0.0
G2400050440200	0.25	0.25	0.25	0.25	0	0.0
G2400050440300	0.25	0.25	0.25	0.25	0	0.0
G2400050440400	0.25	0.25	0.25	0.25	0	0.0
G2400050440500	0.25	0.25	0.25	0.25	0	0.0
G2400050440600	0.25	0.25	0.25	0.25	0	0.0
G2400050440701	0.25	0.25	0.25	0.25	0	0.0
G2400050440702	0.25	0.25	0.25	0.25	0	0.0
G2400050440800	0.25	0.25	0.25	0.25	0	0.0
G2400050440900	0.25	0.25	0.25	0.25	0	0.0
G2400050441000	0.25	0.25	0.25	0.25	0	0.0
G2400050441101	0.25	0.25	0.25	0.25	0	0.0
G2400050441102	0.25	0.25	0.25	0.25	0	0.0
G2400050450100	0.25	0.25	0.25	0.25	0	0.0
G2400050450200	0.25	0.25	0.25	0.25	0	0.0
G2400050450300	0.25	0.25	0.25	0.25	0	0.0
G2400050450400	0.25	0.25	0.25	0.25	0	0.0
G2400050450501	0.25	0.25	0.25	0.25	0	0.0
G2400050450503	0.25	0.25	0.25	0.25	0	0.0
G2400050450504	0.25	0.25	0.25	0.25	0	0.0
G2400050450800	0.25	0.25	0.25	0.25	0	0.0
G2400050450900	0.25	0.25	0.25	0.25	0	0.0
G2400050451000	0.25	0.25	0.25	0.25	0	0.0
G2400050451100	0.25	0.25	0.25	0.25	0	0.0
G2400050451200	0.25	0.25	0.25	0.25	0	0.0
G2400050451300	0.25	0.25	0.25	0.25	0	0.0
G2400050451401	0.25	0.25	0.25	0.25	0	0.0
G2400050451402	0.25	0.25	0.25	0.25	0	0.0
G2400050451500	0.25	0.25	0.25	0.25	0	0.0
G2400050451600	0.25	0.25	0.25	0.25	0	0.0
G2400050451701	0.25	0.25	0.25	0.25	0	0.0
G2400050451702	0.25	0.25	0.25	0.25	0	0.0
G2400050451801	0.25	0.25	0.25	0.25	0	0.0
G2400050451802	0.25	0.25	0.25	0.25	0	0.0
G2400050451803	0.25	0.25	0.25	0.25	0	0.0
G2400050451900	0.25	0.25	0.25	0.25	0	0.0
G2400050452000	0.25	0.25	0.25	0.25	0	0.0
G2400050452100	0.25	0.25	0.25	0.25	0	0.0
G2400050452300	0.25	0.25	0.25	0.25	0	0.0
G2400050452400	0.25	0.25	0.25	0.25	0	0.0
G2400050452500	0.25	0.25	0.25	0.25	0	0.0
G2400050490100	0.25	0.25	0.25	0.25	0	0.0
G2400050490200	0.25	0.25	0.25	0.25	0	0.0
G2400050490301	0.25	0.25	0.25	0.25	0	0.0
G2400050490302	0.25	0.25	0.25	0.25	0	0.0
G2400050490400	0.25	0.25	0.25	0.25	0	0.0
G2400050490500	0.25	0.25	0.25	0.25	0	0.0
G2400050490601	0.25	0.25	0.25	0.25	0	0.0
G2400050490602	0.25	0.25	0.25	0.25	0	0.0
G2400050490603	0.25	0.25	0.25	0.25	0	0.0
G2400050490605	0.25	0.25	0.25	0.25	0	0.0
G2400050490701	0.25	0.25	0.25	0.25	0	0.0
G2400050490703	0.25	0.25	0.25	0.25	0	0.0
G2400050490800	0.25	0.25	0.25	0.25	0	0.0
G2400050490900	0.25	0.25	0.25	0.25	0	0.0
G2400050491000	0.25	0.25	0.25	0.25	0	0.0
G2400050491100	0.25	0.25	0.25	0.25	0	0.0
G2400050491201	0.25	0.25	0.25	0.25	0	0.0
G2400050491202	0.25	0.25	0.25	0.25	0	0.0
G2400050491300	0.25	0.25	0.25	0.25	0	0.0
G2400050491401	0.25	0.25	0.25	0.25	0	0.0
G2400050491402	0.25	0.25	0.25	0.25	0	0.0
G2400050491500	0.25	0.25	0.25	0.25	0	0.0
G2400050491600	0.25	0.25	0.25	0.25	0	0.0
G2400050491701	0.25	0.25	0.25	0.25	0	0.0
G2400050491900	0.25	0.25	0.25	0.25	0	0.0
G2400050492001	0.25	0.25	0.25	0.25	0	0.0
G2400050492002	0.25	0.25	0.25	0.25	0	0.0
G2400050492101	0.25	0.25	0.25	0.25	0	0.0
G2400050492102	0.25	0.25	0.25	0.25	0	0.0
G2400050492200	0.25	0.25	0.25	0.25	0	0.0
G2400050492300	0.25	0.25	0.25	0.25	0	0.0
G2400050492401	0.25	0.25	0.25	0.25	0	0.0
G2400050492402	0.25	0.25	0.25	0.25	0	0.0
G2400050492500	0.25	0.25	0.25	0.25	0	0.0
G2400050492600	0.25	0.25	0.25	0.25	0	0.0
G2400050980000	0.25	0.25	0.25	0.25	0	0.0
G2400050980100	0.25	0.25	0.25	0.25	0	0.0
G2400050980200	0.25	0.25	0.25	0.25	0	0.0
G2400090860101	0.25	0.25	0.25	0.25	0	0.0
G2400090860102	0.25	0.25	0.25	0.25	0	0.0
G2400090860200	0.25	0.25	0.25	0.25	0	0.0
G2400090860300	0.25	0.25	0.25	0.25	0	0.0
G2400090860401	0.25	0.25	0.25	0.25	0	0.0
G2400090860402	0.25	0.25	0.25	0.25	0	0.0
G2400090860501	0.25	0.25	0.25	0.25	0	0.0
G2400090860502	0.25	0.25	0.25	0.25	0	0.0
G2400090860600	0.25	0.25	0.25	0.25	0	0.0
G2400090860701	0.25	0.25	0.25	0.25	0	0.0
G2400090860702	0.25	0.25	0.25	0.25	0	0.0
G2400090860703	0.25	0.25	0.25	0.25	0	0.0
G2400090860801	0.25	0.25	0.25	0.25	0	0.0
G2400090860802	0.25	0.25	0.25	0.25	0	0.0
G2400090860900	0.25	0.25	0.25	0.25	0	0.0
G2400090861001	0.25	0.25	0.25	0.25	0	0.0
G2400090861003	0.25	0.25	0.25	0.25	0	0.0
G2400090861004	0.25	0.25	0.25	0.25	0	0.0
G2400090990100	0.25	0.25	0.25	0.25	0	0.0
G2400110955000	0.25	0.25	0.25	0.25	0	0.0
G2400110955100	0.25	0.25	0.25	0.25	0	0.0
G2400110955201	0.25	0.25	0.25	0.25	0	0.0
G2400110955202	0.25	0.25	0.25	0.25	0	0.0
G2400110955301	0.25	0.25	0.25	0.25	0	0.0
G2400110955302	0.25	0.25	0.25	0.25	0	0.0
G2400110955400	0.25	0.25	0.25	0.25	0	0.0
G2400110955500	0.25	0.25	0.25	0.25	0	0.0
G2400110955600	0.25	0.25	0.25	0.25	0	0.0
G2400130501001	0.25	0.25	0.25	0.25	0	0.0
G2400130501002	0.25	0.25	0.25	0.25	0	0.0
G2400130502000	0.25	0.25	0.25	0.25	0	0.0
G2400130503000	0.25	0.25	0.25	0.25	0	0.0
G2400130504100	0.25	0.25	0.25	0.25	0	0.0
G2400130504201	0.25	0.25	0.25	0.25	0	0.0
G2400130504202	0.25	0.25	0.25	0.25	0	0.0
G2400130505101	0.25	0.25	0.25	0.25	0	0.0
G2400130505102	0.25	0.25	0.25	0.25	0	0.0
G2400130505203	0.25	0.25	0.25	0.25	0	0.0
G2400130505205	0.25	0.25	0.25	0.25	0	0.0
G2400130505206	0.25	0.25	0.25	0.25	0	0.0
G2400130505207	0.25	0.25	0.25	0.25	0	0.0
G2400130505208	0.25	0.25	0.25	0.25	0	0.0
G2400130506101	0.25	0.25	0.25	0.25	0	0.0
G2400130506102	0.25	0.25	0.25	0.25	0	0.0
G2400130506200	0.25	0.25	0.25	0.25	0	0.0
G2400130507500	0.25	0.25	0.25	0.25	0	0.0
G2400130507601	0.25	0.25	0.25	0.25	0	0.0
G2400130507602	0.25	0.25	0.25	0.25	0	0.0
G2400130507702	0.25	0.25	0.25	0.25	0	0.0
G2400130507703	0.25	0.25	0.25	0.25	0	0.0
G2400130507704	0.25	0.25	0.25	0.25	0	0.0
G2400130507801	0.25	0.25	0.25	0.25	0	0.0
G2400130507802	0.25	0.25	0.25	0.25	0	0.0
G2400130508101	0.25	0.25	0.25	0.25	0	0.0
