Dependency=Location EPW	Option=Pier & Beam	Option=Unheated Basement	Option=Heated Basement	Option=Crawl	Option=Slab
0121187_United_States_OR_Multnomah_41051_726980_45.61_-122.62_NSRDB_2.0.1_2011_AMY.epw	0	0.06	0.17	0.72	0.05
1423380_United_States_ME_Aroostook_23003_727120_46.85_-68.02_NSRDB_2.0.1_2011_AMY.epw	0	0.58	0.35	0.02	0.05
0957764_United_States_MI_Chippewa_26033_712600_46.45_-84.34_NSRDB_2.0.1_2011_AMY.epw	0	0.4	0.56	0.03	0.01
0786774_United_States_MN_St._Louis_27137_727450_46.85_-92.22_NSRDB_2.0.1_2011_AMY.epw	0	0.22	0.76	0.01	0.01
0762035_United_States_MN_Koochiching_27071_727470_48.57_-93.42_NSRDB_2.0.1_2011_AMY.epw	0	0.22	0.76	0.01	0.01
0688666_United_States_ND_Cass_38017_727530_46.93_-96.82_NSRDB_2.0.1_2011_AMY.epw	0	0.21	0.73	0.03	0.03
0582358_United_States_ND_Burleigh_38015_727640_46.77_-100.78_NSRDB_2.0.1_2011_AMY.epw	0	0.21	0.73	0.03	0.03
0568167_United_States_ND_Ward_38101_727650_48.25_-101.3_NSRDB_2.0.1_2011_AMY.epw	0	0.21	0.73	0.03	0.03
0431562_United_States_MT_Valley_30105_727680_48.21_-106.62_NSRDB_2.0.1_2011_AMY.epw	0	0.24	0.74	0.02	0.0
0311954_United_States_MT_Lewis_and_Clark_30049_727720_46.61_-111.98_NSRDB_2.0.1_2011_AMY.epw	0	0.24	0.74	0.02	0.0
0268333_United_States_MT_Missoula_30063_727730_46.93_-114.1_NSRDB_2.0.1_2011_AMY.epw	0	0.24	0.74	0.02	0.0
0325150_United_States_MT_Cascade_30013_727760_47.45_-111.38_NSRDB_2.0.1_2011_AMY.epw	0	0.24	0.74	0.02	0.0
0264842_United_States_MT_Flathead_30029_727790_48.33_-114.26_NSRDB_2.0.1_2011_AMY.epw	0	0.24	0.74	0.02	0.0
0303807_United_States_MT_Glacier_30035_727690_48.61_-112.38_NSRDB_2.0.1_2011_AMY.epw	0	0.24	0.74	0.02	0.0
0152773_United_States_WA_Yakima_53077_727810_46.57_-120.54_NSRDB_2.0.1_2011_AMY.epw	0	0.16	0.46	0.35	0.03
0202713_United_States_WA_Spokane_53063_727850_47.49_-117.58_NSRDB_2.0.1_2011_AMY.epw	0	0.16	0.46	0.35	0.03
0103553_United_States_OR_Clatsop_41007_727910_46.13_-123.9_NSRDB_2.0.1_2011_AMY.epw	0	0.06	0.17	0.72	0.05
0117406_United_States_WA_Thurston_53067_727920_46.97_-122.9_NSRDB_2.0.1_2011_AMY.epw	0	0.16	0.46	0.35	0.03
0125711_United_States_WA_King_53033_727930_47.45_-122.3_NSRDB_2.0.1_2011_AMY.epw	0	0.16	0.46	0.35	0.03
0095843_United_States_WA_Clallam_53009_727970_47.93_-124.58_NSRDB_2.0.1_2011_AMY.epw	0	0.16	0.46	0.35	0.03
0448678_United_States_MT_Custer_30017_742300_46.45_-105.9_NSRDB_2.0.1_2011_AMY.epw	0	0.24	0.74	0.02	0.0
1237137_United_States_NY_Queens_36081_744860_40.65_-73.82_NSRDB_2.0.1_2011_AMY.epw	0	0.48	0.33	0.04	0.15
