Region	Vintage	Size	Stories	ACH50	ACH50	ACH50	ACH50	ACH50	ACH50	ACH50	ACH50	ACH50	ACH50
CR11	2000s	2500-3499	2+								5.592252679		
CR11	2000s	3500+	1						4.209378487				
CR11	2000s	3500+	2+						3.996537874				
CR11	pre-1950	0-1499	1			18.9370414							
CR11	pre-1950	0-1499	2+			17.97951964							
CR11	pre-1950	1500-2499	1		15.98285005								
CR11	pre-1950	1500-2499	2+		15.17470234								
CR11	pre-1950	2500-3499	1		13.21389257								
CR11	pre-1950	2500-3499	2+		12.54575285								
CR11	pre-1950	3500+	1	9.44338984									
CR11	pre-1950	3500+	2+										8.965899662
CR12	1950s	0-1499	1				23.59700664						
CR12	1950s	0-1499	2+			22.40386105							
CR12	1950s	1500-2499	1			19.91585754							
CR12	1950s	1500-2499	2+			18.90884348							
CR12	1950s	2500-3499	1		16.46552406								
CR12	1950s	2500-3499	2+		15.63297069								
CR12	1950s	3500+	1	11.76718834									
CR12	1950s	3500+	2+	11.17219894									
CR12	1960s	0-1499	1			19.6508357							
CR12	1960s	0-1499	2+			18.65722205							
CR12	1960s	1500-2499	1		16.58529195								
CR12	1960s	1500-2499	2+		15.74668271								
CR12	1960s	2500-3499	1		13.7119641								
CR12	1960s	2500-3499	2+		13.01864017								
CR12	1960s	3500+	1	9.79933973									
CR12	1960s	3500+	2+	9.303851505									
CR12	1970s	0-1499	1			19.28099444							
CR12	1970s	0-1499	2+			18.30608123							
CR12	1970s	1500-2499	1		16.27314618								
CR12	1970s	1500-2499	2+		15.4503201								
CR12	1970s	2500-3499	1		13.45389619								
CR12	1970s	2500-3499	2+		12.77362106								
CR12	1970s	3500+	1	9.614909907									
CR12	1970s	3500+	2+	9.128747086									
CR12	1980s	0-1499	1		15.75440276								
CR12	1980s	0-1499	2+		14.95780613								
CR12	1980s	1500-2499	1		13.2967052								
CR12	1980s	1500-2499	2+		12.62437819								
CR12	1980s	2500-3499	1	10.99311034									
CR12	1980s	2500-3499	2+	10.43726098									
CR12	1980s	3500+	1										7.856294117
CR12	1980s	3500+	2+									7.459052942	
CR12	1990s	0-1499	1	12.13531585									
CR12	1990s	0-1499	2+	11.52171266									
CR12	1990s	1500-2499	1	10.24219831									
CR12	1990s	1500-2499	2+	9.724317639									
CR12	1990s	2500-3499	1										8.467783142
CR12	1990s	2500-3499	2+										8.039622985
CR12	1990s	3500+	1								6.051553457		
CR12	1990s	3500+	2+								5.74556616		
CR12	2000s	0-1499	1	10.51833439									
CR12	2000s	0-1499	2+	9.986491327									
CR12	2000s	1500-2499	1										8.877467062
CR12	2000s	1500-2499	2+										8.428591881
CR12	2000s	2500-3499	1									7.339485493	
CR12	2000s	2500-3499	2+									6.968375934	
CR12	2000s	3500+	1							5.245208582			
CR12	2000s	3500+	2+							4.979992847			
CR12	pre-1950	0-1499	1				23.59700664						
CR12	pre-1950	0-1499	2+			22.40386105							
CR12	pre-1950	1500-2499	1			19.91585754							
CR12	pre-1950	1500-2499	2+			18.90884348							
CR12	pre-1950	2500-3499	1		16.46552406								
CR12	pre-1950	2500-3499	2+		15.63297069								
CR12	pre-1950	3500+	1	11.76718834									
CR12	pre-1950	3500+	2+	11.17219894									
