occupants,lighting_interior,lighting_exterior,lighting_garage,lighting_exterior_holiday,cooking_range,refrigerator,hot_water_dishwasher,dishwasher,hot_water_clothes_washer,clothes_washer,clothes_dryer,plug_loads_tv,plug_loads_other,hot_water_fixtures,ceiling_fan,outage,heating_season,cooling_season,natural_ventilation,water_heater_setpoint
1,0.0495,0.556,0.556,0,0,0.811,0,0,0,0,0,0.196,0.465,0,0.258,0,1,1,0,125
1,0.0495,0.445,0.445,0,0,0.791,0,0,0,0,0,0.0806,0.465,0,0.258,0,1,1,1,125
1,0.0495,0.412,0.412,0,0,0.771,0,0,0,0,0,0.0392,0.465,0,0.258,0,1,1,1,125
1,0.0495,0.412,0.412,0,0,0.752,0,0,0,0,0,0.0196,0.465,0,0.258,0,1,1,1,125
1,0.0495,0.401,0.401,0,0,0.732,0,0,0,0,0,0.0152,0.465,0,0.258,0,1,1,1,125
1,0.0495,0.367,0.367,0,0,0.712,0,0,0,0,0,0.024,0.465,0,0.258,0,1,1,1,125
1,0.0495,0.401,0.401,0,0,0.712,0,0,0,0,0,0.0392,0.465,0,0.258,0,1,1,1,125
1,0.0495,0.478,0.478,0,0,0.752,0,0,0,0,0,0.0632,0.465,0.11,0.258,0,1,1,1,125
1,0.305,0.523,0.523,0,0.233,0.791,0,0,0,0,0,0.0871,0.572,0.158,0.435,0,1,1,1,125
0.667,0.184,0.378,0.378,0,0,0.811,0,0,0.0965,0.319,0,0.107,0.524,0.331,0.298,0,1,1,1,125
0.667,0.321,0.256,0.256,0,0,0.811,0,0,0.236,0.617,0.4,0.126,0.582,0.113,0.257,0,1,1,1,125
0.667,0.312,0.267,0.267,0,0,0.791,0,0,0.543,0,0.367,0.142,0.582,0.0988,0.264,0,1,1,1,125
0.333,0.175,0.278,0.278,0,0,0.791,0,0,0,0,0,0.157,0.529,0.218,0.265,0,1,1,1,125
0.333,0.171,0.267,0.267,0,0,0.831,0,0,0,0,0,0.166,0.534,0.301,0.261,0,1,1,1,125
0.333,0.169,0.312,0.312,0,0,0.831,0,0,0,0,0,0.187,0.534,0.227,0.276,0,1,1,1,125
0.667,0.29,0.345,0.345,0,0.217,0.831,0,0,0,0,0,0.198,0.592,0.156,0.316,0,1,1,1,125
0.667,0.298,0.356,0.356,0,0.267,0.811,0,0,0.596,0.617,0.4,0.222,0.612,0,0.323,0,1,1,1,125
1,0.464,0.434,0.434,0,0,0.87,0,0,0.648,0,0.117,0.277,0.715,0.0428,0.434,0,1,1,1,125
1,0.567,0.59,0.59,0,0,0.949,0,0,0.559,0,0,0.34,0.775,0.128,0.59,0,1,1,1,125
1,0.736,0.701,0.701,0,0,0.989,0,0,0.603,0,0,0.457,0.79,0.514,0.701,0,1,1,1,125
1,0.895,0.745,0.745,0,0,0.949,0,0,0.342,0,0,0.64,0.745,0.255,0.745,0,1,1,1,125
1,0.928,0.79,0.79,0,0,0.93,0,0,0,0,0,0.791,0.701,0.214,0.79,0,1,1,1,125
1,0.555,0.768,0.768,0,0,0.91,0,0,0,0,0,0.749,0.602,0.128,0.598,0,1,1,1,125
1,0.35,0.656,0.656,0,0,0.87,0,0,0,0,0,0.453,0.553,0.214,0.524,0,1,1,1,125
1,0.116,0.556,0.556,0,0,0.811,0,0,0,0,0,0.196,0.489,0,0.357,0,1,1,1,125
1,0.0495,0.445,0.445,0,0,0.791,0,0,0,0,0,0.0958,0.465,0,0.258,0,1,1,0,125
1,0.0495,0.412,0.412,0,0,0.771,0,0,0,0,0,0.0479,0.465,0,0.258,0,1,1,0,125
1,0.0495,0.412,0.412,0,0,0.752,0,0,0,0,0,0.0261,0.465,0,0.258,0,1,1,0,125
1,0.0495,0.401,0.401,0,0,0.732,0,0,0,0,0,0.0174,0.465,0,0.258,0,1,1,0,125
1,0.0495,0.367,0.367,0,0,0.712,0,0,0,0,0,0.024,0.465,0.0927,0.258,0,1,1,0,125
1,0.0816,0.401,0.401,0,0,0.712,0,0,0,0,0,0.0305,0.474,0,0.305,0,1,1,0,125
0.667,0.0495,0.478,0.478,0,0,0.752,0,0,0,0,0,0.0523,0.465,0,0.258,0,1,1,0,125
0.667,0.0495,0.523,0.523,0,0,0.791,0,0,0,0,0,0.0937,0.465,0,0.258,0,1,1,0,125
0.667,0.0495,0.378,0.378,0,0,0.811,0,0,0,0,0,0.155,0.465,0.214,0.258,0,1,1,0,125
0.667,0.0495,0.256,0.256,0,0,0.811,0,0,0,0,0,0.205,0.465,0,0.258,0,1,1,0,125
0.667,0.0495,0.267,0.267,0,0.55,0.791,0,0,0,0,0,0.244,0.465,0,0.258,0,1,1,0,125
1,0.3,0.278,0.278,0,0.667,0.791,0,0,0,0,0,0.268,0.592,0,0.271,0,1,1,0,125
1,0.413,0.267,0.267,0,0,0.831,0,0,0,0,0,0.288,0.671,0.146,0.267,0,1,1,0,125
1,0.409,0.312,0.312,0,0,0.831,0,0,0,0,0,0.34,0.671,0.115,0.312,0,1,1,0,125
1,0.41,0.345,0.345,0,0.233,0.831,0,0,0,0,0,0.388,0.656,0.137,0.345,0,1,1,0,125
1,0.422,0.356,0.356,0,0,0.811,0,0,0,0,0,0.427,0.686,0.225,0.356,0,1,1,0,125
1,0.464,0.434,0.434,0,0,0.87,0,0,0,0,0,0.449,0.715,0.3,0.434,0,1,1,0,125
1,0.567,0.59,0.59,0,0,0.949,0,0,0,0,0,0.464,0.775,0.176,0.59,0,1,1,0,125
1,0.736,0.701,0.701,0,0,0.989,0,0,0,0,0,0.547,0.79,0.128,0.701,0,1,1,0,125
1,0.895,0.745,0.745,0,0,0.949,0,0,0,0,0,0.719,0.745,0.0857,0.745,0,1,1,0,125
1,0.928,0.79,0.79,0,0,0.93,0,0,0,0,0,0.845,0.701,0.295,0.79,0,1,1,0,125
1,0.807,0.768,0.768,0,0,0.91,0,0,0,0,0,0.78,0.671,0.273,0.768,0,1,1,0,125
1,0.35,0.656,0.656,0,0,0.87,0,0,0,0,0,0.492,0.553,0.257,0.524,0,1,1,0,125
1,0.183,0.556,0.556,0,0,0.811,0,0,0,0,0,0.224,0.513,0,0.457,0,1,1,0,125
1,0.099,0.445,0.445,0,0,0.791,0,0,0,0,0,0.0958,0.503,0,0.383,0,1,1,0,125
1,0.066,0.412,0.412,0,0,0.771,0,0,0,0,0,0.0479,0.483,0,0.36,0,1,1,0,125
1,0.0495,0.412,0.412,0,0,0.752,0,0,0,0,0,0.0261,0.473,0.0857,0.36,0,1,1,0,125
1,0.0495,0.401,0.401,0,0,0.732,0,0,0,0,0,0.0174,0.463,0,0.353,0,1,1,0,125
1,0.0495,0.367,0.367,0,0,0.712,0,0,0,0,0,0.024,0.465,0,0.258,0,1,1,0,125
1,0.0495,0.401,0.401,0,0,0.712,0,0,0,0,0,0.0305,0.465,0,0.258,0,1,1,0,125
1,0.0495,0.478,0.478,0,0,0.752,0,0,0,0,0,0.0523,0.465,0,0.258,0,1,1,0,125
1,0.0495,0.523,0.523,0,0,0.791,0,0,0,0,0,0.0937,0.465,0,0.258,0,1,1,0,125
1,0.184,0.378,0.378,0,0,0.811,0,0,0,0,0,0.155,0.524,0,0.298,0,1,1,0,125
0.667,0.185,0.256,0.256,0,0,0.811,0,0,0,0,0,0.205,0.524,0.0662,0.257,0,1,1,0,125
1,0.443,0.267,0.267,0,0,0.791,0,0,0,0,0,0.244,0.641,0.0997,0.267,0,1,1,0,125
1,0.426,0.278,0.278,0,0.483,0.791,0,0,0,0,0,0.268,0.656,0.137,0.278,0,1,1,0,125
1,0.413,0.267,0.267,0,0,0.831,0,0,0,0,0,0.288,0.671,0,0.267,0,1,1,0,125
0.667,0.289,0.312,0.312,0,0,0.831,0,0,0,0,0,0.34,0.602,0,0.294,0,1,1,0,125
0.667,0.29,0.345,0.345,0,0,0.831,0,0,0.175,0.298,0,0.388,0.592,0.123,0.316,0,1,1,0,125
0.667,0.298,0.356,0.356,0,0,0.811,0,0,0.424,0,0.767,0.427,0.612,0.182,0.323,0,1,1,0,125
0.667,0.326,0.434,0.434,0,0,0.87,0,0,0.399,0,0,0.449,0.632,0.295,0.375,0,1,1,0,125
0.667,0.395,0.59,0.59,0,0,0.949,0,0,0.529,0,0,0.464,0.672,0,0.479,0,1,1,0,125
0.333,0.278,0.701,0.701,0,0,0.989,0,0,0.442,0,0,0.547,0.574,0.257,0.405,0,1,1,0,125
0.667,0.613,0.745,0.745,0,0,0.949,0,0,0.527,0,0,0.719,0.652,0.106,0.583,0,1,1,0,125
0.667,0.342,0.79,0.79,0,0,0.93,0,0,0,0,0,0.845,0.544,0.0857,0.435,0,1,1,0,125
1,0.555,0.768,0.768,0,0,0.91,0,0,0,0,0,0.78,0.602,0.171,0.598,0,1,1,0,125
1,0.5,0.656,0.656,0,0,0.87,0,0,0,0,0,0.492,0.596,0.214,0.656,0,1,1,0,125
1,0.183,0.556,0.556,0,0,0.811,0,0,0,0,0,0.224,0.513,0,0.457,0,1,1,0,125
1,0.0495,0.445,0.445,0,0,0.791,0,0,0,0,0,0.0806,0.465,0,0.258,0,1,1,1,125
1,0.0495,0.412,0.412,0,0,0.771,0,0,0,0,0,0.0392,0.465,0.0428,0.258,0,1,1,1,125
1,0.0495,0.412,0.412,0,0,0.752,0,0,0,0,0,0.0196,0.465,0,0.258,0,1,1,1,125
1,0.0495,0.401,0.401,0,0,0.732,0,0,0,0,0,0.0152,0.465,0,0.258,0,1,1,1,125
1,0.0495,0.367,0.367,0,0,0.712,0,0,0,0,0,0.024,0.465,0,0.258,0,1,1,1,125
1,0.0816,0.401,0.401,0,0.217,0.712,0,0,0,0,0,0.0392,0.474,0.225,0.305,0,1,1,1,125
1,0.342,0.478,0.478,0,0.5,0.752,0,0,0,0,0,0.0632,0.551,0.0825,0.478,0,1,1,1,125
0.667,0.305,0.523,0.523,0,0,0.791,0,0,0,0,0,0.0871,0.572,0.0906,0.435,0,1,1,1,125
0.333,0.184,0.378,0.378,0,0,0.811,0,0,0,0,0,0.107,0.524,0.306,0.298,0,1,1,1,125
0.333,0.185,0.256,0.256,0,0,0.811,0,0,0,0,0,0.126,0.524,0.106,0.257,0,1,1,1,125
0.333,0.181,0.267,0.267,0,0,0.791,0,0,0,0,0,0.142,0.524,0.293,0.261,0,1,1,1,125
0.333,0.175,0.278,0.278,0,0,0.791,0,0,0,0,0,0.157,0.529,0.233,0.265,0,1,1,1,125
0.333,0.171,0.267,0.267,0,0.467,0.831,0,0,0,0,0,0.166,0.534,0.198,0.261,0,1,1,1,125
0.667,0.289,0.312,0.312,0,0.75,0.831,0,0,0,0,0,0.187,0.602,0.153,0.294,0,1,1,1,125
0.333,0.17,0.345,0.345,0,0,0.831,0,0,0,0,0,0.198,0.529,0.0428,0.287,0,1,1,1,125
0.333,0.174,0.356,0.356,0,0,0.811,0,0,0,0,0,0.222,0.539,0.0428,0.29,0,1,1,1,125
0.667,0.326,0.434,0.434,0,0,0.87,0,0,0,0,0,0.277,0.632,0.0428,0.375,0,1,1,1,125
0.667,0.395,0.59,0.59,0,0,0.949,0,0,0,0,0,0.34,0.672,0.257,0.479,0,1,1,1,125
1,0.736,0.701,0.701,0,0,0.989,0,0,0,0,0,0.457,0.79,0.0857,0.701,0,1,1,1,125
1,0.895,0.745,0.745,0,0,0.949,0,0,0,0,0,0.64,0.745,0.171,0.745,0,1,1,1,125
1,0.928,0.79,0.79,0,0,0.93,0.591,0.667,0,0,0,0.791,0.701,0.171,0.79,0,1,1,1,125
1,0.555,0.768,0.768,0,0,0.91,0.131,0.35,0,0,0,0.749,0.602,0,0.598,0,1,1,1,125
1,0.2,0.656,0.656,0,0,0.87,0,0,0,0,0,0.453,0.509,0.14,0.391,0,1,1,1,125
1,0.116,0.556,0.556,0,0,0.811,0,0,0,0,0,0.196,0.489,0.214,0.357,0,1,1,1,125
1,0.0743,0.445,0.445,0,0,0.791,0,0,0,0,0,0.0806,0.484,0.0428,0.32,0,1,1,0,125
1,0.0495,0.412,0.412,0,0,0.771,0,0,0,0,0,0.0392,0.465,0,0.258,0,1,1,0,125
1,0.0495,0.412,0.412,0,0,0.752,0,0,0,0,0,0.0196,0.465,0,0.258,0,1,1,0,125
1,0.0495,0.401,0.401,0,0,0.732,0,0,0,0,0,0.0152,0.465,0,0.258,0,1,1,0,125
1,0.0495,0.367,0.367,0,0,0.712,0,0,0,0,0,0.024,0.465,0,0.258,0,1,1,0,125
1,0.0495,0.401,0.401,0,0,0.712,0,0,0,0,0,0.0392,0.465,0,0.258,0,1,1,0,125
1,0.245,0.478,0.478,0,0,0.752,0,0,0,0,0,0.0632,0.523,0.236,0.405,0,1,1,0,125
1,0.433,0.523,0.523,0,0,0.791,0,0,0.26,0.617,0.15,0.0871,0.626,0.0768,0.523,0,1,1,0,125
0.667,0.318,0.378,0.378,0,0,0.811,0,0,0.228,0,0.617,0.107,0.582,0.102,0.338,0,1,1,0,125
0.667,0.321,0.256,0.256,0,0,0.811,0,0,0.592,0,0,0.126,0.582,0,0.257,0,1,1,0,125
0.667,0.312,0.267,0.267,0,0,0.791,0,0,0.314,0,0,0.142,0.582,0.246,0.264,0,1,1,0,125
0.667,0.3,0.278,0.278,0,0,0.791,0,0,0.521,0,0,0.157,0.592,0.171,0.271,0,1,1,0,125
0.333,0.171,0.267,0.267,0,0,0.831,0,0,0.809,0,0,0.166,0.534,0.0857,0.261,0,1,1,0,125
0.333,0.169,0.312,0.312,0,0,0.831,0,0,0.592,0,0,0.187,0.534,0,0.276,0,1,1,0,125
0.333,0.17,0.345,0.345,0,0,0.831,0,0,0.518,0,0,0.198,0.529,0,0.287,0,1,1,0,125
0.667,0.298,0.356,0.356,0,0,0.811,0,0,0.542,0,0,0.222,0.612,0.257,0.323,0,1,1,0,125
0.667,0.326,0.434,0.434,0,0,0.87,0,0,0.201,0,0,0.277,0.632,0,0.375,0,1,1,0,125
0.667,0.395,0.59,0.59,0,0.967,0.949,0,0,0.781,0,0,0.34,0.672,0.385,0.479,0,1,1,0,125
1,0.736,0.701,0.701,0,1,0.989,0,0,0.635,0,0,0.457,0.79,0.0857,0.701,0,1,1,0,125
1,0.895,0.745,0.745,0,1,0.949,0,0,0.129,0,0,0.64,0.745,0.475,0.745,0,1,1,0,125
1,0.928,0.79,0.79,0,1,0.93,0,0,0,0,0,0.791,0.701,0.256,0.79,0,1,1,0,125
1,0.807,0.768,0.768,0,0.9,0.91,0,0,0,0,0,0.749,0.671,0.464,0.768,0,1,1,0,125
1,0.2,0.656,0.656,0,0,0.87,0,0,0,0,0,0.453,0.509,0.295,0.391,0,1,1,0,125
1,0.0495,0.556,0.556,0,0,0.811,0,0,0,0,0,0.196,0.465,0.0428,0.258,0,1,1,0,125
1,0.0495,0.445,0.445,0,0,0.791,0,0,0,0,0,0.0806,0.465,0,0.258,0,1,1,1,125
1,0.0495,0.412,0.412,0,0,0.771,0,0,0,0,0,0.0392,0.465,0,0.258,0,1,1,1,125
1,0.0495,0.412,0.412,0,0,0.752,0,0,0,0,0,0.0196,0.465,0,0.258,0,1,1,1,125
1,0.0495,0.401,0.401,0,0,0.732,0,0,0,0,0,0.0152,0.465,0,0.258,0,1,1,1,125
0.667,0.0495,0.367,0.367,0,0,0.712,0,0,0,0,0,0.024,0.465,0,0.258,0,1,1,1,125
0.667,0.0495,0.401,0.401,0,0,0.712,0,0,0,0,0,0.0392,0.465,0,0.258,0,1,1,1,125
0.667,0.147,0.478,0.478,0,0,0.752,0,0,0,0,0,0.0632,0.494,0.165,0.331,0,1,1,1,125
0.667,0.177,0.523,0.523,0,0,0.791,0,0,0,0,0,0.0871,0.519,0.076,0.346,0,1,1,1,125
0.333,0.184,0.378,0.378,0,0,0.811,0,0,0,0,0,0.107,0.524,0.134,0.298,0,1,1,1,125
0.333,0.185,0.256,0.256,0,0,0.811,0,0,0,0,0,0.126,0.524,0.0857,0.257,0,1,1,1,125
0.333,0.181,0.267,0.267,0,0,0.791,0,0,0,0,0,0.142,0.524,0.3,0.261,0,1,1,1,125
0.333,0.175,0.278,0.278,0,0,0.791,0,0,0,0,0,0.157,0.529,0.3,0.265,0,1,1,1,125
0.333,0.0495,0.267,0.267,0,0,0.831,0,0,0,0,0,0.166,0.465,0.0857,0.258,0,1,1,1,125
0.333,0.0495,0.312,0.312,0,0,0.831,0,0,0,0,0,0.187,0.465,0,0.258,0,1,1,1,125
0.333,0.0495,0.345,0.345,0,0.233,0.831,0,0,0,0,0,0.198,0.465,0.257,0.258,0,1,1,1,125
0.333,0.174,0.356,0.356,0,0,0.811,0,0,0,0,0,0.222,0.539,0.0428,0.29,0,1,1,1,125
0.667,0.326,0.434,0.434,0,0.967,0.87,0,0,0,0,0,0.277,0.632,0,0.375,0,1,1,1,125
0.667,0.395,0.59,0.59,0,0,0.949,0,0,0,0,0,0.34,0.672,0,0.479,0,1,1,1,125
1,0.736,0.701,0.701,0,0,0.989,0,0,0,0,0,0.457,0.79,0.0428,0.701,0,1,1,1,125
1,0.895,0.745,0.745,0,0,0.949,0.606,0.767,0,0,0,0.64,0.745,0.171,0.745,0,1,1,1,125
1,0.928,0.79,0.79,0,0,0.93,0,0,0,0,0,0.791,0.701,0.343,0.79,0,1,1,1,125
1,0.555,0.768,0.768,0,0,0.91,0,0,0,0,0,0.749,0.602,0.257,0.598,0,1,1,1,125
1,0.0495,0.656,0.656,0,0,0.87,0,0,0,0,0,0.453,0.465,0,0.258,0,1,1,1,125
1,0.0495,0.556,0.556,0,0,0.811,0,0,0,0,0,0.196,0.465,0,0.258,0,1,1,1,125
1,0.0495,0.445,0.445,0,0,0.791,0,0,0,0,0,0.0806,0.465,0,0.258,0,1,1,0,125
1,0.0495,0.412,0.412,0,0,0.771,0,0,0,0,0,0.0392,0.465,0,0.258,0,1,1,0,125
1,0.0495,0.412,0.412,0,0,0.752,0,0,0,0,0,0.0196,0.465,0,0.258,0,1,1,0,125
1,0.0495,0.401,0.401,0,0,0.732,0,0,0,0,0,0.0152,0.465,0,0.258,0,1,1,0,125
1,0.0525,0.367,0.367,0,0,0.712,0,0,0,0,0,0.024,0.473,0.276,0.331,0,1,1,0,125
1,0.114,0.401,0.401,0,0.217,0.712,0,0,0,0,0,0.0392,0.483,0.0891,0.353,0,1,1,0,125
1,0.245,0.478,0.478,0,1,0.752,0,0,0,0,0,0.0632,0.523,0.202,0.405,0,1,1,0,125
0.667,0.305,0.523,0.523,0,1,0.791,0,0,0,0,0,0.0871,0.572,0.274,0.435,0,1,1,0,125
0.333,0.184,0.378,0.378,0,0.95,0.811,0,0,0,0,0,0.107,0.524,0.162,0.298,0,1,1,0,125
0.333,0.185,0.256,0.256,0,0,0.811,0,0,0,0,0,0.126,0.524,0.0428,0.257,0,1,1,0,125
0.333,0.181,0.267,0.267,0,0,0.791,0,0,0,0,0,0.142,0.524,0,0.261,0,1,1,0,125
0.333,0.175,0.278,0.278,0,0,0.791,0,0,0,0,0,0.157,0.529,0,0.265,0,1,1,0,125
0.333,0.171,0.267,0.267,0,0,0.831,0,0,0,0,0,0.166,0.534,0.128,0.261,0,1,1,0,125
0.333,0.169,0.312,0.312,0,0,0.831,0,0,0,0,0,0.187,0.534,0.0428,0.276,0,1,1,0,125
0.333,0.17,0.345,0.345,0,0,0.831,0,0,0,0,0,0.198,0.529,0.128,0.287,0,1,1,0,125
0.333,0.174,0.356,0.356,0,0,0.811,0,0,0,0,0,0.222,0.539,0,0.29,0,1,1,0,125
0.333,0.188,0.434,0.434,0,0,0.87,0,0,0,0,0,0.277,0.549,0.171,0.316,0,1,1,0,125
0.667,0.395,0.59,0.59,0,0.967,0.949,0.611,0.667,0,0,0,0.34,0.672,0.0428,0.479,0,1,1,0,125
0.667,0.507,0.701,0.701,0,0.483,0.989,0.749,0.35,0,0,0,0.457,0.682,0.187,0.553,0,1,1,0,125
1,0.895,0.745,0.745,0,0,0.949,0.535,0,0,0,0,0.64,0.745,0,0.745,0,1,1,0,125
1,0.635,0.79,0.79,0,0,0.93,0.531,0,0,0,0,0.791,0.622,0.0857,0.613,0,1,1,0,125
1,0.555,0.768,0.768,0,0,0.91,0.35,0,0,0,0,0.749,0.602,0.128,0.598,0,1,1,0,125
1,0.2,0.656,0.656,0,0,0.87,0,0,0,0,0,0.453,0.509,0.427,0.391,0,1,1,0,125
1,0.116,0.556,0.556,0,0,0.811,0,0,0,0,0,0.196,0.489,0,0.357,0,1,1,0,125
1,0.0495,0.445,0.445,0,0,0.791,0,0,0,0,0,0.0806,0.465,0,0.258,0,1,1,1,125
1,0.0495,0.412,0.412,0,0,0.771,0,0,0,0,0,0.0392,0.465,0.0428,0.258,0,1,1,1,125
1,0.0495,0.412,0.412,0,0,0.752,0,0,0,0,0,0.0196,0.465,0,0.258,0,1,1,1,125
1,0.0495,0.401,0.401,0,0,0.732,0,0,0,0,0,0.0152,0.465,0,0.258,0,1,1,1,125
1,0.0495,0.367,0.367,0,0,0.712,0,0,0,0,0,0.024,0.465,0,0.258,0,1,1,1,125
1,0.0495,0.401,0.401,0,0,0.712,0,0,0,0,0,0.0392,0.465,0,0.258,0,1,1,1,125
0.667,0.147,0.478,0.478,0,0,0.752,0,0,0,0,0,0.0632,0.494,0,0.331,0,1,1,1,125
0.333,0.0495,0.523,0.523,0,0,0.791,0,0,0,0,0,0.0871,0.465,0,0.258,0,1,1,1,125
0.333,0.0495,0.378,0.378,0,0,0.811,0,0,0,0,0,0.107,0.465,0,0.258,0,1,1,1,125
0.333,0.0495,0.256,0.256,0,0,0.811,0,0,0,0,0,0.126,0.465,0,0.258,0,1,1,1,125
0.333,0.0495,0.267,0.267,0,0,0.791,0,0,0,0,0,0.142,0.465,0,0.258,0,1,1,1,125
0.333,0.0495,0.278,0.278,0,0.217,0.791,0,0,0,0,0,0.157,0.465,0,0.258,0,1,1,1,125
0.333,0.171,0.267,0.267,0,0.75,0.831,0,0,0,0,0,0.166,0.534,0,0.261,0,1,1,1,125
0.333,0.169,0.312,0.312,0,0,0.831,0,0,0,0,0,0.187,0.534,0,0.276,0,1,1,1,125
0.333,0.17,0.345,0.345,0,0,0.831,0,0,0,0,0,0.198,0.529,0,0.287,0,1,1,1,125
0.333,0.174,0.356,0.356,0,0,0.811,0,0,0,0,0,0.222,0.539,0.128,0.29,0,1,1,1,125
0.333,0.188,0.434,0.434,0,0,0.87,0,0,0,0,0,0.277,0.549,0.128,0.316,0,1,1,1,125
0.333,0.222,0.59,0.59,0,0.717,0.949,0,0,0,0,0,0.34,0.569,0.128,0.368,0,1,1,1,125
1,0.736,0.701,0.701,0,0.983,0.989,0,0,0,0,0,0.457,0.79,0.128,0.701,0,1,1,1,125
0.667,0.613,0.745,0.745,0,0,0.949,0,0,0,0,0,0.64,0.652,0,0.583,0,1,1,1,125
0.667,0.635,0.79,0.79,0,0.217,0.93,0,0,0,0,0,0.791,0.622,0.0857,0.613,0,1,1,1,125
1,0.555,0.768,0.768,0,0.0167,0.91,0,0,0,0,0,0.749,0.602,0.0428,0.598,0,1,1,1,125
1,0.35,0.656,0.656,0,0,0.87,0,0,0,0,0,0.453,0.553,0.0428,0.524,0,1,1,1,125
1,0.116,0.556,0.556,0,0,0.811,0,0,0,0,0,0.196,0.489,0.0857,0.357,0,1,1,1,125
1,0.0495,0.445,0.445,0,0,0.791,0,0,0,0,0,0.0958,0.465,0.128,0.258,0,1,1,0,125
1,0.0495,0.412,0.412,0,0,0.771,0,0,0,0,0,0.0479,0.465,0.0428,0.258,0,1,1,0,125
1,0.0495,0.412,0.412,0,0,0.752,0,0,0,0,0,0.0261,0.465,0,0.258,0,1,1,0,125
1,0.0495,0.401,0.401,0,0,0.732,0,0,0,0,0,0.0174,0.465,0,0.258,0,1,1,0,125
1,0.0495,0.367,0.367,0,0,0.712,0,0,0,0,0,0.024,0.465,0,0.258,0,1,1,0,125
1,0.0495,0.401,0.401,0,0,0.712,0,0,0,0,0,0.0305,0.465,0,0.258,0,1,1,0,125
1,0.0495,0.478,0.478,0,0,0.752,0,0,0,0,0,0.0523,0.465,0.0656,0.258,0,1,1,0,125
1,0.0495,0.523,0.523,0,0,0.791,0,0,0,0,0,0.0937,0.465,0.0977,0.258,0,1,1,0,125
1,0.318,0.378,0.378,0,0,0.811,0,0,0,0,0,0.155,0.582,0.239,0.338,0,1,1,0,125
1,0.321,0.256,0.256,0,0,0.811,0,0,0,0,0,0.205,0.582,0.183,0.257,0,1,1,0,125
0.667,0.312,0.267,0.267,0,0,0.791,0,0,0,0,0,0.244,0.582,0.121,0.264,0,1,1,0,125
0.667,0.3,0.278,0.278,0,0,0.791,0,0,0,0,0,0.268,0.592,0.302,0.271,0,1,1,0,125
1,0.413,0.267,0.267,0,0,0.831,0,0,0,0,0,0.288,0.671,0.111,0.267,0,1,1,0,125
1,0.289,0.312,0.312,0,0,0.831,0,0,0,0,0,0.34,0.602,0.0428,0.294,0,1,1,0,125
1,0.29,0.345,0.345,0,0.8,0.831,0,0,0,0,0,0.388,0.592,0.128,0.316,0,1,1,0,125
1,0.174,0.356,0.356,0,0.417,0.811,0,0,0,0,0,0.427,0.539,0,0.29,0,1,1,0,125
1,0.188,0.434,0.434,0,0,0.87,0,0,0,0,0,0.449,0.549,0,0.316,0,1,1,0,125
1,0.395,0.59,0.59,0,0,0.949,0,0,0,0,0,0.464,0.672,0.128,0.479,0,1,1,0,125
1,0.507,0.701,0.701,0,0,0.989,0,0,0,0,0,0.547,0.682,0.257,0.553,0,1,1,0,125
1,0.613,0.745,0.745,0,0,0.949,0,0,0,0,0,0.719,0.652,0.342,0.583,0,1,1,0,125
1,0.928,0.79,0.79,0,0,0.93,0,0,0,0,0,0.845,0.701,0.343,0.79,0,1,1,0,125
1,0.807,0.768,0.768,0,0,0.91,0,0,0,0,0,0.78,0.671,0.128,0.768,0,1,1,0,125
1,0.5,0.656,0.656,0,0,0.87,0,0,0,0,0,0.492,0.596,0,0.656,0,1,1,0,125
1,0.249,0.556,0.556,0,0,0.811,0,0,0,0,0,0.224,0.537,0,0.556,0,1,1,0,125
1,0.099,0.443,0.443,0,0,0.791,0,0,0,0,0,0.0966,0.501,0.122,0.381,0,1,1,0,125
1,0.0578,0.41,0.41,0,0,0.771,0,0,0,0,0,0.0483,0.474,0.178,0.308,0,1,1,0,125
1,0.0495,0.41,0.41,0,0,0.752,0,0,0,0,0,0.0264,0.465,0,0.258,0,1,1,0,125
1,0.0495,0.399,0.399,0,0,0.732,0,0,0,0,0,0.0176,0.465,0.0428,0.258,0,1,1,0,125
1,0.0495,0.366,0.366,0,0,0.712,0,0,0,0,0,0.0242,0.465,0,0.258,0,1,1,0,125
1,0.0495,0.399,0.399,0,0,0.712,0,0,0,0,0,0.0308,0.465,0,0.258,0,1,1,0,125
1,0.0495,0.477,0.477,0,0,0.752,0,0,0,0,0,0.0527,0.465,0.153,0.258,0,1,1,0,125
1,0.172,0.521,0.521,0,0,0.791,0,0,0,0,0,0.0944,0.518,0.219,0.345,0,1,1,0,125
1,0.175,0.377,0.377,0,0,0.811,0,0,0,0,0,0.156,0.523,0.0491,0.297,0,1,1,0,125
1,0.299,0.255,0.255,0,0.233,0.811,0,0,0,0,0,0.206,0.581,0.166,0.256,0,1,1,0,125
1,0.411,0.266,0.266,0,0,0.791,0,0,0,0,0,0.246,0.638,0.0428,0.266,0,1,1,0,125
0.667,0.279,0.277,0.277,0,0,0.791,0,0,0,0,0,0.27,0.591,0.127,0.271,0,1,1,0,125
0.333,0.16,0.266,0.266,0,0,0.831,0,0,0,0,0,0.29,0.533,0.217,0.26,0,1,1,0,125
0.333,0.159,0.31,0.31,0,0,0.831,0,0,0,0,0,0.343,0.533,0.257,0.275,0,1,1,0,125
0.333,0.159,0.344,0.344,0,0,0.831,0,0,0,0,0,0.391,0.528,0.0857,0.286,0,1,1,0,125
