Dependency=HVAC Cooling Type	Dependency=HVAC Has Shared System	Dependency=Vintage	Option=AC, SEER 8	Option=AC, SEER 10	Option=AC, SEER 13	Option=AC, SEER 15	Option=Heat Pump	Option=None	Option=Room AC, EER 8.5	Option=Room AC, EER 9.8	Option=Room AC, EER 10.7	Option=Room AC, EER 12.0	Option=Shared Cooling	source_count	source_weight	sampling_probability
Heat Pump	None	2000s	0	0	0	0	1	0	0	0	0	0	0	241	1.17087e+06	0.00703925
None	Cooling Only	2000s	0	0	0	0	0	0	0	0	0	0	1	0	0	0
None	Heating Only	2000s	0	0	0	0	0	1	0	0	0	0	0	7	30769.4	0.000149358
None	Heating and Cooling	2000s	0	0	0	0	0	0	0	0	0	0	1	0	0	0
None	None	2000s	0	0	0	0	0	1	0	0	0	0	0	108	497008	0.00133225
Room AC	Cooling Only	2000s	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Room AC	Heating Only	2000s	0	0	0	0	0	0	0.000859	0.19641	0.605167	0.197564	0	15	70349.2	9.12014e-06
Room AC	Heating and Cooling	2000s	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Room AC	None	2000s	0	0	0	0	0	0	0.000834	0.270989	0.562609	0.165567	0	71	359112	0.000405564
Central AC	Cooling Only	2010s	0	0	0	0	0	0	0	0	0	0	1	5	21393.4	0.000497398
Central AC	Heating Only	2010s	0	0	0.622115	0.377885	0	0	0	0	0	0	0	5	19762.2	0.000520144
Central AC	Heating and Cooling	2010s	0	0	0	0	0	0	0	0	0	0	1	10	48711.5	0.000609657
Central AC	None	2010s	0	0.017904	0.620645	0.361452	0	0	0	0	0	0	0	1175	5.44249e+06	0.0228288
Heat Pump	Cooling Only	2010s	0	0	0	0	0	0	0	0	0	0	1	5	31381.4	0.000115049
Heat Pump	Heating Only	2010s	0	0	0	0	1	0	0	0	0	0	0	4	27981.8	0.00011302
Heat Pump	Heating and Cooling	2010s	0	0	0	0	0	0	0	0	0	0	1	1	2691.21	0.000127235
Heat Pump	None	2010s	0	0	0	0	1	0	0	0	0	0	0	241	1.17087e+06	0.00470748
None	Cooling Only	2010s	0	0	0	0	0	0	0	0	0	0	1	0	0	0
None	Heating Only	2010s	0	0	0	0	0	1	0	0	0	0	0	7	30769.4	9.41563e-05
None	Heating and Cooling	2010s	0	0	0	0	0	0	0	0	0	0	1	0	0	0
None	None	2010s	0	0	0	0	0	1	0	0	0	0	0	108	497008	0.000642236
