occupants,lighting_interior,lighting_exterior,lighting_garage,lighting_exterior_holiday,cooking_range,refrigerator,extra_refrigerator,freezer,dishwasher,clothes_washer,clothes_dryer,ceiling_fan,plug_loads_other,plug_loads_tv,plug_loads_vehicle,plug_loads_well_pump,fuel_loads_grill,fuel_loads_lighting,fuel_loads_fireplace,pool_pump,pool_heater,hot_tub_pump,hot_tub_heater,hot_water_dishwasher,hot_water_clothes_washer,hot_water_fixtures,dehumidifier,kitchen_fan,bath_fan
0.885,0.518,0.373,0.373,0,0.327,0.96,0.96,0.96,0.817,0.557,0.63,1,0.616,0.718,1,0.672,0.355,0.672,0.672,0.0479,0.0479,0.483,0.484,0.817,0.557,0.69,1,0,0
0.885,0.668,0.516,0.516,0,0.191,0.94,0.94,0.94,0.662,0.557,0.642,1,0.579,0.844,1,0.716,0.223,0.716,0.716,0.024,0.024,0.404,0.405,0.662,0.557,0.632,1,0,0
1,0.788,0.61,0.61,0,0.136,0.92,0.92,0.92,0.493,0.534,0.667,1,0.555,0.779,1,0.761,0.0964,0.761,0.761,0.018,0.018,0.341,0.341,0.493,0.534,0.552,1,0,0
1,0.571,0.529,0.529,0,0.0871,0.88,0.88,0.88,0.324,0.364,0.543,1,0.493,0.492,1,0.663,0.066,0.663,0.663,0.018,0.018,0.19,0.19,0.324,0.364,0.437,1,0,0
1,0.249,0.367,0.367,0,0.0599,0.82,0.82,0.82,0.228,0.193,0.296,1,0.444,0.224,1,0.575,0.0355,0.575,0.575,0.018,0.018,0.19,0.19,0.228,0.193,0.299,1,0,0
1,0.124,0.286,0.286,0,0.0381,0.8,0.8,0.8,0.11,0.102,0.123,1,0.431,0.0805,1,0.389,0.0203,0.389,0.389,0.018,0.018,0.19,0.19,0.11,0.102,0.138,1,0,0
1,0.0743,0.286,0.286,0,0.0381,0.78,0.78,0.78,0.0515,0.0796,0.0741,1,0.407,0.0392,1,0.203,0.00507,0.203,0.203,0.018,0.018,0.23,0.23,0.0515,0.0796,0.069,1,0,0
1,0.0495,0.286,0.286,0,0.0218,0.76,0.76,0.76,0.0368,0.0455,0.0494,1,0.394,0.0196,1,0.168,0.00507,0.168,0.168,0.018,0.018,0.19,0.19,0.0368,0.0455,0.046,1,0,0
1,0.0495,0.286,0.286,0,0.0218,0.74,0.74,0.74,0.0221,0.0455,0.0247,1,0.382,0.0152,1,0.133,0.0101,0.133,0.133,0.024,0.024,0.23,0.23,0.0221,0.0455,0.0575,1,0,0
1,0.0511,0.286,0.286,0,0.0381,0.72,0.72,0.72,0.0221,0.0796,0.0494,1,0.394,0.0239,1,0.141,0.0355,0.141,0.141,0.0479,0.0479,0.372,0.373,0.0221,0.0796,0.115,1,0,0
1,0.131,0.23,0.23,0,0.0599,0.72,0.72,0.72,0.0736,0.125,0.0741,1,0.407,0.0392,1,0.159,0.0609,0.159,0.159,0.0898,0.0898,0.531,0.532,0.0736,0.125,0.391,1,0,0
1,0.308,0.218,0.218,0,0.136,0.76,0.76,0.76,0.147,0.25,0.198,1,0.456,0.0631,1,0.23,0.147,0.23,0.23,0.156,0.156,0.452,0.452,0.147,0.25,0.897,1,0,0
0.869,0.39,0.211,0.211,0,0.229,0.8,0.8,0.8,0.228,0.557,0.395,0.421,0.518,0.087,1,0.292,0.233,0.292,0.292,0.263,0.263,0.19,0.19,0.228,0.557,1,1,0,0
0.41,0.387,0.205,0.205,0,0.25,0.82,0.82,0.82,0.427,0.83,0.593,0.421,0.53,0.107,1,0.292,0.223,0.292,0.292,0.503,0.503,0.19,0.19,0.427,0.83,0.92,1,0,0
0.246,0.37,0.174,0.174,0,0.261,0.82,0.82,0.82,0.478,0.977,0.84,0.421,0.53,0.126,1,0.283,0.208,0.283,0.283,0.725,0.725,0.151,0.151,0.478,0.977,0.77,1,0,0
0.246,0.359,0.137,0.137,0,0.229,0.8,0.8,0.8,0.412,0.955,0.963,0.421,0.53,0.141,1,0.292,0.223,0.292,0.292,0.761,0.761,0.119,0.119,0.412,0.955,0.644,1,0,0
0.246,0.343,0.0933,0.0933,0,0.272,0.8,0.8,0.8,0.353,0.852,1,0.421,0.542,0.157,1,0.292,0.233,0.292,0.292,0.725,0.725,0.111,0.111,0.353,0.852,0.54,1,0,0
0.246,0.331,0.0746,0.0746,0,0.31,0.84,0.84,0.84,0.302,0.762,0.914,0.421,0.555,0.165,1,0.283,0.213,0.283,0.283,0.719,0.719,0.111,0.111,0.302,0.762,0.46,1,0,0
0.246,0.328,0.0684,0.0684,0,0.25,0.84,0.84,0.84,0.338,0.682,0.827,0.421,0.555,0.187,1,0.283,0.193,0.283,0.283,0.539,0.539,0.111,0.111,0.338,0.682,0.402,1,0,0
0.246,0.327,0.0684,0.0684,0,0.31,0.84,0.84,0.84,0.265,0.557,0.704,0.421,0.542,0.198,1,0.283,0.249,0.283,0.283,0.449,0.449,0.19,0.19,0.265,0.557,0.379,1,0,0
0.246,0.329,0.0746,0.0746,0,0.24,0.82,0.82,0.82,0.28,0.591,0.753,0.421,0.567,0.222,1,0.292,0.299,0.292,0.292,0.365,0.365,0.46,0.46,0.28,0.591,0.356,1,0,0
0.295,0.334,0.118,0.118,0,0.501,0.88,0.88,0.88,0.28,0.568,0.679,0.421,0.592,0.276,1,0.398,0.558,0.398,0.398,0.222,0.222,0.998,1,0.28,0.568,0.448,1,0,0
0.541,0.353,0.23,0.23,0,0.817,0.96,0.96,0.96,0.361,0.557,0.667,0.421,0.641,0.339,1,0.504,0.817,0.504,0.504,0.138,0.138,0.967,0.968,0.361,0.557,0.586,1,0,0
0.885,0.408,0.305,0.305,0,0.637,1,1,1,0.64,0.557,0.63,1,0.653,0.457,1,0.584,0.583,0.584,0.584,0.0779,0.0779,0.539,0.54,0.64,0.557,0.69,1,0,0
0.885,0.518,0.404,0.404,0,0.327,0.96,0.96,0.96,0.817,0.557,0.63,1,0.616,0.64,1,0.672,0.355,0.672,0.672,0.0479,0.0479,0.483,0.484,0.817,0.557,0.69,1,0,0
0.885,0.668,0.566,0.566,0,0.191,0.94,0.94,0.94,0.662,0.557,0.642,1,0.579,0.79,1,0.716,0.223,0.716,0.716,0.024,0.024,0.404,0.405,0.662,0.557,0.632,1,0,0
1,0.788,0.653,0.653,0,0.136,0.92,0.92,0.92,0.493,0.534,0.667,1,0.555,0.749,1,0.761,0.0964,0.761,0.761,0.018,0.018,0.341,0.341,0.493,0.534,0.552,1,0,0
1,0.571,0.566,0.566,0,0.0871,0.88,0.88,0.88,0.324,0.364,0.543,1,0.493,0.453,1,0.663,0.066,0.663,0.663,0.018,0.018,0.19,0.19,0.324,0.364,0.437,1,0,0
1,0.249,0.392,0.392,0,0.0599,0.82,0.82,0.82,0.228,0.193,0.296,1,0.444,0.196,1,0.575,0.0355,0.575,0.575,0.018,0.018,0.19,0.19,0.228,0.193,0.299,1,0,0
1,0.124,0.286,0.286,0,0.0381,0.8,0.8,0.8,0.11,0.102,0.123,1,0.431,0.0805,1,0.389,0.0203,0.389,0.389,0.018,0.018,0.19,0.19,0.11,0.102,0.138,1,0,0
1,0.0743,0.286,0.286,0,0.0381,0.78,0.78,0.78,0.0515,0.0796,0.0741,1,0.407,0.0392,1,0.203,0.00507,0.203,0.203,0.018,0.018,0.23,0.23,0.0515,0.0796,0.069,1,0,0
1,0.0495,0.286,0.286,0,0.0218,0.76,0.76,0.76,0.0368,0.0455,0.0494,1,0.394,0.0196,1,0.168,0.00507,0.168,0.168,0.018,0.018,0.19,0.19,0.0368,0.0455,0.046,1,0,0
1,0.0495,0.286,0.286,0,0.0218,0.74,0.74,0.74,0.0221,0.0455,0.0247,1,0.382,0.0152,1,0.133,0.0101,0.133,0.133,0.024,0.024,0.23,0.23,0.0221,0.0455,0.0575,1,0,0
1,0.0511,0.286,0.286,0,0.0381,0.72,0.72,0.72,0.0221,0.0796,0.0494,1,0.394,0.0239,1,0.141,0.0355,0.141,0.141,0.0479,0.0479,0.372,0.373,0.0221,0.0796,0.115,1,0,0
1,0.131,0.23,0.23,0,0.0599,0.72,0.72,0.72,0.0736,0.125,0.0741,1,0.407,0.0392,1,0.159,0.0609,0.159,0.159,0.0898,0.0898,0.531,0.532,0.0736,0.125,0.391,1,0,0
1,0.308,0.218,0.218,0,0.136,0.76,0.76,0.76,0.147,0.25,0.198,1,0.456,0.0631,1,0.23,0.147,0.23,0.23,0.156,0.156,0.452,0.452,0.147,0.25,0.897,1,0,0
0.869,0.39,0.211,0.211,0,0.229,0.8,0.8,0.8,0.228,0.557,0.395,0.421,0.518,0.087,1,0.292,0.233,0.292,0.292,0.263,0.263,0.19,0.19,0.228,0.557,1,1,0,0
0.41,0.387,0.205,0.205,0,0.25,0.82,0.82,0.82,0.427,0.83,0.593,0.421,0.53,0.107,1,0.292,0.223,0.292,0.292,0.503,0.503,0.19,0.19,0.427,0.83,0.92,1,0,0
0.246,0.37,0.174,0.174,0,0.261,0.82,0.82,0.82,0.478,0.977,0.84,0.421,0.53,0.126,1,0.283,0.208,0.283,0.283,0.725,0.725,0.151,0.151,0.478,0.977,0.77,1,0,0
0.246,0.359,0.137,0.137,0,0.229,0.8,0.8,0.8,0.412,0.955,0.963,0.421,0.53,0.141,1,0.292,0.223,0.292,0.292,0.761,0.761,0.119,0.119,0.412,0.955,0.644,1,0,0
0.246,0.343,0.0933,0.0933,0,0.272,0.8,0.8,0.8,0.353,0.852,1,0.421,0.542,0.157,1,0.292,0.233,0.292,0.292,0.725,0.725,0.111,0.111,0.353,0.852,0.54,1,0,0
0.246,0.331,0.0746,0.0746,0,0.31,0.84,0.84,0.84,0.302,0.762,0.914,0.421,0.555,0.165,1,0.283,0.213,0.283,0.283,0.719,0.719,0.111,0.111,0.302,0.762,0.46,1,0,0
0.246,0.328,0.0684,0.0684,0,0.25,0.84,0.84,0.84,0.338,0.682,0.827,0.421,0.555,0.187,1,0.283,0.193,0.283,0.283,0.539,0.539,0.111,0.111,0.338,0.682,0.402,1,0,0
0.246,0.327,0.0684,0.0684,0,0.31,0.84,0.84,0.84,0.265,0.557,0.704,0.421,0.542,0.198,1,0.283,0.249,0.283,0.283,0.449,0.449,0.19,0.19,0.265,0.557,0.379,1,0,0
0.246,0.329,0.0746,0.0746,0,0.24,0.82,0.82,0.82,0.28,0.591,0.753,0.421,0.567,0.222,1,0.292,0.299,0.292,0.292,0.365,0.365,0.46,0.46,0.28,0.591,0.356,1,0,0
0.295,0.334,0.118,0.118,0,0.501,0.88,0.88,0.88,0.28,0.568,0.679,0.421,0.592,0.276,1,0.398,0.558,0.398,0.398,0.222,0.222,0.998,1,0.28,0.568,0.448,1,0,0
0.541,0.353,0.23,0.23,0,0.817,0.96,0.96,0.96,0.361,0.557,0.667,0.421,0.641,0.339,1,0.504,0.817,0.504,0.504,0.138,0.138,0.967,0.968,0.361,0.557,0.586,1,0,0
0.885,0.408,0.305,0.305,0,0.637,1,1,1,0.64,0.557,0.63,1,0.653,0.457,1,0.584,0.583,0.584,0.584,0.0779,0.0779,0.539,0.54,0.64,0.557,0.69,1,0,0
0.885,0.518,0.404,0.404,0,0.327,0.96,0.96,0.96,0.817,0.557,0.63,1,0.616,0.64,1,0.672,0.355,0.672,0.672,0.0479,0.0479,0.483,0.484,0.817,0.557,0.69,1,0,0
0.885,0.668,0.566,0.566,0,0.191,0.94,0.94,0.94,0.662,0.557,0.642,1,0.579,0.79,1,0.716,0.223,0.716,0.716,0.024,0.024,0.404,0.405,0.662,0.557,0.632,1,0,0
1,0.788,0.653,0.653,0,0.136,0.92,0.92,0.92,0.493,0.534,0.667,1,0.555,0.749,1,0.761,0.0964,0.761,0.761,0.018,0.018,0.341,0.341,0.493,0.534,0.552,1,0,0
1,0.571,0.566,0.566,0,0.0871,0.88,0.88,0.88,0.324,0.364,0.543,1,0.493,0.453,1,0.663,0.066,0.663,0.663,0.018,0.018,0.19,0.19,0.324,0.364,0.437,1,0,0
1,0.249,0.392,0.392,0,0.0599,0.82,0.82,0.82,0.228,0.193,0.296,1,0.444,0.196,1,0.575,0.0355,0.575,0.575,0.018,0.018,0.19,0.19,0.228,0.193,0.299,1,0,0
1,0.124,0.286,0.286,0,0.0381,0.8,0.8,0.8,0.11,0.102,0.123,1,0.431,0.0805,1,0.389,0.0203,0.389,0.389,0.018,0.018,0.19,0.19,0.11,0.102,0.138,1,0,0
1,0.0743,0.286,0.286,0,0.0381,0.78,0.78,0.78,0.0515,0.0796,0.0741,1,0.407,0.0392,1,0.203,0.00507,0.203,0.203,0.018,0.018,0.23,0.23,0.0515,0.0796,0.069,1,0,0
1,0.0495,0.286,0.286,0,0.0218,0.76,0.76,0.76,0.0368,0.0455,0.0494,1,0.394,0.0196,1,0.168,0.00507,0.168,0.168,0.018,0.018,0.19,0.19,0.0368,0.0455,0.046,1,0,0
1,0.0495,0.286,0.286,0,0.0218,0.74,0.74,0.74,0.0221,0.0455,0.0247,1,0.382,0.0152,1,0.133,0.0101,0.133,0.133,0.024,0.024,0.23,0.23,0.0221,0.0455,0.0575,1,0,0
1,0.0511,0.286,0.286,0,0.0381,0.72,0.72,0.72,0.0221,0.0796,0.0494,1,0.394,0.0239,1,0.141,0.0355,0.141,0.141,0.0479,0.0479,0.372,0.373,0.0221,0.0796,0.115,1,0,0
1,0.131,0.23,0.23,0,0.0599,0.72,0.72,0.72,0.0736,0.125,0.0741,1,0.407,0.0392,1,0.159,0.0609,0.159,0.159,0.0898,0.0898,0.531,0.532,0.0736,0.125,0.391,1,0,0
1,0.308,0.218,0.218,0,0.136,0.76,0.76,0.76,0.147,0.25,0.198,1,0.456,0.0631,1,0.23,0.147,0.23,0.23,0.156,0.156,0.452,0.452,0.147,0.25,0.897,1,0,0
0.869,0.39,0.211,0.211,0,0.229,0.8,0.8,0.8,0.228,0.557,0.395,0.421,0.518,0.087,1,0.292,0.233,0.292,0.292,0.263,0.263,0.19,0.19,0.228,0.557,1,1,0,0
0.41,0.387,0.205,0.205,0,0.25,0.82,0.82,0.82,0.427,0.83,0.593,0.421,0.53,0.107,1,0.292,0.223,0.292,0.292,0.503,0.503,0.19,0.19,0.427,0.83,0.92,1,0,0
0.246,0.37,0.174,0.174,0,0.261,0.82,0.82,0.82,0.478,0.977,0.84,0.421,0.53,0.126,1,0.283,0.208,0.283,0.283,0.725,0.725,0.151,0.151,0.478,0.977,0.77,1,0,0
0.246,0.359,0.137,0.137,0,0.229,0.8,0.8,0.8,0.412,0.955,0.963,0.421,0.53,0.141,1,0.292,0.223,0.292,0.292,0.761,0.761,0.119,0.119,0.412,0.955,0.644,1,0,0
0.246,0.343,0.0933,0.0933,0,0.272,0.8,0.8,0.8,0.353,0.852,1,0.421,0.542,0.157,1,0.292,0.233,0.292,0.292,0.725,0.725,0.111,0.111,0.353,0.852,0.54,1,0,0
0.246,0.331,0.0746,0.0746,0,0.31,0.84,0.84,0.84,0.302,0.762,0.914,0.421,0.555,0.165,1,0.283,0.213,0.283,0.283,0.719,0.719,0.111,0.111,0.302,0.762,0.46,1,0,0
0.246,0.328,0.0684,0.0684,0,0.25,0.84,0.84,0.84,0.338,0.682,0.827,0.421,0.555,0.187,1,0.283,0.193,0.283,0.283,0.539,0.539,0.111,0.111,0.338,0.682,0.402,1,0,0
0.246,0.327,0.0684,0.0684,0,0.31,0.84,0.84,0.84,0.265,0.557,0.704,0.421,0.542,0.198,1,0.283,0.249,0.283,0.283,0.449,0.449,0.19,0.19,0.265,0.557,0.379,1,0,0
0.246,0.329,0.0746,0.0746,0,0.24,0.82,0.82,0.82,0.28,0.591,0.753,0.421,0.567,0.222,1,0.292,0.299,0.292,0.292,0.365,0.365,0.46,0.46,0.28,0.591,0.356,1,0,0
0.295,0.334,0.118,0.118,0,0.501,0.88,0.88,0.88,0.28,0.568,0.679,0.421,0.592,0.276,1,0.398,0.558,0.398,0.398,0.222,0.222,0.998,1,0.28,0.568,0.448,1,0,0
0.541,0.353,0.23,0.23,0,0.817,0.96,0.96,0.96,0.361,0.557,0.667,0.421,0.641,0.339,1,0.504,0.817,0.504,0.504,0.138,0.138,0.967,0.968,0.361,0.557,0.586,1,0,0
0.885,0.408,0.305,0.305,0,0.637,1,1,1,0.64,0.557,0.63,1,0.653,0.457,1,0.584,0.583,0.584,0.584,0.0779,0.0779,0.539,0.54,0.64,0.557,0.69,1,0,0
0.885,0.518,0.404,0.404,0,0.327,0.96,0.96,0.96,0.817,0.557,0.63,1,0.616,0.64,1,0.672,0.355,0.672,0.672,0.0479,0.0479,0.483,0.484,0.817,0.557,0.69,1,0,0
0.885,0.668,0.566,0.566,0,0.191,0.94,0.94,0.94,0.662,0.557,0.642,1,0.579,0.79,1,0.716,0.223,0.716,0.716,0.024,0.024,0.404,0.405,0.662,0.557,0.632,1,0,0
1,0.788,0.653,0.653,0,0.136,0.92,0.92,0.92,0.493,0.534,0.667,1,0.555,0.749,1,0.761,0.0964,0.761,0.761,0.018,0.018,0.341,0.341,0.493,0.534,0.552,1,0,0
1,0.571,0.566,0.566,0,0.0871,0.88,0.88,0.88,0.324,0.364,0.543,1,0.493,0.453,1,0.663,0.066,0.663,0.663,0.018,0.018,0.19,0.19,0.324,0.364,0.437,1,0,0
1,0.249,0.392,0.392,0,0.0599,0.82,0.82,0.82,0.228,0.193,0.296,1,0.444,0.196,1,0.575,0.0355,0.575,0.575,0.018,0.018,0.19,0.19,0.228,0.193,0.299,1,0,0
1,0.124,0.286,0.286,0,0.0381,0.8,0.8,0.8,0.11,0.102,0.123,1,0.431,0.0805,1,0.389,0.0203,0.389,0.389,0.018,0.018,0.19,0.19,0.11,0.102,0.138,1,0,0
1,0.0743,0.286,0.286,0,0.0381,0.78,0.78,0.78,0.0515,0.0796,0.0741,1,0.407,0.0392,1,0.203,0.00507,0.203,0.203,0.018,0.018,0.23,0.23,0.0515,0.0796,0.069,1,0,0
1,0.0495,0.286,0.286,0,0.0218,0.76,0.76,0.76,0.0368,0.0455,0.0494,1,0.394,0.0196,1,0.168,0.00507,0.168,0.168,0.018,0.018,0.19,0.19,0.0368,0.0455,0.046,1,0,0
1,0.0495,0.286,0.286,0,0.0218,0.74,0.74,0.74,0.0221,0.0455,0.0247,1,0.382,0.0152,1,0.133,0.0101,0.133,0.133,0.024,0.024,0.23,0.23,0.0221,0.0455,0.0575,1,0,0
1,0.0511,0.286,0.286,0,0.0381,0.72,0.72,0.72,0.0221,0.0796,0.0494,1,0.394,0.0239,1,0.141,0.0355,0.141,0.141,0.0479,0.0479,0.372,0.373,0.0221,0.0796,0.115,1,0,0
1,0.131,0.23,0.23,0,0.0599,0.72,0.72,0.72,0.0736,0.125,0.0741,1,0.407,0.0392,1,0.159,0.0609,0.159,0.159,0.0898,0.0898,0.531,0.532,0.0736,0.125,0.391,1,0,0
1,0.308,0.218,0.218,0,0.136,0.76,0.76,0.76,0.147,0.25,0.198,1,0.456,0.0631,1,0.23,0.147,0.23,0.23,0.156,0.156,0.452,0.452,0.147,0.25,0.897,1,0,0
0.869,0.39,0.211,0.211,0,0.229,0.8,0.8,0.8,0.228,0.557,0.395,0.421,0.518,0.087,1,0.292,0.233,0.292,0.292,0.263,0.263,0.19,0.19,0.228,0.557,1,1,0,0
0.41,0.387,0.205,0.205,0,0.25,0.82,0.82,0.82,0.427,0.83,0.593,0.421,0.53,0.107,1,0.292,0.223,0.292,0.292,0.503,0.503,0.19,0.19,0.427,0.83,0.92,1,0,0
0.246,0.37,0.174,0.174,0,0.261,0.82,0.82,0.82,0.478,0.977,0.84,0.421,0.53,0.126,1,0.283,0.208,0.283,0.283,0.725,0.725,0.151,0.151,0.478,0.977,0.77,1,0,0
0.246,0.359,0.137,0.137,0,0.229,0.8,0.8,0.8,0.412,0.955,0.963,0.421,0.53,0.141,1,0.292,0.223,0.292,0.292,0.761,0.761,0.119,0.119,0.412,0.955,0.644,1,0,0
0.246,0.343,0.0933,0.0933,0,0.272,0.8,0.8,0.8,0.353,0.852,1,0.421,0.542,0.157,1,0.292,0.233,0.292,0.292,0.725,0.725,0.111,0.111,0.353,0.852,0.54,1,0,0
0.246,0.331,0.0746,0.0746,0,0.31,0.84,0.84,0.84,0.302,0.762,0.914,0.421,0.555,0.165,1,0.283,0.213,0.283,0.283,0.719,0.719,0.111,0.111,0.302,0.762,0.46,1,0,0
0.246,0.328,0.0684,0.0684,0,0.25,0.84,0.84,0.84,0.338,0.682,0.827,0.421,0.555,0.187,1,0.283,0.193,0.283,0.283,0.539,0.539,0.111,0.111,0.338,0.682,0.402,1,0,0
0.246,0.327,0.0684,0.0684,0,0.31,0.84,0.84,0.84,0.265,0.557,0.704,0.421,0.542,0.198,1,0.283,0.249,0.283,0.283,0.449,0.449,0.19,0.19,0.265,0.557,0.379,1,0,0
0.246,0.329,0.0746,0.0746,0,0.24,0.82,0.82,0.82,0.28,0.591,0.753,0.421,0.567,0.222,1,0.292,0.299,0.292,0.292,0.365,0.365,0.46,0.46,0.28,0.591,0.356,1,0,0
0.295,0.334,0.118,0.118,0,0.501,0.88,0.88,0.88,0.28,0.568,0.679,0.421,0.592,0.276,1,0.398,0.558,0.398,0.398,0.222,0.222,0.998,1,0.28,0.568,0.448,1,0,0
0.541,0.353,0.23,0.23,0,0.817,0.96,0.96,0.96,0.361,0.557,0.667,0.421,0.641,0.339,1,0.504,0.817,0.504,0.504,0.138,0.138,0.967,0.968,0.361,0.557,0.586,1,0,0
0.885,0.408,0.305,0.305,0,0.637,1,1,1,0.64,0.557,0.63,1,0.653,0.457,1,0.584,0.583,0.584,0.584,0.0779,0.0779,0.539,0.54,0.64,0.557,0.69,1,0,0
0.885,0.518,0.404,0.404,0,0.327,0.96,0.96,0.96,0.817,0.557,0.63,1,0.616,0.64,1,0.672,0.355,0.672,0.672,0.0479,0.0479,0.483,0.484,0.817,0.557,0.69,1,0,0
0.885,0.668,0.566,0.566,0,0.191,0.94,0.94,0.94,0.662,0.557,0.642,1,0.579,0.79,1,0.716,0.223,0.716,0.716,0.024,0.024,0.404,0.405,0.662,0.557,0.632,1,0,0
1,0.788,0.653,0.653,0,0.136,0.92,0.92,0.92,0.493,0.534,0.667,1,0.555,0.749,1,0.761,0.0964,0.761,0.761,0.018,0.018,0.341,0.341,0.493,0.534,0.552,1,0,0
1,0.571,0.566,0.566,0,0.0871,0.88,0.88,0.88,0.324,0.364,0.543,1,0.493,0.453,1,0.663,0.066,0.663,0.663,0.018,0.018,0.19,0.19,0.324,0.364,0.437,1,0,0
1,0.249,0.392,0.392,0,0.0599,0.82,0.82,0.82,0.228,0.193,0.296,1,0.444,0.196,1,0.575,0.0355,0.575,0.575,0.018,0.018,0.19,0.19,0.228,0.193,0.299,1,0,0
1,0.124,0.286,0.286,0,0.0381,0.8,0.8,0.8,0.11,0.102,0.123,1,0.431,0.0805,1,0.389,0.0203,0.389,0.389,0.018,0.018,0.19,0.19,0.11,0.102,0.138,1,0,0
1,0.0743,0.286,0.286,0,0.0381,0.78,0.78,0.78,0.0515,0.0796,0.0741,1,0.407,0.0392,1,0.203,0.00507,0.203,0.203,0.018,0.018,0.23,0.23,0.0515,0.0796,0.069,1,0,0
1,0.0495,0.286,0.286,0,0.0218,0.76,0.76,0.76,0.0368,0.0455,0.0494,1,0.394,0.0196,1,0.168,0.00507,0.168,0.168,0.018,0.018,0.19,0.19,0.0368,0.0455,0.046,1,0,0
1,0.0495,0.286,0.286,0,0.0218,0.74,0.74,0.74,0.0221,0.0455,0.0247,1,0.382,0.0152,1,0.133,0.0101,0.133,0.133,0.024,0.024,0.23,0.23,0.0221,0.0455,0.0575,1,0,0
1,0.0511,0.286,0.286,0,0.0381,0.72,0.72,0.72,0.0221,0.0796,0.0494,1,0.394,0.0239,1,0.141,0.0355,0.141,0.141,0.0479,0.0479,0.372,0.373,0.0221,0.0796,0.115,1,0,0
1,0.131,0.23,0.23,0,0.0599,0.72,0.72,0.72,0.0736,0.125,0.0741,1,0.407,0.0392,1,0.159,0.0609,0.159,0.159,0.0898,0.0898,0.531,0.532,0.0736,0.125,0.391,1,0,0
1,0.308,0.218,0.218,0,0.136,0.76,0.76,0.76,0.147,0.25,0.198,1,0.456,0.0631,1,0.23,0.147,0.23,0.23,0.156,0.156,0.452,0.452,0.147,0.25,0.897,1,0,0
0.869,0.39,0.211,0.211,0,0.229,0.8,0.8,0.8,0.228,0.557,0.395,0.421,0.518,0.087,1,0.292,0.233,0.292,0.292,0.263,0.263,0.19,0.19,0.228,0.557,1,1,0,0
0.41,0.387,0.205,0.205,0,0.25,0.82,0.82,0.82,0.427,0.83,0.593,0.421,0.53,0.107,1,0.292,0.223,0.292,0.292,0.503,0.503,0.19,0.19,0.427,0.83,0.92,1,0,0
0.246,0.37,0.174,0.174,0,0.261,0.82,0.82,0.82,0.478,0.977,0.84,0.421,0.53,0.126,1,0.283,0.208,0.283,0.283,0.725,0.725,0.151,0.151,0.478,0.977,0.77,1,0,0
0.246,0.359,0.137,0.137,0,0.229,0.8,0.8,0.8,0.412,0.955,0.963,0.421,0.53,0.141,1,0.292,0.223,0.292,0.292,0.761,0.761,0.119,0.119,0.412,0.955,0.644,1,0,0
0.246,0.343,0.0933,0.0933,0,0.272,0.8,0.8,0.8,0.353,0.852,1,0.421,0.542,0.157,1,0.292,0.233,0.292,0.292,0.725,0.725,0.111,0.111,0.353,0.852,0.54,1,0,0
0.246,0.331,0.0746,0.0746,0,0.31,0.84,0.84,0.84,0.302,0.762,0.914,0.421,0.555,0.165,1,0.283,0.213,0.283,0.283,0.719,0.719,0.111,0.111,0.302,0.762,0.46,1,0,0
0.246,0.328,0.0684,0.0684,0,0.25,0.84,0.84,0.84,0.338,0.682,0.827,0.421,0.555,0.187,1,0.283,0.193,0.283,0.283,0.539,0.539,0.111,0.111,0.338,0.682,0.402,1,0,0
0.246,0.327,0.0684,0.0684,0,0.31,0.84,0.84,0.84,0.265,0.557,0.704,0.421,0.542,0.198,1,0.283,0.249,0.283,0.283,0.449,0.449,0.19,0.19,0.265,0.557,0.379,1,0,0
0.246,0.329,0.0746,0.0746,0,0.24,0.82,0.82,0.82,0.28,0.591,0.753,0.421,0.567,0.222,1,0.292,0.299,0.292,0.292,0.365,0.365,0.46,0.46,0.28,0.591,0.356,1,0,0
0.295,0.334,0.118,0.118,0,0.501,0.88,0.88,0.88,0.28,0.568,0.679,0.421,0.592,0.276,1,0.398,0.558,0.398,0.398,0.222,0.222,0.998,1,0.28,0.568,0.448,1,0,0
0.541,0.353,0.23,0.23,0,0.817,0.96,0.96,0.96,0.361,0.557,0.667,0.421,0.641,0.339,1,0.504,0.817,0.504,0.504,0.138,0.138,0.967,0.968,0.361,0.557,0.586,1,0,0
0.885,0.408,0.305,0.305,0,0.637,1,1,1,0.64,0.557,0.63,1,0.653,0.457,1,0.584,0.583,0.584,0.584,0.0779,0.0779,0.539,0.54,0.64,0.557,0.69,1,0,0
0.885,0.518,0.404,0.404,0,0.327,0.96,0.96,0.96,0.817,0.557,0.63,1,0.616,0.64,1,0.672,0.355,0.672,0.672,0.0479,0.0479,0.483,0.484,0.817,0.557,0.69,1,0,0
0.885,0.668,0.566,0.566,0,0.191,0.94,0.94,0.94,0.662,0.557,0.642,1,0.579,0.79,1,0.716,0.223,0.716,0.716,0.024,0.024,0.404,0.405,0.662,0.557,0.632,1,0,0
1,0.788,0.653,0.653,0,0.136,0.92,0.92,0.92,0.493,0.534,0.667,1,0.555,0.749,1,0.761,0.0964,0.761,0.761,0.018,0.018,0.341,0.341,0.493,0.534,0.552,1,0,0
1,0.571,0.566,0.566,0,0.0871,0.88,0.88,0.88,0.324,0.364,0.543,1,0.493,0.453,1,0.663,0.066,0.663,0.663,0.018,0.018,0.19,0.19,0.324,0.364,0.437,1,0,0
