Dependency=PUMA	Dependency=Geometry Building Type ACS	Option=1940s	Option=1950s	Option=1960s	Option=1970s	Option=1980s	Option=1990s	Option=2000s	Option=2010s	Option=<1940	sample_count	sample_weight
CA, 05905	20 to 49 Unit	0.000000	0.065362	0.214984	0.365827	0.088934	0.077023	0.041590	0.132181	0.014099	0.000000	0.000000
CA, 05905	3 or 4 Unit	0.019139	0.154643	0.119000	0.429038	0.149638	0.083208	0.034506	0.010827	0.000000	0.000000	0.000000
CA, 05905	5 to 9 Unit	0.000000	0.073570	0.105574	0.325276	0.179150	0.161672	0.060798	0.086706	0.007255	0.000000	0.000000
CA, 05905	50 or more Unit	0.045345	0.023101	0.159234	0.275411	0.154122	0.124090	0.051475	0.150243	0.016979	0.000000	0.000000
CA, 05905	Mobile Home	0.000000	0.037464	0.105819	0.365196	0.224356	0.050071	0.160863	0.051882	0.004349	0.000000	0.000000
CA, 05905	Single-Family Attached	0.000000	0.039500	0.121711	0.278659	0.188505	0.181363	0.101652	0.081045	0.007565	0.000000	0.000000
CA, 05905	Single-Family Detached	0.026563	0.201167	0.202277	0.208309	0.071301	0.146241	0.065804	0.041793	0.036546	0.000000	0.000000
CA, 05906	10 to 19 Unit	0.000000	0.064996	0.133650	0.415053	0.175927	0.050823	0.009347	0.147522	0.002680	0.000000	0.000000
CA, 05906	2 Unit	0.046890	0.046890	0.134527	0.232059	0.085777	0.000000	0.000000	0.423386	0.030471	0.000000	0.000000
CA, 05906	20 to 49 Unit	0.000000	0.136553	0.127367	0.279842	0.116432	0.176673	0.116191	0.037714	0.009227	0.000000	0.000000
CA, 05906	3 or 4 Unit	0.006175	0.169286	0.117324	0.285393	0.205730	0.128750	0.078571	0.000000	0.008771	0.000000	0.000000
CA, 05906	5 to 9 Unit	0.000000	0.083371	0.122850	0.393378	0.222758	0.100116	0.039324	0.000000	0.038203	0.000000	0.000000
CA, 05906	50 or more Unit	0.000000	0.094288	0.087791	0.274692	0.163448	0.081468	0.162928	0.130877	0.004508	0.000000	0.000000
CA, 05906	Mobile Home	0.000000	0.037464	0.189035	0.281981	0.176296	0.098131	0.160863	0.051882	0.004349	0.000000	0.000000
CA, 05906	Single-Family Attached	0.005726	0.076349	0.099552	0.315608	0.226599	0.070034	0.082918	0.108954	0.014260	0.000000	0.000000
CA, 05906	Single-Family Detached	0.023194	0.189604	0.214374	0.193411	0.156268	0.079542	0.070342	0.039041	0.034224	0.000000	0.000000
CA, 05907	10 to 19 Unit	0.015641	0.110813	0.152970	0.322603	0.107412	0.175411	0.101695	0.000000	0.013453	0.000000	0.000000
CA, 05907	2 Unit	0.087725	0.156982	0.253334	0.198623	0.169722	0.033944	0.000000	0.000000	0.099669	0.000000	0.000000
CA, 05907	20 to 49 Unit	0.017662	0.057514	0.236583	0.187353	0.104692	0.122819	0.078612	0.192706	0.002058	0.000000	0.000000
CA, 05907	3 or 4 Unit	0.026267	0.123745	0.283081	0.249199	0.178329	0.084873	0.014177	0.022644	0.017685	0.000000	0.000000
CA, 05907	5 to 9 Unit	0.022016	0.137053	0.308187	0.244016	0.188590	0.040181	0.042080	0.000000	0.017877	0.000000	0.000000
CA, 05907	50 or more Unit	0.015027	0.029844	0.130152	0.203457	0.204819	0.126016	0.147509	0.139117	0.004059	0.000000	0.000000
CA, 05907	Mobile Home	0.000000	0.037464	0.147000	0.324015	0.137731	0.136696	0.160863	0.051882	0.004349	0.000000	0.000000
CA, 05907	Single-Family Attached	0.021987	0.051023	0.065756	0.360858	0.229090	0.099126	0.072584	0.080421	0.019156	0.000000	0.000000
CA, 05907	Single-Family Detached	0.022610	0.197000	0.223724	0.181449	0.107315	0.119756	0.071967	0.042192	0.033986	0.000000	0.000000
CA, 05908	10 to 19 Unit	0.020246	0.125523	0.373905	0.189884	0.148185	0.042600	0.099657	0.000000	0.000000	0.000000	0.000000
CA, 05908	2 Unit	0.021873	0.112866	0.068195	0.097613	0.043723	0.000000	0.028880	0.518913	0.107936	0.000000	0.000000
CA, 05908	20 to 49 Unit	0.011476	0.062675	0.241489	0.258353	0.332740	0.093268	0.000000	0.000000	0.000000	0.000000	0.000000
CA, 05908	3 or 4 Unit	0.032307	0.113684	0.182827	0.168620	0.129245	0.075719	0.167675	0.129924	0.000000	0.000000	0.000000
CA, 05908	5 to 9 Unit	0.035344	0.088360	0.261820	0.220904	0.210143	0.100175	0.047886	0.000000	0.035368	0.000000	0.000000
CA, 05908	50 or more Unit	0.000000	0.033987	0.089539	0.310292	0.235577	0.120469	0.092944	0.117192	0.000000	0.000000	0.000000
CA, 05908	Mobile Home	0.000000	0.037464	0.083120	0.387895	0.121205	0.153222	0.160863	0.051882	0.004349	0.000000	0.000000
CA, 05908	Single-Family Attached	0.003231	0.028501	0.235113	0.197936	0.230248	0.120225	0.103262	0.066401	0.015084	0.000000	0.000000
CA, 05908	Single-Family Detached	0.021043	0.216610	0.280973	0.121457	0.100814	0.115443	0.063880	0.043996	0.035784	0.000000	0.000000
CA, 05909	10 to 19 Unit	0.013779	0.122591	0.241665	0.255931	0.163687	0.065149	0.024941	0.097301	0.014956	0.000000	0.000000
CA, 05909	2 Unit	0.000000	0.131081	0.180965	0.251627	0.342773	0.000000	0.093554	0.000000	0.000000	0.000000	0.000000
CA, 05909	20 to 49 Unit	0.003162	0.035410	0.165861	0.373614	0.188136	0.081924	0.061195	0.077384	0.013315	0.000000	0.000000
CA, 05909	3 or 4 Unit	0.015888	0.170930	0.228204	0.226110	0.200687	0.109602	0.011215	0.022324	0.015040	0.000000	0.000000
CA, 05909	5 to 9 Unit	0.000000	0.214148	0.208813	0.201047	0.207500	0.063941	0.071490	0.000000	0.033059	0.000000	0.000000
CA, 05909	50 or more Unit	0.003960	0.027873	0.106252	0.262894	0.192731	0.091692	0.169234	0.145364	0.000000	0.000000	0.000000
CA, 05909	Mobile Home	0.002560	0.034905	0.165674	0.305341	0.114118	0.160309	0.160863	0.051882	0.004349	0.000000	0.000000
CA, 05909	Single-Family Attached	0.000000	0.011800	0.029507	0.260812	0.376152	0.125384	0.095499	0.056378	0.044468	0.000000	0.000000
CA, 05909	Single-Family Detached	0.008638	0.242519	0.330534	0.114737	0.073057	0.091896	0.064860	0.046279	0.027480	0.000000	0.000000
CA, 05910	10 to 19 Unit	0.006517	0.130629	0.177255	0.237964	0.199364	0.107350	0.036333	0.092133	0.012456	0.000000	0.000000
CA, 05910	2 Unit	0.036002	0.106110	0.294855	0.237322	0.098100	0.108426	0.000000	0.082968	0.036218	0.000000	0.000000
CA, 05910	20 to 49 Unit	0.052703	0.062027	0.139507	0.313377	0.161283	0.114334	0.083927	0.072842	0.000000	0.000000	0.000000
CA, 05910	3 or 4 Unit	0.023164	0.136933	0.229855	0.260755	0.148993	0.113784	0.024925	0.029264	0.032328	0.000000	0.000000
CA, 05910	5 to 9 Unit	0.005035	0.130320	0.239101	0.210438	0.220819	0.115027	0.014939	0.064322	0.000000	0.000000	0.000000
CA, 05910	50 or more Unit	0.005480	0.024547	0.134045	0.274734	0.141866	0.097377	0.191435	0.122224	0.008293	0.000000	0.000000
CA, 05910	Mobile Home	0.000000	0.037464	0.117511	0.353504	0.128851	0.145576	0.160863	0.051882	0.004349	0.000000	0.000000
CA, 05910	Single-Family Attached	0.005369	0.025770	0.094802	0.239859	0.230611	0.169979	0.070199	0.141697	0.021713	0.000000	0.000000
CA, 05910	Single-Family Detached	0.022104	0.213655	0.174237	0.253107	0.122895	0.082157	0.072540	0.025384	0.033921	0.000000	0.000000
CA, 05911	10 to 19 Unit	0.006804	0.117756	0.106247	0.175800	0.172565	0.196724	0.021507	0.183068	0.019529	0.000000	0.000000
CA, 05911	2 Unit	0.022072	0.157408	0.164718	0.206049	0.293979	0.019152	0.091806	0.000000	0.044817	0.000000	0.000000
CA, 05911	20 to 49 Unit	0.000000	0.059025	0.100694	0.286512	0.205250	0.112847	0.051743	0.167303	0.016626	0.000000	0.000000
CA, 05911	3 or 4 Unit	0.009360	0.186279	0.242466	0.319387	0.094464	0.046667	0.049793	0.042777	0.008807	0.000000	0.000000
CA, 05911	5 to 9 Unit	0.009865	0.052611	0.205077	0.244647	0.189734	0.188650	0.073801	0.028755	0.006863	0.000000	0.000000
CA, 05911	50 or more Unit	0.000000	0.000000	0.145318	0.301317	0.181523	0.073935	0.193585	0.104322	0.000000	0.000000	0.000000
CA, 05911	Mobile Home	0.006332	0.031132	0.115688	0.355327	0.100798	0.173629	0.160863	0.051882	0.004349	0.000000	0.000000
CA, 05911	Single-Family Attached	0.003079	0.037507	0.086294	0.213055	0.217531	0.123580	0.156387	0.121847	0.040719	0.000000	0.000000
CA, 05911	Single-Family Detached	0.026604	0.194819	0.273903	0.153776	0.134236	0.093218	0.057527	0.036031	0.029885	0.000000	0.000000
CA, 05912	10 to 19 Unit	0.034253	0.070925	0.162939	0.288241	0.180114	0.099157	0.142045	0.000000	0.022326	0.000000	0.000000
CA, 05912	2 Unit	0.027695	0.091125	0.314753	0.158433	0.169738	0.000000	0.073762	0.124899	0.039597	0.000000	0.000000
CA, 05912	20 to 49 Unit	0.023985	0.136913	0.226852	0.249694	0.153041	0.040984	0.093091	0.058215	0.017226	0.000000	0.000000
CA, 05912	3 or 4 Unit	0.022859	0.073545	0.247925	0.306205	0.210805	0.047981	0.034716	0.039078	0.016886	0.000000	0.000000
CA, 05912	5 to 9 Unit	0.012001	0.096440	0.183950	0.296954	0.333755	0.054736	0.000000	0.000000	0.022164	0.000000	0.000000
CA, 05912	50 or more Unit	0.019481	0.068585	0.163399	0.188474	0.196207	0.097655	0.117134	0.149065	0.000000	0.000000	0.000000
CA, 05912	Mobile Home	0.005550	0.031914	0.156236	0.314779	0.069455	0.204972	0.160863	0.051882	0.004349	0.000000	0.000000
CA, 05912	Single-Family Attached	0.001322	0.036587	0.069938	0.219739	0.458684	0.071351	0.087091	0.045777	0.009511	0.000000	0.000000
CA, 05912	Single-Family Detached	0.021332	0.215438	0.322564	0.118084	0.068583	0.099166	0.068056	0.049426	0.037352	0.000000	0.000000
CA, 05913	10 to 19 Unit	0.025628	0.109077	0.297079	0.218804	0.255834	0.032134	0.048618	0.000000	0.012825	0.000000	0.000000
CA, 05913	2 Unit	0.000000	0.039889	0.154884	0.307051	0.243941	0.115551	0.101463	0.000000	0.037221	0.000000	0.000000
CA, 05913	20 to 49 Unit	0.000000	0.013882	0.204744	0.322811	0.186837	0.050080	0.021311	0.197893	0.002443	0.000000	0.000000
CA, 05913	3 or 4 Unit	0.020183	0.190296	0.251787	0.188180	0.174587	0.083731	0.043362	0.035713	0.012160	0.000000	0.000000
CA, 05913	5 to 9 Unit	0.012045	0.115402	0.155075	0.366775	0.195522	0.071064	0.023611	0.050054	0.010453	0.000000	0.000000
CA, 05913	50 or more Unit	0.005700	0.038867	0.120679	0.153568	0.216538	0.085386	0.238061	0.123243	0.017958	0.000000	0.000000
CA, 05913	Mobile Home	0.000000	0.037464	0.108476	0.362539	0.102418	0.172009	0.160863	0.051882	0.004349	0.000000	0.000000
CA, 05913	Single-Family Attached	0.000000	0.031156	0.072423	0.291259	0.399927	0.105080	0.038908	0.036390	0.024856	0.000000	0.000000
CA, 05913	Single-Family Detached	0.016264	0.231020	0.280946	0.142317	0.073687	0.086873	0.082703	0.052588	0.033601	0.000000	0.000000
CA, 05914	10 to 19 Unit	0.000000	0.121251	0.260588	0.270895	0.235638	0.056620	0.046326	0.000000	0.008681	0.000000	0.000000
CA, 05914	2 Unit	0.000000	0.154722	0.272420	0.172740	0.164159	0.098138	0.075312	0.000000	0.062509	0.000000	0.000000
CA, 05914	20 to 49 Unit	0.007727	0.068994	0.138691	0.143455	0.266005	0.080052	0.142381	0.124525	0.028169	0.000000	0.000000
CA, 05914	3 or 4 Unit	0.004505	0.130461	0.212947	0.334872	0.174456	0.032553	0.059615	0.039114	0.011478	0.000000	0.000000
CA, 05914	5 to 9 Unit	0.012249	0.085427	0.201510	0.306933	0.221584	0.092999	0.012744	0.058640	0.007915	0.000000	0.000000
CA, 05914	50 or more Unit	0.004396	0.066173	0.132030	0.170862	0.190504	0.100495	0.158935	0.173397	0.003207	0.000000	0.000000
CA, 05914	Mobile Home	0.018732	0.018732	0.120586	0.350429	0.132849	0.141579	0.160863	0.051882	0.004349	0.000000	0.000000
CA, 05914	Single-Family Attached	0.009450	0.102061	0.096872	0.207049	0.334179	0.105256	0.076282	0.045237	0.023614	0.000000	0.000000
CA, 05914	Single-Family Detached	0.041056	0.177113	0.284051	0.154145	0.088303	0.101144	0.070891	0.049615	0.033683	0.000000	0.000000
CA, 05915	10 to 19 Unit	0.000000	0.000000	0.068596	0.428722	0.200718	0.161921	0.103901	0.025155	0.010987	0.000000	0.000000
CA, 05915	2 Unit	0.000000	0.499465	0.000000	0.000000	0.209127	0.155733	0.000000	0.104802	0.030872	0.000000	0.000000
CA, 05915	20 to 49 Unit	0.000000	0.000000	0.000000	0.297468	0.234543	0.034865	0.146085	0.243057	0.043982	0.000000	0.000000
CA, 05915	3 or 4 Unit	0.000000	0.000000	0.363982	0.158659	0.199081	0.195849	0.064490	0.000000	0.017939	0.000000	0.000000
CA, 05915	5 to 9 Unit	0.000000	0.223703	0.094173	0.327861	0.072951	0.128510	0.037069	0.109029	0.006704	0.000000	0.000000
CA, 05915	50 or more Unit	0.000000	0.000000	0.280618	0.259032	0.066377	0.154282	0.147538	0.083854	0.008298	0.000000	0.000000
CA, 05915	Mobile Home	0.000000	0.037464	0.000000	0.471015	0.274427	0.000000	0.160863	0.051882	0.004349	0.000000	0.000000
CA, 05915	Single-Family Attached	0.000000	0.000000	0.034760	0.284597	0.136874	0.204881	0.115695	0.191032	0.032161	0.000000	0.000000
CA, 05915	Single-Family Detached	0.023469	0.199487	0.116098	0.305620	0.070672	0.159410	0.065771	0.028093	0.031380	0.000000	0.000000
CA, 05916	10 to 19 Unit	0.004468	0.071859	0.155255	0.249395	0.199554	0.077002	0.227374	0.000000	0.015094	0.000000	0.000000
CA, 05916	2 Unit	0.010230	0.236571	0.183827	0.207294	0.204867	0.119196	0.000000	0.000000	0.038016	0.000000	0.000000
CA, 05916	20 to 49 Unit	0.000000	0.012384	0.045243	0.231475	0.174353	0.033067	0.077171	0.426306	0.000000	0.000000	0.000000
CA, 05916	3 or 4 Unit	0.008779	0.133794	0.152518	0.347641	0.189748	0.035801	0.122544	0.000000	0.009174	0.000000	0.000000
CA, 05916	5 to 9 Unit	0.020177	0.092699	0.222707	0.300818	0.222318	0.027257	0.000000	0.096637	0.017387	0.000000	0.000000
CA, 05916	50 or more Unit	0.017951	0.091517	0.168665	0.286730	0.322967	0.062543	0.039481	0.000000	0.010147	0.000000	0.000000
CA, 05916	Mobile Home	0.002020	0.035444	0.168139	0.302876	0.131502	0.142925	0.160863	0.051882	0.004349	0.000000	0.000000
CA, 05916	Single-Family Attached	0.018349	0.065370	0.106814	0.209899	0.362259	0.091159	0.059144	0.065896	0.021110	0.000000	0.000000
CA, 05916	Single-Family Detached	0.035556	0.180506	0.264595	0.161813	0.103675	0.100492	0.074543	0.045360	0.033461	0.000000	0.000000
CA, 05917	10 to 19 Unit	0.042478	0.113569	0.240023	0.247181	0.175513	0.143927	0.019475	0.000000	0.017834	0.000000	0.000000
CA, 05917	2 Unit	0.099801	0.149154	0.090434	0.253469	0.068148	0.019471	0.264353	0.000000	0.055170	0.000000	0.000000
CA, 05917	20 to 49 Unit	0.024972	0.096675	0.189809	0.267053	0.292276	0.095474	0.024141	0.000000	0.009600	0.000000	0.000000
CA, 05917	3 or 4 Unit	0.033984	0.134700	0.236812	0.341224	0.155407	0.060334	0.022623	0.000000	0.014916	0.000000	0.000000
CA, 05917	5 to 9 Unit	0.010274	0.069042	0.198076	0.414050	0.148356	0.095459	0.054545	0.000000	0.010198	0.000000	0.000000
CA, 05917	50 or more Unit	0.017292	0.023351	0.077253	0.187342	0.178150	0.078244	0.174457	0.256752	0.007159	0.000000	0.000000
CA, 05917	Mobile Home	0.009366	0.028098	0.181492	0.289523	0.258071	0.016357	0.160863	0.051882	0.004349	0.000000	0.000000
CA, 05917	Single-Family Attached	0.012667	0.044675	0.146247	0.198948	0.200117	0.092117	0.187175	0.092614	0.025441	0.000000	0.000000
CA, 05917	Single-Family Detached	0.060820	0.164224	0.241663	0.181121	0.152946	0.080663	0.046765	0.038992	0.032806	0.000000	0.000000
CA, 05918	10 to 19 Unit	0.007318	0.079536	0.174031	0.329376	0.163624	0.095880	0.072186	0.043403	0.034646	0.000000	0.000000
CA, 05918	2 Unit	0.097549	0.182726	0.264446	0.200550	0.164015	0.049272	0.010663	0.000000	0.030781	0.000000	0.000000
CA, 05918	20 to 49 Unit	0.006363	0.048057	0.117017	0.244373	0.178370	0.064603	0.162029	0.174788	0.004400	0.000000	0.000000
CA, 05918	3 or 4 Unit	0.009934	0.228326	0.267207	0.264653	0.146455	0.057981	0.012275	0.000000	0.013168	0.000000	0.000000
CA, 05918	5 to 9 Unit	0.007117	0.082556	0.193046	0.288959	0.221580	0.050726	0.077928	0.078088	0.000000	0.000000	0.000000
CA, 05918	50 or more Unit	0.007234	0.010227	0.140585	0.225057	0.246618	0.133747	0.112559	0.115399	0.008572	0.000000	0.000000
CA, 05918	Mobile Home	0.037464	0.000000	0.221532	0.249483	0.123811	0.150616	0.160863	0.051882	0.004349	0.000000	0.000000
CA, 05918	Single-Family Attached	0.006126	0.051634	0.128349	0.209263	0.373871	0.105971	0.086346	0.035766	0.002674	0.000000	0.000000
CA, 05918	Single-Family Detached	0.029834	0.205091	0.255134	0.174496	0.110113	0.065103	0.067895	0.052428	0.039907	0.000000	0.000000
CA, 06101	10 to 19 Unit	0.013067	0.005750	0.048640	0.091115	0.153655	0.134735	0.430421	0.086186	0.036432	0.000000	0.000000
CA, 06101	2 Unit	0.000000	0.356601	0.268115	0.134058	0.097032	0.000000	0.091693	0.052502	0.000000	0.000000	0.000000
CA, 06101	20 to 49 Unit	0.009813	0.070090	0.023885	0.187405	0.038441	0.295227	0.155665	0.140379	0.079096	0.000000	0.000000
CA, 06101	3 or 4 Unit	0.019181	0.024327	0.141029	0.227486	0.195515	0.199107	0.160237	0.033118	0.000000	0.000000	0.000000
CA, 06101	5 to 9 Unit	0.005286	0.019256	0.073239	0.083632	0.256359	0.212459	0.317175	0.032595	0.000000	0.000000	0.000000
CA, 06101	50 or more Unit	0.000000	0.006657	0.072534	0.173426	0.193521	0.342313	0.195025	0.016524	0.000000	0.000000	0.000000
CA, 06101	Mobile Home	0.000000	0.012618	0.062711	0.538972	0.139858	0.070681	0.128649	0.029193	0.017318	0.000000	0.000000
CA, 06101	Single-Family Attached	0.006639	0.043408	0.095765	0.229674	0.255798	0.080537	0.142244	0.090997	0.054938	0.000000	0.000000
CA, 06101	Single-Family Detached	0.022183	0.045482	0.056487	0.120065	0.119378	0.236130	0.300576	0.069084	0.030616	0.000000	0.000000
CA, 06102	10 to 19 Unit	0.000000	0.000000	0.103585	0.106207	0.085473	0.233318	0.385942	0.085474	0.000000	0.000000	0.000000
CA, 06102	2 Unit	0.185769	0.000000	0.303141	0.280960	0.047763	0.182367	0.000000	0.000000	0.000000	0.000000	0.000000
CA, 06102	20 to 49 Unit	0.000000	0.151079	0.000000	0.096208	0.278968	0.160671	0.313074	0.000000	0.000000	0.000000	0.000000
CA, 06102	3 or 4 Unit	0.000000	0.000000	0.086951	0.199475	0.223477	0.199447	0.199729	0.040635	0.050286	0.000000	0.000000
CA, 06102	5 to 9 Unit	0.000000	0.000000	0.076691	0.089032	0.138738	0.354093	0.268718	0.072727	0.000000	0.000000	0.000000
CA, 06102	50 or more Unit	0.000000	0.126490	0.112129	0.176202	0.146751	0.242703	0.195725	0.000000	0.000000	0.000000	0.000000
CA, 06102	Mobile Home	0.006309	0.006309	0.077996	0.523686	0.134429	0.076110	0.128649	0.029193	0.017318	0.000000	0.000000
CA, 06102	Single-Family Attached	0.030859	0.000000	0.056395	0.161127	0.324344	0.190045	0.158936	0.078294	0.000000	0.000000	0.000000
CA, 06102	Single-Family Detached	0.025837	0.042987	0.059815	0.122046	0.130440	0.215202	0.300416	0.069688	0.033570	0.000000	0.000000
CA, 06103	10 to 19 Unit	0.096384	0.008261	0.034238	0.141231	0.247551	0.130782	0.337761	0.000000	0.003792	0.000000	0.000000
CA, 06103	2 Unit	0.022749	0.065809	0.010101	0.208338	0.159851	0.143315	0.287227	0.000000	0.102610	0.000000	0.000000
CA, 06103	20 to 49 Unit	0.000000	0.047115	0.017899	0.100884	0.216652	0.312547	0.294604	0.000000	0.010298	0.000000	0.000000
CA, 06103	3 or 4 Unit	0.008628	0.032415	0.063785	0.319289	0.308515	0.106003	0.158154	0.000000	0.003211	0.000000	0.000000
CA, 06103	5 to 9 Unit	0.006922	0.024408	0.043028	0.103607	0.434996	0.034602	0.349571	0.000000	0.002867	0.000000	0.000000
CA, 06103	50 or more Unit	0.003989	0.000000	0.027382	0.120893	0.161259	0.212005	0.271024	0.203449	0.000000	0.000000	0.000000
CA, 06103	Mobile Home	0.000000	0.012618	0.079326	0.522356	0.109582	0.100957	0.128649	0.029193	0.017318	0.000000	0.000000
CA, 06103	Single-Family Attached	0.036957	0.031899	0.062465	0.128605	0.193730	0.137651	0.218201	0.158326	0.032167	0.000000	0.000000
CA, 06103	Single-Family Detached	0.024247	0.042481	0.064344	0.119103	0.179772	0.175768	0.296009	0.066499	0.031776	0.000000	0.000000
CA, 06501	10 to 19 Unit	0.000000	0.019502	0.049379	0.122981	0.333867	0.088450	0.224941	0.150385	0.010496	0.000000	0.000000
CA, 06501	2 Unit	0.023736	0.060188	0.123885	0.251497	0.363685	0.031137	0.115215	0.012529	0.018126	0.000000	0.000000
CA, 06501	20 to 49 Unit	0.000000	0.025773	0.089004	0.335786	0.102781	0.340800	0.105856	0.000000	0.000000	0.000000	0.000000
CA, 06501	3 or 4 Unit	0.001353	0.056167	0.115996	0.134585	0.209122	0.231990	0.142086	0.080014	0.028686	0.000000	0.000000
CA, 06501	5 to 9 Unit	0.008420	0.034828	0.058454	0.202907	0.332324	0.183313	0.139044	0.032526	0.008184	0.000000	0.000000
CA, 06501	50 or more Unit	0.000000	0.068243	0.041875	0.172369	0.296889	0.169279	0.096133	0.134267	0.020946	0.000000	0.000000
CA, 06501	Mobile Home	0.017664	0.006838	0.047966	0.362352	0.224992	0.173916	0.135736	0.027678	0.002857	0.000000	0.000000
CA, 06501	Single-Family Attached	0.062791	0.055283	0.060624	0.079215	0.381142	0.200842	0.078254	0.036982	0.044867	0.000000	0.000000
CA, 06501	Single-Family Detached	0.020884	0.065213	0.098454	0.076525	0.145033	0.200511	0.293396	0.076062	0.023921	0.000000	0.000000
CA, 06502	10 to 19 Unit	0.003513	0.075539	0.080217	0.156019	0.304602	0.133457	0.205215	0.036600	0.004837	0.000000	0.000000
CA, 06502	2 Unit	0.009677	0.034036	0.045012	0.157215	0.420921	0.181574	0.052305	0.070641	0.028621	0.000000	0.000000
CA, 06502	20 to 49 Unit	0.006088	0.017327	0.145570	0.153352	0.268069	0.124933	0.173731	0.096938	0.013991	0.000000	0.000000
CA, 06502	3 or 4 Unit	0.006471	0.035884	0.082227	0.168288	0.364445	0.078986	0.111676	0.136527	0.015496	0.000000	0.000000
CA, 06502	5 to 9 Unit	0.015605	0.055765	0.143564	0.187755	0.306916	0.097710	0.111513	0.045343	0.035829	0.000000	0.000000
CA, 06502	50 or more Unit	0.006699	0.027276	0.079051	0.158804	0.363958	0.162745	0.194400	0.003377	0.003689	0.000000	0.000000
CA, 06502	Mobile Home	0.000261	0.024241	0.115471	0.294848	0.312691	0.086217	0.135736	0.027678	0.002857	0.000000	0.000000
CA, 06502	Single-Family Attached	0.004210	0.032631	0.071223	0.301447	0.371302	0.065498	0.111403	0.029514	0.012771	0.000000	0.000000
CA, 06502	Single-Family Detached	0.024216	0.074197	0.054903	0.074510	0.193957	0.141018	0.325094	0.084830	0.027276	0.000000	0.000000
CA, 06503	10 to 19 Unit	0.074026	0.000000	0.079306	0.140988	0.241002	0.265771	0.160616	0.016569	0.021722	0.000000	0.000000
CA, 06503	2 Unit	0.000000	0.000000	0.330240	0.510371	0.000000	0.000000	0.000000	0.159389	0.000000	0.000000	0.000000
CA, 06503	20 to 49 Unit	0.000000	0.000000	0.062730	0.072380	0.300607	0.332868	0.175908	0.055506	0.000000	0.000000	0.000000
CA, 06503	3 or 4 Unit	0.000000	0.000000	0.000000	0.376257	0.123869	0.262984	0.112040	0.124849	0.000000	0.000000	0.000000
CA, 06503	5 to 9 Unit	0.000000	0.052547	0.000000	0.223094	0.254076	0.188815	0.163556	0.085788	0.032124	0.000000	0.000000
CA, 06503	50 or more Unit	0.091758	0.000000	0.057487	0.211551	0.171901	0.293489	0.112046	0.044763	0.017006	0.000000	0.000000
CA, 06503	Mobile Home	0.000000	0.024502	0.050476	0.359843	0.240180	0.158728	0.135736	0.027678	0.002857	0.000000	0.000000
CA, 06503	Single-Family Attached	0.000000	0.000000	0.105440	0.162678	0.053590	0.149938	0.281381	0.246973	0.000000	0.000000	0.000000
CA, 06503	Single-Family Detached	0.038208	0.052285	0.023350	0.146855	0.130162	0.229089	0.286290	0.068194	0.025566	0.000000	0.000000
CA, 06504	10 to 19 Unit	0.154729	0.000000	0.308603	0.114298	0.188976	0.079495	0.100770	0.053129	0.000000	0.000000	0.000000
CA, 06504	2 Unit	0.000000	0.000000	0.000000	0.440592	0.000000	0.336713	0.222695	0.000000	0.000000	0.000000	0.000000
CA, 06504	20 to 49 Unit	0.000000	0.000000	0.000000	0.242535	0.194828	0.217023	0.191734	0.153880	0.000000	0.000000	0.000000
CA, 06504	3 or 4 Unit	0.000000	0.000000	0.052427	0.317319	0.140230	0.347630	0.123045	0.019350	0.000000	0.000000	0.000000
CA, 06504	5 to 9 Unit	0.000000	0.000000	0.000000	0.000000	0.299049	0.324232	0.179069	0.120606	0.077043	0.000000	0.000000
CA, 06504	50 or more Unit	0.000000	0.000000	0.063327	0.039580	0.334684	0.388774	0.155871	0.017763	0.000000	0.000000	0.000000
CA, 06504	Mobile Home	0.000000	0.024502	0.072117	0.338202	0.315537	0.083371	0.135736	0.027678	0.002857	0.000000	0.000000
CA, 06504	Single-Family Attached	0.062842	0.217092	0.079031	0.319164	0.010846	0.043383	0.247521	0.020121	0.000000	0.000000	0.000000
CA, 06504	Single-Family Detached	0.018011	0.058692	0.044611	0.116981	0.176375	0.193446	0.288208	0.077707	0.025969	0.000000	0.000000
CA, 06505	10 to 19 Unit	0.000000	0.025233	0.022955	0.000000	0.272624	0.251204	0.279913	0.111008	0.037063	0.000000	0.000000
CA, 06505	2 Unit	0.038901	0.000000	0.124728	0.184122	0.323307	0.136713	0.033763	0.137368	0.021098	0.000000	0.000000
CA, 06505	20 to 49 Unit	0.000000	0.000000	0.137737	0.022038	0.377878	0.156807	0.275548	0.014335	0.015656	0.000000	0.000000
CA, 06505	3 or 4 Unit	0.100023	0.000000	0.150520	0.246541	0.251856	0.147723	0.037023	0.034512	0.031803	0.000000	0.000000
CA, 06505	5 to 9 Unit	0.000000	0.066608	0.075683	0.181065	0.260147	0.248525	0.144841	0.019388	0.003743	0.000000	0.000000
CA, 06505	50 or more Unit	0.000000	0.020029	0.000000	0.299105	0.219049	0.169586	0.170732	0.121498	0.000000	0.000000	0.000000
CA, 06505	Mobile Home	0.014836	0.009666	0.067231	0.343087	0.325163	0.073745	0.135736	0.027678	0.002857	0.000000	0.000000
CA, 06505	Single-Family Attached	0.000000	0.091656	0.149551	0.295344	0.221880	0.071295	0.079796	0.043597	0.046881	0.000000	0.000000
CA, 06505	Single-Family Detached	0.021133	0.065911	0.075643	0.089878	0.183478	0.171914	0.292403	0.075688	0.023951	0.000000	0.000000
